t_s,servo_idx,node_id,cmd_deg,fb_deg
2.248045,0,0x01,0.0000,-0.1111
2.248045,1,0x02,0.0000,0.0556
2.248045,2,0x03,0.0000,0.1111
2.248045,3,0x04,0.0000,-0.0556
2.256442,0,0x01,0.0000,-0.1111
2.256442,1,0x02,0.0000,0.0556
2.256442,2,0x03,0.0000,0.1111
2.256442,3,0x04,0.0000,-0.0556
2.257520,0,0x01,0.0000,-0.1111
2.257520,1,0x02,0.0000,0.0556
2.257520,2,0x03,0.0000,0.1111
2.257520,3,0x04,0.0000,-0.0556
2.258583,0,0x01,0.0000,-0.1111
2.258583,1,0x02,0.0000,0.0556
2.258583,2,0x03,0.0000,0.1111
2.258583,3,0x04,0.0000,-0.0556
2.265743,0,0x01,0.0000,-0.1111
2.265743,1,0x02,0.0000,0.0556
2.265743,2,0x03,0.0000,0.1111
2.265743,3,0x04,0.0000,-0.0556
2.266819,0,0x01,0.0000,-0.0556
2.266819,1,0x02,0.0000,0.0556
2.266819,2,0x03,0.0000,0.1111
2.266819,3,0x04,0.0000,-0.0556
2.267929,0,0x01,0.0000,-0.0556
2.267929,1,0x02,0.0000,0.0556
2.267929,2,0x03,0.0000,0.1111
2.267929,3,0x04,0.0000,-0.0556
2.269038,0,0x01,0.0000,-0.1111
2.269038,1,0x02,0.0000,0.0556
2.269038,2,0x03,0.0000,0.1111
2.269038,3,0x04,0.0000,0.0000
2.276890,0,0x01,0.0000,-0.1111
2.276890,1,0x02,0.0000,0.0556
2.276890,2,0x03,0.0000,0.1111
2.276890,3,0x04,0.0000,0.0000
2.278007,0,0x01,0.0000,-0.1111
2.278007,1,0x02,0.0000,0.0556
2.278007,2,0x03,0.0000,0.1111
2.278007,3,0x04,0.0000,0.0000
2.279080,0,0x01,0.0000,-0.0556
2.279080,1,0x02,0.0000,0.0556
2.279080,2,0x03,0.0000,0.1111
2.279080,3,0x04,0.0000,0.0000
2.285803,0,0x01,0.0000,-0.0556
2.285803,1,0x02,0.0000,0.0556
2.285803,2,0x03,0.0000,0.1111
2.285803,3,0x04,0.0000,0.0000
2.286882,0,0x01,0.0000,-0.0556
2.286882,1,0x02,0.0000,0.0556
2.286882,2,0x03,0.0000,0.1111
2.286882,3,0x04,0.0000,0.0000
2.287960,0,0x01,0.0000,-0.0556
2.287960,1,0x02,0.0000,0.0556
2.287960,2,0x03,0.0000,0.0556
