t_s,servo_idx,node_id,cmd_deg,fb_deg,t_fb_arrival_s
1.505387,0,0x01,0.0000,0.1111,1.488799
1.505387,1,0x02,0.0000,0.0556,1.489795
1.505387,2,0x03,0.0000,0.1111,1.444809
1.505387,3,0x04,0.0000,0.0556,1.504834
1.506489,0,0x01,0.0000,0.1111,1.488799
1.506489,1,0x02,0.0000,0.0556,1.489795
1.506489,2,0x03,0.0000,0.0556,1.505815
1.506489,3,0x04,0.0000,0.0556,1.504834
1.507561,0,0x01,0.0000,0.1111,1.488799
1.507561,1,0x02,0.0000,0.0556,1.489795
1.507561,2,0x03,0.0000,0.0556,1.505815
1.507561,3,0x04,0.0000,0.0556,1.504834
1.508634,0,0x01,0.0000,0.1111,1.488799
1.508634,1,0x02,0.0000,0.0556,1.489795
1.508634,2,0x03,0.0000,0.0556,1.505815
1.508634,3,0x04,0.0000,0.0556,1.507796
1.516469,0,0x01,0.0000,0.1111,1.510804
1.516469,1,0x02,0.0000,0.1667,1.513857
1.516469,2,0x03,0.0000,0.0556,1.505815
1.516469,3,0x04,0.0000,0.0556,1.507796
1.517562,0,0x01,0.0000,0.1111,1.510804
1.517562,1,0x02,0.0000,0.1667,1.513857
1.517562,2,0x03,0.0000,0.1111,1.516811
1.517562,3,0x04,0.0000,0.0556,1.507796
1.518628,0,0x01,0.0000,0.1111,1.510804
1.518628,1,0x02,0.0000,0.1667,1.513857
1.518628,2,0x03,0.0000,0.1111,1.516811
1.518628,3,0x04,0.0000,0.0556,1.507796
1.525485,0,0x01,0.0000,0.1667,1.520814
1.525485,1,0x02,0.0000,0.6111,1.524820
1.525485,2,0x03,0.0000,0.1111,1.516811
1.525485,3,0x04,0.0000,0.3333,1.518798
1.526564,0,0x01,0.0000,0.1667,1.520814
1.526564,1,0x02,0.0000,0.6111,1.524820
1.526564,2,0x03,0.0000,0.1111,1.516811
1.526564,3,0x04,0.0000,0.3333,1.518798
1.527657,0,0x01,0.0000,0.1667,1.520814
1.527657,1,0x02,0.0000,0.6111,1.524820
1.527657,2,0x03,0.0000,0.1111,1.516811
1.527657,3,0x04,0.0000,0.3333,1.518798
1.528798,0,0x01,0.0000,0.1667,1.520814
1.528798,1,0x02,0.0000,0.6111,1.524820
1.528798,2,0x03,0.0000,0.2222,1.527798
1.528798,3,0x04,0.0000,0.3333,1.518798
1.536388,0,0x01,0.0000,0.6667,1.533815
1.536388,1,0x02,0.0000,0.6111,1.524820
1.536388,2,0x03,0.0000,0.2222,1.527798
1.536388,3,0x04,0.0000,0.6667,1.530823
1.537465,0,0x01,0.0000,0.6667,1.533815
1.537465,1,0x02,0.0000,0.8333,1.536821
1.537465,2,0x03,0.0000,0.2222,1.527798
1.537465,3,0x04,0.0000,0.6667,1.530823
1.538526,0,0x01,0.0000,0.6667,1.533815
1.538526,1,0x02,0.0000,0.8333,1.536821
1.538526,2,0x03,0.0000,0.2222,1.527798
1.538526,3,0x04,0.0000,0.6667,1.530823
1.539594,0,0x01,0.0000,0.6667,1.533815
1.539594,1,0x02,0.0000,0.8333,1.536821
1.539594,2,0x03,0.0000,0.2222,1.527798
1.539594,3,0x04,0.0000,0.6667,1.530823
1.547360,0,0x01,0.0000,0.6667,1.533815
1.547360,1,0x02,0.0000,0.8333,1.536821
1.547360,2,0x03,0.0000,0.2222,1.527798
1.547360,3,0x04,0.0000,0.6667,1.530823
1.548445,0,0x01,0.0000,0.6667,1.533815
1.548445,1,0x02,0.0000,0.8333,1.536821
1.548445,2,0x03,0.0000,0.2222,1.527798
1.548445,3,0x04,0.0000,0.6667,1.530823
1.549513,0,0x01,0.0000,0.6667,1.533815
1.549513,1,0x02,0.0000,0.8333,1.536821
1.549513,2,0x03,0.0000,0.2222,1.527798
1.549513,3,0x04,0.0000,0.6667,1.530823
1.556344,0,0x01,0.0000,0.6667,1.533815
1.556344,1,0x02,0.0000,0.8333,1.536821
1.556344,2,0x03,0.0000,0.2222,1.527798
1.556344,3,0x04,0.0000,0.6667,1.530823
1.557437,0,0x01,0.0000,0.6667,1.533815
1.557437,1,0x02,0.0000,0.8333,1.536821
1.557437,2,0x03,0.0000,0.2222,1.527798
1.557437,3,0x04,0.0000,0.6667,1.530823
1.558502,0,0x01,0.0000,0.6667,1.533815
1.558502,1,0x02,0.0000,0.8333,1.536821
1.558502,2,0x03,0.0000,0.2222,1.527798
1.558502,3,0x04,0.0000,0.6667,1.530823
1.559576,0,0x01,0.0000,0.6667,1.533815
1.559576,1,0x02,0.0000,0.8333,1.536821
1.559576,2,0x03,0.0000,0.2222,1.527798
1.559576,3,0x04,0.0000,0.6667,1.530823
1.565380,0,0x01,0.0000,0.6667,1.533815
1.565380,1,0x02,0.0000,0.8333,1.536821
1.565380,2,0x03,0.0000,0.2222,1.527798
1.565380,3,0x04,0.0000,0.6667,1.530823
1.566485,0,0x01,0.0000,0.6667,1.533815
1.566485,1,0x02,0.0000,0.8333,1.536821
1.566485,2,0x03,0.0000,0.2222,1.527798
1.566485,3,0x04,0.0000,0.6667,1.530823
1.567558,0,0x01,0.0000,0.6667,1.533815
1.567558,1,0x02,0.0000,0.8333,1.536821
1.567558,2,0x03,0.0000,0.2222,1.527798
1.567558,3,0x04,0.0000,0.6667,1.530823
1.568630,0,0x01,0.0000,0.6667,1.533815
1.568630,1,0x02,0.0000,0.8333,1.536821
1.568630,2,0x03,0.0000,0.2222,1.527798
1.568630,3,0x04,0.0000,0.6667,1.530823
1.576452,0,0x01,0.0000,1.1111,1.574829
1.576452,1,0x02,0.0000,1.1111,1.575817
1.576452,2,0x03,0.0000,0.2222,1.527798
1.576452,3,0x04,0.0000,1.1111,1.573825
1.577531,0,0x01,0.0000,1.1111,1.574829
1.577531,1,0x02,0.0000,1.1111,1.575817
1.577531,2,0x03,0.0000,1.0556,1.576804
1.577531,3,0x04,0.0000,1.1111,1.573825
1.578615,0,0x01,0.0000,1.1111,1.577787
1.578615,1,0x02,0.0000,1.1111,1.575817
1.578615,2,0x03,0.0000,1.0556,1.576804
1.578615,3,0x04,0.0000,1.1111,1.573825
1.585971,0,0x01,0.0000,1.1111,1.584824
1.585971,1,0x02,0.0000,1.1111,1.578802
1.585971,2,0x03,0.0000,1.0556,1.582837
1.585971,3,0x04,0.0000,1.0556,1.583814
1.587058,0,0x01,0.0000,1.1111,1.584824
1.587058,1,0x02,0.0000,1.1111,1.578802
1.587058,2,0x03,0.0000,1.0556,1.582837
1.587058,3,0x04,0.0000,1.0556,1.583814
1.588134,0,0x01,0.0000,1.1111,1.584824
1.588134,1,0x02,0.0000,1.1111,1.578802
1.588134,2,0x03,0.0000,1.0556,1.582837
1.588134,3,0x04,0.0000,1.0556,1.583814
1.589207,0,0x01,0.0000,1.1111,1.584824
1.589207,1,0x02,0.0000,1.1111,1.578802
1.589207,2,0x03,0.0000,1.0556,1.582837
1.589207,3,0x04,0.0000,1.0556,1.583814
1.597357,0,0x01,0.0000,1.1111,1.584824
1.597357,1,0x02,0.0000,1.1111,1.578802
1.597357,2,0x03,0.0000,1.0556,1.582837
1.597357,3,0x04,0.0000,1.0556,1.583814
1.598469,0,0x01,0.0000,1.1111,1.584824
1.598469,1,0x02,0.0000,1.1111,1.578802
1.598469,2,0x03,0.0000,1.0556,1.582837
1.598469,3,0x04,0.0000,1.0556,1.583814
1.599552,0,0x01,0.0000,1.1111,1.584824
1.599552,1,0x02,0.0000,1.1111,1.578802
1.599552,2,0x03,0.0000,1.0556,1.582837
1.599552,3,0x04,0.0000,1.0556,1.583814
1.606355,0,0x01,0.0000,1.1111,1.584824
1.606355,1,0x02,0.0000,1.1111,1.578802
1.606355,2,0x03,0.0000,1.0556,1.582837
1.606355,3,0x04,0.0000,1.0556,1.583814
