t_s,servo_idx,node_id,cmd_deg,fb_deg,t_fb_arrival_s
1.509138,0,0x01,0.0000,0.1111,1.500601
1.509138,1,0x02,0.0000,0.0556,1.504676
1.509138,2,0x03,0.0000,0.1111,1.505616
1.509138,3,0x04,0.0000,0.0556,1.499634
1.510216,0,0x01,0.0000,0.1111,1.500601
1.510216,1,0x02,0.0000,0.0556,1.504676
1.510216,2,0x03,0.0000,0.1111,1.505616
1.510216,3,0x04,0.0000,0.0556,1.499634
1.511293,0,0x01,0.0000,0.1111,1.500601
1.511293,1,0x02,0.0000,0.0556,1.504676
1.511293,2,0x03,0.0000,0.1111,1.505616
1.511293,3,0x04,0.0000,0.0556,1.499634
1.512364,0,0x01,0.0000,0.1111,1.500601
1.512364,1,0x02,0.0000,0.0556,1.504676
1.512364,2,0x03,0.0000,0.1111,1.505616
1.512364,3,0x04,0.0000,0.0556,1.499634
1.521196,0,0x01,0.0000,0.1111,1.500601
1.521196,1,0x02,0.0000,0.0556,1.504676
1.521196,2,0x03,0.0000,0.1111,1.505616
1.521196,3,0x04,0.0000,0.0556,1.499634
1.522267,0,0x01,0.0000,0.1111,1.500601
1.522267,1,0x02,0.0000,0.0556,1.504676
1.522267,2,0x03,0.0000,0.1111,1.505616
1.522267,3,0x04,0.0000,0.0556,1.499634
1.529989,0,0x01,0.0000,0.1111,1.500601
1.529989,1,0x02,0.0000,0.0556,1.504676
1.529989,2,0x03,0.0000,0.1111,1.505616
1.529989,3,0x04,0.0000,0.0556,1.499634
1.531085,0,0x01,0.0000,0.1111,1.500601
1.531085,1,0x02,0.0000,0.0556,1.504676
1.531085,2,0x03,0.0000,0.1111,1.505616
1.531085,3,0x04,0.0000,0.0556,1.499634
1.532157,0,0x01,0.0000,0.1111,1.500601
1.532157,1,0x02,0.0000,0.0556,1.504676
1.532157,2,0x03,0.0000,0.1111,1.505616
1.532157,3,0x04,0.0000,0.0556,1.499634
1.539980,0,0x01,0.0000,0.1111,1.500601
1.539980,1,0x02,0.0000,0.0556,1.504676
1.539980,2,0x03,0.0000,0.1111,1.505616
1.539980,3,0x04,0.0000,0.0556,1.499634
1.541058,0,0x01,0.0000,0.1111,1.500601
1.541058,1,0x02,0.0000,0.0556,1.504676
1.541058,2,0x03,0.0000,0.1111,1.505616
1.541058,3,0x04,0.0000,0.0556,1.499634
1.542119,0,0x01,0.0000,0.1111,1.500601
1.542119,1,0x02,0.0000,0.0556,1.504676
1.542119,2,0x03,0.0000,0.1111,1.505616
1.542119,3,0x04,0.0000,0.0556,1.499634
1.548972,0,0x01,0.0000,0.1111,1.500601
1.548972,1,0x02,0.0000,0.0556,1.504676
1.548972,2,0x03,0.0000,0.1111,1.505616
1.548972,3,0x04,0.0000,0.0556,1.499634
1.550043,0,0x01,0.0000,0.1111,1.500601
1.550043,1,0x02,0.0000,0.0556,1.504676
1.550043,2,0x03,0.0000,0.1111,1.505616
1.550043,3,0x04,0.0000,0.0556,1.499634
1.551110,0,0x01,0.0000,0.1111,1.500601
1.551110,1,0x02,0.0000,0.0556,1.504676
1.551110,2,0x03,0.0000,0.1111,1.505616
1.551110,3,0x04,0.0000,0.0556,1.499634
1.552207,0,0x01,0.0000,0.1111,1.551447
1.552207,1,0x02,0.0000,0.0556,1.504676
1.552207,2,0x03,0.0000,0.1111,1.505616
1.552207,3,0x04,0.0000,0.0556,1.499634
1.558052,0,0x01,0.0000,1.2778,1.554488
1.558052,1,0x02,0.0000,0.0556,1.555464
1.558052,2,0x03,0.0000,0.1111,1.556442
1.558052,3,0x04,0.0000,0.0556,1.557462
1.559126,0,0x01,0.0000,1.2778,1.554488
1.559126,1,0x02,0.0000,0.0556,1.558448
1.559126,2,0x03,0.0000,0.1111,1.556442
1.559126,3,0x04,0.0000,0.0556,1.557462
1.560196,0,0x01,0.0000,1.2778,1.554488
1.560196,1,0x02,0.0000,0.0556,1.558448
1.560196,2,0x03,0.0000,0.1111,1.559429
1.560196,3,0x04,0.0000,0.0556,1.557462
1.561266,0,0x01,0.0000,1.2778,1.554488
1.561266,1,0x02,0.0000,0.0556,1.558448
1.561266,2,0x03,0.0000,0.1111,1.559429
1.561266,3,0x04,0.0000,0.0556,1.560429
1.562354,0,0x01,0.0000,1.2222,1.561431
1.562354,1,0x02,0.0000,0.0556,1.558448
