edge_idx,cycle_idx,direction,delay_ms,tau_ms,overshoot_pct,settling_ms,final_err_deg,samples
0,0,up,100.0840,,4.5321,,0.1111,100
1,0,down,68.3820,,2.7475,152.1680,-0.1111,109
2,1,up,19.3910,48.7050,1.6487,110.9650,0.1667,102
3,1,down,67.4050,49.9380,2.1965,165.2030,-0.1111,104
4,2,up,50.1590,52.0790,1.6487,117.9420,0.1111,103
5,2,down,73.0920,1.9200,1.6459,121.0690,-0.1111,96
6,3,up,57.1880,6.0110,2.1976,138.3190,0.1111,104
7,3,down,66.2970,,2.7475,148.1530,-0.1111,101
8,4,up,55.4150,,1.6478,152.0670,0.1667,95
9,4,down,68.4630,13.8350,2.1928,160.2540,-0.1111,95
10,5,up,21.1820,50.3510,1.6487,111.4450,0.1111,106
11,5,down,52.3790,75.7750,3.8463,224.2350,-0.1111,100
12,6,up,56.2350,,1.6487,120.2530,0.1111,100
13,6,down,30.2050,42.0490,3.2964,197.1470,-0.0556,98
14,7,up,57.2620,0.9490,1.6512,117.2490,0.1111,113
15,7,down,50.2680,6.0150,3.2934,146.2090,-0.1111,112
16,8,up,32.3980,49.8850,1.6494,122.1640,0.1111,107
17,8,down,31.9860,65.0130,2.1959,162.2040,-0.1111,106
18,9,up,51.0030,80.0660,2.1976,165.3680,0.1667,111
19,9,down,25.2990,43.1030,3.2898,178.1900,-0.1111,106
20,10,up,83.1840,,1.6487,170.2170,0.1111,109
21,10,down,24.0210,35.9960,2.1952,167.2780,-0.1111,110
22,11,up,21.2790,46.9240,1.6487,112.1430,0.1111,110
23,11,down,43.7790,44.6140,-0.5499,110.2410,0.1111,97
24,12,up,56.3100,,1.6851,98.3060,0.1111,102
25,12,down,24.1570,35.0980,2.7475,168.0530,-0.1111,123
26,13,up,28.5180,34.9060,1.6487,126.4070,0.1111,119
27,13,down,55.2370,,1.0983,153.4550,-0.1111,110
28,14,up,19.4370,50.8350,1.6487,128.4500,0.1111,105
29,14,down,41.3480,21.9480,2.7475,161.0760,-0.1111,111
30,15,up,19.3740,42.8420,1.6496,116.0480,0.1111,91
31,15,down,18.4880,42.9150,3.2964,148.0500,-0.1111,102
32,16,up,24.4310,53.0510,1.6494,127.5930,0.1111,107
33,16,down,44.4330,80.0170,2.7447,210.4260,-0.1111,98
34,17,up,22.3330,34.9430,2.1976,162.2030,0.1111,107
35,17,down,27.3930,41.0600,2.7450,178.4540,-0.1111,110
36,18,up,22.4820,45.7510,1.6487,152.5970,0.1667,107
37,18,down,88.3520,2.0400,3.2924,175.0680,-0.1111,102
38,19,up,21.0770,57.0130,1.6487,135.3820,0.1111,103
39,19,down,20.1680,53.4450,1.0983,102.2680,-0.1111,108
40,20,up,21.4240,34.8620,1.6487,121.2130,0.1111,95
41,20,down,53.0880,50.9970,1.0978,104.0850,-0.1111,96
42,21,up,46.3730,41.9370,2.1976,128.3490,0.1111,103
43,21,down,46.2020,41.0940,2.1976,146.4260,-0.0556,110
44,22,up,24.3210,39.9930,1.6509,146.5330,0.1111,108
45,22,down,18.5590,41.9230,2.7475,150.4760,-0.0556,103
46,23,up,81.3960,1.0400,1.6514,186.3500,0.1111,100
47,23,down,43.7290,46.8290,3.2928,183.5570,-0.1111,110
48,24,up,31.1120,57.1160,1.6487,148.4760,0.1111,95
49,24,down,19.4220,43.1320,1.0988,111.7810,-0.1111,102
50,25,up,50.1780,51.9370,1.6487,117.1130,0.1111,104
51,25,down,31.6110,30.8260,1.0972,102.3730,-0.1111,103
52,26,up,22.1270,33.0020,2.1976,171.4090,0.1111,95
53,26,down,82.5860,,1.0988,126.6280,-0.1111,99
54,27,up,24.3440,55.9800,2.1976,132.2860,0.1111,115
55,27,down,26.3320,68.9100,3.2949,160.3380,-0.1111,99
56,28,up,34.3700,53.0610,1.6498,124.7150,0.1111,95
57,28,down,26.6160,41.6550,1.6477,131.4330,-0.1111,109
58,29,up,80.7530,1.9910,1.6487,138.4450,0.1111,89
59,29,down,21.4360,49.9520,1.0979,,5.1111,150
