t_s,servo_idx,node_id,cmd_deg,fb_deg,t_fb_arrival_s
1.296518,0,0x01,0.0000,0.1111,1.289848
1.297601,0,0x01,0.0000,0.1111,1.289848
1.298681,0,0x01,0.0000,0.1111,1.289848
1.299758,0,0x01,0.0000,0.1111,1.289848
1.300848,0,0x01,0.0000,0.1111,1.289848
1.301921,0,0x01,0.0000,0.1111,1.289848
1.302984,0,0x01,0.0000,0.1111,1.289848
1.304052,0,0x01,0.0000,0.1111,1.289848
1.306513,0,0x01,0.0000,0.1111,1.289848
1.307578,0,0x01,0.0000,0.1111,1.289848
1.308679,0,0x01,0.0000,0.1111,1.308190
1.309737,0,0x01,0.0000,0.1111,1.308190
1.310800,0,0x01,0.0000,0.1111,1.308190
1.311886,0,0x01,0.0000,0.0556,1.310962
1.312972,0,0x01,0.0000,0.0556,1.310962
1.314037,0,0x01,0.0000,0.0556,1.310962
1.317593,0,0x01,0.0000,0.0556,1.310962
1.318692,0,0x01,0.0000,0.1667,1.318011
1.319765,0,0x01,0.0000,0.1667,1.318011
1.320839,0,0x01,0.0000,0.1667,1.318011
1.321911,0,0x01,0.0000,0.1667,1.318011
1.323002,0,0x01,0.0000,0.1667,1.318011
1.324074,0,0x01,0.0000,0.1667,1.318011
1.326472,0,0x01,0.0000,0.1111,1.324946
1.327529,0,0x01,0.0000,0.1111,1.324946
1.328586,0,0x01,0.0000,0.1111,1.324946
1.329644,0,0x01,0.0000,0.1111,1.324946
1.330703,0,0x01,0.0000,0.1111,1.324946
1.331745,0,0x01,0.0000,0.1111,1.324946
1.333005,0,0x01,0.0000,0.6667,1.331867
1.334094,0,0x01,0.0000,0.6667,1.331867
1.336536,0,0x01,0.0000,0.6667,1.331867
1.337612,0,0x01,0.0000,0.6667,1.331867
1.338681,0,0x01,0.0000,0.6667,1.331867
1.339780,0,0x01,0.0000,0.6667,1.338839
1.340846,0,0x01,0.0000,0.6667,1.338839
1.341911,0,0x01,0.0000,0.6667,1.338839
1.342996,0,0x01,0.0000,0.6667,1.338839
1.344061,0,0x01,0.0000,0.6667,1.338839
1.346433,0,0x01,0.0000,0.6667,1.338839
1.347491,0,0x01,0.0000,0.6667,1.338839
1.348553,0,0x01,0.0000,0.6667,1.338839
1.349711,0,0x01,0.0000,0.6667,1.338839
1.350774,0,0x01,0.0000,0.6667,1.338839
1.351852,0,0x01,0.0000,0.6667,1.338839
1.352914,0,0x01,0.0000,0.6667,1.338839
1.353984,0,0x01,0.0000,0.6667,1.338839
1.356481,0,0x01,0.0000,0.6667,1.338839
1.357559,0,0x01,0.0000,1.2222,1.356800
1.358617,0,0x01,0.0000,1.2222,1.356800
1.359700,0,0x01,0.0000,1.2222,1.359072
1.360768,0,0x01,0.0000,1.2222,1.359072
1.361828,0,0x01,0.0000,1.2222,1.359072
1.362887,0,0x01,0.0000,1.2222,1.359072
1.363945,0,0x01,0.0000,1.2222,1.359072
1.366524,0,0x01,0.0000,1.1667,1.365860
1.367598,0,0x01,0.0000,1.1667,1.365860
1.368673,0,0x01,0.0000,1.1667,1.365860
1.369739,0,0x01,0.0000,1.1667,1.365860
1.370800,0,0x01,0.0000,1.1667,1.365860
1.371865,0,0x01,0.0000,1.1667,1.365860
1.373022,0,0x01,0.0000,1.1111,1.372945
1.374091,0,0x01,0.0000,1.1111,1.372945
1.376457,0,0x01,0.0000,1.1111,1.372945
1.377533,0,0x01,0.0000,1.1111,1.372945
1.378598,0,0x01,0.0000,1.1111,1.372945
1.379661,0,0x01,0.0000,1.1111,1.372945
1.380757,0,0x01,0.0000,1.1111,1.379910
1.381819,0,0x01,0.0000,1.1111,1.379910
1.382886,0,0x01,0.0000,1.1111,1.379910
1.383960,0,0x01,0.0000,1.1111,1.379910
1.386471,0,0x01,0.0000,1.1111,1.379910
1.387550,0,0x01,0.0000,1.1111,1.386895
1.388608,0,0x01,0.0000,1.1111,1.386895
1.389671,0,0x01,0.0000,1.1111,1.386895
1.390743,0,0x01,0.0000,1.1111,1.386895
1.391807,0,0x01,0.0000,1.1111,1.386895
1.392869,0,0x01,0.0000,1.1111,1.386895
1.393939,0,0x01,0.0000,1.1111,1.386895
1.396481,0,0x01,0.0000,1.1111,1.386895
1.397548,0,0x01,0.0000,1.1111,1.386895
1.398622,0,0x01,0.0000,1.1111,1.386895
1.399688,0,0x01,0.0000,1.1111,1.386895
1.400756,0,0x01,0.0000,1.1111,1.386895
1.401832,0,0x01,0.0000,1.1111,1.386895
1.402944,0,0x01,0.0000,1.1111,1.386895
1.404045,0,0x01,0.0000,1.1111,1.386895
1.407498,0,0x01,0.0000,1.1111,1.386895
1.408565,0,0x01,0.0000,1.1111,1.386895
1.409623,0,0x01,0.0000,1.1111,1.386895
1.410680,0,0x01,0.0000,1.1111,1.386895
1.411748,0,0x01,0.0000,1.1111,1.386895
1.412810,0,0x01,0.0000,1.1111,1.386895
1.413876,0,0x01,0.0000,1.1111,1.386895
1.416511,0,0x01,0.0000,1.1111,1.386895
1.417593,0,0x01,0.0000,1.1111,1.386895
1.418664,0,0x01,0.0000,1.1111,1.386895
1.419728,0,0x01,0.0000,1.1111,1.386895
1.420798,0,0x01,0.0000,1.1111,1.386895
1.421867,0,0x01,0.0000,1.1111,1.386895
1.422933,0,0x01,0.0000,1.1111,1.386895
