t_s,servo_idx,node_id,cmd_deg,fb_deg
1.959808,0,0x01,0.0000,0.0556
1.959808,1,0x02,0.0000,0.0556
1.959808,2,0x03,0.0000,0.0556
1.959808,3,0x04,0.0000,0.1111
1.967714,0,0x01,0.0000,0.0556
1.967714,1,0x02,0.0000,0.0556
1.967714,2,0x03,0.0000,0.1111
1.967714,3,0x04,0.0000,0.1111
1.968847,0,0x01,0.0000,0.0556
1.968847,1,0x02,0.0000,0.0556
1.968847,2,0x03,0.0000,0.1111
1.968847,3,0x04,0.0000,0.1111
1.969925,0,0x01,0.0000,0.0556
1.969925,1,0x02,0.0000,0.0556
1.969925,2,0x03,0.0000,0.1111
1.969925,3,0x04,0.0000,0.0556
1.977372,0,0x01,0.0000,0.0556
1.977372,1,0x02,0.0000,0.0556
1.977372,2,0x03,0.0000,0.1111
1.977372,3,0x04,0.0000,0.0556
1.978477,0,0x01,0.0000,0.0556
1.978477,1,0x02,0.0000,0.0556
1.978477,2,0x03,0.0000,0.1111
1.978477,3,0x04,0.0000,0.0556
1.979584,0,0x01,0.0000,0.0556
1.979584,1,0x02,0.0000,0.0556
1.979584,2,0x03,0.0000,0.1111
1.979584,3,0x04,0.0000,0.0556
1.980671,0,0x01,0.0000,0.0556
1.980671,1,0x02,0.0000,0.0556
1.980671,2,0x03,0.0000,0.1111
1.980671,3,0x04,0.0000,0.0556
1.988280,0,0x01,0.0000,0.0556
1.988280,1,0x02,0.0000,0.0556
1.988280,2,0x03,0.0000,0.1111
1.988280,3,0x04,0.0000,0.0556
1.989365,0,0x01,0.0000,0.0556
1.989365,1,0x02,0.0000,0.0556
1.989365,2,0x03,0.0000,0.1111
1.989365,3,0x04,0.0000,0.0556
1.990440,0,0x01,0.0000,0.0556
1.990440,1,0x02,0.0000,0.0556
1.990440,2,0x03,0.0000,0.1111
1.990440,3,0x04,0.0000,0.0556
1.998292,0,0x01,0.0000,0.0556
1.998292,1,0x02,0.0000,0.0556
1.998292,2,0x03,0.0000,0.1111
1.998292,3,0x04,0.0000,0.0556
1.999362,0,0x01,0.0000,0.0556
1.999362,1,0x02,0.0000,0.0556
1.999362,2,0x03,0.0000,0.1111
1.999362,3,0x04,0.0000,0.0556
2.000434,0,0x01,0.0000,0.0556
2.000434,1,0x02,0.0000,0.0556
2.000434,2,0x03,0.0000,0.1111
2.000434,3,0x04,0.0000,0.0556
2.008304,0,0x01,0.0000,0.0556
2.008304,1,0x02,0.0000,0.0556
2.008304,2,0x03,0.0000,0.1111
2.008304,3,0x04,0.0000,0.0556
2.009369,0,0x01,0.0000,0.0556
2.009369,1,0x02,0.0000,0.0556
2.009369,2,0x03,0.0000,0.1111
2.009369,3,0x04,0.0000,0.0556
2.010462,0,0x01,0.0000,0.0556
2.010462,1,0x02,0.0000,0.0556
2.010462,2,0x03,0.0000,0.1111
2.010462,3,0x04,0.0000,0.0556
2.018427,0,0x01,0.0000,0.0556
2.018427,1,0x02,0.0000,0.0556
2.018427,2,0x03,0.0000,0.1111
2.018427,3,0x04,0.0000,0.0556
2.019522,0,0x01,0.0000,0.0556
2.019522,1,0x02,0.0000,0.0556
