t_s,servo_idx,node_id,cmd_deg,fb_deg,t_fb_arrival_s
1.452389,0,0x01,0.0000,0.0556,1.441859
1.452389,1,0x02,0.0000,0.0556,1.437867
1.452389,2,0x03,0.0000,0.0556,1.442846
1.452389,3,0x04,0.0000,0.0556,1.438856
1.453461,0,0x01,0.0000,0.0556,1.441859
1.453461,1,0x02,0.0000,0.0556,1.437867
1.453461,2,0x03,0.0000,0.0556,1.442846
1.453461,3,0x04,0.0000,0.0556,1.438856
1.454527,0,0x01,0.0000,0.0556,1.441859
1.454527,1,0x02,0.0000,0.0556,1.437867
1.454527,2,0x03,0.0000,0.0556,1.442846
1.454527,3,0x04,0.0000,0.0556,1.438856
1.455598,0,0x01,0.0000,0.0556,1.441859
1.455598,1,0x02,0.0000,0.0556,1.437867
1.455598,2,0x03,0.0000,0.0556,1.442846
1.455598,3,0x04,0.0000,0.0556,1.438856
1.461385,0,0x01,0.0000,0.0556,1.441859
1.461385,1,0x02,0.0000,0.0556,1.437867
1.461385,2,0x03,0.0000,0.0556,1.442846
1.461385,3,0x04,0.0000,0.0556,1.438856
1.462458,0,0x01,0.0000,0.0556,1.441859
1.462458,1,0x02,0.0000,0.0556,1.437867
1.462458,2,0x03,0.0000,0.0556,1.442846
1.462458,3,0x04,0.0000,0.0556,1.438856
1.463526,0,0x01,0.0000,0.0556,1.441859
1.463526,1,0x02,0.0000,0.0556,1.437867
1.463526,2,0x03,0.0000,0.0556,1.442846
1.463526,3,0x04,0.0000,0.0556,1.438856
1.464592,0,0x01,0.0000,0.0556,1.441859
1.464592,1,0x02,0.0000,0.0556,1.437867
1.464592,2,0x03,0.0000,0.0556,1.442846
1.464592,3,0x04,0.0000,0.0556,1.438856
1.465662,0,0x01,0.0000,0.0556,1.441859
1.465662,1,0x02,0.0000,0.0556,1.437867
1.465662,2,0x03,0.0000,0.0556,1.442846
1.465662,3,0x04,0.0000,0.0556,1.438856
1.473505,0,0x01,0.0000,0.0556,1.441859
1.473505,1,0x02,0.0000,0.0556,1.437867
1.473505,2,0x03,0.0000,0.0556,1.442846
1.473505,3,0x04,0.0000,0.0556,1.438856
1.474678,0,0x01,0.0000,0.0556,1.441859
1.474678,1,0x02,0.0000,0.0556,1.437867
1.474678,2,0x03,0.0000,0.0556,1.442846
1.474678,3,0x04,0.0000,0.0556,1.438856
1.475771,0,0x01,0.0000,0.0556,1.441859
1.475771,1,0x02,0.0000,0.0556,1.437867
1.475771,2,0x03,0.0000,0.0556,1.442846
1.475771,3,0x04,0.0000,0.0556,1.438856
1.483496,0,0x01,0.0000,0.0556,1.480919
1.483496,1,0x02,0.0000,0.0556,1.481887
1.483496,2,0x03,0.0000,0.0556,1.482878
1.483496,3,0x04,0.0000,0.0556,1.438856
1.484577,0,0x01,0.0000,0.0556,1.480919
1.484577,1,0x02,0.0000,0.0556,1.481887
1.484577,2,0x03,0.0000,0.0556,1.482878
1.484577,3,0x04,0.0000,0.0556,1.438856
1.485653,0,0x01,0.0000,0.0556,1.484868
1.485653,1,0x02,0.0000,0.0556,1.481887
1.485653,2,0x03,0.0000,0.0556,1.482878
1.485653,3,0x04,0.0000,0.0556,1.438856
1.492512,0,0x01,0.0000,0.1667,1.490893
1.492512,1,0x02,0.0000,0.1111,1.488862
1.492512,2,0x03,0.0000,0.0556,1.482878
1.492512,3,0x04,0.0000,0.1111,1.489920
1.493591,0,0x01,0.0000,0.1667,1.490893
1.493591,1,0x02,0.0000,0.1111,1.488862
1.493591,2,0x03,0.0000,0.0556,1.482878
1.493591,3,0x04,0.0000,0.1111,1.489920
1.494666,0,0x01,0.0000,0.1667,1.490893
1.494666,1,0x02,0.0000,0.1111,1.488862
1.494666,2,0x03,0.0000,0.0556,1.482878
1.494666,3,0x04,0.0000,0.1111,1.489920
1.495744,0,0x01,0.0000,0.1667,1.490893
1.495744,1,0x02,0.0000,0.1111,1.488862
1.495744,2,0x03,0.0000,0.0556,1.482878
1.495744,3,0x04,0.0000,0.1111,1.489920
1.504394,0,0x01,0.0000,0.1667,1.490893
1.504394,1,0x02,0.0000,0.1111,1.488862
1.504394,2,0x03,0.0000,0.0556,1.482878
1.504394,3,0x04,0.0000,0.1111,1.489920
1.505467,0,0x01,0.0000,0.1667,1.490893
1.505467,1,0x02,0.0000,0.1111,1.488862
1.505467,2,0x03,0.0000,0.0556,1.482878
1.505467,3,0x04,0.0000,0.1111,1.489920
1.512411,0,0x01,0.0000,0.1667,1.490893
1.512411,1,0x02,0.0000,0.1111,1.488862
1.512411,2,0x03,0.0000,0.0556,1.482878
1.512411,3,0x04,0.0000,0.1111,1.489920
1.513487,0,0x01,0.0000,0.1667,1.490893
1.513487,1,0x02,0.0000,0.1111,1.488862
1.513487,2,0x03,0.0000,0.0556,1.482878
1.513487,3,0x04,0.0000,0.1111,1.489920
1.514552,0,0x01,0.0000,0.1667,1.490893
1.514552,1,0x02,0.0000,0.1111,1.488862
1.514552,2,0x03,0.0000,0.0556,1.482878
1.514552,3,0x04,0.0000,0.1111,1.489920
1.515625,0,0x01,0.0000,0.1667,1.490893
1.515625,1,0x02,0.0000,0.1111,1.488862
1.515625,2,0x03,0.0000,0.0556,1.482878
1.515625,3,0x04,0.0000,0.1111,1.489920
1.521393,0,0x01,0.0000,0.1667,1.490893
1.521393,1,0x02,0.0000,0.1111,1.488862
1.521393,2,0x03,0.0000,0.0556,1.482878
1.521393,3,0x04,0.0000,0.1111,1.489920
1.522467,0,0x01,0.0000,0.1667,1.490893
1.522467,1,0x02,0.0000,0.1111,1.488862
1.522467,2,0x03,0.0000,0.0556,1.482878
1.522467,3,0x04,0.0000,0.1111,1.489920
1.523533,0,0x01,0.0000,0.1667,1.490893
1.523533,1,0x02,0.0000,0.1111,1.488862
1.523533,2,0x03,0.0000,0.0556,1.482878
