t_s,servo_idx,node_id,cmd_deg,fb_deg,t_fb_arrival_s
1.452814,0,0x01,0.0000,0.1111,1.438336
1.452814,1,0x02,0.0000,0.0556,1.432280
1.452814,2,0x03,0.0000,-0.1667,1.439237
1.452814,3,0x04,0.0000,0.1111,1.435347
1.453938,0,0x01,0.0000,0.1111,1.453270
1.453938,1,0x02,0.0000,0.0556,1.432280
1.453938,2,0x03,0.0000,-0.1667,1.439237
1.453938,3,0x04,0.0000,0.1111,1.435347
1.455031,0,0x01,0.0000,0.1111,1.453270
1.455031,1,0x02,0.0000,0.0556,1.432280
1.455031,2,0x03,0.0000,-0.1667,1.454245
1.455031,3,0x04,0.0000,0.1111,1.435347
1.461841,0,0x01,0.0000,0.1111,1.458256
1.461841,1,0x02,0.0000,0.1111,1.460267
1.461841,2,0x03,0.0000,-0.1667,1.454245
1.461841,3,0x04,0.0000,0.1111,1.455236
1.462903,0,0x01,0.0000,0.1111,1.458256
1.462903,1,0x02,0.0000,0.1111,1.460267
1.462903,2,0x03,0.0000,-0.1667,1.454245
1.462903,3,0x04,0.0000,0.1111,1.455236
1.463970,0,0x01,0.0000,0.1111,1.458256
1.463970,1,0x02,0.0000,0.1111,1.460267
1.463970,2,0x03,0.0000,-0.1667,1.454245
1.463970,3,0x04,0.0000,0.1111,1.455236
1.465096,0,0x01,0.0000,0.1111,1.458256
1.465096,1,0x02,0.0000,0.1111,1.460267
1.465096,2,0x03,0.0000,-0.0556,1.464268
1.465096,3,0x04,0.0000,0.1111,1.455236
1.472861,0,0x01,0.0000,0.5556,1.470279
1.472861,1,0x02,0.0000,0.2778,1.472287
1.472861,2,0x03,0.0000,-0.0556,1.464268
1.472861,3,0x04,0.0000,0.2778,1.467288
1.473928,0,0x01,0.0000,0.5556,1.470279
1.473928,1,0x02,0.0000,0.2778,1.472287
1.473928,2,0x03,0.0000,-0.0556,1.464268
1.473928,3,0x04,0.0000,0.2778,1.467288
1.474991,0,0x01,0.0000,0.5556,1.470279
1.474991,1,0x02,0.0000,0.2778,1.472287
1.474991,2,0x03,0.0000,-0.0556,1.464268
1.474991,3,0x04,0.0000,0.2778,1.467288
1.482058,0,0x01,0.0000,0.5556,1.481271
1.482058,1,0x02,0.0000,0.2778,1.472287
1.482058,2,0x03,0.0000,0.1667,1.475258
1.482058,3,0x04,0.0000,0.4444,1.478282
1.483204,0,0x01,0.0000,0.5556,1.481271
1.483204,1,0x02,0.0000,0.2778,1.472287
1.483204,2,0x03,0.0000,0.1667,1.475258
1.483204,3,0x04,0.0000,0.4444,1.478282
1.484564,0,0x01,0.0000,0.5556,1.481271
1.484564,1,0x02,0.0000,0.8889,1.484255
1.484564,2,0x03,0.0000,0.1667,1.475258
1.484564,3,0x04,0.0000,0.4444,1.478282
1.492798,0,0x01,0.0000,0.5556,1.481271
1.492798,1,0x02,0.0000,0.8889,1.484255
1.492798,2,0x03,0.0000,0.1667,1.475258
1.492798,3,0x04,0.0000,0.4444,1.478282
1.493880,0,0x01,0.0000,0.5556,1.481271
1.493880,1,0x02,0.0000,0.8889,1.484255
1.493880,2,0x03,0.0000,0.1667,1.475258
1.493880,3,0x04,0.0000,0.4444,1.478282
1.494952,0,0x01,0.0000,0.5556,1.481271
1.494952,1,0x02,0.0000,0.8889,1.484255
1.494952,2,0x03,0.0000,0.1667,1.475258
1.494952,3,0x04,0.0000,0.4444,1.478282
1.501831,0,0x01,0.0000,1.1111,1.500272
1.501831,1,0x02,0.0000,0.8889,1.484255
1.501831,2,0x03,0.0000,1.2222,1.501257
1.501831,3,0x04,0.0000,1.0000,1.499267
1.502915,0,0x01,0.0000,1.1111,1.500272
1.502915,1,0x02,0.0000,0.8889,1.484255
1.502915,2,0x03,0.0000,1.2222,1.501257
1.502915,3,0x04,0.0000,1.0000,1.499267
1.503977,0,0x01,0.0000,1.1111,1.500272
1.503977,1,0x02,0.0000,0.8889,1.484255
1.503977,2,0x03,0.0000,1.2222,1.501257
1.503977,3,0x04,0.0000,1.0000,1.499267
1.505066,0,0x01,0.0000,1.1111,1.500272
1.505066,1,0x02,0.0000,0.8889,1.484255
1.505066,2,0x03,0.0000,1.2222,1.501257
1.505066,3,0x04,0.0000,1.0000,1.504250
1.512845,0,0x01,0.0000,1.1111,1.507271
1.512845,1,0x02,0.0000,1.1111,1.509260
1.512845,2,0x03,0.0000,1.1111,1.512273
1.512845,3,0x04,0.0000,1.0000,1.504250
1.513927,0,0x01,0.0000,1.1111,1.507271
1.513927,1,0x02,0.0000,1.1111,1.509260
1.513927,2,0x03,0.0000,1.1111,1.512273
1.513927,3,0x04,0.0000,1.0000,1.504250
1.515007,0,0x01,0.0000,1.1111,1.507271
1.515007,1,0x02,0.0000,1.1111,1.509260
1.515007,2,0x03,0.0000,1.1111,1.512273
1.515007,3,0x04,0.0000,1.0000,1.504250
1.521875,0,0x01,0.0000,1.1111,1.518267
1.521875,1,0x02,0.0000,1.1111,1.520270
1.521875,2,0x03,0.0000,1.1111,1.512273
1.521875,3,0x04,0.0000,1.0000,1.515262
1.522955,0,0x01,0.0000,1.1111,1.518267
1.522955,1,0x02,0.0000,1.1111,1.520270
1.522955,2,0x03,0.0000,1.1111,1.512273
1.522955,3,0x04,0.0000,1.0000,1.515262
1.524042,0,0x01,0.0000,1.1111,1.518267
1.524042,1,0x02,0.0000,1.1111,1.520270
1.524042,2,0x03,0.0000,1.1111,1.512273
1.524042,3,0x04,0.0000,1.0000,1.515262
1.525131,0,0x01,0.0000,1.1111,1.518267
1.525131,1,0x02,0.0000,1.1111,1.520270
1.525131,2,0x03,0.0000,1.0556,1.524244
1.525131,3,0x04,0.0000,1.0000,1.515262
1.532844,0,0x01,0.0000,1.1111,1.529265
1.532844,1,0x02,0.0000,1.1111,1.520270
1.532844,2,0x03,0.0000,1.0556,1.524244
1.532844,3,0x04,0.0000,1.0000,1.527251
1.533912,0,0x01,0.0000,1.1111,1.529265
1.533912,1,0x02,0.0000,1.1111,1.520270
1.533912,2,0x03,0.0000,1.0556,1.524244
1.533912,3,0x04,0.0000,1.0000,1.527251
1.534973,0,0x01,0.0000,1.1111,1.529265
