servo_idx,phase,direction,step_idx,cmd_target,fb_post
0,pos_climb,pos,0,5.0,5.116395238095238
0,pos_climb,pos,1,10.0,10.10801666666667
0,pos_climb,pos,2,15.0,14.168332352941176
0,pos_climb,pos,3,20.0,14.168285714285714
0,pos_climb,pos,4,25.0,14.168285714285714
0,pos_climb,pos,5,30.0,14.172542105263158
0,pos_climb,pos,6,35.0,14.1667
0,pos_climb,pos,7,40.0,14.17159705882353
0,pos_climb,pos,8,45.0,14.1778
0,pos_climb,pos,9,50.0,14.1667
0,pos_climb,pos,10,55.0,14.168434375
0,pos_climb,pos,11,60.0,14.1667
0,pos_return,pos,0,55.0,14.1667
0,pos_return,pos,1,50.0,14.1667
0,pos_return,pos,2,45.0,14.1667
0,pos_return,pos,3,40.0,14.168087500000002
0,pos_return,pos,4,35.0,14.1667
0,pos_return,pos,5,30.0,14.168160526315788
0,pos_return,pos,6,25.0,14.169621052631578
0,pos_return,pos,7,20.0,14.1667
0,pos_return,pos,8,15.0,14.168123076923075
0,pos_return,pos,9,10.0,9.834728205128206
0,pos_return,pos,10,5.0,4.861812820512823
0,pos_return,pos,11,0.0,-0.14816666666666667
0,neg_climb,neg,0,-5.0,-5.065561538461538
0,neg_climb,neg,1,-10.0,-10.10852093023256
0,neg_climb,neg,2,-15.0,-15.079385714285715
0,neg_climb,neg,3,-20.0,-19.921935714285716
0,neg_climb,neg,4,-25.0,-24.83859761904762
0,neg_climb,neg,5,-30.0,-29.888899999999996
0,neg_climb,neg,6,-35.0,-34.840255
0,neg_climb,neg,7,-40.0,-39.880472727272725
0,neg_climb,neg,8,-45.0,-44.799020588235294
0,neg_climb,neg,9,-50.0,-49.85747391304346
0,neg_climb,neg,10,-55.0,-54.853071111111085
0,neg_climb,neg,11,-60.0,-54.8546846153846
0,neg_return,neg,0,-55.0,-54.857343243243236
0,neg_return,neg,1,-50.0,-49.871792307692296
0,neg_return,neg,2,-45.0,-44.85398837209303
0,neg_return,neg,3,-40.0,-40.1787
0,neg_return,neg,4,-35.0,-35.01853333333334
0,neg_return,neg,5,-30.0,-30.176214285714288
0,neg_return,neg,6,-25.0,-25.1667
0,neg_return,neg,7,-20.0,-19.898861538461546
0,neg_return,neg,8,-15.0,-14.990733333333335
0,neg_return,neg,9,-10.0,-9.935155555555552
0,neg_return,neg,10,-5.0,-4.8889000000000005
0,neg_return,neg,11,-0.0,0.11110000000000002
1,pos_climb,pos,0,5.0,0.10955833333333334
1,pos_climb,pos,1,10.0,0.10801666666666668
1,pos_climb,pos,2,15.0,0.1075193548387097
1,pos_climb,pos,3,20.0,0.10946764705882353
1,pos_climb,pos,4,25.0,0.10339166666666667
1,pos_climb,pos,5,30.0,0.1096769230769231
