t_s,servo_idx,node_id,cmd_deg,fb_deg,t_fb_arrival_s
1.454137,0,0x01,0.0000,-0.1111,1.440538
1.454137,1,0x02,0.0000,-0.0556,1.438509
1.454137,2,0x03,0.0000,-0.1111,1.441527
1.454137,3,0x04,0.0000,-0.1111,1.439552
1.455214,0,0x01,0.0000,-0.1111,1.440538
1.455214,1,0x02,0.0000,-0.0556,1.438509
1.455214,2,0x03,0.0000,-0.1111,1.441527
1.455214,3,0x04,0.0000,-0.1111,1.439552
1.456289,0,0x01,0.0000,-0.1111,1.440538
1.456289,1,0x02,0.0000,-0.0556,1.438509
1.456289,2,0x03,0.0000,-0.1111,1.441527
1.456289,3,0x04,0.0000,-0.1111,1.439552
1.457368,0,0x01,0.0000,-0.1111,1.440538
1.457368,1,0x02,0.0000,-0.0556,1.438509
1.457368,2,0x03,0.0000,-0.1111,1.441527
1.457368,3,0x04,0.0000,-0.1111,1.439552
1.458437,0,0x01,0.0000,-0.1111,1.440538
1.458437,1,0x02,0.0000,-0.0556,1.438509
1.458437,2,0x03,0.0000,-0.1111,1.441527
1.458437,3,0x04,0.0000,-0.1111,1.439552
1.466066,0,0x01,0.0000,-0.1111,1.440538
1.466066,1,0x02,0.0000,-0.0556,1.438509
1.466066,2,0x03,0.0000,-0.1111,1.441527
1.466066,3,0x04,0.0000,-0.1111,1.439552
1.467146,0,0x01,0.0000,-0.1111,1.440538
1.467146,1,0x02,0.0000,-0.0556,1.438509
1.467146,2,0x03,0.0000,-0.1111,1.441527
1.467146,3,0x04,0.0000,-0.1111,1.439552
1.468297,0,0x01,0.0000,-0.1111,1.440538
1.468297,1,0x02,0.0000,-0.0556,1.438509
1.468297,2,0x03,0.0000,-0.1111,1.441527
1.468297,3,0x04,0.0000,-0.1111,1.439552
1.475042,0,0x01,0.0000,-0.1111,1.440538
1.475042,1,0x02,0.0000,-0.0556,1.438509
1.475042,2,0x03,0.0000,-0.1111,1.441527
1.475042,3,0x04,0.0000,-0.1111,1.439552
1.476113,0,0x01,0.0000,-0.1111,1.440538
1.476113,1,0x02,0.0000,-0.0556,1.438509
1.476113,2,0x03,0.0000,-0.1111,1.441527
1.476113,3,0x04,0.0000,-0.1111,1.439552
1.477186,0,0x01,0.0000,-0.1111,1.440538
1.477186,1,0x02,0.0000,-0.0556,1.438509
1.477186,2,0x03,0.0000,-0.1111,1.441527
1.477186,3,0x04,0.0000,-0.1111,1.439552
1.478265,0,0x01,0.0000,-0.1111,1.440538
1.478265,1,0x02,0.0000,-0.0556,1.438509
1.478265,2,0x03,0.0000,-0.1111,1.441527
1.478265,3,0x04,0.0000,-0.1111,1.439552
1.484116,0,0x01,0.0000,-0.1111,1.479532
1.484116,1,0x02,0.0000,-0.0556,1.480580
1.484116,2,0x03,0.0000,-0.1111,1.481540
1.484116,3,0x04,0.0000,-0.1111,1.482521
1.485188,0,0x01,0.0000,-0.1111,1.479532
1.485188,1,0x02,0.0000,-0.0556,1.480580
1.485188,2,0x03,0.0000,-0.1111,1.484524
1.485188,3,0x04,0.0000,-0.1111,1.482521
1.486272,0,0x01,0.0000,-0.1111,1.479532
1.486272,1,0x02,0.0000,-0.0556,1.480580
1.486272,2,0x03,0.0000,-0.1111,1.484524
1.486272,3,0x04,0.0000,-0.1111,1.485499
1.487359,0,0x01,0.0000,-0.1111,1.479532
1.487359,1,0x02,0.0000,-0.0556,1.486497
1.487359,2,0x03,0.0000,-0.1111,1.484524
1.487359,3,0x04,0.0000,-0.1111,1.485499
1.488446,0,0x01,0.0000,-0.1111,1.479532
1.488446,1,0x02,0.0000,-0.0556,1.486497
1.488446,2,0x03,0.0000,-0.1111,1.487501
1.488446,3,0x04,0.0000,-0.1111,1.485499
1.497101,0,0x01,0.0000,0.0556,1.489496
1.497101,1,0x02,0.0000,-0.0556,1.486497
1.497101,2,0x03,0.0000,-0.1111,1.487501
1.497101,3,0x04,0.0000,-0.1111,1.485499
1.498169,0,0x01,0.0000,0.0556,1.489496
1.498169,1,0x02,0.0000,-0.0556,1.486497
1.498169,2,0x03,0.0000,-0.1111,1.487501
1.498169,3,0x04,0.0000,-0.1111,1.485499
1.505083,0,0x01,0.0000,0.3889,1.502531
1.505083,1,0x02,0.0000,0.6111,1.503522
1.505083,2,0x03,0.0000,0.1111,1.504528
1.505083,3,0x04,0.0000,0.0556,1.501522
1.506156,0,0x01,0.0000,0.3889,1.502531
1.506156,1,0x02,0.0000,0.6111,1.503522
1.506156,2,0x03,0.0000,0.1111,1.504528
1.506156,3,0x04,0.0000,0.4444,1.505517
1.507235,0,0x01,0.0000,0.3889,1.502531
1.507235,1,0x02,0.0000,0.6111,1.503522
1.507235,2,0x03,0.0000,0.1111,1.504528
1.507235,3,0x04,0.0000,0.4444,1.505517
1.508348,0,0x01,0.0000,0.7222,1.507514
1.508348,1,0x02,0.0000,0.6111,1.503522
1.508348,2,0x03,0.0000,0.1111,1.504528
1.508348,3,0x04,0.0000,0.4444,1.505517
1.516113,0,0x01,0.0000,0.7222,1.507514
1.516113,1,0x02,0.0000,0.5000,1.510514
1.516113,2,0x03,0.0000,0.7778,1.513542
1.516113,3,0x04,0.0000,0.4444,1.505517
1.517200,0,0x01,0.0000,0.7222,1.507514
1.517200,1,0x02,0.0000,0.5000,1.510514
1.517200,2,0x03,0.0000,0.7778,1.513542
1.517200,3,0x04,0.0000,0.6667,1.516523
1.518267,0,0x01,0.0000,0.7222,1.507514
1.518267,1,0x02,0.0000,0.5000,1.510514
1.518267,2,0x03,0.0000,0.7778,1.513542
1.518267,3,0x04,0.0000,0.6667,1.516523
1.525117,0,0x01,0.0000,0.9444,1.518499
1.525117,1,0x02,0.0000,1.0556,1.521530
