t_s,servo_idx,node_id,cmd_deg,fb_deg,t_fb_arrival_s
1.458616,0,0x01,0.0000,-0.1667,1.447123
1.458616,1,0x02,0.0000,-0.0556,1.448058
1.458616,2,0x03,0.0000,-0.0556,1.448987
1.458616,3,0x04,0.0000,-0.1111,1.451099
1.459693,0,0x01,0.0000,-0.1667,1.447123
1.459693,1,0x02,0.0000,-0.0556,1.448058
1.459693,2,0x03,0.0000,-0.0556,1.448987
1.459693,3,0x04,0.0000,-0.1111,1.451099
1.460768,0,0x01,0.0000,-0.1667,1.447123
1.460768,1,0x02,0.0000,-0.0556,1.448058
1.460768,2,0x03,0.0000,-0.0556,1.448987
1.460768,3,0x04,0.0000,-0.1111,1.451099
1.461837,0,0x01,0.0000,-0.1667,1.447123
1.461837,1,0x02,0.0000,-0.0556,1.448058
1.461837,2,0x03,0.0000,-0.0556,1.448987
1.461837,3,0x04,0.0000,-0.1111,1.451099
1.462901,0,0x01,0.0000,-0.1667,1.447123
1.462901,1,0x02,0.0000,-0.0556,1.448058
1.462901,2,0x03,0.0000,-0.0556,1.448987
1.462901,3,0x04,0.0000,-0.1111,1.451099
1.470571,0,0x01,0.0000,-0.1667,1.447123
1.470571,1,0x02,0.0000,-0.0556,1.448058
1.470571,2,0x03,0.0000,-0.0556,1.448987
1.470571,3,0x04,0.0000,-0.1111,1.451099
1.471614,0,0x01,0.0000,-0.1667,1.447123
1.471614,1,0x02,0.0000,-0.0556,1.448058
1.471614,2,0x03,0.0000,-0.0556,1.448987
1.471614,3,0x04,0.0000,-0.1111,1.451099
1.472687,0,0x01,0.0000,-0.1667,1.447123
1.472687,1,0x02,0.0000,-0.0556,1.448058
1.472687,2,0x03,0.0000,-0.0556,1.448987
1.472687,3,0x04,0.0000,-0.1111,1.451099
1.479594,0,0x01,0.0000,-0.1667,1.447123
1.479594,1,0x02,0.0000,-0.0556,1.448058
1.479594,2,0x03,0.0000,-0.0556,1.448987
1.479594,3,0x04,0.0000,-0.1111,1.451099
1.480660,0,0x01,0.0000,-0.1667,1.447123
1.480660,1,0x02,0.0000,-0.0556,1.448058
1.480660,2,0x03,0.0000,-0.0556,1.448987
1.480660,3,0x04,0.0000,-0.1111,1.451099
1.481729,0,0x01,0.0000,-0.1667,1.447123
1.481729,1,0x02,0.0000,-0.0556,1.448058
1.481729,2,0x03,0.0000,-0.0556,1.448987
1.481729,3,0x04,0.0000,-0.1111,1.451099
1.482826,0,0x01,0.0000,-0.1667,1.447123
1.482826,1,0x02,0.0000,-0.0556,1.448058
1.482826,2,0x03,0.0000,-0.0556,1.448987
1.482826,3,0x04,0.0000,-0.1111,1.451099
1.490494,0,0x01,0.0000,-0.1667,1.447123
1.490494,1,0x02,0.0000,-0.0556,1.448058
1.490494,2,0x03,0.0000,-0.0556,1.448987
1.490494,3,0x04,0.0000,-0.1111,1.451099
1.491593,0,0x01,0.0000,-0.1667,1.447123
1.491593,1,0x02,0.0000,-0.0556,1.491038
1.491593,2,0x03,0.0000,-0.0556,1.448987
1.491593,3,0x04,0.0000,-0.1111,1.451099
1.492664,0,0x01,0.0000,-0.1111,1.492071
1.492664,1,0x02,0.0000,-0.0556,1.491038
1.492664,2,0x03,0.0000,-0.0556,1.448987
1.492664,3,0x04,0.0000,-0.1111,1.451099
1.500496,0,0x01,0.0000,-0.1111,1.499898
1.500496,1,0x02,0.0000,-0.0556,1.497032
1.500496,2,0x03,0.0000,0.0556,1.498012
1.500496,3,0x04,0.0000,-0.1111,1.498983
1.501571,0,0x01,0.0000,-0.1111,1.499898
1.501571,1,0x02,0.0000,-0.0556,1.497032
1.501571,2,0x03,0.0000,0.0556,1.500895
1.501571,3,0x04,0.0000,-0.1111,1.498983
1.502632,0,0x01,0.0000,-0.1111,1.499898
1.502632,1,0x02,0.0000,-0.0556,1.497032
1.502632,2,0x03,0.0000,0.0556,1.500895
1.502632,3,0x04,0.0000,-0.1111,1.498983
1.511441,0,0x01,0.0000,-0.1111,1.499898
1.511441,1,0x02,0.0000,-0.0556,1.497032
1.511441,2,0x03,0.0000,0.0556,1.500895
1.511441,3,0x04,0.0000,-0.1111,1.498983
1.512528,0,0x01,0.0000,-0.1111,1.499898
