t_s,servo_idx,node_id,cmd_deg,fb_deg
2.149644,0,0x01,0.0000,-0.0556
2.149644,1,0x02,0.0000,0.0556
2.149644,2,0x03,0.0000,0.0556
2.149644,3,0x04,0.0000,0.0556
2.157398,0,0x01,0.0000,-0.0556
2.157398,1,0x02,0.0000,0.0556
2.157398,2,0x03,0.0000,0.0556
2.157398,3,0x04,0.0000,0.0556
2.158456,0,0x01,0.0000,-0.0556
2.158456,1,0x02,0.0000,0.0556
2.158456,2,0x03,0.0000,0.0556
2.158456,3,0x04,0.0000,0.0556
2.159522,0,0x01,0.0000,-0.0556
2.159522,1,0x02,0.0000,0.0556
2.159522,2,0x03,0.0000,0.0556
2.159522,3,0x04,0.0000,0.0556
2.160611,0,0x01,0.0000,-0.0556
2.160611,1,0x02,0.0000,0.0556
2.160611,2,0x03,0.0000,0.0556
2.160611,3,0x04,0.0000,0.0556
2.168153,0,0x01,0.0000,-0.0556
2.168153,1,0x02,0.0000,0.0556
2.168153,2,0x03,0.0000,0.0556
2.168153,3,0x04,0.0000,0.0556
2.169239,0,0x01,0.0000,-0.0556
2.169239,1,0x02,0.0000,0.0556
2.169239,2,0x03,0.0000,0.0556
2.169239,3,0x04,0.0000,0.0556
2.170308,0,0x01,0.0000,-0.0556
2.170308,1,0x02,0.0000,0.0556
2.170308,2,0x03,0.0000,0.0556
2.170308,3,0x04,0.0000,0.0556
2.177149,0,0x01,0.0000,-0.0556
2.177149,1,0x02,0.0000,0.0556
2.177149,2,0x03,0.0000,0.0556
2.177149,3,0x04,0.0000,0.0556
2.178220,0,0x01,0.0000,-0.0556
2.178220,1,0x02,0.0000,0.0556
2.178220,2,0x03,0.0000,0.0556
2.178220,3,0x04,0.0000,0.0556
2.179281,0,0x01,0.0000,-0.0556
2.179281,1,0x02,0.0000,0.0556
2.179281,2,0x03,0.0000,0.0556
2.179281,3,0x04,0.0000,0.0556
2.180357,0,0x01,0.0000,-0.1111
2.180357,1,0x02,0.0000,0.0556
2.180357,2,0x03,0.0000,0.0556
2.180357,3,0x04,0.0000,0.0556
2.186251,0,0x01,0.0000,-0.0556
2.186251,1,0x02,0.0000,0.0556
2.186251,2,0x03,0.0000,0.0556
2.186251,3,0x04,0.0000,0.0556
2.187319,0,0x01,0.0000,-0.0556
2.187319,1,0x02,0.0000,0.0556
2.187319,2,0x03,0.0000,0.1111
2.187319,3,0x04,0.0000,0.0556
2.188390,0,0x01,0.0000,-0.0556
2.188390,1,0x02,0.0000,0.0556
2.188390,2,0x03,0.0000,0.1111
2.188390,3,0x04,0.0000,0.0556
2.189464,0,0x01,0.0000,-0.0556
2.189464,1,0x02,0.0000,0.0000
2.189464,2,0x03,0.0000,0.1111
2.189464,3,0x04,0.0000,0.0556
2.190582,0,0x01,0.0000,-0.0556
2.190582,1,0x02,0.0000,0.0000
2.190582,2,0x03,0.0000,0.0556
2.190582,3,0x04,0.0000,0.0556
2.205204,0,0x01,0.0000,-0.0556
2.205204,1,0x02,0.0000,0.0000
2.205204,2,0x03,0.0000,0.0556
2.205204,3,0x04,0.0000,0.0556
2.211177,0,0x01,0.0000,-0.0556
2.211177,1,0x02,0.0000,0.0000
2.211177,2,0x03,0.0000,0.0556
2.211177,3,0x04,0.0000,0.0556
2.217164,0,0x01,0.0000,-0.0556
2.217164,1,0x02,0.0000,0.0000
2.217164,2,0x03,0.0000,0.0556
2.217164,3,0x04,0.0000,0.0556
2.218258,0,0x01,0.0000,-0.0556
2.218258,1,0x02,0.0000,0.0000
2.218258,2,0x03,0.0000,0.0556
2.218258,3,0x04,0.0000,0.0556
2.219341,0,0x01,0.0000,-0.0556
2.219341,1,0x02,0.0000,0.0000
2.219341,2,0x03,0.0000,0.0556
2.219341,3,0x04,0.0000,0.0556
2.220432,0,0x01,0.0000,-0.0556
2.220432,1,0x02,0.0000,0.0000
2.220432,2,0x03,0.0000,0.0556
2.220432,3,0x04,0.0000,0.0556
2.228172,0,0x01,0.0000,-0.0556
2.228172,1,0x02,0.0000,0.0000
2.228172,2,0x03,0.0000,0.0556
2.228172,3,0x04,0.0000,0.0556
2.229257,0,0x01,0.0000,-0.0556
2.229257,1,0x02,0.0000,0.0000
2.229257,2,0x03,0.0000,0.0556
2.229257,3,0x04,0.0000,0.0556
2.230332,0,0x01,0.0000,-0.0556
2.230332,1,0x02,0.0000,0.0000
2.230332,2,0x03,0.0000,0.0556
2.230332,3,0x04,0.0000,0.0556
2.237169,0,0x01,0.0000,-0.0556
2.237169,1,0x02,0.0000,0.0000
2.237169,2,0x03,0.0000,0.0556
2.237169,3,0x04,0.0000,0.0556
2.238247,0,0x01,0.0000,-0.0556
2.238247,1,0x02,0.0000,0.0000
2.238247,2,0x03,0.0000,0.0556
2.238247,3,0x04,0.0000,0.0556
2.239364,0,0x01,0.0000,-0.0556
2.239364,1,0x02,0.0000,0.0000
2.239364,2,0x03,0.0000,0.0556
2.239364,3,0x04,0.0000,0.0556
2.240459,0,0x01,0.0000,-0.0556
2.240459,1,0x02,0.0000,0.0556
2.240459,2,0x03,0.0000,0.0556
2.240459,3,0x04,0.0000,0.0556
2.248289,0,0x01,0.0000,-0.0556
2.248289,1,0x02,0.0000,0.0556
2.248289,2,0x03,0.0000,0.1111
2.248289,3,0x04,0.0000,0.0556
2.249380,0,0x01,0.0000,-0.0556
2.249380,1,0x02,0.0000,0.0556
2.249380,2,0x03,0.0000,0.1111
2.249380,3,0x04,0.0000,0.0556
2.250473,0,0x01,0.0000,-0.1111
2.250473,1,0x02,0.0000,0.0556
2.250473,2,0x03,0.0000,0.1111
2.250473,3,0x04,0.0000,0.0556
2.258181,0,0x01,0.0000,-0.1111
2.258181,1,0x02,0.0000,0.0556
2.258181,2,0x03,0.0000,0.1111
2.258181,3,0x04,0.0000,0.0556
2.259238,0,0x01,0.0000,-0.1111
2.259238,1,0x02,0.0000,0.0556
2.259238,2,0x03,0.0000,0.1111
2.259238,3,0x04,0.0000,0.0556
2.260294,0,0x01,0.0000,-0.1111
2.260294,1,0x02,0.0000,0.0556
2.260294,2,0x03,0.0000,0.1111
2.260294,3,0x04,0.0000,0.0556
2.267184,0,0x01,0.0000,-0.1111
2.267184,1,0x02,0.0000,0.0556
2.267184,2,0x03,0.0000,0.1111
2.267184,3,0x04,0.0000,0.0556
2.268258,0,0x01,0.0000,-0.1111
2.268258,1,0x02,0.0000,0.0556
2.268258,2,0x03,0.0000,0.1111
2.268258,3,0x04,0.0000,0.0556
2.269327,0,0x01,0.0000,-0.1111
2.269327,1,0x02,0.0000,0.0556
2.269327,2,0x03,0.0000,0.1111
2.269327,3,0x04,0.0000,0.0556
2.270384,0,0x01,0.0000,-0.1111
2.270384,1,0x02,0.0000,0.0556
2.270384,2,0x03,0.0000,0.1111
2.270384,3,0x04,0.0000,0.0556
2.276159,0,0x01,0.0000,-0.1111
2.276159,1,0x02,0.0000,0.0556
2.276159,2,0x03,0.0000,0.1111
2.276159,3,0x04,0.0000,0.0556
2.277226,0,0x01,0.0000,-0.1111
2.277226,1,0x02,0.0000,0.0556
2.277226,2,0x03,0.0000,0.1111
2.277226,3,0x04,0.0000,0.0556
2.278291,0,0x01,0.0000,-0.1111
2.278291,1,0x02,0.0000,0.0556
2.278291,2,0x03,0.0000,0.1111
2.278291,3,0x04,0.0000,0.0556
2.279384,0,0x01,0.0000,-0.1111
2.279384,1,0x02,0.0000,0.0556
2.279384,2,0x03,0.0000,0.1111
2.279384,3,0x04,0.0000,0.0556
2.280460,0,0x01,0.0000,-0.1111
2.280460,1,0x02,0.0000,0.0556
2.280460,2,0x03,0.0000,0.1111
2.280460,3,0x04,0.0000,0.0556
2.288241,0,0x01,0.0000,-0.1111
2.288241,1,0x02,0.0000,0.0556
2.288241,2,0x03,0.0000,0.1111
2.288241,3,0x04,0.0000,0.0556
2.289311,0,0x01,0.0000,-0.1111
2.289311,1,0x02,0.0000,0.0556
2.289311,2,0x03,0.0000,0.1111
2.289311,3,0x04,0.0000,0.0556
2.290430,0,0x01,0.0000,-0.0556
2.290430,1,0x02,0.0000,0.0556
2.290430,2,0x03,0.0000,0.0556
2.290430,3,0x04,0.0000,0.0556
2.297280,0,0x01,0.0000,-0.0556
2.297280,1,0x02,0.0000,0.0556
2.297280,2,0x03,0.0000,0.1111
2.297280,3,0x04,0.0000,0.0556
2.298356,0,0x01,0.0000,-0.0556
2.298356,1,0x02,0.0000,0.0556
2.298356,2,0x03,0.0000,0.1111
2.298356,3,0x04,0.0000,0.0556
2.299443,0,0x01,0.0000,-0.0556
2.299443,1,0x02,0.0000,0.0556
2.299443,2,0x03,0.0000,0.1111
2.299443,3,0x04,0.0000,0.0556
2.300574,0,0x01,0.0000,-0.0556
