t_s,servo_idx,node_id,cmd_deg,fb_deg,t_fb_arrival_s
1.515415,0,0x01,0.0000,0.0556,1.490891
1.515415,1,0x02,0.0000,0.0000,1.497794
1.515415,2,0x03,0.0000,0.1111,1.495802
1.515415,3,0x04,0.0000,0.0556,1.496794
1.516495,0,0x01,0.0000,0.0556,1.490891
1.516495,1,0x02,0.0000,0.0000,1.497794
1.516495,2,0x03,0.0000,0.1111,1.495802
1.516495,3,0x04,0.0000,0.0556,1.496794
1.522331,0,0x01,0.0000,0.0556,1.490891
1.522331,1,0x02,0.0000,0.0000,1.497794
1.522331,2,0x03,0.0000,0.1111,1.495802
1.522331,3,0x04,0.0000,0.0556,1.496794
1.523403,0,0x01,0.0000,0.0556,1.490891
1.523403,1,0x02,0.0000,0.0000,1.497794
1.523403,2,0x03,0.0000,0.1111,1.495802
1.523403,3,0x04,0.0000,0.0556,1.496794
1.524470,0,0x01,0.0000,0.0556,1.490891
1.524470,1,0x02,0.0000,0.0000,1.497794
1.524470,2,0x03,0.0000,0.1111,1.495802
1.524470,3,0x04,0.0000,0.0556,1.496794
1.525534,0,0x01,0.0000,0.0556,1.490891
1.525534,1,0x02,0.0000,0.0000,1.497794
1.525534,2,0x03,0.0000,0.1111,1.495802
1.525534,3,0x04,0.0000,0.0556,1.496794
1.526593,0,0x01,0.0000,0.0556,1.490891
1.526593,1,0x02,0.0000,0.0000,1.497794
1.526593,2,0x03,0.0000,0.1111,1.495802
1.526593,3,0x04,0.0000,0.0556,1.496794
1.534323,0,0x01,0.0000,0.0556,1.490891
1.534323,1,0x02,0.0000,0.0000,1.497794
1.534323,2,0x03,0.0000,0.1111,1.495802
1.534323,3,0x04,0.0000,0.0556,1.496794
1.535401,0,0x01,0.0000,0.0556,1.490891
1.535401,1,0x02,0.0000,0.0000,1.497794
1.535401,2,0x03,0.0000,0.1111,1.495802
1.535401,3,0x04,0.0000,0.0556,1.496794
1.536479,0,0x01,0.0000,0.0556,1.490891
1.536479,1,0x02,0.0000,0.0000,1.497794
1.536479,2,0x03,0.0000,0.1111,1.495802
1.536479,3,0x04,0.0000,0.0556,1.496794
1.543320,0,0x01,0.0000,0.0556,1.490891
1.543320,1,0x02,0.0000,0.0000,1.497794
1.543320,2,0x03,0.0000,0.1111,1.495802
1.543320,3,0x04,0.0000,0.0556,1.496794
1.544390,0,0x01,0.0000,0.0556,1.490891
1.544390,1,0x02,0.0000,0.0000,1.497794
1.544390,2,0x03,0.0000,0.1111,1.495802
1.544390,3,0x04,0.0000,0.0556,1.496794
1.545459,0,0x01,0.0000,0.0556,1.490891
1.545459,1,0x02,0.0000,0.0000,1.497794
1.545459,2,0x03,0.0000,0.1111,1.495802
1.545459,3,0x04,0.0000,0.0556,1.496794
1.546569,0,0x01,0.0000,0.0556,1.490891
1.546569,1,0x02,0.0000,0.0000,1.497794
1.546569,2,0x03,0.0000,0.0556,1.545802
1.546569,3,0x04,0.0000,0.0556,1.496794
1.552386,0,0x01,0.0000,0.1111,1.549822
1.552386,1,0x02,0.0000,0.0556,1.550811
1.552386,2,0x03,0.0000,0.0556,1.545802
1.552386,3,0x04,0.0000,0.0556,1.548829
1.553485,0,0x01,0.0000,0.1111,1.549822
1.553485,1,0x02,0.0000,0.0556,1.550811
1.553485,2,0x03,0.0000,0.0556,1.552815
1.553485,3,0x04,0.0000,0.0556,1.548829
1.554559,0,0x01,0.0000,0.1111,1.549822
1.554559,1,0x02,0.0000,0.0556,1.553800
1.554559,2,0x03,0.0000,0.0556,1.552815
1.554559,3,0x04,0.0000,0.0556,1.548829
1.555629,0,0x01,0.0000,0.1111,1.549822
1.555629,1,0x02,0.0000,0.0556,1.553800
1.555629,2,0x03,0.0000,0.1111,1.554802
1.555629,3,0x04,0.0000,0.0556,1.548829
1.556709,0,0x01,0.0000,0.1667,1.555786
1.556709,1,0x02,0.0000,0.0556,1.553800
1.556709,2,0x03,0.0000,0.1111,1.554802
1.556709,3,0x04,0.0000,0.0556,1.548829
1.565372,0,0x01,0.0000,0.1667,1.559814
1.565372,1,0x02,0.0000,0.1111,1.557810
1.565372,2,0x03,0.0000,0.1111,1.554802
1.565372,3,0x04,0.0000,0.2222,1.558784
1.566435,0,0x01,0.0000,0.1667,1.559814
1.566435,1,0x02,0.0000,0.1111,1.557810
1.566435,2,0x03,0.0000,0.1111,1.554802
1.566435,3,0x04,0.0000,0.2222,1.558784
1.574347,0,0x01,0.0000,0.1667,1.559814
1.574347,1,0x02,0.0000,0.1111,1.557810
1.574347,2,0x03,0.0000,0.1111,1.554802
1.574347,3,0x04,0.0000,0.2222,1.558784
1.575440,0,0x01,0.0000,0.1667,1.559814
1.575440,1,0x02,0.0000,0.1111,1.557810
1.575440,2,0x03,0.0000,0.1111,1.554802
1.575440,3,0x04,0.0000,0.2222,1.558784
1.576507,0,0x01,0.0000,0.1667,1.559814
1.576507,1,0x02,0.0000,0.1111,1.557810
1.576507,2,0x03,0.0000,0.1111,1.554802
1.576507,3,0x04,0.0000,0.2222,1.558784
1.583316,0,0x01,0.0000,0.1667,1.559814
1.583316,1,0x02,0.0000,0.1111,1.557810
1.583316,2,0x03,0.0000,0.1111,1.554802
1.583316,3,0x04,0.0000,0.2222,1.558784
1.584381,0,0x01,0.0000,0.1667,1.559814
1.584381,1,0x02,0.0000,0.1111,1.557810
1.584381,2,0x03,0.0000,0.1111,1.554802
1.584381,3,0x04,0.0000,0.2222,1.558784
1.585453,0,0x01,0.0000,0.1667,1.559814
1.585453,1,0x02,0.0000,0.1111,1.557810
1.585453,2,0x03,0.0000,0.1111,1.554802
1.585453,3,0x04,0.0000,0.2222,1.558784
1.586526,0,0x01,0.0000,0.1667,1.559814
1.586526,1,0x02,0.0000,0.1111,1.557810
1.586526,2,0x03,0.0000,0.1111,1.554802
1.586526,3,0x04,0.0000,0.2222,1.558784
1.592340,0,0x01,0.0000,0.1667,1.559814
