t_s,servo_idx,node_id,cmd_deg,fb_deg,t_fb_arrival_s
1.498843,0,0x01,0.0000,0.0556,1.482321
1.498843,1,0x02,0.0000,0.0556,1.483308
1.498843,2,0x03,0.0000,0.0556,1.438323
1.498843,3,0x04,0.0000,0.0556,1.480297
1.499911,0,0x01,0.0000,0.0556,1.482321
1.499911,1,0x02,0.0000,0.0556,1.483308
1.499911,2,0x03,0.0000,0.0556,1.438323
1.499911,3,0x04,0.0000,0.0556,1.480297
1.500982,0,0x01,0.0000,0.0556,1.482321
1.500982,1,0x02,0.0000,0.0556,1.483308
1.500982,2,0x03,0.0000,0.0556,1.438323
1.500982,3,0x04,0.0000,0.0556,1.480297
1.502077,0,0x01,0.0000,0.0556,1.482321
1.502077,1,0x02,0.0000,0.0556,1.483308
1.502077,2,0x03,0.0000,0.0556,1.438323
1.502077,3,0x04,0.0000,0.0556,1.480297
1.509838,0,0x01,0.0000,0.0556,1.482321
1.509838,1,0x02,0.0000,0.0556,1.483308
1.509838,2,0x03,0.0000,0.0556,1.438323
1.509838,3,0x04,0.0000,0.0556,1.480297
1.510913,0,0x01,0.0000,0.0556,1.482321
1.510913,1,0x02,0.0000,0.0556,1.483308
1.510913,2,0x03,0.0000,0.0556,1.438323
1.510913,3,0x04,0.0000,0.0556,1.480297
1.511995,0,0x01,0.0000,0.0556,1.482321
1.511995,1,0x02,0.0000,0.0556,1.483308
1.511995,2,0x03,0.0000,0.0556,1.438323
1.511995,3,0x04,0.0000,0.0556,1.480297
1.519873,0,0x01,0.0000,0.0556,1.482321
1.519873,1,0x02,0.0000,0.0556,1.483308
1.519873,2,0x03,0.0000,0.0556,1.438323
1.519873,3,0x04,0.0000,0.0556,1.480297
1.520977,0,0x01,0.0000,0.0556,1.482321
1.520977,1,0x02,0.0000,0.0556,1.483308
1.520977,2,0x03,0.0000,0.0556,1.438323
1.520977,3,0x04,0.0000,0.0556,1.480297
1.522103,0,0x01,0.0000,0.0556,1.482321
1.522103,1,0x02,0.0000,0.0556,1.483308
1.522103,2,0x03,0.0000,0.0556,1.438323
1.522103,3,0x04,0.0000,0.0556,1.521336
1.529930,0,0x01,0.0000,0.0556,1.482321
1.529930,1,0x02,0.0000,0.0556,1.529326
1.529930,2,0x03,0.0000,0.0556,1.527333
1.529930,3,0x04,0.0000,0.0556,1.528339
1.531004,0,0x01,0.0000,0.0556,1.482321
