edge_idx,cycle_idx,direction,delay_ms,tau_ms,overshoot_pct,settling_ms,final_err_deg,samples
0,0,up,65.7780,,4.5230,,0.1667,54
1,0,down,95.7760,,1.6469,145.8470,-0.1111,53
2,1,up,73.8040,,1.6487,123.7850,0.1111,47
3,1,down,64.8410,45.9470,1.0976,181.8720,-0.1111,54
4,2,up,65.7950,,1.6487,116.7850,0.1111,49
5,2,down,64.8330,,3.2912,151.8170,-0.1111,56
6,3,up,21.8140,41.0210,1.6487,110.8230,0.1111,59
7,3,down,53.8300,4.0010,1.6487,114.8410,-0.1111,57
8,4,up,23.8440,39.9980,1.6487,124.8660,0.1111,52
9,4,down,55.8590,2.9490,1.0988,113.8390,-0.1111,50
10,5,up,27.8390,48.0100,1.6487,134.8500,0.1111,44
11,5,down,43.8450,43.0060,1.6487,163.8660,-0.1111,62
12,6,up,43.8580,70.0050,1.6487,164.8610,0.1111,52
13,6,down,29.8640,30.9860,1.0988,106.8570,-0.1111,58
14,7,up,25.8700,70.0050,1.6487,155.8640,0.1111,50
15,7,down,52.8860,52.9840,1.0988,163.8830,-0.1111,56
16,8,up,82.8780,,2.1976,203.8750,0.1111,51
17,8,down,72.8890,,1.0988,117.8620,-0.1111,61
18,9,up,51.9110,6.0030,1.6500,152.9060,0.1111,57
19,9,down,53.9090,3.1520,1.0979,110.9040,-0.1111,58
20,10,up,34.9070,34.9960,1.6502,128.9000,0.1111,57
21,10,down,34.9250,80.9920,1.0988,115.9170,-0.1111,59
22,11,up,71.9480,8.9820,1.6487,135.9290,0.1667,47
23,11,down,83.9370,,1.0978,131.9220,-0.1111,59
24,12,up,63.9380,5.9780,1.6487,127.9290,0.1111,49
25,12,down,78.9530,,2.7475,167.9940,-0.1111,58
26,13,up,102.9430,,1.6487,156.9260,0.1111,51
27,13,down,78.9510,,1.0988,142.9630,-0.1111,54
28,14,up,54.0630,19.8980,1.6487,120.9500,0.1111,51
29,14,down,52.9960,19.9980,3.2919,160.9610,-0.1111,56
30,15,up,84.9710,,2.1976,151.9760,0.1111,52
31,15,down,94.9840,,1.0988,140.9760,-0.1111,66
32,16,up,28.0290,64.9590,1.6487,146.9760,0.1111,54
33,16,down,104.0100,,1.0988,148.9870,-0.1111,53
34,17,up,26.9900,42.0170,1.6487,126.9960,0.1111,58
35,17,down,55.0180,51.0140,3.2964,153.0410,-0.1111,62
36,18,up,64.0250,61.0510,1.6487,125.0760,0.1111,55
37,18,down,56.0940,9.9340,1.0988,114.0350,-0.1111,49
38,19,up,75.0550,31.9620,1.6487,157.5230,0.1667,53
39,19,down,64.0330,,1.0968,118.1070,-0.1111,58
40,20,up,88.0670,,1.6487,186.0500,0.1667,45
41,20,down,66.0520,,1.0958,123.0500,-0.1111,56
42,21,up,37.0510,48.0030,1.6509,129.0500,0.1111,47
43,21,down,27.0580,45.0010,1.0988,118.0550,-0.1111,52
44,22,up,81.1000,5.9480,1.6487,174.0890,0.1111,53
45,22,down,65.0780,2.9820,1.0988,117.1580,-0.1111,56
46,23,up,64.0830,2.9810,1.6487,172.0830,0.1111,55
47,23,down,40.1000,23.0020,2.7475,141.0940,-0.1111,58
48,24,up,29.0960,47.1770,1.6487,147.3780,0.1111,49
49,24,down,77.1290,5.9850,1.0988,131.0940,-0.1111,58
50,25,up,28.0980,36.0130,1.6487,119.1010,0.1111,53
51,25,down,52.1320,56.9750,2.7445,162.1370,-0.1111,52
52,26,up,74.1140,54.9990,1.6487,135.1290,0.1111,45
53,26,down,42.1500,79.9870,3.8463,183.1300,-0.1111,57
54,27,up,76.1490,51.0350,1.6487,137.1210,0.1667,44
55,27,down,75.1790,57.9680,1.0958,142.1490,-0.1111,53
56,28,up,59.1440,20.0210,1.0988,126.1920,0.1111,52
57,28,down,73.1670,,2.7475,172.1830,-0.1111,49
58,29,up,43.1980,72.4120,1.6487,138.1650,0.1111,48
59,29,down,91.1730,,1.0964,134.1690,-0.0556,51
60,30,up,41.1800,22.9980,1.6505,135.1910,0.1111,52
61,30,down,42.2010,70.9800,1.0988,167.2390,-0.1111,56
62,31,up,31.1900,74.9880,1.6487,148.2000,0.1111,45
63,31,down,88.1810,,1.0976,143.2000,-0.1111,48
64,32,up,96.2060,,1.6487,154.2130,0.1667,41
65,32,down,106.2080,,1.0976,145.2120,-0.0556,47
66,33,up,74.2210,,1.6532,135.2100,0.1111,47
67,33,down,45.2070,48.0310,2.1976,168.3680,-0.1111,52
68,34,up,34.2340,58.0070,1.0988,143.3330,0.1111,48
69,34,down,35.2380,71.0070,1.0988,164.2410,-0.1111,58
70,35,up,68.2400,3.0230,1.6487,135.2500,0.1111,44
71,35,down,25.2580,56.9960,1.0976,110.2470,-0.1111,49
72,36,up,28.7040,66.5550,1.6487,153.2570,0.1111,45
73,36,down,64.2700,,3.2964,153.2530,-0.1111,47
74,37,up,72.2800,,1.6487,132.2680,0.1667,39
75,37,down,78.3830,,3.2919,170.2670,-0.1111,52
76,38,up,98.2940,,2.1976,167.1650,0.1111,44
77,38,down,24.2650,41.0230,1.0973,116.2820,-0.1111,49
78,39,up,44.3060,38.0310,1.6509,140.3010,0.1111,48
79,39,down,33.3030,70.0110,2.7437,160.3090,-0.1111,47
80,40,up,25.3210,52.7380,1.6487,131.3160,0.1111,49
81,40,down,62.3230,72.0460,2.7453,183.3170,-0.1111,54
82,41,up,31.3120,43.0210,1.6487,120.3120,0.1111,50
83,41,down,60.3210,9.2550,1.0988,118.3380,-0.1111,58
84,42,up,32.3370,37.9820,1.6487,124.3350,0.1111,46
85,42,down,53.3440,23.1050,1.0988,104.3570,-0.1111,47
86,43,up,54.3460,3.0300,1.6505,147.1550,0.1111,43
87,43,down,60.2970,11.0490,1.0988,112.4020,-0.1111,48
88,44,up,30.3630,75.0120,1.6487,123.3710,0.1111,51
89,44,down,55.3650,59.0080,2.1976,178.3580,-0.1111,49
90,45,up,38.3650,47.0160,1.6487,140.3650,0.1111,39
91,45,down,56.3940,51.1750,1.6464,114.3980,-0.1667,46
92,46,up,73.4240,,1.0973,178.3620,0.1111,43
93,46,down,26.4390,41.0620,1.6487,124.4300,-0.1111,43
94,47,up,56.4090,16.0340,1.6487,142.4280,0.1111,39
95,47,down,95.4100,,2.7475,188.3960,-0.1111,48
96,48,up,104.4250,,1.6487,209.7170,0.1111,38
97,48,down,54.9240,79.0220,2.1976,191.4220,-0.1111,43
98,49,up,105.4460,,1.6487,155.4440,0.1667,47
99,49,down,128.4540,,2.7432,,5.1111,65
