t_s,servo_idx,node_id,cmd_deg,fb_deg
11.892388,0,0x01,0.0000,
11.892388,1,0x02,0.0000,
11.892388,2,0x03,0.0000,
11.892388,3,0x04,0.0000,
11.900036,0,0x01,0.0000,
11.900036,1,0x02,0.0000,
11.900036,2,0x03,0.0000,
11.900036,3,0x04,0.0000,
11.901263,0,0x01,0.0000,
11.901263,1,0x02,0.0000,
11.901263,2,0x03,0.0000,
11.901263,3,0x04,0.0000,
11.902299,0,0x01,0.0000,
11.902299,1,0x02,0.0000,
11.902299,2,0x03,0.0000,
11.902299,3,0x04,0.0000,
11.903410,0,0x01,0.0000,
11.903410,1,0x02,0.0000,
11.903410,2,0x03,0.0000,
11.903410,3,0x04,0.0000,
11.910899,0,0x01,0.0000,
11.910899,1,0x02,0.0000,
11.910899,2,0x03,0.0000,
11.910899,3,0x04,0.0000,
11.911962,0,0x01,0.0000,
11.911962,1,0x02,0.0000,
11.911962,2,0x03,0.0000,
11.911962,3,0x04,0.0000,
11.913040,0,0x01,0.0000,
11.913040,1,0x02,0.0000,
11.913040,2,0x03,0.0000,
11.913040,3,0x04,0.0000,
11.921885,0,0x01,0.0000,
11.921885,1,0x02,0.0000,
11.921885,2,0x03,0.0000,
11.921885,3,0x04,0.0000,
11.922947,0,0x01,0.0000,
11.922947,1,0x02,0.0000,
11.922947,2,0x03,0.0000,
11.922947,3,0x04,0.0000,
11.929908,0,0x01,0.0000,
11.929908,1,0x02,0.0000,
11.929908,2,0x03,0.0000,
11.929908,3,0x04,0.0000,
11.930980,0,0x01,0.0000,
11.930980,1,0x02,0.0000,
11.930980,2,0x03,0.0000,
11.930980,3,0x04,0.0000,
11.932065,0,0x01,0.0000,
11.932065,1,0x02,0.0000,
11.932065,2,0x03,0.0000,
11.932065,3,0x04,0.0000,
11.933132,0,0x01,0.0000,
11.933132,1,0x02,0.0000,
11.933132,2,0x03,0.0000,
11.933132,3,0x04,0.0000,
11.938901,0,0x01,0.0000,
11.938901,1,0x02,0.0000,
11.938901,2,0x03,0.0000,
11.938901,3,0x04,0.0000,
11.939984,0,0x01,0.0000,
11.939984,1,0x02,0.0000,
11.939984,2,0x03,0.0000,
11.939984,3,0x04,0.0000,
11.941062,0,0x01,0.0000,
11.941062,1,0x02,0.0000,
11.941062,2,0x03,0.0000,
11.941062,3,0x04,0.0000,
11.942157,0,0x01,0.0000,
11.942157,1,0x02,0.0000,
11.942157,2,0x03,0.0000,
11.942157,3,0x04,0.0000,
11.943248,0,0x01,0.0000,
11.943248,1,0x02,0.0000,
11.943248,2,0x03,0.0000,
11.943248,3,0x04,0.0000,
11.950907,0,0x01,0.0000,
11.950907,1,0x02,0.0000,
11.950907,2,0x03,0.0000,
11.950907,3,0x04,0.0000,
11.951981,0,0x01,0.0000,
11.951981,1,0x02,0.0000,
11.951981,2,0x03,0.0000,
11.951981,3,0x04,0.0000,
11.953050,0,0x01,0.0000,
11.953050,1,0x02,0.0000,
11.953050,2,0x03,0.0000,
11.953050,3,0x04,0.0000,
11.960260,0,0x01,0.0000,
11.960260,1,0x02,0.0000,
11.960260,2,0x03,0.0000,
11.960260,3,0x04,0.0000,
11.961293,0,0x01,0.0000,
11.961293,1,0x02,0.0000,
11.961293,2,0x03,0.0000,
11.961293,3,0x04,0.0000,
11.962366,0,0x01,0.0000,
11.962366,1,0x02,0.0000,
11.962366,2,0x03,0.0000,
11.962366,3,0x04,0.0000,
11.963445,0,0x01,0.0000,
11.963445,1,0x02,0.0000,
11.963445,2,0x03,0.0000,
11.963445,3,0x04,0.0000,
11.971890,0,0x01,0.0000,
11.971890,1,0x02,0.0000,
11.971890,2,0x03,0.0000,
11.971890,3,0x04,0.0000,
11.972962,0,0x01,0.0000,
11.972962,1,0x02,0.0000,
11.972962,2,0x03,0.0000,
11.972962,3,0x04,0.0000,
11.979897,0,0x01,0.0000,
11.979897,1,0x02,0.0000,
11.979897,2,0x03,0.0000,
11.979897,3,0x04,0.0000,
11.980968,0,0x01,0.0000,
11.980968,1,0x02,0.0000,
11.980968,2,0x03,0.0000,
11.980968,3,0x04,0.0000,
11.982040,0,0x01,0.0000,
11.982040,1,0x02,0.0000,
11.982040,2,0x03,0.0000,
11.982040,3,0x04,0.0000,
11.983113,0,0x01,0.0000,
11.983113,1,0x02,0.0000,
11.983113,2,0x03,0.0000,
11.983113,3,0x04,0.0000,
11.988888,0,0x01,0.0000,
11.988888,1,0x02,0.0000,
11.988888,2,0x03,0.0000,
11.988888,3,0x04,0.0000,
11.989957,0,0x01,0.0000,
11.989957,1,0x02,0.0000,
11.989957,2,0x03,0.0000,
11.989957,3,0x04,0.0000,
11.991027,0,0x01,0.0000,
11.991027,1,0x02,0.0000,
11.991027,2,0x03,0.0000,
11.991027,3,0x04,0.0000,
11.992098,0,0x01,0.0000,
11.992098,1,0x02,0.0000,
11.992098,2,0x03,0.0000,
11.992098,3,0x04,0.0000,
11.993185,0,0x01,0.0000,
11.993185,1,0x02,0.0000,
11.993185,2,0x03,0.0000,
11.993185,3,0x04,0.0000,
