t_s,servo_idx,node_id,cmd_deg,fb_deg,t_fb_arrival_s
1.496464,0,0x01,0.0000,0.0556,1.475966
1.496464,1,0x02,0.0000,0.0556,1.480913
1.496464,2,0x03,0.0000,-0.1111,1.476936
1.496464,3,0x04,0.0000,0.0556,1.479913
1.497552,0,0x01,0.0000,0.0556,1.475966
1.497552,1,0x02,0.0000,0.0556,1.480913
1.497552,2,0x03,0.0000,-0.1111,1.476936
1.497552,3,0x04,0.0000,0.0556,1.479913
1.498643,0,0x01,0.0000,0.0556,1.475966
1.498643,1,0x02,0.0000,0.0556,1.480913
1.498643,2,0x03,0.0000,-0.1111,1.476936
1.498643,3,0x04,0.0000,0.0556,1.479913
1.499739,0,0x01,0.0000,0.0556,1.475966
1.499739,1,0x02,0.0000,0.0556,1.480913
1.499739,2,0x03,0.0000,-0.1111,1.476936
1.499739,3,0x04,0.0000,0.0556,1.479913
1.500820,0,0x01,0.0000,0.0556,1.475966
1.500820,1,0x02,0.0000,0.0556,1.480913
1.500820,2,0x03,0.0000,-0.1111,1.476936
1.500820,3,0x04,0.0000,0.0556,1.479913
1.508445,0,0x01,0.0000,0.0556,1.475966
1.508445,1,0x02,0.0000,0.0556,1.480913
1.508445,2,0x03,0.0000,-0.1111,1.476936
1.508445,3,0x04,0.0000,0.0556,1.479913
1.509517,0,0x01,0.0000,0.0556,1.475966
1.509517,1,0x02,0.0000,0.0556,1.480913
1.509517,2,0x03,0.0000,-0.1111,1.476936
1.509517,3,0x04,0.0000,0.0556,1.479913
1.510601,0,0x01,0.0000,0.0556,1.475966
1.510601,1,0x02,0.0000,0.0556,1.480913
1.510601,2,0x03,0.0000,-0.1111,1.476936
1.510601,3,0x04,0.0000,0.0556,1.479913
1.517462,0,0x01,0.0000,0.0556,1.475966
1.517462,1,0x02,0.0000,0.0556,1.480913
1.517462,2,0x03,0.0000,-0.1111,1.476936
1.517462,3,0x04,0.0000,0.0556,1.479913
1.518549,0,0x01,0.0000,0.0556,1.475966
1.518549,1,0x02,0.0000,0.0556,1.480913
1.518549,2,0x03,0.0000,-0.1111,1.476936
1.518549,3,0x04,0.0000,0.0556,1.479913
1.519668,0,0x01,0.0000,0.0556,1.475966
1.519668,1,0x02,0.0000,0.0556,1.480913
1.519668,2,0x03,0.0000,-0.1111,1.476936
1.519668,3,0x04,0.0000,0.0556,1.518956
1.520739,0,0x01,0.0000,0.0556,1.475966
1.520739,1,0x02,0.0000,0.0556,1.480913
1.520739,2,0x03,0.0000,-0.1111,1.476936
1.520739,3,0x04,0.0000,0.0556,1.518956
1.528538,0,0x01,0.0000,0.0556,1.524930
1.528538,1,0x02,0.0000,0.1111,1.526948
1.528538,2,0x03,0.0000,-0.1111,1.527940
1.528538,3,0x04,0.0000,0.0556,1.518956
1.529617,0,0x01,0.0000,0.1667,1.528926
1.529617,1,0x02,0.0000,0.1111,1.526948
1.529617,2,0x03,0.0000,-0.1111,1.527940
1.529617,3,0x04,0.0000,0.0556,1.518956
1.530688,0,0x01,0.0000,0.1667,1.528926
1.530688,1,0x02,0.0000,0.1111,1.526948
1.530688,2,0x03,0.0000,-0.1111,1.527940
1.530688,3,0x04,0.0000,0.0556,1.518956
1.538463,0,0x01,0.0000,0.1667,1.528926
1.538463,1,0x02,0.0000,0.1111,1.526948
1.538463,2,0x03,0.0000,-0.1111,1.527940
1.538463,3,0x04,0.0000,0.0556,1.518956
1.540176,0,0x01,0.0000,0.1667,1.528926
1.540176,1,0x02,0.0000,0.1111,1.526948
1.540176,2,0x03,0.0000,-0.1111,1.527940
1.540176,3,0x04,0.0000,0.0556,1.518956
1.541261,0,0x01,0.0000,0.1667,1.528926
1.541261,1,0x02,0.0000,0.1111,1.526948
1.541261,2,0x03,0.0000,-0.1111,1.527940
1.541261,3,0x04,0.0000,0.0556,1.518956
1.547468,0,0x01,0.0000,0.1667,1.528926
1.547468,1,0x02,0.0000,0.1111,1.526948
1.547468,2,0x03,0.0000,-0.1111,1.527940
1.547468,3,0x04,0.0000,0.0556,1.518956
1.548552,0,0x01,0.0000,0.1667,1.528926
1.548552,1,0x02,0.0000,0.1111,1.526948
1.548552,2,0x03,0.0000,-0.1111,1.527940
1.548552,3,0x04,0.0000,0.0556,1.518956
1.549638,0,0x01,0.0000,0.1667,1.528926
1.549638,1,0x02,0.0000,0.1111,1.526948
1.549638,2,0x03,0.0000,-0.1111,1.527940
1.549638,3,0x04,0.0000,0.0556,1.518956
1.550718,0,0x01,0.0000,0.1667,1.528926
1.550718,1,0x02,0.0000,0.1111,1.526948
1.550718,2,0x03,0.0000,-0.1111,1.527940
1.550718,3,0x04,0.0000,0.0556,1.518956
1.558457,0,0x01,0.0000,0.1667,1.528926
1.558457,1,0x02,0.0000,0.1111,1.526948
1.558457,2,0x03,0.0000,-0.1111,1.527940
1.558457,3,0x04,0.0000,0.0556,1.518956
1.559532,0,0x01,0.0000,0.1667,1.528926
1.559532,1,0x02,0.0000,0.1111,1.526948
1.559532,2,0x03,0.0000,-0.1111,1.527940
1.559532,3,0x04,0.0000,0.0556,1.518956
1.560611,0,0x01,0.0000,0.1667,1.528926
1.560611,1,0x02,0.0000,0.1111,1.526948
1.560611,2,0x03,0.0000,-0.1111,1.527940
1.560611,3,0x04,0.0000,0.0556,1.518956
1.567473,0,0x01,0.0000,0.1667,1.528926
1.567473,1,0x02,0.0000,0.1111,1.526948
1.567473,2,0x03,0.0000,-0.1111,1.527940
1.567473,3,0x04,0.0000,0.0556,1.518956
1.568554,0,0x01,0.0000,0.1667,1.528926
1.568554,1,0x02,0.0000,0.1111,1.526948
1.568554,2,0x03,0.0000,-0.1111,1.527940
1.568554,3,0x04,0.0000,0.0556,1.518956
1.569629,0,0x01,0.0000,0.1667,1.528926
1.569629,1,0x02,0.0000,0.1111,1.526948
1.569629,2,0x03,0.0000,-0.1111,1.527940
1.569629,3,0x04,0.0000,0.0556,1.518956
1.570709,0,0x01,0.0000,0.1667,1.528926
1.570709,1,0x02,0.0000,0.1111,1.526948
1.570709,2,0x03,0.0000,-0.1111,1.527940
1.570709,3,0x04,0.0000,0.0556,1.518956
1.576523,0,0x01,0.0000,0.1667,1.528926
1.576523,1,0x02,0.0000,0.1111,1.526948
1.576523,2,0x03,0.0000,-0.1111,1.527940
1.576523,3,0x04,0.0000,1.2222,1.575989
1.577623,0,0x01,0.0000,1.2222,1.576931
1.577623,1,0x02,0.0000,0.1111,1.526948
1.577623,2,0x03,0.0000,-0.1111,1.527940
1.577623,3,0x04,0.0000,1.2222,1.575989
1.578738,0,0x01,0.0000,1.2222,1.576931
1.578738,1,0x02,0.0000,1.2222,1.577912
1.578738,2,0x03,0.0000,-0.1111,1.527940
1.578738,3,0x04,0.0000,1.2222,1.575989
1.579836,0,0x01,0.0000,1.2222,1.576931
1.579836,1,0x02,0.0000,1.2222,1.577912
1.579836,2,0x03,0.0000,1.2222,1.578925
1.579836,3,0x04,0.0000,1.2222,1.575989
1.580938,0,0x01,0.0000,1.2222,1.576931
1.580938,1,0x02,0.0000,1.2222,1.577912
1.580938,2,0x03,0.0000,1.2222,1.578925
1.580938,3,0x04,0.0000,1.2222,1.579923
1.588513,0,0x01,0.0000,1.1111,1.585924
1.588513,1,0x02,0.0000,1.1667,1.587980
1.588513,2,0x03,0.0000,1.1111,1.584944
1.588513,3,0x04,0.0000,1.2222,1.579923
1.589607,0,0x01,0.0000,1.1111,1.585924
1.589607,1,0x02,0.0000,1.1667,1.587980
1.589607,2,0x03,0.0000,1.0556,1.589164
1.589607,3,0x04,0.0000,1.2222,1.579923
1.590706,0,0x01,0.0000,1.1111,1.589900
