cell_id,amp_deg,offset_deg,direction,repeat_idx,delay_ms,tau_ms,overshoot_pct,settling_ms,final_err_deg,samples
0,3.0000,0.0000,up,0,28.7680,30.0250,5.6523,135.8080,0.0556,176
1,3.0000,0.0000,up,1,45.7980,22.9850,1.7733,127.7840,0.0556,158
2,3.0000,0.0000,up,2,65.8070,11.9820,1.7871,134.8040,0.0556,185
3,3.0000,0.0000,down,0,81.8170,,7.8169,,-0.1667,178
4,3.0000,0.0000,down,1,34.8150,21.0140,5.4556,,-0.1667,177
5,3.0000,0.0000,down,2,72.8320,9.9890,7.2719,,-0.1111,157
6,8.0000,0.0000,up,0,54.8300,58.0040,1.3936,112.8340,0.0000,145
7,8.0000,0.0000,up,1,31.8420,91.0030,0.0000,122.8450,0.0000,175
8,8.0000,0.0000,up,2,99.8480,,1.3979,157.8510,0.0000,166
9,8.0000,0.0000,down,0,63.8610,60.9940,1.4083,124.8550,-0.0556,137
10,8.0000,0.0000,down,1,26.8610,46.0120,1.3792,96.8620,-0.1111,672
