t_s,servo_idx,node_id,cmd_deg,fb_deg,t_fb_arrival_s
1.565200,0,0x01,0.0000,0.1111,1.543545
1.565200,1,0x02,0.0000,0.1111,1.539820
1.565200,2,0x03,0.0000,0.1111,1.542622
1.565200,3,0x04,0.0000,0.0556,1.536591
1.566303,0,0x01,0.0000,0.1111,1.543545
1.566303,1,0x02,0.0000,0.1111,1.539820
1.566303,2,0x03,0.0000,0.1111,1.542622
1.566303,3,0x04,0.0000,0.0556,1.536591
1.567379,0,0x01,0.0000,0.1111,1.543545
1.567379,1,0x02,0.0000,0.1111,1.539820
1.567379,2,0x03,0.0000,0.1111,1.542622
1.567379,3,0x04,0.0000,0.0556,1.536591
1.575153,0,0x01,0.0000,0.1111,1.543545
1.575153,1,0x02,0.0000,0.1111,1.539820
1.575153,2,0x03,0.0000,0.1111,1.542622
1.575153,3,0x04,0.0000,0.0556,1.536591
1.576239,0,0x01,0.0000,0.1111,1.543545
1.576239,1,0x02,0.0000,0.1111,1.539820
1.576239,2,0x03,0.0000,0.1111,1.542622
1.576239,3,0x04,0.0000,0.0556,1.536591
1.577306,0,0x01,0.0000,0.1111,1.543545
1.577306,1,0x02,0.0000,0.1111,1.539820
1.577306,2,0x03,0.0000,0.1111,1.542622
1.577306,3,0x04,0.0000,0.0556,1.536591
1.585193,0,0x01,0.0000,0.1111,1.543545
1.585193,1,0x02,0.0000,0.1111,1.582606
1.585193,2,0x03,0.0000,0.0556,1.583608
1.585193,3,0x04,0.0000,0.0556,1.584519
1.586272,0,0x01,0.0000,0.0556,1.585555
1.586272,1,0x02,0.0000,0.1111,1.582606
1.586272,2,0x03,0.0000,0.0556,1.583608
1.586272,3,0x04,0.0000,0.0556,1.584519
1.587361,0,0x01,0.0000,0.0556,1.585555
1.587361,1,0x02,0.0000,0.1111,1.586642
1.587361,2,0x03,0.0000,0.0556,1.583608
1.587361,3,0x04,0.0000,0.0556,1.584519
1.596205,0,0x01,0.0000,0.0556,1.585555
1.596205,1,0x02,0.0000,0.1111,1.589747
1.596205,2,0x03,0.0000,0.1111,1.588620
1.596205,3,0x04,0.0000,0.0556,1.584519
1.597281,0,0x01,0.0000,0.0556,1.585555
1.597281,1,0x02,0.0000,0.1111,1.589747
1.597281,2,0x03,0.0000,0.1111,1.588620
1.597281,3,0x04,0.0000,0.0556,1.584519
1.605214,0,0x01,0.0000,0.0556,1.585555
1.605214,1,0x02,0.0000,0.1111,1.589747
1.605214,2,0x03,0.0000,0.1111,1.600491
1.605214,3,0x04,0.0000,0.0556,1.584519
1.606281,0,0x01,0.0000,0.0556,1.585555
1.606281,1,0x02,0.0000,0.1111,1.589747
1.606281,2,0x03,0.0000,0.1111,1.600491
1.606281,3,0x04,0.0000,0.0556,1.584519
1.607343,0,0x01,0.0000,0.0556,1.585555
1.607343,1,0x02,0.0000,0.1111,1.589747
1.607343,2,0x03,0.0000,0.1111,1.600491
1.607343,3,0x04,0.0000,0.0556,1.584519
1.615135,0,0x01,0.0000,0.0556,1.585555
1.615135,1,0x02,0.0000,0.1111,1.589747
1.615135,2,0x03,0.0000,0.1111,1.600491
1.615135,3,0x04,0.0000,0.0556,1.584519
1.616204,0,0x01,0.0000,0.0556,1.585555
1.616204,1,0x02,0.0000,0.1111,1.589747
1.616204,2,0x03,0.0000,0.1111,1.600491
1.616204,3,0x04,0.0000,0.0556,1.584519
1.617268,0,0x01,0.0000,0.0556,1.585555
1.617268,1,0x02,0.0000,0.1111,1.589747
1.617268,2,0x03,0.0000,0.1111,1.600491
1.617268,3,0x04,0.0000,0.0556,1.584519
