t_s,servo_idx,node_id,cmd_deg,fb_deg,t_fb_arrival_s
1.512497,0,0x01,0.0000,0.0556,1.504808
1.512497,1,0x02,0.0000,0.0556,1.495822
1.512497,2,0x03,0.0000,0.1111,1.499824
1.512497,3,0x04,0.0000,-0.0556,1.502878
1.513549,0,0x01,0.0000,0.0556,1.504808
1.513549,1,0x02,0.0000,0.0556,1.495822
1.513549,2,0x03,0.0000,0.1111,1.499824
1.513549,3,0x04,0.0000,-0.0556,1.502878
1.514624,0,0x01,0.0000,0.0556,1.504808
1.514624,1,0x02,0.0000,0.0556,1.495822
1.514624,2,0x03,0.0000,0.1111,1.499824
1.514624,3,0x04,0.0000,-0.0556,1.502878
1.515696,0,0x01,0.0000,0.0556,1.504808
1.515696,1,0x02,0.0000,0.0556,1.495822
1.515696,2,0x03,0.0000,0.1111,1.499824
1.515696,3,0x04,0.0000,-0.0556,1.502878
1.516773,0,0x01,0.0000,0.0556,1.504808
1.516773,1,0x02,0.0000,0.0556,1.495822
1.516773,2,0x03,0.0000,0.1111,1.499824
1.516773,3,0x04,0.0000,-0.0556,1.502878
1.524408,0,0x01,0.0000,0.0556,1.504808
1.524408,1,0x02,0.0000,0.0556,1.495822
1.524408,2,0x03,0.0000,0.1111,1.499824
1.524408,3,0x04,0.0000,-0.0556,1.502878
1.525486,0,0x01,0.0000,0.0556,1.504808
1.525486,1,0x02,0.0000,0.0556,1.495822
1.525486,2,0x03,0.0000,0.1111,1.499824
1.525486,3,0x04,0.0000,-0.0556,1.502878
1.526545,0,0x01,0.0000,0.0556,1.504808
1.526545,1,0x02,0.0000,0.0556,1.495822
1.526545,2,0x03,0.0000,0.1111,1.499824
1.526545,3,0x04,0.0000,-0.0556,1.502878
1.534363,0,0x01,0.0000,0.0556,1.504808
1.534363,1,0x02,0.0000,0.0556,1.495822
1.534363,2,0x03,0.0000,0.1111,1.499824
1.534363,3,0x04,0.0000,-0.0556,1.502878
1.535461,0,0x01,0.0000,0.0556,1.504808
1.535461,1,0x02,0.0000,0.0556,1.495822
1.535461,2,0x03,0.0000,0.1111,1.499824
1.535461,3,0x04,0.0000,-0.0556,1.502878
1.536550,0,0x01,0.0000,0.0556,1.504808
1.536550,1,0x02,0.0000,0.0556,1.495822
1.536550,2,0x03,0.0000,0.1111,1.499824
1.536550,3,0x04,0.0000,-0.0556,1.502878
1.544376,0,0x01,0.0000,0.0556,1.504808
1.544376,1,0x02,0.0000,0.0556,1.495822
1.544376,2,0x03,0.0000,0.1111,1.543843
1.544376,3,0x04,0.0000,-0.0556,1.502878
1.545449,0,0x01,0.0000,0.0556,1.504808
1.545449,1,0x02,0.0000,0.0556,1.495822
1.545449,2,0x03,0.0000,0.1111,1.543843
1.545449,3,0x04,0.0000,-0.0556,1.502878
1.546529,0,0x01,0.0000,0.0556,1.504808
1.546529,1,0x02,0.0000,0.0556,1.495822
1.546529,2,0x03,0.0000,0.1111,1.543843
1.546529,3,0x04,0.0000,-0.0556,1.545832
1.554577,0,0x01,0.0000,0.1667,1.552885
1.554577,1,0x02,0.0000,0.1667,1.553871
1.554577,2,0x03,0.0000,0.0556,1.547891
1.554577,3,0x04,0.0000,-0.0556,1.551872
1.555713,0,0x01,0.0000,0.1667,1.552885
1.555713,1,0x02,0.0000,0.1667,1.553871
1.555713,2,0x03,0.0000,0.0556,1.547891
1.555713,3,0x04,0.0000,-0.0556,1.551872
1.556776,0,0x01,0.0000,0.1667,1.552885
1.556776,1,0x02,0.0000,0.1667,1.553871
1.556776,2,0x03,0.0000,0.0556,1.547891
1.556776,3,0x04,0.0000,-0.0556,1.551872
1.566383,0,0x01,0.0000,0.1667,1.552885
1.566383,1,0x02,0.0000,0.1667,1.553871
1.566383,2,0x03,0.0000,0.0556,1.547891
1.566383,3,0x04,0.0000,-0.0556,1.551872
1.567462,0,0x01,0.0000,0.1667,1.552885
1.567462,1,0x02,0.0000,0.1667,1.553871
1.567462,2,0x03,0.0000,0.0556,1.547891
1.567462,3,0x04,0.0000,-0.0556,1.551872
1.573355,0,0x01,0.0000,0.1667,1.552885
1.573355,1,0x02,0.0000,0.1667,1.553871
1.573355,2,0x03,0.0000,0.0556,1.547891
1.573355,3,0x04,0.0000,-0.0556,1.551872
1.574434,0,0x01,0.0000,0.1667,1.552885
1.574434,1,0x02,0.0000,0.1667,1.553871
1.574434,2,0x03,0.0000,0.0556,1.547891
1.574434,3,0x04,0.0000,-0.0556,1.551872
1.575505,0,0x01,0.0000,0.1667,1.552885
1.575505,1,0x02,0.0000,0.1667,1.553871
1.575505,2,0x03,0.0000,0.0556,1.547891
1.575505,3,0x04,0.0000,-0.0556,1.551872
1.576543,0,0x01,0.0000,0.1667,1.552885
1.576543,1,0x02,0.0000,0.1667,1.553871
1.576543,2,0x03,0.0000,0.0556,1.547891
1.576543,3,0x04,0.0000,-0.0556,1.551872
1.582354,0,0x01,0.0000,0.1667,1.552885
1.582354,1,0x02,0.0000,0.1667,1.553871
1.582354,2,0x03,0.0000,0.0556,1.547891
1.582354,3,0x04,0.0000,-0.0556,1.551872
1.583438,0,0x01,0.0000,0.1667,1.552885
1.583438,1,0x02,0.0000,0.1667,1.553871
1.583438,2,0x03,0.0000,0.0556,1.547891
1.583438,3,0x04,0.0000,-0.0556,1.551872
1.584514,0,0x01,0.0000,0.1667,1.552885
1.584514,1,0x02,0.0000,0.1667,1.553871
1.584514,2,0x03,0.0000,0.0556,1.547891
1.584514,3,0x04,0.0000,-0.0556,1.551872
1.585550,0,0x01,0.0000,0.1667,1.552885
1.585550,1,0x02,0.0000,0.1667,1.553871
1.585550,2,0x03,0.0000,0.0556,1.547891
1.585550,3,0x04,0.0000,-0.0556,1.551872
1.586630,0,0x01,0.0000,0.1667,1.552885
1.586630,1,0x02,0.0000,0.1667,1.553871
1.586630,2,0x03,0.0000,0.0556,1.547891
1.586630,3,0x04,0.0000,-0.0556,1.551872
1.594389,0,0x01,0.0000,0.1667,1.552885
1.594389,1,0x02,0.0000,0.1667,1.553871
1.594389,2,0x03,0.0000,0.0556,1.547891
1.594389,3,0x04,0.0000,-0.0556,1.551872
1.595459,0,0x01,0.0000,0.1667,1.552885
1.595459,1,0x02,0.0000,0.1667,1.553871
1.595459,2,0x03,0.0000,0.0556,1.547891
1.595459,3,0x04,0.0000,-0.0556,1.551872
1.596523,0,0x01,0.0000,0.1667,1.552885
1.596523,1,0x02,0.0000,0.1667,1.553871
1.596523,2,0x03,0.0000,0.0556,1.547891
1.596523,3,0x04,0.0000,-0.0556,1.551872
1.603407,0,0x01,0.0000,1.2222,1.600829
1.603407,1,0x02,0.0000,1.3333,1.601826
1.603407,2,0x03,0.0000,1.2222,1.602856
1.603407,3,0x04,0.0000,-0.0556,1.551872
1.604495,0,0x01,0.0000,1.2222,1.600829
1.604495,1,0x02,0.0000,1.3333,1.601826
1.604495,2,0x03,0.0000,1.2222,1.602856
1.604495,3,0x04,0.0000,1.1667,1.603820
1.605566,0,0x01,0.0000,1.2222,1.600829
1.605566,1,0x02,0.0000,1.2778,1.604804
1.605566,2,0x03,0.0000,1.2222,1.602856
1.605566,3,0x04,0.0000,1.1667,1.603820
1.606651,0,0x01,0.0000,1.2222,1.600829
1.606651,1,0x02,0.0000,1.2778,1.604804
1.606651,2,0x03,0.0000,1.1111,1.605807
1.606651,3,0x04,0.0000,1.1667,1.603820
1.614394,0,0x01,0.0000,1.1111,1.613825
1.614394,1,0x02,0.0000,1.1111,1.610822
1.614394,2,0x03,0.0000,1.0556,1.611849
1.614394,3,0x04,0.0000,1.0556,1.612818
1.615479,0,0x01,0.0000,1.1111,1.613825
1.615479,1,0x02,0.0000,1.1111,1.614833
1.615479,2,0x03,0.0000,1.0556,1.611849
1.615479,3,0x04,0.0000,1.0556,1.612818
1.616551,0,0x01,0.0000,1.1111,1.613825
1.616551,1,0x02,0.0000,1.1111,1.614833
1.616551,2,0x03,0.0000,1.0556,1.611849
1.616551,3,0x04,0.0000,1.0556,1.612818
1.627356,0,0x01,0.0000,1.1111,1.613825
1.627356,1,0x02,0.0000,1.1111,1.614833
1.627356,2,0x03,0.0000,1.0556,1.611849
1.627356,3,0x04,0.0000,1.0556,1.612818
1.633369,0,0x01,0.0000,1.1111,1.613825
1.633369,1,0x02,0.0000,1.1111,1.614833
1.633369,2,0x03,0.0000,1.0556,1.611849
1.633369,3,0x04,0.0000,1.0556,1.612818
1.634451,0,0x01,0.0000,1.1111,1.613825
1.634451,1,0x02,0.0000,1.1111,1.614833
1.634451,2,0x03,0.0000,1.0556,1.611849
1.634451,3,0x04,0.0000,1.0556,1.612818
1.635526,0,0x01,0.0000,1.1111,1.613825
1.635526,1,0x02,0.0000,1.1111,1.614833
1.635526,2,0x03,0.0000,1.0556,1.611849
1.635526,3,0x04,0.0000,1.0556,1.612818
1.636605,0,0x01,0.0000,1.1111,1.613825
1.636605,1,0x02,0.0000,1.1111,1.614833
1.636605,2,0x03,0.0000,1.0556,1.611849
1.636605,3,0x04,0.0000,1.0556,1.612818
1.642340,0,0x01,0.0000,1.1111,1.613825
1.642340,1,0x02,0.0000,1.1111,1.614833
1.642340,2,0x03,0.0000,1.0556,1.611849
1.642340,3,0x04,0.0000,1.0556,1.612818
1.643416,0,0x01,0.0000,1.1111,1.613825
1.643416,1,0x02,0.0000,1.1111,1.614833
1.643416,2,0x03,0.0000,1.0556,1.611849
1.643416,3,0x04,0.0000,1.0556,1.612818
1.644486,0,0x01,0.0000,1.1111,1.613825
1.644486,1,0x02,0.0000,1.1111,1.614833
1.644486,2,0x03,0.0000,1.0556,1.611849
1.644486,3,0x04,0.0000,1.0556,1.612818
1.645553,0,0x01,0.0000,1.1111,1.613825
1.645553,1,0x02,0.0000,1.1111,1.614833
1.645553,2,0x03,0.0000,1.0556,1.611849
1.645553,3,0x04,0.0000,1.0556,1.612818
1.646618,0,0x01,0.0000,1.1111,1.613825
1.646618,1,0x02,0.0000,1.1111,1.614833
1.646618,2,0x03,0.0000,1.0556,1.611849
1.646618,3,0x04,0.0000,1.0556,1.612818
1.654488,0,0x01,0.0000,1.1111,1.613825
1.654488,1,0x02,0.0000,1.1111,1.614833
1.654488,2,0x03,0.0000,1.0556,1.611849
1.654488,3,0x04,0.0000,1.0556,1.612818
1.655579,0,0x01,0.0000,1.1111,1.613825
1.655579,1,0x02,0.0000,1.1111,1.614833
1.655579,2,0x03,0.0000,1.0556,1.611849
1.655579,3,0x04,0.0000,1.0556,1.612818
1.656680,0,0x01,0.0000,1.1111,1.613825
1.656680,1,0x02,0.0000,1.1111,1.614833
1.656680,2,0x03,0.0000,1.0556,1.611849
1.656680,3,0x04,0.0000,1.0556,1.612818
1.663461,0,0x01,0.0000,1.1111,1.613825
1.663461,1,0x02,0.0000,1.1111,1.661866
1.663461,2,0x03,0.0000,1.0556,1.662856
1.663461,3,0x04,0.0000,1.0556,1.612818
1.664597,0,0x01,0.0000,1.1111,1.613825
1.664597,1,0x02,0.0000,1.1111,1.661866
1.664597,2,0x03,0.0000,1.0556,1.662856
1.664597,3,0x04,0.0000,1.0556,1.663865
1.665735,0,0x01,0.0000,1.1111,1.664811
1.665735,1,0x02,0.0000,1.1111,1.661866
1.665735,2,0x03,0.0000,1.0556,1.662856
1.665735,3,0x04,0.0000,1.0556,1.663865
1.666839,0,0x01,0.0000,1.1111,1.664811
1.666839,1,0x02,0.0000,1.1111,1.665843
1.666839,2,0x03,0.0000,1.0556,1.662856
1.666839,3,0x04,0.0000,1.0556,1.663865
1.674572,0,0x01,0.0000,1.1111,1.670827
1.674572,1,0x02,0.0000,1.0556,1.671844
1.674572,2,0x03,0.0000,1.0556,1.672836
1.674572,3,0x04,0.0000,1.0556,1.673850
1.675667,0,0x01,0.0000,1.1111,1.674833
1.675667,1,0x02,0.0000,1.0556,1.671844
1.675667,2,0x03,0.0000,1.0556,1.672836
1.675667,3,0x04,0.0000,1.0556,1.673850
1.676768,0,0x01,0.0000,1.1111,1.674833
1.676768,1,0x02,0.0000,1.0556,1.671844
1.676768,2,0x03,0.0000,1.0556,1.675806
1.676768,3,0x04,0.0000,1.0556,1.673850
1.685377,0,0x01,0.0000,1.1111,1.674833
1.685377,1,0x02,0.0000,1.0556,1.671844
1.685377,2,0x03,0.0000,1.0556,1.675806
1.685377,3,0x04,0.0000,1.0556,1.676814
1.686452,0,0x01,0.0000,1.1111,1.674833
1.686452,1,0x02,0.0000,1.0556,1.671844
1.686452,2,0x03,0.0000,1.0556,1.675806
1.686452,3,0x04,0.0000,1.0556,1.676814
1.693485,0,0x01,0.0000,1.1111,1.691832
1.693485,1,0x02,0.0000,1.1111,1.692835
1.693485,2,0x03,0.0000,1.0556,1.689835
1.693485,3,0x04,0.0000,1.1111,1.690881
1.694545,0,0x01,0.0000,1.1111,1.691832
1.694545,1,0x02,0.0000,1.1111,1.692835
1.694545,2,0x03,0.0000,1.0556,1.689835
1.694545,3,0x04,0.0000,1.1111,1.690881
1.695616,0,0x01,0.0000,1.1111,1.691832
1.695616,1,0x02,0.0000,1.1111,1.692835
1.695616,2,0x03,0.0000,1.0556,1.689835
1.695616,3,0x04,0.0000,1.1111,1.690881
1.696720,0,0x01,0.0000,1.1111,1.691832
1.696720,1,0x02,0.0000,1.1111,1.692835
1.696720,2,0x03,0.0000,1.0556,1.695838
1.696720,3,0x04,0.0000,1.1111,1.690881
1.704442,0,0x01,0.0000,1.1667,1.701847
1.704442,1,0x02,0.0000,1.1111,1.703830
1.704442,2,0x03,0.0000,1.0556,1.695838
1.704442,3,0x04,0.0000,1.0556,1.698837
1.705522,0,0x01,0.0000,1.1667,1.701847
1.705522,1,0x02,0.0000,1.1111,1.703830
1.705522,2,0x03,0.0000,1.0556,1.695838
1.705522,3,0x04,0.0000,1.0556,1.698837
1.706597,0,0x01,0.0000,1.1667,1.701847
1.706597,1,0x02,0.0000,1.1111,1.703830
1.706597,2,0x03,0.0000,1.0556,1.695838
1.706597,3,0x04,0.0000,1.0556,1.698837
1.713433,0,0x01,0.0000,1.1111,1.712857
1.713433,1,0x02,0.0000,1.1111,1.703830
1.713433,2,0x03,0.0000,1.0556,1.706830
1.713433,3,0x04,0.0000,1.0556,1.709843
1.714511,0,0x01,0.0000,1.1111,1.712857
1.714511,1,0x02,0.0000,1.1111,1.703830
1.714511,2,0x03,0.0000,1.0556,1.706830
1.714511,3,0x04,0.0000,1.0556,1.709843
1.715550,0,0x01,0.0000,1.1111,1.712857
1.715550,1,0x02,0.0000,1.1111,1.703830
1.715550,2,0x03,0.0000,1.0556,1.706830
1.715550,3,0x04,0.0000,1.0556,1.709843
1.716662,0,0x01,0.0000,1.1111,1.712857
1.716662,1,0x02,0.0000,1.1111,1.715849
1.716662,2,0x03,0.0000,1.0556,1.706830
1.716662,3,0x04,0.0000,1.0556,1.709843
1.724394,0,0x01,0.0000,1.1111,1.712857
1.724394,1,0x02,0.0000,1.1111,1.715849
1.724394,2,0x03,0.0000,1.0556,1.718813
1.724394,3,0x04,0.0000,1.0556,1.721846
1.725465,0,0x01,0.0000,1.1111,1.712857
1.725465,1,0x02,0.0000,1.1111,1.715849
1.725465,2,0x03,0.0000,1.0556,1.718813
1.725465,3,0x04,0.0000,1.0556,1.721846
1.726541,0,0x01,0.0000,1.1111,1.712857
1.726541,1,0x02,0.0000,1.1111,1.715849
1.726541,2,0x03,0.0000,1.0556,1.718813
1.726541,3,0x04,0.0000,1.0556,1.721846
1.733357,0,0x01,0.0000,1.1111,1.712857
1.733357,1,0x02,0.0000,1.1111,1.715849
1.733357,2,0x03,0.0000,1.0556,1.718813
1.733357,3,0x04,0.0000,1.0556,1.721846
1.734436,0,0x01,0.0000,1.1111,1.712857
1.734436,1,0x02,0.0000,1.1111,1.715849
1.734436,2,0x03,0.0000,1.0556,1.718813
1.734436,3,0x04,0.0000,1.0556,1.721846
1.735513,0,0x01,0.0000,1.1111,1.712857
1.735513,1,0x02,0.0000,1.1111,1.715849
1.735513,2,0x03,0.0000,1.0556,1.718813
1.735513,3,0x04,0.0000,1.0556,1.721846
1.736546,0,0x01,0.0000,1.1111,1.712857
1.736546,1,0x02,0.0000,1.1111,1.715849
1.736546,2,0x03,0.0000,1.0556,1.718813
1.736546,3,0x04,0.0000,1.0556,1.721846
1.742349,0,0x01,0.0000,1.1111,1.712857
1.742349,1,0x02,0.0000,1.1111,1.715849
1.742349,2,0x03,0.0000,1.0556,1.718813
1.742349,3,0x04,0.0000,1.0556,1.721846
1.743426,0,0x01,0.0000,1.1111,1.712857
1.743426,1,0x02,0.0000,1.1111,1.715849
1.743426,2,0x03,0.0000,1.0556,1.718813
1.743426,3,0x04,0.0000,1.0556,1.721846
1.744504,0,0x01,0.0000,1.1111,1.712857
1.744504,1,0x02,0.0000,1.1111,1.715849
1.744504,2,0x03,0.0000,1.0556,1.718813
1.744504,3,0x04,0.0000,1.0556,1.721846
1.745559,0,0x01,0.0000,1.1111,1.712857
1.745559,1,0x02,0.0000,1.1111,1.715849
1.745559,2,0x03,0.0000,1.0556,1.718813
1.745559,3,0x04,0.0000,1.0556,1.721846
1.746629,0,0x01,0.0000,1.1111,1.712857
1.746629,1,0x02,0.0000,1.1111,1.715849
1.746629,2,0x03,0.0000,1.0556,1.718813
1.746629,3,0x04,0.0000,1.0556,1.721846
1.754354,0,0x01,0.0000,1.1111,1.712857
1.754354,1,0x02,0.0000,1.1111,1.715849
1.754354,2,0x03,0.0000,1.0556,1.718813
1.754354,3,0x04,0.0000,1.0556,1.721846
1.755431,0,0x01,0.0000,1.1111,1.712857
1.755431,1,0x02,0.0000,1.1111,1.715849
1.755431,2,0x03,0.0000,1.0556,1.718813
1.755431,3,0x04,0.0000,1.0556,1.721846
1.756518,0,0x01,0.0000,1.1111,1.712857
1.756518,1,0x02,0.0000,1.1111,1.715849
1.756518,2,0x03,0.0000,1.0556,1.718813
1.756518,3,0x04,0.0000,1.0556,1.721846
1.763421,0,0x01,0.0000,1.1667,1.762830
1.763421,1,0x02,0.0000,1.1111,1.715849
1.763421,2,0x03,0.0000,1.0556,1.718813
1.763421,3,0x04,0.0000,1.0556,1.760842
1.764528,0,0x01,0.0000,1.1667,1.762830
1.764528,1,0x02,0.0000,1.1111,1.715849
1.764528,2,0x03,0.0000,1.0556,1.763827
1.764528,3,0x04,0.0000,1.0556,1.760842
1.765654,0,0x01,0.0000,1.1111,1.764802
1.765654,1,0x02,0.0000,1.1111,1.715849
1.765654,2,0x03,0.0000,1.0556,1.763827
1.765654,3,0x04,0.0000,1.0556,1.760842
1.776440,0,0x01,0.0000,1.1111,1.764802
1.776440,1,0x02,0.0000,1.1111,1.768822
1.776440,2,0x03,0.0000,1.0000,1.767636
1.776440,3,0x04,0.0000,1.0556,1.767818
1.784347,0,0x01,0.0000,1.1111,1.764802
1.784347,1,0x02,0.0000,1.1111,1.768822
1.784347,2,0x03,0.0000,1.0000,1.767636
1.784347,3,0x04,0.0000,1.0556,1.767818
1.785424,0,0x01,0.0000,1.1111,1.764802
1.785424,1,0x02,0.0000,1.1111,1.768822
1.785424,2,0x03,0.0000,1.0000,1.767636
1.785424,3,0x04,0.0000,1.0556,1.767818
1.786500,0,0x01,0.0000,1.1111,1.764802
1.786500,1,0x02,0.0000,1.1111,1.768822
1.786500,2,0x03,0.0000,1.0000,1.767636
1.786500,3,0x04,0.0000,1.0556,1.767818
1.793355,0,0x01,0.0000,1.1111,1.764802
1.793355,1,0x02,0.0000,1.1111,1.768822
1.793355,2,0x03,0.0000,1.0000,1.767636
1.793355,3,0x04,0.0000,1.0556,1.767818
1.794434,0,0x01,0.0000,1.1111,1.764802
1.794434,1,0x02,0.0000,1.1111,1.768822
1.794434,2,0x03,0.0000,1.0000,1.767636
1.794434,3,0x04,0.0000,1.0556,1.767818
1.795511,0,0x01,0.0000,1.1111,1.764802
1.795511,1,0x02,0.0000,1.1111,1.768822
1.795511,2,0x03,0.0000,1.0000,1.767636
1.795511,3,0x04,0.0000,1.0556,1.767818
1.796556,0,0x01,0.0000,1.1111,1.764802
1.796556,1,0x02,0.0000,1.1111,1.768822
1.796556,2,0x03,0.0000,1.0000,1.767636
1.796556,3,0x04,0.0000,1.0556,1.767818
1.802351,0,0x01,0.0000,1.1111,1.764802
1.802351,1,0x02,0.0000,1.1111,1.768822
1.802351,2,0x03,0.0000,1.0000,1.767636
1.802351,3,0x04,0.0000,1.0556,1.767818
1.803429,0,0x01,0.0000,1.1111,1.764802
1.803429,1,0x02,0.0000,1.1111,1.768822
1.803429,2,0x03,0.0000,1.0000,1.767636
1.803429,3,0x04,0.0000,1.0556,1.767818
1.804505,0,0x01,0.0000,1.1111,1.764802
1.804505,1,0x02,0.0000,1.1111,1.768822
1.804505,2,0x03,0.0000,1.0000,1.767636
1.804505,3,0x04,0.0000,1.0556,1.767818
1.805550,0,0x01,0.0000,1.1111,1.764802
1.805550,1,0x02,0.0000,1.1111,1.768822
1.805550,2,0x03,0.0000,1.0000,1.767636
1.805550,3,0x04,0.0000,1.0556,1.767818
1.806623,0,0x01,0.0000,1.1111,1.764802
1.806623,1,0x02,0.0000,1.1111,1.768822
1.806623,2,0x03,0.0000,1.0000,1.767636
1.806623,3,0x04,0.0000,1.0556,1.767818
1.814356,0,0x01,0.0000,1.1111,1.764802
1.814356,1,0x02,0.0000,1.1111,1.768822
1.814356,2,0x03,0.0000,1.0000,1.767636
1.814356,3,0x04,0.0000,1.0556,1.767818
1.815489,0,0x01,0.0000,1.1111,1.764802
1.815489,1,0x02,0.0000,1.1111,1.768822
1.815489,2,0x03,0.0000,1.0556,1.814820
1.815489,3,0x04,0.0000,1.0556,1.767818
1.816551,0,0x01,0.0000,1.1111,1.764802
1.816551,1,0x02,0.0000,1.1111,1.768822
1.816551,2,0x03,0.0000,1.0556,1.814820
1.816551,3,0x04,0.0000,1.0556,1.767818
1.823432,0,0x01,0.0000,-0.9444,1.816820
1.823432,1,0x02,0.0000,-1.2222,1.820840
1.823432,2,0x03,0.0000,-0.8889,1.821827
1.823432,3,0x04,0.0000,-1.0556,1.822826
1.824527,0,0x01,0.0000,-0.9444,1.816820
1.824527,1,0x02,0.0000,-1.1667,1.823820
1.824527,2,0x03,0.0000,-0.8889,1.821827
1.824527,3,0x04,0.0000,-1.0556,1.822826
1.825598,0,0x01,0.0000,-0.9444,1.816820
1.825598,1,0x02,0.0000,-1.1667,1.823820
1.825598,2,0x03,0.0000,-0.8889,1.821827
1.825598,3,0x04,0.0000,-1.0556,1.822826
1.826696,0,0x01,0.0000,-0.9444,1.816820
1.826696,1,0x02,0.0000,-1.1667,1.823820
1.826696,2,0x03,0.0000,-0.8889,1.825810
1.826696,3,0x04,0.0000,-1.0556,1.822826
1.834410,0,0x01,0.0000,-1.0556,1.828816
1.834410,1,0x02,0.0000,-1.1667,1.826824
1.834410,2,0x03,0.0000,-0.8889,1.827812
1.834410,3,0x04,0.0000,-1.0556,1.822826
1.835477,0,0x01,0.0000,-1.0556,1.828816
1.835477,1,0x02,0.0000,-1.1667,1.826824
1.835477,2,0x03,0.0000,-0.8889,1.827812
1.835477,3,0x04,0.0000,-1.0556,1.822826
1.836548,0,0x01,0.0000,-1.0556,1.828816
1.836548,1,0x02,0.0000,-1.1667,1.826824
1.836548,2,0x03,0.0000,-0.8889,1.827812
1.836548,3,0x04,0.0000,-1.0556,1.822826
1.843345,0,0x01,0.0000,-1.0556,1.828816
1.843345,1,0x02,0.0000,-1.1667,1.826824
1.843345,2,0x03,0.0000,-0.8889,1.827812
1.843345,3,0x04,0.0000,-1.0556,1.822826
1.844424,0,0x01,0.0000,-1.0556,1.828816
1.844424,1,0x02,0.0000,-1.1667,1.826824
1.844424,2,0x03,0.0000,-0.8889,1.827812
1.844424,3,0x04,0.0000,-1.0556,1.822826
1.845499,0,0x01,0.0000,-1.0556,1.828816
1.845499,1,0x02,0.0000,-1.1667,1.826824
1.845499,2,0x03,0.0000,-0.8889,1.827812
1.845499,3,0x04,0.0000,-1.0556,1.822826
1.846550,0,0x01,0.0000,-1.0556,1.828816
1.846550,1,0x02,0.0000,-1.1667,1.826824
1.846550,2,0x03,0.0000,-0.8889,1.827812
1.846550,3,0x04,0.0000,-1.0556,1.822826
1.852351,0,0x01,0.0000,-1.0556,1.828816
1.852351,1,0x02,0.0000,-1.1667,1.826824
1.852351,2,0x03,0.0000,-0.8889,1.827812
1.852351,3,0x04,0.0000,-1.0556,1.822826
1.853422,0,0x01,0.0000,-1.0556,1.828816
1.853422,1,0x02,0.0000,-1.1667,1.826824
1.853422,2,0x03,0.0000,-0.8889,1.827812
1.853422,3,0x04,0.0000,-1.0556,1.822826
1.854492,0,0x01,0.0000,-1.0556,1.828816
1.854492,1,0x02,0.0000,-1.1667,1.826824
1.854492,2,0x03,0.0000,-0.8889,1.827812
1.854492,3,0x04,0.0000,-1.0556,1.822826
1.855554,0,0x01,0.0000,-1.0556,1.828816
1.855554,1,0x02,0.0000,-1.1667,1.826824
1.855554,2,0x03,0.0000,-0.8889,1.827812
1.855554,3,0x04,0.0000,-1.0556,1.822826
1.856629,0,0x01,0.0000,-1.0556,1.828816
1.856629,1,0x02,0.0000,-1.1667,1.826824
1.856629,2,0x03,0.0000,-0.8889,1.827812
