t_s,servo_idx,node_id,cmd_deg,fb_deg,t_fb_arrival_s
1.452582,0,0x01,0.0000,-0.0556,1.438948
1.452582,1,0x02,0.0000,-0.1111,1.436926
1.452582,2,0x03,0.0000,-0.1111,1.439942
1.452582,3,0x04,0.0000,-0.1111,1.437940
1.453673,0,0x01,0.0000,-0.0556,1.438948
1.453673,1,0x02,0.0000,-0.1111,1.436926
1.453673,2,0x03,0.0000,-0.1111,1.439942
1.453673,3,0x04,0.0000,-0.1111,1.437940
1.454758,0,0x01,0.0000,-0.0556,1.438948
1.454758,1,0x02,0.0000,-0.1111,1.436926
1.454758,2,0x03,0.0000,-0.1111,1.439942
1.454758,3,0x04,0.0000,-0.1111,1.437940
1.461545,0,0x01,0.0000,-0.0556,1.438948
1.461545,1,0x02,0.0000,-0.1111,1.436926
1.461545,2,0x03,0.0000,-0.1111,1.439942
1.461545,3,0x04,0.0000,-0.1111,1.437940
1.462636,0,0x01,0.0000,-0.0556,1.438948
1.462636,1,0x02,0.0000,-0.1111,1.436926
1.462636,2,0x03,0.0000,-0.1111,1.439942
1.462636,3,0x04,0.0000,-0.1111,1.437940
1.463712,0,0x01,0.0000,-0.0556,1.438948
1.463712,1,0x02,0.0000,-0.1111,1.436926
1.463712,2,0x03,0.0000,-0.1111,1.439942
1.463712,3,0x04,0.0000,-0.1111,1.437940
1.464785,0,0x01,0.0000,-0.0556,1.438948
1.464785,1,0x02,0.0000,-0.1111,1.436926
1.464785,2,0x03,0.0000,-0.1111,1.439942
1.464785,3,0x04,0.0000,-0.1111,1.437940
1.465858,0,0x01,0.0000,-0.0556,1.438948
1.465858,1,0x02,0.0000,-0.1111,1.436926
1.465858,2,0x03,0.0000,-0.1111,1.439942
1.465858,3,0x04,0.0000,-0.1111,1.437940
1.473488,0,0x01,0.0000,-0.0556,1.438948
1.473488,1,0x02,0.0000,-0.1111,1.436926
1.473488,2,0x03,0.0000,-0.1111,1.439942
1.473488,3,0x04,0.0000,-0.1111,1.437940
1.474566,0,0x01,0.0000,-0.0556,1.438948
1.474566,1,0x02,0.0000,-0.1111,1.436926
1.474566,2,0x03,0.0000,-0.1111,1.439942
1.474566,3,0x04,0.0000,-0.1111,1.437940
1.475638,0,0x01,0.0000,-0.0556,1.438948
1.475638,1,0x02,0.0000,-0.1111,1.436926
1.475638,2,0x03,0.0000,-0.1111,1.439942
1.475638,3,0x04,0.0000,-0.1111,1.437940
1.482570,0,0x01,0.0000,-0.0556,1.477967
1.482570,1,0x02,0.0000,-0.1111,1.481966
