t_s,servo_idx,node_id,cmd_deg,fb_deg,t_fb_arrival_s
1.500882,0,0x01,0.0000,0.1111,1.498328
1.500882,1,0x02,0.0000,0.1111,1.483274
1.500882,2,0x03,0.0000,0.0556,1.499303
1.500882,3,0x04,0.0000,0.1111,1.500295
1.501969,0,0x01,0.0000,0.1111,1.498328
1.501969,1,0x02,0.0000,0.1111,1.483274
1.501969,2,0x03,0.0000,0.0556,1.499303
1.501969,3,0x04,0.0000,0.1111,1.500295
1.503050,0,0x01,0.0000,0.1111,1.498328
1.503050,1,0x02,0.0000,0.1111,1.483274
1.503050,2,0x03,0.0000,0.0556,1.499303
1.503050,3,0x04,0.0000,0.1111,1.500295
1.504161,0,0x01,0.0000,0.1111,1.503295
1.504161,1,0x02,0.0000,0.1111,1.483274
1.504161,2,0x03,0.0000,0.0556,1.499303
1.504161,3,0x04,0.0000,0.1111,1.500295
1.511902,0,0x01,0.0000,0.1111,1.503295
1.511902,1,0x02,0.0000,0.1111,1.506315
1.511902,2,0x03,0.0000,0.1111,1.509298
1.511902,3,0x04,0.0000,0.1111,1.500295
1.513006,0,0x01,0.0000,0.1111,1.503295
1.513006,1,0x02,0.0000,0.1111,1.506315
1.513006,2,0x03,0.0000,0.1111,1.509298
1.513006,3,0x04,0.0000,0.2778,1.512295
1.514090,0,0x01,0.0000,0.1111,1.503295
1.514090,1,0x02,0.0000,0.1111,1.506315
1.514090,2,0x03,0.0000,0.1111,1.509298
1.514090,3,0x04,0.0000,0.2778,1.512295
1.521874,0,0x01,0.0000,0.1111,1.514303
1.521874,1,0x02,0.0000,0.6667,1.519309
1.521874,2,0x03,0.0000,0.1111,1.509298
1.521874,3,0x04,0.0000,0.2778,1.512295
1.522962,0,0x01,0.0000,0.1111,1.514303
1.522962,1,0x02,0.0000,0.6667,1.519309
1.522962,2,0x03,0.0000,0.2778,1.522292
1.522962,3,0x04,0.0000,0.2778,1.512295
1.524044,0,0x01,0.0000,0.1111,1.514303
1.524044,1,0x02,0.0000,0.6667,1.519309
1.524044,2,0x03,0.0000,0.2778,1.522292
1.524044,3,0x04,0.0000,0.2778,1.512295
1.531915,0,0x01,0.0000,0.6667,1.529336
1.531915,1,0x02,0.0000,0.6667,1.519309
1.531915,2,0x03,0.0000,0.2778,1.522292
1.531915,3,0x04,0.0000,0.6667,1.525287
1.533008,0,0x01,0.0000,0.6667,1.529336
1.533008,1,0x02,0.0000,0.6667,1.519309
1.533008,2,0x03,0.0000,0.2778,1.522292
1.533008,3,0x04,0.0000,0.6667,1.525287
1.534107,0,0x01,0.0000,0.6667,1.529336
1.534107,1,0x02,0.0000,0.6667,1.519309
1.534107,2,0x03,0.0000,0.2778,1.522292
1.534107,3,0x04,0.0000,0.6667,1.525287
1.541826,0,0x01,0.0000,0.6667,1.529336
1.541826,1,0x02,0.0000,0.6667,1.519309
1.541826,2,0x03,0.0000,0.2778,1.522292
1.541826,3,0x04,0.0000,0.6667,1.525287
1.542908,0,0x01,0.0000,0.6667,1.529336
1.542908,1,0x02,0.0000,0.6667,1.519309
1.542908,2,0x03,0.0000,0.2778,1.522292
1.542908,3,0x04,0.0000,0.6667,1.525287
1.543990,0,0x01,0.0000,0.6667,1.529336
1.543990,1,0x02,0.0000,0.6667,1.519309
1.543990,2,0x03,0.0000,0.2778,1.522292
1.543990,3,0x04,0.0000,0.6667,1.525287
1.550844,0,0x01,0.0000,0.6667,1.529336
1.550844,1,0x02,0.0000,0.6667,1.519309
1.550844,2,0x03,0.0000,0.2778,1.522292
1.550844,3,0x04,0.0000,0.6667,1.525287
1.551961,0,0x01,0.0000,0.6667,1.529336
1.551961,1,0x02,0.0000,0.6667,1.519309
1.551961,2,0x03,0.0000,0.2778,1.522292
1.551961,3,0x04,0.0000,0.6667,1.525287
1.553053,0,0x01,0.0000,0.6667,1.529336
1.553053,1,0x02,0.0000,0.6667,1.519309
1.553053,2,0x03,0.0000,0.2778,1.522292
1.553053,3,0x04,0.0000,0.6667,1.525287
1.554141,0,0x01,0.0000,0.6667,1.529336
1.554141,1,0x02,0.0000,0.6667,1.519309
1.554141,2,0x03,0.0000,0.2778,1.522292
1.554141,3,0x04,0.0000,0.6667,1.525287
1.561824,0,0x01,0.0000,0.6667,1.529336
1.561824,1,0x02,0.0000,0.6667,1.519309
1.561824,2,0x03,0.0000,0.2778,1.522292
1.561824,3,0x04,0.0000,0.6667,1.525287
1.562904,0,0x01,0.0000,0.6667,1.529336
1.562904,1,0x02,0.0000,0.6667,1.519309
1.562904,2,0x03,0.0000,0.2778,1.522292
1.562904,3,0x04,0.0000,0.6667,1.525287
1.563976,0,0x01,0.0000,0.6667,1.529336
1.563976,1,0x02,0.0000,0.6667,1.519309
1.563976,2,0x03,0.0000,0.2778,1.522292
1.563976,3,0x04,0.0000,0.6667,1.525287
1.570879,0,0x01,0.0000,1.1111,1.569297
1.570879,1,0x02,0.0000,1.1111,1.570301
1.570879,2,0x03,0.0000,1.0556,1.567309
1.570879,3,0x04,0.0000,1.1111,1.568424
1.571957,0,0x01,0.0000,1.1111,1.569297
1.571957,1,0x02,0.0000,1.1111,1.570301
1.571957,2,0x03,0.0000,1.0556,1.567309
1.571957,3,0x04,0.0000,1.1111,1.571305
1.573056,0,0x01,0.0000,1.1111,1.572277
1.573056,1,0x02,0.0000,1.1111,1.570301
1.573056,2,0x03,0.0000,1.0556,1.567309
1.573056,3,0x04,0.0000,1.1111,1.571305
1.574382,0,0x01,0.0000,1.1111,1.572277
1.574382,1,0x02,0.0000,1.1111,1.570301
1.574382,2,0x03,0.0000,1.0556,1.573293
1.574382,3,0x04,0.0000,1.0556,1.574296
1.581862,0,0x01,0.0000,1.1111,1.575270
1.581862,1,0x02,0.0000,1.1111,1.570301
1.581862,2,0x03,0.0000,1.0556,1.576281
1.581862,3,0x04,0.0000,1.0556,1.574296
1.582934,0,0x01,0.0000,1.1111,1.575270
1.582934,1,0x02,0.0000,1.1111,1.570301
1.582934,2,0x03,0.0000,1.0556,1.576281
1.582934,3,0x04,0.0000,1.0556,1.574296
1.583997,0,0x01,0.0000,1.1111,1.575270
1.583997,1,0x02,0.0000,1.1111,1.570301
1.583997,2,0x03,0.0000,1.0556,1.576281
1.583997,3,0x04,0.0000,1.0556,1.574296
1.591831,0,0x01,0.0000,1.1111,1.575270
1.591831,1,0x02,0.0000,1.1111,1.570301
1.591831,2,0x03,0.0000,1.0556,1.576281
1.591831,3,0x04,0.0000,1.0556,1.574296
1.592906,0,0x01,0.0000,1.1111,1.575270
1.592906,1,0x02,0.0000,1.1111,1.570301
1.592906,2,0x03,0.0000,1.0556,1.576281
1.592906,3,0x04,0.0000,1.0556,1.574296
1.594000,0,0x01,0.0000,1.1111,1.575270
1.594000,1,0x02,0.0000,1.1111,1.570301
1.594000,2,0x03,0.0000,1.0556,1.576281
1.594000,3,0x04,0.0000,1.0556,1.574296
1.600835,0,0x01,0.0000,1.1111,1.575270
1.600835,1,0x02,0.0000,1.1111,1.570301
