servo_idx,amp_deg,delta_fb_mean,delta_fb_std,n,verdict
0,0.025,0.0017046303094816473,0.004066907096955335,6,in-band
0,0.05,0.0018913850903141429,0.008696891075783858,6,in-band
0,0.1,0.005391275211351221,0.0031220043303165465,6,in-band
0,0.15,0.023053362935539407,0.02643280468368953,6,in-band
0,0.2,0.07986565944019748,0.08193269867167496,6,ABOVE
0,0.3,0.13552843976714926,0.11934262308989277,6,ABOVE
0,0.5,0.6477787563081043,0.10204070646706556,6,ABOVE
0,1.0,1.1170989331599201,0.11340306432824783,6,ABOVE
1,0.025,-0.0007783037233234624,0.0038685966586124885,6,in-band
1,0.05,-0.0036693888808078793,0.004005659602871299,6,in-band
1,0.1,3.6095227200039475e-05,0.004756620457939911,6,in-band
1,0.15,0.037517420152106434,0.05962645368008731,6,in-band
1,0.2,0.16126251253376253,0.11895519883552962,6,ABOVE
1,0.3,0.2644916835895239,0.11117299632144549,6,ABOVE
1,0.5,0.5826636619093255,0.06734774485072074,6,ABOVE
1,1.0,1.0920766715206989,0.06848328287747409,6,ABOVE
2,0.025,5.449703987532121e-05,0.010487212767591856,6,in-band
2,0.05,0.00037948257577413133,0.005415290176996897,6,in-band
2,0.1,0.00018450147307777268,0.002293221609123183,6,in-band
2,0.15,0.018533333333333336,0.02871171653988432,6,in-band
2,0.2,0.06674892753623189,0.07327237015253867,6,ABOVE
2,0.3,0.12266448157496586,0.12137988795005321,6,ABOVE
2,0.5,0.6138396737472418,0.11155579121692445,6,ABOVE
2,1.0,1.0115130121785156,0.08954990345272017,6,ABOVE
3,0.025,0.0030439023651954535,0.00935467153431207,6,in-band
3,0.05,0.002116407052985997,0.0018281828183603743,6,in-band
3,0.1,-0.003767101449275364,0.003287180862488408,6,in-band
3,0.15,0.017677102693602696,0.026326382332398274,6,in-band
3,0.2,0.10433443642709948,0.10001036624682164,6,ABOVE
3,0.3,0.2289426583782562,0.12770942279584502,6,ABOVE
3,0.5,0.5992717496853814,0.09342695303859178,6,ABOVE
3,1.0,1.1153720303397059,0.1148175070871989,6,ABOVE
