t_s,servo_idx,node_id,cmd_deg,fb_deg,t_fb_arrival_s
1.503951,0,0x01,0.0000,0.1111,1.485303
1.503951,1,0x02,0.0000,0.0556,1.486316
1.503951,2,0x03,0.0000,0.0556,1.441300
1.503951,3,0x04,0.0000,0.0556,1.483334
1.505038,0,0x01,0.0000,0.1111,1.485303
1.505038,1,0x02,0.0000,0.0556,1.486316
1.505038,2,0x03,0.0000,0.0556,1.441300
1.505038,3,0x04,0.0000,0.0556,1.483334
1.506090,0,0x01,0.0000,0.1111,1.485303
1.506090,1,0x02,0.0000,0.0556,1.486316
1.506090,2,0x03,0.0000,0.0556,1.441300
1.506090,3,0x04,0.0000,0.0556,1.483334
1.512867,0,0x01,0.0000,0.1111,1.485303
1.512867,1,0x02,0.0000,0.0556,1.486316
1.512867,2,0x03,0.0000,0.0556,1.441300
1.512867,3,0x04,0.0000,0.0556,1.483334
1.513944,0,0x01,0.0000,0.1111,1.485303
1.513944,1,0x02,0.0000,0.0556,1.486316
1.513944,2,0x03,0.0000,0.0556,1.441300
1.513944,3,0x04,0.0000,0.0556,1.483334
1.515019,0,0x01,0.0000,0.1111,1.485303
1.515019,1,0x02,0.0000,0.0556,1.486316
1.515019,2,0x03,0.0000,0.0556,1.441300
1.515019,3,0x04,0.0000,0.0556,1.483334
1.516088,0,0x01,0.0000,0.1111,1.485303
1.516088,1,0x02,0.0000,0.0556,1.486316
1.516088,2,0x03,0.0000,0.0556,1.441300
1.516088,3,0x04,0.0000,0.0556,1.483334
1.521852,0,0x01,0.0000,0.1111,1.485303
1.521852,1,0x02,0.0000,0.0556,1.486316
1.521852,2,0x03,0.0000,0.0556,1.441300
1.521852,3,0x04,0.0000,0.0556,1.483334
1.522928,0,0x01,0.0000,0.1111,1.485303
1.522928,1,0x02,0.0000,0.0556,1.486316
1.522928,2,0x03,0.0000,0.0556,1.441300
1.522928,3,0x04,0.0000,0.0556,1.483334
1.523998,0,0x01,0.0000,0.1111,1.485303
1.523998,1,0x02,0.0000,0.0556,1.486316
1.523998,2,0x03,0.0000,0.0556,1.441300
1.523998,3,0x04,0.0000,0.0556,1.483334
1.525069,0,0x01,0.0000,0.1111,1.485303
1.525069,1,0x02,0.0000,0.0556,1.486316
1.525069,2,0x03,0.0000,0.0556,1.441300
1.525069,3,0x04,0.0000,0.0556,1.483334
1.526147,0,0x01,0.0000,0.1111,1.485303
1.526147,1,0x02,0.0000,0.0556,1.486316
1.526147,2,0x03,0.0000,0.0556,1.441300
1.526147,3,0x04,0.0000,0.0556,1.483334
1.533846,0,0x01,0.0000,0.1111,1.485303
1.533846,1,0x02,0.0000,0.0556,1.486316
1.533846,2,0x03,0.0000,0.0556,1.441300
1.533846,3,0x04,0.0000,0.0556,1.483334
1.534962,0,0x01,0.0000,0.1111,1.485303
1.534962,1,0x02,0.0000,0.0556,1.486316
1.534962,2,0x03,0.0000,0.0556,1.534323
1.534962,3,0x04,0.0000,0.0556,1.483334
1.536092,0,0x01,0.0000,0.1111,1.535295
1.536092,1,0x02,0.0000,0.0556,1.486316
1.536092,2,0x03,0.0000,0.0556,1.534323
1.536092,3,0x04,0.0000,0.0556,1.483334
1.542879,0,0x01,0.0000,0.1111,1.535295
1.542879,1,0x02,0.0000,0.0556,1.542315
1.542879,2,0x03,0.0000,0.0556,1.540318
1.542879,3,0x04,0.0000,0.0556,1.541316
1.543953,0,0x01,0.0000,0.1111,1.535295
1.543953,1,0x02,0.0000,0.0556,1.542315
1.543953,2,0x03,0.0000,0.1111,1.543316
1.543953,3,0x04,0.0000,0.0556,1.541316
1.545070,0,0x01,0.0000,0.1111,1.544295
1.545070,1,0x02,0.0000,0.0556,1.542315
1.545070,2,0x03,0.0000,0.1111,1.543316
1.545070,3,0x04,0.0000,0.0556,1.541316
1.546285,0,0x01,0.0000,0.1111,1.544295
1.546285,1,0x02,0.0000,0.1667,1.545295
1.546285,2,0x03,0.0000,0.1111,1.543316
1.546285,3,0x04,0.0000,0.0556,1.541316
1.554871,0,0x01,0.0000,0.1667,1.548296
1.554871,1,0x02,0.0000,0.1667,1.545295
1.554871,2,0x03,0.0000,0.1667,1.546302
1.554871,3,0x04,0.0000,0.0556,1.541316
1.555939,0,0x01,0.0000,0.1667,1.548296
1.555939,1,0x02,0.0000,0.1667,1.545295
1.555939,2,0x03,0.0000,0.1667,1.546302
1.555939,3,0x04,0.0000,0.0556,1.541316
1.561863,0,0x01,0.0000,0.1667,1.548296
1.561863,1,0x02,0.0000,0.2778,1.559341
1.561863,2,0x03,0.0000,0.1667,1.546302
1.561863,3,0x04,0.0000,0.0556,1.541316
1.562929,0,0x01,0.0000,0.1667,1.548296
1.562929,1,0x02,0.0000,0.2778,1.559341
1.562929,2,0x03,0.0000,0.1667,1.546302
1.562929,3,0x04,0.0000,0.0556,1.541316
1.563998,0,0x01,0.0000,0.1667,1.548296
1.563998,1,0x02,0.0000,0.2778,1.559341
1.563998,2,0x03,0.0000,0.1667,1.546302
1.563998,3,0x04,0.0000,0.0556,1.541316
1.565069,0,0x01,0.0000,0.1667,1.548296
1.565069,1,0x02,0.0000,0.2778,1.559341
1.565069,2,0x03,0.0000,0.1667,1.546302
1.565069,3,0x04,0.0000,0.0556,1.541316
1.566145,0,0x01,0.0000,0.1667,1.548296
1.566145,1,0x02,0.0000,0.2778,1.559341
1.566145,2,0x03,0.0000,0.1667,1.546302
1.566145,3,0x04,0.0000,0.0556,1.541316
1.573850,0,0x01,0.0000,0.1667,1.548296
1.573850,1,0x02,0.0000,0.2778,1.559341
1.573850,2,0x03,0.0000,0.1667,1.546302
1.573850,3,0x04,0.0000,0.0556,1.541316
1.574935,0,0x01,0.0000,0.1667,1.548296
1.574935,1,0x02,0.0000,0.2778,1.559341
1.574935,2,0x03,0.0000,0.1667,1.546302
1.574935,3,0x04,0.0000,0.0556,1.541316
1.576028,0,0x01,0.0000,0.1667,1.548296
1.576028,1,0x02,0.0000,0.2778,1.559341
1.576028,2,0x03,0.0000,0.1667,1.546302
1.576028,3,0x04,0.0000,0.0556,1.541316
1.582852,0,0x01,0.0000,0.1667,1.548296
1.582852,1,0x02,0.0000,0.2778,1.559341
1.582852,2,0x03,0.0000,0.1667,1.546302
1.582852,3,0x04,0.0000,0.0556,1.541316
1.583929,0,0x01,0.0000,0.1667,1.548296
1.583929,1,0x02,0.0000,0.2778,1.559341
1.583929,2,0x03,0.0000,0.1667,1.546302
1.583929,3,0x04,0.0000,0.0556,1.541316
1.584999,0,0x01,0.0000,0.1667,1.548296
1.584999,1,0x02,0.0000,0.2778,1.559341
1.584999,2,0x03,0.0000,0.1667,1.546302
1.584999,3,0x04,0.0000,0.0556,1.541316
1.586096,0,0x01,0.0000,0.1667,1.548296
1.586096,1,0x02,0.0000,0.2778,1.559341
1.586096,2,0x03,0.0000,0.1667,1.546302
1.586096,3,0x04,0.0000,0.0556,1.541316
1.593861,0,0x01,0.0000,0.1667,1.548296
1.593861,1,0x02,0.0000,0.2778,1.559341
1.593861,2,0x03,0.0000,0.1667,1.546302
1.593861,3,0x04,0.0000,0.0556,1.541316
1.594937,0,0x01,0.0000,0.1667,1.548296
1.594937,1,0x02,0.0000,0.2778,1.559341
1.594937,2,0x03,0.0000,0.1667,1.546302
1.594937,3,0x04,0.0000,0.0556,1.541316
1.596061,0,0x01,0.0000,0.1667,1.548296
1.596061,1,0x02,0.0000,0.2778,1.559341
1.596061,2,0x03,0.0000,0.1667,1.546302
1.596061,3,0x04,0.0000,0.6667,1.595340
1.602896,0,0x01,0.0000,1.1111,1.602337
1.602896,1,0x02,0.0000,1.2778,1.597320
1.602896,2,0x03,0.0000,1.0556,1.600330
1.602896,3,0x04,0.0000,1.1667,1.599322
1.604011,0,0x01,0.0000,1.1111,1.602337
1.604011,1,0x02,0.0000,1.1667,1.603331
1.604011,2,0x03,0.0000,1.0556,1.600330
1.604011,3,0x04,0.0000,1.1667,1.599322
1.605124,0,0x01,0.0000,1.1111,1.602337
1.605124,1,0x02,0.0000,1.1667,1.603331
1.605124,2,0x03,0.0000,1.0556,1.604308
1.605124,3,0x04,0.0000,1.1667,1.599322
1.606215,0,0x01,0.0000,1.1111,1.602337
1.606215,1,0x02,0.0000,1.1667,1.603331
1.606215,2,0x03,0.0000,1.0556,1.604308
1.606215,3,0x04,0.0000,1.0556,1.605309
1.613941,0,0x01,0.0000,1.1111,1.609329
1.613941,1,0x02,0.0000,1.1667,1.603331
1.613941,2,0x03,0.0000,1.0556,1.607309
1.613941,3,0x04,0.0000,1.0556,1.608315
1.615017,0,0x01,0.0000,1.1111,1.609329
1.615017,1,0x02,0.0000,1.1667,1.603331
1.615017,2,0x03,0.0000,1.0556,1.607309
1.615017,3,0x04,0.0000,1.0556,1.608315
1.616121,0,0x01,0.0000,1.1111,1.609329
1.616121,1,0x02,0.0000,1.1667,1.603331
1.616121,2,0x03,0.0000,1.0556,1.607309
1.616121,3,0x04,0.0000,1.0556,1.608315
1.621874,0,0x01,0.0000,1.1111,1.609329
1.621874,1,0x02,0.0000,1.1667,1.603331
1.621874,2,0x03,0.0000,1.0556,1.607309
1.621874,3,0x04,0.0000,1.0556,1.608315
1.622964,0,0x01,0.0000,1.1111,1.609329
1.622964,1,0x02,0.0000,1.1667,1.603331
1.622964,2,0x03,0.0000,1.0556,1.607309
1.622964,3,0x04,0.0000,1.0556,1.608315
1.624046,0,0x01,0.0000,1.1111,1.609329
1.624046,1,0x02,0.0000,1.1667,1.603331
1.624046,2,0x03,0.0000,1.0556,1.607309
1.624046,3,0x04,0.0000,1.0556,1.608315
1.625090,0,0x01,0.0000,1.1111,1.609329
1.625090,1,0x02,0.0000,1.1667,1.603331
1.625090,2,0x03,0.0000,1.0556,1.607309
1.625090,3,0x04,0.0000,1.0556,1.608315
1.626157,0,0x01,0.0000,1.1111,1.609329
1.626157,1,0x02,0.0000,1.1667,1.603331
1.626157,2,0x03,0.0000,1.0556,1.607309
1.626157,3,0x04,0.0000,1.0556,1.608315
1.633850,0,0x01,0.0000,1.1111,1.609329
1.633850,1,0x02,0.0000,1.1667,1.603331
1.633850,2,0x03,0.0000,1.0556,1.607309
1.633850,3,0x04,0.0000,1.0556,1.608315
1.634933,0,0x01,0.0000,1.1111,1.609329
1.634933,1,0x02,0.0000,1.1667,1.603331
1.634933,2,0x03,0.0000,1.0556,1.607309
1.634933,3,0x04,0.0000,1.0556,1.608315
1.636000,0,0x01,0.0000,1.1111,1.609329
1.636000,1,0x02,0.0000,1.1667,1.603331
1.636000,2,0x03,0.0000,1.0556,1.607309
1.636000,3,0x04,0.0000,1.0556,1.608315
1.642839,0,0x01,0.0000,1.1111,1.609329
1.642839,1,0x02,0.0000,1.1667,1.603331
1.642839,2,0x03,0.0000,1.0556,1.607309
1.642839,3,0x04,0.0000,1.0556,1.608315
1.643915,0,0x01,0.0000,1.1111,1.609329
1.643915,1,0x02,0.0000,1.1667,1.603331
1.643915,2,0x03,0.0000,1.0556,1.607309
1.643915,3,0x04,0.0000,1.0556,1.608315
1.644979,0,0x01,0.0000,1.1111,1.609329
1.644979,1,0x02,0.0000,1.1667,1.603331
1.644979,2,0x03,0.0000,1.0556,1.607309
1.644979,3,0x04,0.0000,1.0556,1.608315
1.646059,0,0x01,0.0000,1.1111,1.609329
1.646059,1,0x02,0.0000,1.1667,1.603331
1.646059,2,0x03,0.0000,1.0556,1.607309
1.646059,3,0x04,0.0000,1.0556,1.608315
1.651850,0,0x01,0.0000,1.1111,1.609329
1.651850,1,0x02,0.0000,1.1667,1.603331
1.651850,2,0x03,0.0000,1.0556,1.607309
1.651850,3,0x04,0.0000,1.0556,1.608315
1.652923,0,0x01,0.0000,1.1111,1.609329
1.652923,1,0x02,0.0000,1.1667,1.603331
1.652923,2,0x03,0.0000,1.0556,1.607309
1.652923,3,0x04,0.0000,1.0556,1.608315
1.653992,0,0x01,0.0000,1.1111,1.609329
1.653992,1,0x02,0.0000,1.1667,1.603331
1.653992,2,0x03,0.0000,1.0556,1.607309
1.653992,3,0x04,0.0000,1.0556,1.608315
1.655113,0,0x01,0.0000,1.1111,1.609329
1.655113,1,0x02,0.0000,1.1667,1.603331
1.655113,2,0x03,0.0000,1.0556,1.654329
1.655113,3,0x04,0.0000,1.0556,1.608315
1.656190,0,0x01,0.0000,1.1111,1.609329
1.656190,1,0x02,0.0000,1.1667,1.603331
1.656190,2,0x03,0.0000,1.0556,1.654329
1.656190,3,0x04,0.0000,1.0556,1.655310
1.663914,0,0x01,0.0000,1.1111,1.662351
1.663914,1,0x02,0.0000,1.1111,1.657300
1.663914,2,0x03,0.0000,1.0556,1.661323
1.663914,3,0x04,0.0000,1.0556,1.655310
1.664998,0,0x01,0.0000,1.1111,1.662351
1.664998,1,0x02,0.0000,1.1111,1.664321
1.664998,2,0x03,0.0000,1.0556,1.661323
1.664998,3,0x04,0.0000,1.0556,1.655310
1.666090,0,0x01,0.0000,1.1111,1.662351
