t_s,servo_idx,node_id,cmd_deg,fb_deg,t_fb_arrival_s
1.516392,0,0x01,0.0000,0.1111,1.498837
1.516392,1,0x02,0.0000,-0.0556,1.501832
1.516392,2,0x03,0.0000,0.1111,1.491877
1.516392,3,0x04,0.0000,0.0000,1.494843
1.517508,0,0x01,0.0000,0.1111,1.498837
1.517508,1,0x02,0.0000,-0.0556,1.501832
1.517508,2,0x03,0.0000,0.1111,1.491877
1.517508,3,0x04,0.0000,0.0000,1.494843
1.518598,0,0x01,0.0000,0.1111,1.498837
1.518598,1,0x02,0.0000,-0.0556,1.501832
1.518598,2,0x03,0.0000,0.1111,1.491877
1.518598,3,0x04,0.0000,0.0000,1.494843
1.519670,0,0x01,0.0000,0.1111,1.498837
1.519670,1,0x02,0.0000,-0.0556,1.501832
1.519670,2,0x03,0.0000,0.1111,1.491877
1.519670,3,0x04,0.0000,0.0000,1.494843
1.526413,0,0x01,0.0000,0.1111,1.498837
1.526413,1,0x02,0.0000,-0.0556,1.501832
1.526413,2,0x03,0.0000,0.1111,1.491877
1.526413,3,0x04,0.0000,0.0000,1.494843
1.527495,0,0x01,0.0000,0.1111,1.498837
1.527495,1,0x02,0.0000,-0.0556,1.501832
1.527495,2,0x03,0.0000,0.1111,1.491877
1.527495,3,0x04,0.0000,0.0000,1.494843
1.528575,0,0x01,0.0000,0.1111,1.498837
1.528575,1,0x02,0.0000,-0.0556,1.501832
1.528575,2,0x03,0.0000,0.1111,1.491877
1.528575,3,0x04,0.0000,0.0000,1.494843
1.529666,0,0x01,0.0000,0.1111,1.498837
1.529666,1,0x02,0.0000,-0.0556,1.501832
1.529666,2,0x03,0.0000,0.1111,1.491877
1.529666,3,0x04,0.0000,0.0000,1.494843
1.537377,0,0x01,0.0000,0.1111,1.498837
1.537377,1,0x02,0.0000,-0.0556,1.501832
1.537377,2,0x03,0.0000,0.1111,1.491877
1.537377,3,0x04,0.0000,0.0000,1.494843
1.538532,0,0x01,0.0000,0.1111,1.498837
1.538532,1,0x02,0.0000,-0.0556,1.501832
1.538532,2,0x03,0.0000,0.1111,1.491877
1.538532,3,0x04,0.0000,0.0000,1.494843
1.539632,0,0x01,0.0000,0.1111,1.498837
1.539632,1,0x02,0.0000,-0.0556,1.501832
1.539632,2,0x03,0.0000,0.1111,1.491877
1.539632,3,0x04,0.0000,0.0000,1.494843
1.546709,0,0x01,0.0000,0.1111,1.498837
1.546709,1,0x02,0.0000,-0.0556,1.544867
1.546709,2,0x03,0.0000,0.1111,1.545854
1.546709,3,0x04,0.0000,0.0000,1.542858
1.547820,0,0x01,0.0000,0.0556,1.546849
1.547820,1,0x02,0.0000,-0.0556,1.544867
1.547820,2,0x03,0.0000,0.1111,1.545854
1.547820,3,0x04,0.0000,0.0000,1.542858
1.548962,0,0x01,0.0000,0.0556,1.546849
1.548962,1,0x02,0.0000,-0.0556,1.547852
1.548962,2,0x03,0.0000,0.1111,1.548833
1.548962,3,0x04,0.0000,0.0000,1.542858
1.559518,0,0x01,0.0000,0.1667,1.549855
1.559518,1,0x02,0.0000,-0.0556,1.547852
1.559518,2,0x03,0.0000,0.1111,1.548833
1.559518,3,0x04,0.0000,0.0000,1.542858
1.569659,0,0x01,0.0000,0.5000,1.564957
1.569659,1,0x02,0.0000,0.5556,1.566449
1.569659,2,0x03,0.0000,0.2222,1.562579
1.569659,3,0x04,0.0000,0.6667,1.563966
1.576536,0,0x01,0.0000,0.7222,1.575875
1.576536,1,0x02,0.0000,0.5556,1.566449
1.576536,2,0x03,0.0000,0.7778,1.570220
1.576536,3,0x04,0.0000,0.6667,1.572928
1.577635,0,0x01,0.0000,0.7222,1.575875
1.577635,1,0x02,0.0000,0.5556,1.566449
1.577635,2,0x03,0.0000,0.7778,1.570220
1.577635,3,0x04,0.0000,0.6667,1.572928
1.579480,0,0x01,0.0000,0.7222,1.575875
1.579480,1,0x02,0.0000,0.5556,1.566449
1.579480,2,0x03,0.0000,0.7778,1.570220
1.579480,3,0x04,0.0000,0.6667,1.572928
1.587481,0,0x01,0.0000,0.7222,1.575875
1.587481,1,0x02,0.0000,1.0556,1.579729
1.587481,2,0x03,0.0000,1.0000,1.582906
1.587481,3,0x04,0.0000,1.1667,1.585856
1.588571,0,0x01,0.0000,0.7222,1.575875
1.588571,1,0x02,0.0000,1.0556,1.579729
1.588571,2,0x03,0.0000,1.0000,1.582906
1.588571,3,0x04,0.0000,1.1667,1.585856
1.589648,0,0x01,0.0000,0.7222,1.575875
1.589648,1,0x02,0.0000,1.0556,1.579729
1.589648,2,0x03,0.0000,1.0000,1.582906
1.589648,3,0x04,0.0000,1.1667,1.585856
1.596471,0,0x01,0.0000,1.2778,1.589856
1.596471,1,0x02,0.0000,1.0556,1.592874
1.596471,2,0x03,0.0000,1.0000,1.582906
1.596471,3,0x04,0.0000,1.1667,1.585856
1.597562,0,0x01,0.0000,1.2778,1.589856
1.597562,1,0x02,0.0000,1.0556,1.592874
1.597562,2,0x03,0.0000,1.0000,1.582906
1.597562,3,0x04,0.0000,1.1667,1.585856
1.598662,0,0x01,0.0000,1.2778,1.589856
1.598662,1,0x02,0.0000,1.0556,1.592874
1.598662,2,0x03,0.0000,1.0000,1.582906
1.598662,3,0x04,0.0000,1.1667,1.585856
