t_s,servo_idx,node_id,cmd_deg,fb_deg,t_fb_arrival_s
1.468437,0,0x01,0.0000,0.1111,1.453966
1.468437,1,0x02,0.0000,0.0556,1.454864
1.468437,2,0x03,0.0000,0.0556,1.455971
1.468437,3,0x04,0.0000,0.0556,1.410908
1.469524,0,0x01,0.0000,0.1111,1.453966
1.469524,1,0x02,0.0000,0.0556,1.454864
1.469524,2,0x03,0.0000,0.0556,1.455971
1.469524,3,0x04,0.0000,0.0556,1.410908
1.470592,0,0x01,0.0000,0.1111,1.453966
1.470592,1,0x02,0.0000,0.0556,1.454864
1.470592,2,0x03,0.0000,0.0556,1.455971
1.470592,3,0x04,0.0000,0.0556,1.410908
1.471653,0,0x01,0.0000,0.1111,1.453966
1.471653,1,0x02,0.0000,0.0556,1.454864
1.471653,2,0x03,0.0000,0.0556,1.455971
1.471653,3,0x04,0.0000,0.0556,1.410908
1.479525,0,0x01,0.0000,0.1111,1.453966
1.479525,1,0x02,0.0000,0.0556,1.454864
1.479525,2,0x03,0.0000,0.0556,1.455971
1.479525,3,0x04,0.0000,0.0556,1.410908
1.480596,0,0x01,0.0000,0.1111,1.453966
1.480596,1,0x02,0.0000,0.0556,1.454864
1.480596,2,0x03,0.0000,0.0556,1.455971
1.480596,3,0x04,0.0000,0.0556,1.410908
1.481679,0,0x01,0.0000,0.1111,1.453966
1.481679,1,0x02,0.0000,0.0556,1.454864
1.481679,2,0x03,0.0000,0.0556,1.455971
1.481679,3,0x04,0.0000,0.0556,1.410908
1.489499,0,0x01,0.0000,0.1111,1.453966
1.489499,1,0x02,0.0000,0.0556,1.454864
1.489499,2,0x03,0.0000,0.0556,1.455971
1.489499,3,0x04,0.0000,0.0556,1.410908
1.490573,0,0x01,0.0000,0.1111,1.453966
1.490573,1,0x02,0.0000,0.0556,1.454864
1.490573,2,0x03,0.0000,0.0556,1.455971
1.490573,3,0x04,0.0000,0.0556,1.410908
1.491639,0,0x01,0.0000,0.1111,1.453966
1.491639,1,0x02,0.0000,0.0556,1.454864
1.491639,2,0x03,0.0000,0.0556,1.455971
1.491639,3,0x04,0.0000,0.0556,1.410908
1.499654,0,0x01,0.0000,0.1111,1.493987
1.499654,1,0x02,0.0000,0.0556,1.454864
1.499654,2,0x03,0.0000,0.0556,1.498987
1.499654,3,0x04,0.0000,0.0556,1.496958
1.500746,0,0x01,0.0000,0.1111,1.493987
1.500746,1,0x02,0.0000,0.0556,1.454864
1.500746,2,0x03,0.0000,0.0556,1.498987
1.500746,3,0x04,0.0000,0.1111,1.499975
1.501838,0,0x01,0.0000,0.1111,1.500988
1.501838,1,0x02,0.0000,0.0556,1.454864
1.501838,2,0x03,0.0000,0.0556,1.498987
1.501838,3,0x04,0.0000,0.1111,1.499975
1.512731,0,0x01,0.0000,0.1667,1.503886
1.512731,1,0x02,0.0000,0.0556,1.501949
1.512731,2,0x03,0.0000,0.0556,1.498987
1.512731,3,0x04,0.0000,0.0556,1.502884
1.521442,0,0x01,0.0000,0.1667,1.503886
1.521442,1,0x02,0.0000,0.0556,1.501949
1.521442,2,0x03,0.0000,0.0556,1.498987
1.521442,3,0x04,0.0000,0.0556,1.502884
1.528312,0,0x01,0.0000,0.1667,1.503886
1.528312,1,0x02,0.0000,0.0556,1.501949
1.528312,2,0x03,0.0000,0.0556,1.498987
1.528312,3,0x04,0.0000,0.0556,1.502884
1.529503,0,0x01,0.0000,0.1667,1.503886
1.529503,1,0x02,0.0000,0.0556,1.501949
1.529503,2,0x03,0.0000,0.0556,1.498987
1.529503,3,0x04,0.0000,0.0556,1.502884
1.530580,0,0x01,0.0000,0.1667,1.503886
1.530580,1,0x02,0.0000,0.0556,1.501949
1.530580,2,0x03,0.0000,0.0556,1.498987
1.530580,3,0x04,0.0000,0.0556,1.502884
1.531648,0,0x01,0.0000,0.1667,1.503886
1.531648,1,0x02,0.0000,0.0556,1.501949
1.531648,2,0x03,0.0000,0.0556,1.498987
1.531648,3,0x04,0.0000,0.0556,1.502884
1.539325,0,0x01,0.0000,0.1667,1.503886
