t_s,servo_idx,node_id,cmd_deg,fb_deg,t_fb_arrival_s
1.453887,0,0x01,0.0000,0.1111,1.440209
1.453887,1,0x02,0.0000,0.0556,1.434204
1.453887,2,0x03,0.0000,0.1111,1.441220
1.453887,3,0x04,0.0000,0.0000,1.437222
1.454975,0,0x01,0.0000,0.1111,1.440209
1.454975,1,0x02,0.0000,0.0556,1.434204
1.454975,2,0x03,0.0000,0.1111,1.441220
1.454975,3,0x04,0.0000,0.0000,1.437222
1.456131,0,0x01,0.0000,0.1111,1.440209
1.456131,1,0x02,0.0000,0.0556,1.434204
1.456131,2,0x03,0.0000,0.1111,1.441220
1.456131,3,0x04,0.0000,0.0000,1.437222
1.462737,0,0x01,0.0000,0.1111,1.440209
1.462737,1,0x02,0.0000,0.0556,1.434204
1.462737,2,0x03,0.0000,0.1111,1.441220
1.462737,3,0x04,0.0000,0.0000,1.437222
1.463806,0,0x01,0.0000,0.1111,1.440209
1.463806,1,0x02,0.0000,0.0556,1.434204
1.463806,2,0x03,0.0000,0.1111,1.441220
1.463806,3,0x04,0.0000,0.0000,1.437222
1.464889,0,0x01,0.0000,0.1111,1.440209
1.464889,1,0x02,0.0000,0.0556,1.434204
1.464889,2,0x03,0.0000,0.1111,1.441220
1.464889,3,0x04,0.0000,0.0000,1.437222
1.465973,0,0x01,0.0000,0.1111,1.440209
1.465973,1,0x02,0.0000,0.0556,1.434204
1.465973,2,0x03,0.0000,0.1111,1.441220
1.465973,3,0x04,0.0000,0.0000,1.437222
1.467044,0,0x01,0.0000,0.1111,1.440209
1.467044,1,0x02,0.0000,0.0556,1.434204
1.467044,2,0x03,0.0000,0.1111,1.441220
1.467044,3,0x04,0.0000,0.0000,1.437222
1.474742,0,0x01,0.0000,0.1111,1.440209
1.474742,1,0x02,0.0000,0.0556,1.434204
1.474742,2,0x03,0.0000,0.1111,1.441220
1.474742,3,0x04,0.0000,0.0000,1.437222
1.475818,0,0x01,0.0000,0.1111,1.440209
1.475818,1,0x02,0.0000,0.0556,1.434204
1.475818,2,0x03,0.0000,0.1111,1.441220
1.475818,3,0x04,0.0000,0.0000,1.437222
1.476882,0,0x01,0.0000,0.1111,1.440209
1.476882,1,0x02,0.0000,0.0556,1.434204
1.476882,2,0x03,0.0000,0.1111,1.441220
1.476882,3,0x04,0.0000,0.0000,1.437222
1.483790,0,0x01,0.0000,0.1111,1.479215
1.483790,1,0x02,0.0000,0.0556,1.483203
1.483790,2,0x03,0.0000,0.0556,1.481209
1.483790,3,0x04,0.0000,-0.0556,1.482205
1.484866,0,0x01,0.0000,0.1111,1.479215
1.484866,1,0x02,0.0000,0.0556,1.483203
1.484866,2,0x03,0.0000,0.0556,1.484205
1.484866,3,0x04,0.0000,-0.0556,1.482205
1.485952,0,0x01,0.0000,0.1111,1.479215
1.485952,1,0x02,0.0000,0.0556,1.483203
1.485952,2,0x03,0.0000,0.0556,1.484205
1.485952,3,0x04,0.0000,0.0000,1.485185
1.487064,0,0x01,0.0000,0.1111,1.479215
1.487064,1,0x02,0.0000,0.1111,1.486184
1.487064,2,0x03,0.0000,0.0556,1.484205
1.487064,3,0x04,0.0000,0.0000,1.485185
1.501785,0,0x01,0.0000,0.1667,1.489197
1.501785,1,0x02,0.0000,0.2222,1.498259
1.501785,2,0x03,0.0000,0.0556,1.487189
1.501785,3,0x04,0.0000,0.0000,1.485185
1.507743,0,0x01,0.0000,0.1667,1.489197
1.507743,1,0x02,0.0000,0.2222,1.498259
1.507743,2,0x03,0.0000,0.0556,1.487189
1.507743,3,0x04,0.0000,0.0000,1.485185
1.513731,0,0x01,0.0000,0.1667,1.489197
1.513731,1,0x02,0.0000,0.2222,1.498259
1.513731,2,0x03,0.0000,0.0556,1.487189
1.513731,3,0x04,0.0000,0.0000,1.485185
1.514805,0,0x01,0.0000,0.1667,1.489197
1.514805,1,0x02,0.0000,0.2222,1.498259
1.514805,2,0x03,0.0000,0.0556,1.487189
1.514805,3,0x04,0.0000,0.0000,1.485185
1.515870,0,0x01,0.0000,0.1667,1.489197
1.515870,1,0x02,0.0000,0.2222,1.498259
1.515870,2,0x03,0.0000,0.0556,1.487189
1.515870,3,0x04,0.0000,0.0000,1.485185
1.516971,0,0x01,0.0000,0.1667,1.489197
1.516971,1,0x02,0.0000,0.2222,1.498259
