t_s,servo_idx,node_id,cmd_deg,fb_deg,t_fb_arrival_s
1.500124,0,0x01,0.0000,-0.1111,1.478607
1.500124,1,0x02,0.0000,-0.1111,1.485576
1.500124,2,0x03,0.0000,-0.1111,1.488581
1.500124,3,0x04,0.0000,-0.1667,1.484575
1.501207,0,0x01,0.0000,-0.1111,1.478607
1.501207,1,0x02,0.0000,-0.1111,1.485576
1.501207,2,0x03,0.0000,-0.1111,1.488581
1.501207,3,0x04,0.0000,-0.1667,1.484575
1.502274,0,0x01,0.0000,-0.1111,1.478607
1.502274,1,0x02,0.0000,-0.1111,1.485576
1.502274,2,0x03,0.0000,-0.1111,1.488581
1.502274,3,0x04,0.0000,-0.1667,1.484575
1.503333,0,0x01,0.0000,-0.1111,1.478607
1.503333,1,0x02,0.0000,-0.1111,1.485576
1.503333,2,0x03,0.0000,-0.1111,1.488581
1.503333,3,0x04,0.0000,-0.1667,1.484575
1.509118,0,0x01,0.0000,-0.1111,1.478607
1.509118,1,0x02,0.0000,-0.1111,1.485576
1.509118,2,0x03,0.0000,-0.1111,1.488581
1.509118,3,0x04,0.0000,-0.1667,1.484575
1.510191,0,0x01,0.0000,-0.1111,1.478607
1.510191,1,0x02,0.0000,-0.1111,1.485576
1.510191,2,0x03,0.0000,-0.1111,1.488581
1.510191,3,0x04,0.0000,-0.1667,1.484575
1.511276,0,0x01,0.0000,-0.1111,1.478607
1.511276,1,0x02,0.0000,-0.1111,1.485576
1.511276,2,0x03,0.0000,-0.1111,1.488581
1.511276,3,0x04,0.0000,-0.1667,1.484575
1.512357,0,0x01,0.0000,-0.1111,1.478607
1.512357,1,0x02,0.0000,-0.1111,1.485576
1.512357,2,0x03,0.0000,-0.1111,1.488581
1.512357,3,0x04,0.0000,-0.1667,1.484575
1.513439,0,0x01,0.0000,-0.1111,1.478607
1.513439,1,0x02,0.0000,-0.1111,1.485576
1.513439,2,0x03,0.0000,-0.1111,1.488581
1.513439,3,0x04,0.0000,-0.1667,1.484575
1.521118,0,0x01,0.0000,-0.1111,1.478607
1.521118,1,0x02,0.0000,-0.1111,1.485576
1.521118,2,0x03,0.0000,-0.1111,1.488581
1.521118,3,0x04,0.0000,-0.1667,1.484575
1.522205,0,0x01,0.0000,-0.1111,1.478607
1.522205,1,0x02,0.0000,-0.1111,1.485576
1.522205,2,0x03,0.0000,-0.1111,1.488581
1.522205,3,0x04,0.0000,-0.1667,1.484575
1.523281,0,0x01,0.0000,-0.1111,1.478607
1.523281,1,0x02,0.0000,-0.1111,1.485576
1.523281,2,0x03,0.0000,-0.1111,1.488581
1.523281,3,0x04,0.0000,-0.1667,1.484575
1.530200,0,0x01,0.0000,-0.1111,1.526616
1.530200,1,0x02,0.0000,-0.1111,1.527597
1.530200,2,0x03,0.0000,-0.1111,1.528634
1.530200,3,0x04,0.0000,-0.1667,1.529613
1.531304,0,0x01,0.0000,-0.1111,1.526616
1.531304,1,0x02,0.0000,-0.0556,1.530601
1.531304,2,0x03,0.0000,-0.1111,1.528634
1.531304,3,0x04,0.0000,-0.1667,1.529613
1.532364,0,0x01,0.0000,-0.1111,1.526616
1.532364,1,0x02,0.0000,-0.0556,1.530601
