t_wall_s,t_boot_ms,press_abs_hPa,press_diff_hPa,temperature_C
2.253645,35230122,781.4995,0.0000,40.00
2.254783,35231122,781.5048,0.0000,40.00
2.255599,35232123,781.5159,0.0000,40.40
3.255722,35233123,781.5085,0.0000,40.40
4.257382,35234124,781.5043,0.0000,40.00
5.266757,35235123,781.5159,0.0000,40.00
6.275559,35236126,781.5048,0.0000,40.00
7.278512,35237122,781.4973,0.0000,40.00
8.279003,35238123,781.5007,0.0000,40.70
9.277836,35239124,781.5015,0.0000,40.70
10.276368,35240123,781.5146,0.0000,40.70
11.275134,35241122,781.5180,0.0000,40.70
12.276345,35242122,781.5093,0.0000,40.00
13.277938,35243121,781.5132,0.0000,40.00
14.278620,35244124,781.4941,0.0000,39.70
15.280129,35245121,781.5071,0.0000,39.70
16.281749,35246124,781.5073,0.0000,40.00
17.277222,35247123,781.5054,0.0000,40.00
18.276342,35248121,781.5063,0.0000,40.00
19.276849,35249123,781.5180,0.0000,40.00
20.279858,35250121,781.5012,0.0000,40.00
21.280618,35251124,781.5012,0.0000,40.00
22.278440,35252121,781.5124,0.0000,40.00
23.280335,35253121,781.4937,0.0000,40.00
24.277625,35254122,781.5048,0.0000,40.00
25.279514,35255123,781.5061,0.0000,40.00
26.278742,35256121,781.5056,0.0000,39.70
27.277536,35257122,781.4995,0.0000,39.70
28.276501,35258123,781.5098,0.0000,40.00
29.279855,35259123,781.4993,0.0000,40.00
30.281084,35260122,781.4995,0.0000,39.70
31.277754,35261124,781.4897,0.0000,39.70
32.277832,35262122,781.5034,0.0000,39.70
33.284118,35263130,781.4965,0.0000,39.70
34.279212,35264124,781.5090,0.0000,39.70
35.281610,35265124,781.5215,0.0000,39.70
36.281766,35266123,781.5059,0.0000,39.70
37.278753,35267122,781.5034,0.0000,39.70
38.279329,35268123,781.4937,0.0000,40.00
39.279039,35269121,781.4922,0.0000,40.00
40.277734,35270122,781.4814,0.0000,39.70
41.278418,35271122,781.5034,0.0000,39.70
42.279965,35272124,781.5085,0.0000,40.00
43.279144,35273125,781.5034,0.0000,40.00
44.282271,35274124,781.4970,0.0000,39.40
45.280140,35275123,781.5061,0.0000,39.40
46.278220,35276123,781.5042,0.0000,39.70
47.278778,35277125,781.5009,0.0000,39.70
48.278589,35278123,781.4976,0.0000,39.70
49.279306,35279125,781.4850,0.0000,39.70
50.278387,35280124,781.5007,0.0000,39.70
51.279041,35281122,781.4968,0.0000,39.70
52.279843,35282122,781.5087,0.0000,40.00
53.281287,35283123,781.4897,0.0000,40.00
54.279056,35284122,781.5115,0.0000,39.40
55.279716,35285121,781.4892,0.0000,39.40
56.282991,35286123,781.4917,0.0000,39.40
57.279832,35287125,781.4909,0.0000,39.40
58.283687,35288121,781.5071,0.0000,40.00
59.284565,35289122,781.5024,0.0000,40.00
60.280664,35290122,781.5009,0.0000,39.40
61.283151,35291125,781.4993,0.0000,39.40
62.281303,35292123,781.5020,0.0000,39.40
63.281273,35293123,781.5026,0.0000,39.40
64.281787,35294127,781.4963,0.0000,40.00
65.280711,35295122,781.4885,0.0000,40.00
66.280343,35296124,781.4922,0.0000,39.70
