t_wall_s,t_boot_us,vel_ratio,pos_horiz_ratio,pos_vert_ratio,mag_ratio,hagl_ratio,tas_ratio,pos_horiz_accuracy_m,pos_vert_accuracy_m,flags
2.253712,66313296912,nan,nan,0.0013,nan,nan,nan,369.41,2.19,0x0025
2.254086,66313795488,nan,nan,0.0011,nan,nan,nan,375.34,2.21,0x0025
2.254296,66314298003,nan,nan,0.0008,nan,nan,nan,381.14,2.17,0x0025
2.254490,66314794688,nan,nan,0.0007,nan,nan,nan,386.75,2.18,0x0025
2.254695,66315295861,nan,nan,0.0004,nan,nan,nan,392.78,2.20,0x0025
2.518178,66315797526,nan,nan,0.0003,nan,nan,nan,398.85,2.16,0x0025
3.030846,66316290677,nan,nan,0.0001,nan,nan,nan,404.64,2.17,0x0025
3.531549,66316796812,nan,nan,0.0003,nan,nan,nan,410.79,2.19,0x0025
4.031983,66317294063,nan,nan,0.0006,nan,nan,nan,416.75,2.19,0x0025
4.519325,66317793067,nan,nan,0.0002,nan,nan,nan,423.01,2.21,0x0025
5.018920,66318293851,nan,nan,0.0007,nan,nan,nan,429.28,2.18,0x0025
5.530889,66318795646,nan,nan,0.0006,nan,nan,nan,435.67,2.19,0x0025
6.019267,66319294356,nan,nan,0.0007,nan,nan,nan,442.02,2.21,0x0025
6.517518,66319796720,nan,nan,0.0005,nan,nan,nan,448.28,2.22,0x0025
7.033163,66320299474,nan,nan,0.0003,nan,nan,nan,454.60,2.17,0x0025
7.518434,66320797004,nan,nan,0.0006,nan,nan,nan,461.09,2.19,0x0025
8.024126,66321294890,nan,nan,0.0009,nan,nan,nan,467.54,2.19,0x0025
8.531877,66321795617,nan,nan,0.0006,nan,nan,nan,474.04,2.20,0x0025
9.032784,66322295855,nan,nan,0.0009,nan,nan,nan,480.81,2.17,0x0025
9.518367,66322795396,nan,nan,0.0008,nan,nan,nan,487.13,2.17,0x0025
10.032680,66323294934,nan,nan,0.0005,nan,nan,nan,494.06,2.19,0x0025
10.519521,66323796839,nan,nan,0.0002,nan,nan,nan,500.60,2.19,0x0025
11.021850,66324295726,nan,nan,0.0002,nan,nan,nan,507.59,2.16,0x0025
11.534104,66324796102,nan,nan,0.0004,nan,nan,nan,514.78,2.19,0x0025
12.031595,66325294766,nan,nan,0.0005,nan,nan,nan,521.20,2.19,0x0025
12.518974,66325795837,nan,nan,0.0003,nan,nan,nan,528.27,2.21,0x0025
13.032085,66326294016,nan,nan,0.0004,nan,nan,nan,535.59,2.19,0x0025
13.531601,66326795503,nan,nan,0.0004,nan,nan,nan,542.33,2.18,0x0025
14.032278,66327295042,nan,nan,0.0005,nan,nan,nan,549.43,2.19,0x0025
14.517294,66327794881,nan,nan,0.0007,nan,nan,nan,556.72,2.21,0x0025
15.018844,66328296569,nan,nan,0.0005,nan,nan,nan,564.12,2.18,0x0025
15.517478,66328793590,nan,nan,0.0004,nan,nan,nan,571.40,2.19,0x0025
16.031830,66329294280,nan,nan,0.0002,nan,nan,nan,578.76,2.20,0x0025
16.520747,66329797421,nan,nan,0.0002,nan,nan,nan,585.95,2.20,0x0025
17.018111,66330294149,nan,nan,0.0002,nan,nan,nan,593.39,2.16,0x0025
17.518533,66330796607,nan,nan,0.0003,nan,nan,nan,601.12,2.19,0x0025
18.031782,66331298883,nan,nan,0.0004,nan,nan,nan,608.90,2.21,0x0025
18.532957,66331799731,nan,nan,0.0003,nan,nan,nan,616.47,2.22,0x0025
19.031476,66332290340,nan,nan,0.0002,nan,nan,nan,623.86,2.22,0x0025
19.530059,66332794710,nan,nan,0.0001,nan,nan,nan,631.50,2.17,0x0025
20.033255,66333298458,nan,nan,0.0003,nan,nan,nan,639.57,2.20,0x0025
20.517724,66333796212,nan,nan,0.0008,nan,nan,nan,647.55,2.16,0x0025
21.030530,66334295546,nan,nan,0.0008,nan,nan,nan,655.46,2.18,0x0025
21.531423,66334796504,nan,nan,0.0007,nan,nan,nan,663.22,2.18,0x0025
22.031371,66335297160,nan,nan,0.0007,nan,nan,nan,671.13,2.19,0x0025
22.531101,66335788239,nan,nan,0.0005,nan,nan,nan,70.71,1.30,0x0025
23.029056,66336299252,nan,nan,0.0003,nan,nan,nan,70.71,1.25,0x0025
23.531783,66336795294,nan,nan,0.0003,nan,nan,nan,70.71,1.23,0x0025
