t_wall_s,t_boot_us,ax,ay,az,gx,gy,gz,mx,my,mz,abs_pressure,temperature,source
2.253712,66313277175,3.531122,-0.174588,-9.171289,0.001119,0.021083,0.011060,0.215900,0.915032,2.782344,782.06,41.70,highres
2.253712,66313294182,3.559886,-0.061099,-9.097381,-0.011999,0.007904,0.034614,0.215900,0.915032,2.782344,782.06,41.70,highres
2.253712,66313311549,3.579881,-0.183996,-9.083286,-0.010456,0.014572,0.041033,0.215900,0.915032,2.782344,782.06,41.70,highres
2.253712,66313331671,3.656116,-0.193040,-8.887291,-0.000440,0.014247,0.032094,0.212547,0.898855,2.773738,782.06,41.70,highres
2.253712,66313352775,3.653701,-0.202167,-8.929513,0.028454,-0.003809,0.011863,0.225025,0.914088,2.771118,782.06,41.70,highres
2.253712,66313374914,3.599399,-0.180716,-9.147036,0.025841,-0.024573,-0.001206,0.225025,0.914088,2.771118,782.05,41.70,highres
2.253712,66313394410,3.518292,-0.171617,-9.187307,-0.042988,-0.022318,0.007966,0.225025,0.914088,2.771118,782.05,41.70,highres
2.253712,66313414406,3.531221,-0.034676,-9.024272,-0.009940,-0.013365,0.019369,0.225025,0.914088,2.771118,782.05,41.70,highres
2.253942,66313434080,3.543435,-0.131209,-9.066362,0.039597,-0.004894,0.027539,0.225025,0.914088,2.771118,782.05,41.70,highres
2.253942,66313449580,3.602021,-0.170157,-9.123371,0.048845,0.008661,0.027180,0.225025,0.914088,2.771118,782.05,41.70,highres
2.253942,66313476807,3.620986,-0.242545,-9.045545,0.032741,0.012517,-0.002201,0.208190,0.899329,2.775022,782.05,41.70,highres
2.253942,66313492005,3.592772,-0.157226,-9.024773,-0.016068,-0.031064,0.006934,0.204329,0.903366,2.768010,782.05,41.70,highres
2.253942,66313512979,3.553518,-0.157561,-9.072547,-0.033251,-0.049266,0.017008,0.204329,0.903366,2.768010,782.05,41.70,highres
2.253942,66313535036,3.541699,-0.150494,-8.987848,0.018899,-0.013639,0.016805,0.204329,0.903366,2.768010,782.06,41.70,highres
2.253942,66313554571,3.502217,-0.126574,-8.917675,0.070872,0.015434,0.011815,0.204329,0.903366,2.768010,782.06,41.70,highres
2.253942,66313575109,3.494682,-0.178322,-9.031733,0.068553,-0.013789,0.003333,0.204329,0.903366,2.768010,782.06,41.70,highres
2.254011,66313589859,3.504886,-0.118469,-9.112854,0.003493,-0.051211,0.014869,0.204329,0.903366,2.768010,782.06,41.70,highres
2.254011,66313614818,3.440246,-0.082558,-9.264878,0.007853,-0.057428,0.023341,0.213989,0.900462,2.779799,782.06,41.70,highres
2.254011,66313629311,3.399701,-0.084797,-9.339133,0.010173,-0.017254,0.041849,0.204510,0.906569,2.768100,782.06,41.70,highres
2.254011,66313649534,3.447847,-0.149679,-9.089744,0.047476,0.049887,0.063128,0.204510,0.906569,2.768100,782.06,41.70,highres
2.254011,66313667277,3.589511,-0.254740,-9.062970,0.104637,0.072527,0.065902,0.204510,0.906569,2.768100,782.06,41.70,highres
2.254011,66313689488,3.587005,-0.395297,-9.287690,0.067372,0.032178,0.047454,0.204510,0.906569,2.768100,782.06,41.70,highres
2.254011,66313713049,3.634167,-0.299224,-9.200238,-0.078340,-0.006434,0.049732,0.204510,0.906569,2.768100,782.06,41.70,highres
2.254011,66313732485,3.674867,-0.295633,-9.118838,-0.028798,0.023376,0.048164,0.204510,0.906569,2.768100,782.06,41.70,highres
2.254011,66313752302,3.705991,-0.448855,-8.932099,0.040524,0.070328,0.037375,0.212770,0.904011,2.764571,782.06,41.70,highres
2.254086,66313762840,3.666616,-0.461259,-8.841035,0.059709,0.066069,0.020675,0.239227,0.894332,2.755085,782.06,41.70,highres
