t_wall_s,mhe_solve_us,mpc_solve_us,cycle_us
2.253812,0,0,11
2.253812,0,0,17
2.253812,0,0,296
2.253812,0,0,58
2.254661,0,0,16
2.254661,0,0,408
2.254661,0,0,17
2.254661,0,0,137
2.254859,0,0,55
2.254859,0,0,88
2.254859,0,0,15
2.254859,0,0,17
2.255034,0,0,303
2.255034,0,0,106
2.255034,0,0,12
2.255034,0,0,10
2.255267,0,0,97
2.255267,0,0,139
2.255267,0,0,11
2.255267,0,0,59
2.255378,0,0,325
2.255378,0,0,167
2.255378,0,0,1376
2.255378,0,0,251
2.255378,0,0,11
2.255608,0,0,91
2.255608,0,0,97
2.255608,0,0,96
2.255608,0,0,153
2.255845,0,0,14
2.255845,0,0,527
2.255845,0,0,177
2.255845,0,0,88
2.255845,0,0,17
2.256055,0,0,14
2.256055,0,0,97
2.256055,0,0,91
2.256055,0,0,286
2.256250,0,0,178
2.256250,0,0,407
2.256250,0,0,13
2.256250,0,0,11
2.256381,0,0,772
2.256381,0,0,8
2.256381,0,0,116
2.256381,0,0,706
2.256381,0,0,12
2.256612,0,0,13
2.256612,0,0,93
2.256612,0,0,348
2.256612,0,0,182
2.256840,0,0,18
2.256840,0,0,116
2.256840,0,0,68
2.256840,0,0,11
2.256840,0,0,12
2.257070,0,0,234
2.257104,0,0,62
2.316229,0,0,212
2.355029,0,0,13
2.398003,0,0,13
2.446000,0,0,157
2.488543,0,0,108
2.535441,0,0,192
2.580972,0,0,63
2.615296,0,0,17
2.654434,0,0,60
2.680115,0,0,196
2.715760,0,0,17
2.753972,0,0,104
2.797874,0,0,87
2.828608,0,0,65
2.853689,0,0,340
2.898264,0,0,122
2.933890,0,0,104
2.988002,0,0,381
3.027741,0,0,278
3.067153,0,0,96
3.098346,0,0,62
3.134208,0,0,419
3.180634,0,0,15
3.208682,0,0,132
3.248466,0,0,58
3.269218,0,0,82
3.311018,0,0,970
3.351626,0,0,151
3.388836,0,0,328
3.429112,0,0,86
3.467619,0,0,13
3.513768,0,0,12
3.555101,0,0,111
3.598149,0,0,59
3.635048,0,0,11
3.668393,0,0,242
3.708210,0,0,15
3.749708,0,0,14
3.787007,0,0,94
3.829243,0,0,188
3.868369,0,0,11
3.908745,0,0,94
3.946933,0,0,107
3.975128,0,0,16
4.014750,0,0,113
4.055215,0,0,187
4.109835,0,0,16
4.150807,0,0,17
4.187229,0,0,66
4.228391,0,0,54
4.267630,0,0,95
4.315013,0,0,17
4.353700,0,0,312
4.398027,0,0,159
4.434887,0,0,12
4.480659,0,0,324
4.498713,0,0,118
4.528628,0,0,13
4.569045,0,0,334
4.607767,0,0,78
4.650271,0,0,1550
4.694294,0,0,67
4.734618,0,0,62
4.773768,0,0,292
4.814120,0,0,114
4.854096,0,0,60
4.898910,0,0,152
4.935113,0,0,18
4.987658,0,0,102
5.015137,0,0,13
5.068449,0,0,210
5.107281,0,0,188
