t_wall_s,cpu_load_permille,voltage_mV,current_cA,battery_pct,drop_rate,errors_comm
2.255398,820,65535,-1,-1,0,0
2.256350,760,65535,-1,-1,0,0
2.257070,860,65535,-1,-1,0,0
2.257682,900,65535,-1,-1,0,0
2.258188,840,65535,-1,-1,0,0
2.731980,840,65535,-1,-1,0,0
3.236617,920,65535,-1,-1,0,0
3.730093,800,65535,-1,-1,0,0
4.231523,960,65535,-1,-1,0,0
4.739091,820,65535,-1,-1,0,0
5.238128,1040,65535,-1,-1,0,0
5.736411,880,65535,-1,-1,0,0
6.231627,860,65535,-1,-1,0,0
6.740010,820,65535,-1,-1,0,0
7.236551,900,65535,-1,-1,0,0
7.740073,840,65535,-1,-1,0,0
8.237632,940,65535,-1,-1,0,0
8.731336,860,65535,-1,-1,0,0
9.239388,880,65535,-1,-1,0,0
9.730517,900,65535,-1,-1,0,0
10.237727,880,65535,-1,-1,0,0
10.740050,820,65535,-1,-1,0,0
11.231115,980,65535,-1,-1,0,0
11.731025,780,65535,-1,-1,0,0
12.230600,980,65535,-1,-1,0,0
12.737797,840,65535,-1,-1,0,0
13.229913,980,65535,-1,-1,0,0
13.737370,840,65535,-1,-1,0,0
14.237469,880,65535,-1,-1,0,0
14.739670,840,65535,-1,-1,0,0
15.231228,840,65535,-1,-1,0,0
15.739451,940,65535,-1,-1,0,0
16.236593,940,65535,-1,-1,0,0
16.736861,1420,65535,-1,-1,0,0
17.229874,1420,65535,-1,-1,0,0
17.730360,1420,65535,-1,-1,0,0
18.231940,1220,65535,-1,-1,0,0
18.732036,1200,65535,-1,-1,0,0
19.230680,1080,65535,-1,-1,0,0
19.738194,1140,65535,-1,-1,0,0
20.236654,980,65535,-1,-1,0,0
20.736307,1120,65535,-1,-1,0,0
21.237071,1200,65535,-1,-1,0,0
21.738533,1140,65535,-1,-1,0,0
22.231764,1140,65535,-1,-1,0,0
22.739256,1140,65535,-1,-1,0,0
23.237652,1200,65535,-1,-1,0,0
23.738463,1160,65535,-1,-1,0,0
24.238339,1100,65535,-1,-1,0,0
24.737806,1260,65535,-1,-1,0,0
25.231776,1140,65535,-1,-1,0,0
25.732361,1200,65535,-1,-1,0,0
26.238319,1120,65535,-1,-1,0,0
26.731758,1200,65535,-1,-1,0,0
27.230212,1120,65535,-1,-1,0,0
27.739994,1140,65535,-1,-1,0,0
28.231146,1160,65535,-1,-1,0,0
28.737332,1200,65535,-1,-1,0,0
29.239274,1160,65535,-1,-1,0,0
29.739338,1220,65535,-1,-1,0,0
30.236132,1460,65535,-1,-1,0,0
30.738175,1180,65535,-1,-1,0,0
31.236136,1000,65535,-1,-1,0,0
31.736995,1000,65535,-1,-1,0,0
32.238073,1080,65535,-1,-1,0,0
32.737067,1120,65535,-1,-1,0,0
33.229200,740,65535,-1,-1,0,0
33.737399,960,65535,-1,-1,0,0
34.229936,940,65535,-1,-1,0,0
34.736105,1080,65535,-1,-1,0,0
35.237243,820,65535,-1,-1,0,0
35.738347,1060,65535,-1,-1,0,0
36.230559,1320,65535,-1,-1,0,0
36.729644,1180,65535,-1,-1,0,0
37.236925,1240,65535,-1,-1,0,0
37.737223,1140,65535,-1,-1,0,0
38.232753,1120,65535,-1,-1,0,0
38.731089,1160,65535,-1,-1,0,0
39.238010,1100,65535,-1,-1,0,0
39.734002,1180,65535,-1,-1,0,0
40.236871,1100,65535,-1,-1,0,0
40.739619,1060,65535,-1,-1,0,0
41.238146,1140,65535,-1,-1,0,0
41.737987,1140,65535,-1,-1,0,0
42.236679,1140,65535,-1,-1,0,0
42.737851,1180,65535,-1,-1,0,0
43.238994,1100,65535,-1,-1,0,0
43.738126,1140,65535,-1,-1,0,0
44.230041,1120,65535,-1,-1,0,0
44.741054,1140,65535,-1,-1,0,0
45.237078,960,65535,-1,-1,0,0
45.739820,1020,65535,-1,-1,0,0
46.237960,1180,65535,-1,-1,0,0
46.730559,1080,65535,-1,-1,0,0
47.236537,1100,65535,-1,-1,0,0
47.737769,1160,65535,-1,-1,0,0
