t_wall_s,t_boot_ms,roll_rad,pitch_rad,yaw_rad,rollspeed,pitchspeed,yawspeed
2.252868,67307259,0.034057,-0.005444,-0.606254,-0.000297,-0.003564,0.001103
2.252868,67307296,0.034013,-0.005415,-0.606279,-0.000616,0.003074,-0.001165
2.252868,67307325,0.033968,-0.005261,-0.606272,-0.002417,0.006372,-0.001127
2.252868,67307360,0.033926,-0.005069,-0.606287,-0.000254,0.005986,-0.001026
2.253118,67307395,0.034018,-0.004889,-0.606309,0.003722,0.003543,-0.000922
2.253118,67307429,0.034166,-0.004824,-0.606303,0.004758,-0.000250,0.001295
2.253118,67307461,0.034327,-0.004872,-0.606271,0.002435,-0.002194,0.001019
2.253118,67307496,0.034331,-0.004984,-0.606268,-0.002366,-0.004098,-0.000037
2.253118,67307530,0.034234,-0.005131,-0.606271,-0.004431,-0.003294,0.000122
2.253198,67307565,0.034109,-0.005175,-0.606242,-0.002269,-0.000043,-0.000964
2.253198,67307597,0.034060,-0.005092,-0.606220,-0.001608,0.003324,-0.000476
2.253198,67307631,0.034036,-0.004918,-0.606191,-0.001311,0.004677,0.000749
2.253198,67307664,0.034013,-0.004796,-0.606195,-0.002004,0.003813,-0.000979
2.253198,67307692,0.034000,-0.004621,-0.606157,-0.002289,0.009498,0.000942
2.253265,67307730,0.033914,-0.004402,-0.606167,-0.005424,-0.001074,-0.000752
2.253265,67307761,0.033742,-0.004590,-0.606201,-0.005159,-0.011539,-0.000037
2.253265,67307795,0.033604,-0.004757,-0.606145,-0.001738,0.003236,0.000395
2.253265,67307825,0.033530,-0.004627,-0.606139,-0.002261,0.000985,0.001395
2.253265,67307862,0.033313,-0.004958,-0.606080,-0.006036,-0.011394,0.000628
2.253337,67307897,0.033057,-0.005056,-0.606046,-0.010322,0.003390,0.000882
2.253337,67307920,0.032840,-0.005157,-0.606031,-0.012197,-0.001465,0.001042
2.253337,67307954,0.032258,-0.005424,-0.606025,-0.018525,-0.009885,-0.001189
2.253337,67307995,0.031494,-0.005883,-0.606038,-0.017801,-0.014219,-0.002983
2.253337,67308025,0.031056,-0.006579,-0.606106,-0.012888,-0.035499,0.004564
2.253463,67308064,0.030665,-0.007707,-0.606100,-0.005221,-0.023445,-0.000603
2.253463,67308096,0.030661,-0.008188,-0.606081,0.004060,-0.009597,-0.001747
2.253463,67308127,0.030824,-0.008431,-0.606102,0.009460,-0.010993,0.000576
2.253463,67308161,0.031137,-0.008734,-0.606103,0.009268,-0.003604,0.001565
2.253463,67308197,0.031416,-0.008621,-0.606066,0.003029,0.016479,-0.000130
2.253527,67308231,0.031454,-0.008100,-0.606052,-0.003671,0.021843,-0.001747
2.253527,67308264,0.031121,-0.007254,-0.606075,-0.010247,0.006239,-0.000379
2.253527,67308295,0.030857,-0.007262,-0.606118,-0.007633,-0.004323,0.000176
2.253527,67308329,0.030692,-0.007425,-0.606110,-0.000725,-0.004081,-0.001451
2.253527,67308360,0.030741,-0.007574,-0.606118,0.004428,-0.008709,0.000145
2.253527,67308395,0.030968,-0.007988,-0.606124,0.009156,-0.016548,0.000017
2.253592,67308427,0.031226,-0.008417,-0.606112,0.006575,-0.009163,-0.000009
2.253592,67308462,0.031414,-0.008527,-0.606098,0.002789,0.002051,-0.000241
2.253592,67308496,0.031355,-0.008209,-0.606098,-0.003608,0.009958,-0.000900
2.253592,67308529,0.031119,-0.007945,-0.606094,-0.007865,0.005730,-0.000268
2.253592,67308561,0.030897,-0.007746,-0.606110,-0.006169,0.005673,-0.000447
2.253671,67308594,0.030796,-0.007518,-0.606109,-0.001610,0.005848,-0.000761
2.253671,67308628,0.030873,-0.007496,-0.606101,0.003959,-0.003836,0.000456
2.253671,67308663,0.031069,-0.007793,-0.606111,0.006268,-0.011522,0.000459
2.253671,67308696,0.031252,-0.008108,-0.606103,0.004897,-0.007253,-0.000675
2.253671,67308730,0.031324,-0.008224,-0.606103,0.000209,-0.001251,-0.000421
2.253759,67308761,0.031256,-0.008249,-0.606106,-0.003844,-0.001109,0.000093
2.253759,67308797,0.031069,-0.008196,-0.606102,-0.005992,0.002635,-0.000787
2.253759,67308828,0.030955,-0.008014,-0.606104,-0.003328,0.008231,0.000438
2.253759,67308858,0.030892,-0.007748,-0.606093,-0.000662,0.006921,0.000116
2.253759,67308892,0.030949,-0.007622,-0.606074,0.003215,-0.001058,-0.000386
2.253835,67308925,0.031081,-0.007699,-0.606057,0.004922,-0.003450,0.000590
2.253835,67308965,0.031212,-0.007821,-0.606056,0.002084,-0.003156,-0.000923
2.253835,67308989,0.031222,-0.007905,-0.606058,-0.000670,-0.004929,0.000155
2.253835,67309030,0.031134,-0.008097,-0.606071,-0.003107,-0.003165,-0.000254
2.253835,67309062,0.031022,-0.008107,-0.606063,-0.003511,0.002173,-0.000202
2.253916,67309095,0.030944,-0.007957,-0.606041,-0.000826,0.006040,0.000282
2.253916,67309130,0.030961,-0.007762,-0.606024,0.000587,0.004094,-0.000023
2.253916,67309164,0.031029,-0.007673,-0.606003,0.002476,0.001328,0.000346
2.253916,67309190,0.031095,-0.007621,-0.605996,0.001636,0.002602,0.000229
2.253916,67309231,0.031131,-0.007627,-0.605979,0.000051,-0.002714,-0.000206
2.254004,67309263,0.031072,-0.007794,-0.605977,-0.001847,-0.005033,0.000188
2.254004,67309297,0.031007,-0.007957,-0.605983,-0.001398,-0.004554,-0.000013
2.254004,67309328,0.030955,-0.008022,-0.605982,-0.000505,-0.000574,0.000826
2.254004,67309363,0.030941,-0.007999,-0.605966,0.000563,0.001280,0.000177
2.254004,67309396,0.030960,-0.007932,-0.605955,0.000578,0.002835,-0.000666
2.254084,67309427,0.031013,-0.007828,-0.605936,0.001755,0.003574,-0.000060
2.254084,67309461,0.031036,-0.007734,-0.605934,0.000207,0.001501,0.000343
2.254118,67309495,0.031031,-0.007715,-0.605921,-0.000489,-0.000348,-0.000147
2.296303,67309528,0.030994,-0.007802,-0.605928,-0.001635,-0.002794,-0.000602
2.323073,67309558,0.030950,-0.007884,-0.605915,-0.000680,-0.002546,0.000721
2.363399,67309594,0.030918,-0.007951,-0.605900,0.000942,-0.002106,-0.000929
2.399531,67309628,0.030924,-0.008015,-0.605898,0.002090,-0.000029,0.000214
2.436460,67309664,0.030940,-0.007976,-0.605891,0.000909,0.003147,0.000543
2.467081,67309697,0.030982,-0.007845,-0.605873,0.001316,0.004109,-0.000108
