time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q0,q1,q2,q3,omega_x,omega_y,omega_z,mass,altitude,ground_range,alpha,beta,mach,fin_cmd_1,fin_cmd_2,fin_cmd_3,fin_cmd_4,fin_act_1,fin_act_2,fin_act_3,fin_act_4,fin_can_1,fin_can_2,fin_can_3,fin_can_4,fin_source,force_x,force_y,force_z,lat,lon,alt_msl
0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.99144486,-0.00000036,0.13052619,0.00000006,-0.00000000,0.00000001,-0.00000002,12.7369,1200.0000,0.0000,0.00000000,0.00000000,0.011660,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,0.0000,0.0000,0.0000,16.45747200,44.11536100,1200.0000
0.020000,0.002246,-0.000002,-0.000114,0.529490,-0.000451,-0.044257,0.99144486,-0.00000072,0.13052619,0.00000011,-0.00000000,0.00000002,-0.00000006,12.7344,1200.0001,0.0022,0.00000000,0.00000000,0.011764,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,635.0213,-0.5221,-0.2111,16.45747202,44.11536100,1200.0001
0.030000,0.009702,-0.000008,-0.000647,0.944466,-0.000804,-0.057790,0.99144486,-0.00000108,0.13052619,0.00000017,-0.00000000,0.00000004,-0.00000011,12.7321,1200.0006,0.0097,0.00000000,0.00000000,0.011984,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,498.3915,-0.4098,-0.1657,16.45747209,44.11536100,1200.0006
0.040000,0.021062,-0.000018,-0.001250,1.329907,-0.001131,-0.063398,0.99144486,-0.00000144,0.13052619,0.00000023,-0.00000000,0.00000008,-0.00000019,12.7298,1200.0012,0.0211,0.00000000,0.00000000,0.012292,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,517.9085,-0.4258,-0.1721,16.45747219,44.11536100,1200.0012
0.050000,0.036325,-0.000031,-0.001922,1.727759,-0.001470,-0.072337,0.99144486,-0.00000180,0.13052619,0.00000028,-0.00000000,0.00000012,-0.00000030,12.7272,1200.0019,0.0363,0.00000000,0.00000000,0.012707,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,556.9492,-0.4579,-0.1851,16.45747233,44.11536100,1200.0019
0.060000,0.055765,-0.000047,-0.002736,2.168890,-0.001844,-0.092887,0.99144486,-0.00000216,0.13052619,0.00000034,-0.00000000,0.00000018,-0.00000045,12.7242,1200.0027,0.0558,0.00000000,0.00000000,0.013271,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,625.2656,-0.5141,-0.2078,16.45747250,44.11536100,1200.0027
0.070000,0.079901,-0.000068,-0.003832,2.666904,-0.002267,-0.128699,0.99144486,-0.00000252,0.13052620,0.00000039,-0.00000027,-0.00000105,-0.00000287,12.7210,1200.0038,0.0799,0.00000000,0.00000000,0.014024,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,693.5791,-0.5703,-0.2305,16.45747272,44.11536100,1200.0038
0.080000,0.109277,-0.000093,-0.005357,3.213197,-0.002731,-0.177466,0.99144486,-0.00000289,0.13052617,0.00000040,-0.00000214,-0.00000993,-0.00001844,12.7176,1200.0054,0.1093,0.20661902,-0.89363771,0.014971,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,732.6263,-0.5959,-0.2499,16.45747299,44.11536100,1200.0054
0.090000,0.144264,-0.000123,-0.007408,3.789276,-0.003213,-0.234229,0.99144487,-0.00000329,0.13052609,0.00000032,-0.00000465,-0.00002144,-0.00003931,12.7142,1200.0074,0.1442,0.20005808,-0.81189471,0.016082,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,771.6629,-0.6246,-0.2655,16.45747330,44.11536100,1200.0074
0.100000,0.185112,-0.000157,-0.010055,4.381572,-0.003707,-0.295347,0.99144489,-0.00000372,0.13052595,0.00000012,-0.00000803,-0.00003653,-0.00006734,12.7107,1200.0101,0.1851,0.19448851,-0.73923815,0.017323,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,781.4251,-0.6274,-0.2724,16.45747367,44.11536100,1200.0101
0.110000,0.231896,-0.000197,-0.013316,4.974031,-0.004195,-0.356511,0.99144492,-0.00000418,0.13052572,-0.00000024,-0.00001253,-0.00005626,-0.00010461,12.7073,1200.0133,0.2319,0.19024086,-0.67654410,0.018643,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,771.6691,-0.6120,-0.2740,16.45747410,44.11536100,1200.0133
0.120000,0.284544,-0.000241,-0.017172,5.555527,-0.004668,-0.414738,0.99144497,-0.00000470,0.13052538,-0.00000081,-0.00001846,-0.00008191,-0.00015370,12.7039,1200.0172,0.2845,0.18727740,-0.62326107,0.020000,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,771.6682,-0.6021,-0.2804,16.45747457,44.11536100,1200.0172
0.130000,0.343007,-0.000290,-0.021610,6.134708,-0.005130,-0.472350,0.99144503,-0.00000529,0.13052490,-0.00000165,-0.00002618,-0.00011492,-0.00021750,12.7005,1200.0216,0.3429,0.18494691,-0.57703277,0.021401,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,752.1597,-0.5730,-0.2820,16.45747510,44.11536100,1200.0216
0.140000,0.407214,-0.000344,-0.026612,6.706626,-0.005575,-0.528020,0.99144512,-0.00000597,0.13052423,-0.00000285,-0.00003612,-0.00015703,-0.00029954,12.6971,1200.0266,0.4071,0.18322141,-0.53703777,0.022823,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,752.1658,-0.5562,-0.2923,16.45747568,44.11536100,1200.0266
0.150000,0.477140,-0.000402,-0.032171,7.278698,-0.006006,-0.583740,0.99144524,-0.00000677,0.13052332,-0.00000450,-0.00004878,-0.00021041,-0.00040430,12.6937,1200.0322,0.4771,0.18176166,-0.50177230,0.024278,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,752.1732,-0.5349,-0.3050,16.45747631,44.11536100,1200.0322
0.160000,0.552813,-0.000464,-0.038294,7.858312,-0.006402,-0.641505,0.99144540,-0.00000772,0.13052212,-0.00000673,-0.00006483,-0.00027749,-0.00053700,12.6903,1200.0383,0.5527,0.18033312,-0.47012963,0.025780,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,771.6391,-0.4834,-0.3460,16.45747699,44.11536100,1200.0383
0.170000,0.634332,-0.000530,-0.045008,8.447971,-0.006775,-0.701984,0.99144560,-0.00000885,0.13052054,-0.00000968,-0.00008504,-0.00036123,-0.00070401,12.6868,1200.0450,0.6342,0.17887906,-0.44152424,0.027332,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,791.1460,-0.4596,-0.3753,16.45747773,44.11536100,1200.0450
0.180000,0.721797,-0.000599,-0.052340,9.043968,-0.007122,-0.764182,0.99144587,-0.00001022,0.13051851,-0.00001355,-0.00011023,-0.00046483,-0.00091210,12.6833,1200.0523,0.7217,0.17748371,-0.41574267,0.028921,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,781.3806,-0.4032,-0.3996,16.45747852,44.11536099,1200.0523
0.190000,0.815212,-0.000672,-0.060292,9.638882,-0.007431,-0.826111,0.99144622,-0.00001187,0.13051590,-0.00001855,-0.00014134,-0.00059188,-0.00116897,12.6798,1200.0603,0.8151,0.17627770,-0.39269396,0.030524,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,781.3821,-0.3455,-0.4322,16.45747937,44.11536099,1200.0603
0.200000,0.914576,-0.000747,-0.068863,10.233952,-0.007695,-0.888109,0.99144665,-0.00001389,0.13051259,-0.00002493,-0.00017945,-0.00074651,-0.00148354,12.6763,1200.0689,0.9144,0.17520494,-0.37194286,0.032142,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,781.3747,-0.2773,-0.4707,16.45748026,44.11536099,1200.0689
0.210000,1.019916,-0.000826,-0.078061,10.835371,-0.007914,-0.951840,0.99144720,-0.00001634,0.13050844,-0.00003302,-0.00022586,-0.00093344,-0.00186778,12.6727,1200.0781,1.0197,0.17414022,-0.35298727,0.033790,0.00000000,0.00000000,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,0.00096963,0.07853982,0.00000000,0.00000000,can,791.1349,-0.2045,-0.5193,16.45748121,44.11536099,1200.0781
