t_sim,cmd_1_deg,cmd_2_deg,cmd_3_deg,cmd_4_deg,fb_1_deg,fb_2_deg,fb_3_deg,fb_4_deg,err_1_deg,err_2_deg,err_3_deg,err_4_deg,online_mask,tx_fail
710988.607525,0.0000,0.0000,0.0000,0.0000,0.1111,-0.0556,-0.1111,-0.1667,-0.1111,0.0556,0.1111,0.1667,15,0
710988.633825,0.0000,0.0000,0.0000,0.0000,0.1111,-0.0556,-0.1111,-0.1667,-0.1111,0.0556,0.1111,0.1667,15,0
710988.660010,0.0000,0.0000,0.0000,0.0000,0.1111,-0.0556,-0.1111,-0.1111,-0.1111,0.0556,0.1111,0.1111,15,0
710988.686203,0.0000,0.0000,0.0000,0.0000,0.1111,-0.0556,-0.1111,-0.1667,-0.1111,0.0556,0.1111,0.1667,15,0
710988.712317,0.0000,0.0000,0.0000,0.0000,0.1111,-0.0556,-0.1111,-0.1667,-0.1111,0.0556,0.1111,0.1667,15,0
710988.738606,0.0000,0.0000,0.0000,0.0000,0.1111,-0.0556,-0.1111,-0.1667,-0.1111,0.0556,0.1111,0.1667,15,0
710988.764608,0.0000,0.0000,0.0000,0.0000,0.1111,-0.0556,-0.1111,-0.1667,-0.1111,0.0556,0.1111,0.1667,15,0
710988.790664,0.0000,0.0000,0.0000,0.0000,0.1111,-0.0556,-0.1111,-0.1667,-0.1111,0.0556,0.1111,0.1667,15,0
710988.816838,0.0000,0.0000,0.0000,0.0000,0.0556,-0.0556,-0.1111,-0.1667,-0.0556,0.0556,0.1111,0.1667,15,0
710988.842804,0.0000,0.0000,0.0000,0.0000,0.0556,-0.0556,-0.1111,-0.1667,-0.0556,0.0556,0.1111,0.1667,15,0
710988.868950,0.0000,0.0000,0.0000,0.0000,0.1111,-0.0556,-0.1111,-0.1667,-0.1111,0.0556,0.1111,0.1667,15,0
710988.895222,0.0000,0.0000,0.0000,0.0000,0.1111,-0.0556,-0.1111,-0.1667,-0.1111,0.0556,0.1111,0.1667,15,0
710988.926680,0.0000,0.0000,0.0000,0.0000,0.1111,-0.0556,-0.1111,-0.1667,-0.1111,0.0556,0.1111,0.1667,15,0
710988.958077,0.0000,0.0000,0.0000,0.0000,0.0556,-0.0556,-0.1111,-0.1667,-0.0556,0.0556,0.1111,0.1667,15,0
710988.989423,0.0000,0.0000,0.0000,0.0000,0.1111,-0.0556,-0.1111,-0.1667,-0.1111,0.0556,0.1111,0.1667,15,0
710989.015508,0.0000,0.0000,0.0000,0.0000,0.1111,-0.0556,-0.1111,-0.1667,-0.1111,0.0556,0.1111,0.1667,15,0
710989.046803,0.0000,0.0000,0.0000,0.0000,0.1111,-0.0556,-0.1111,-0.1667,-0.1111,0.0556,0.1111,0.1667,15,0
710989.078076,0.0000,0.0000,0.0000,0.0000,0.1111,-0.0556,-0.1111,-0.1111,-0.1111,0.0556,0.1111,0.1111,15,0
710989.109313,0.0000,0.0000,0.0000,0.0000,-0.1111,-0.1111,-0.1111,-0.1111,0.1111,0.1111,0.1111,0.1111,15,0
710989.135298,0.0000,0.0000,0.0000,0.0000,-0.1111,-0.1111,-0.1111,-0.1667,0.1111,0.1111,0.1111,0.1667,15,0
