wall_time,cpu_temp_c,cpu0_freq_mhz,cpu4_freq_mhz,cpu7_freq_mhz
1779245077.860,45.10,556,614,864
1779245081.552,39.20,2016,729,864
1779245085.177,40.00,2016,614,864
1779245088.880,38.80,556,844,864
1779245092.619,40.40,556,614,864
1779245096.326,41.20,2016,614,864
1779245100.091,40.00,1228,614,864
1779245102.877,40.00,2016,614,864
1779245105.713,40.40,1113,2803,864
1779245109.377,42.80,2016,1401,864
1779245112.522,41.20,556,614,864
1779245116.219,40.00,2016,614,864
1779245119.967,39.60,2016,614,864
1779245123.658,40.40,2016,614,864
1779245127.245,40.40,2016,614,864
1779245131.087,41.20,902,1286,1248
1779245133.788,41.20,1459,1286,1248
1779245136.402,40.00,2016,1286,1248
1779245139.193,39.60,1228,1286,1248
1779245142.060,41.20,1555,1286,1248
1779245144.985,41.20,2016,1785,1248
1779245147.791,40.80,1670,1286,1248
1779245150.617,41.60,2016,1286,1248
1779245153.472,50.70,2016,2707,1248
1779245156.587,48.70,1555,2457,1248
1779245159.697,52.70,2016,2323,1248
1779245162.689,48.30,902,2188,1248
