t_sim,mhe_us,mpc_us,cycle_us
247981.304958,0.000,0.000,5355.000
247982.178569,0.000,0.000,5293.000
247983.199535,0.000,0.000,5198.000
247985.181705,0.000,0.000,15690.000
247985.392112,0.000,0.000,10489.000
247987.531611,0.000,0.000,5300.000
247988.429918,0.000,0.000,5243.000
247988.693181,0.000,0.000,5221.000
247988.928075,0.000,0.000,10544.000
247990.061504,0.000,0.000,10420.000
247991.263920,0.000,0.000,10652.000
247992.160380,0.000,0.000,10444.000
247992.454421,0.000,0.000,5236.000
247994.435959,0.000,0.000,5195.000
