t_s,t_sim_s,kind,servo_idx,value_deg
1.353790,,fb,0,0.0556
1.391960,,fb,2,-0.1111
1.392586,,fb,0,0.0000
1.393891,,fb,1,0.0556
1.394731,,fb,3,0.0000
1.395778,,fb,1,0.0556
1.396767,,fb,0,0.0556
1.397969,,fb,1,0.0556
1.445984,,fb,1,0.0556
1.447754,,fb,2,-0.1111
1.448809,,fb,0,0.0556
1.620495,,fb,1,0.3333
1.621489,,fb,2,0.1667
1.622502,,fb,3,0.6111
1.624548,,fb,1,0.5556
1.627490,,fb,2,0.1667
1.630510,,fb,3,0.6667
1.633477,,fb,0,0.6667
1.636478,,fb,1,1.1111
1.639477,,fb,2,0.7222
1.642483,,fb,3,1.0556
1.645485,,fb,0,1.2778
1.647478,,fb,1,1.1111
1.651484,,fb,2,1.3333
1.654482,,fb,3,1.2222
1.692591,,fb,1,1.1111
1.693495,,fb,3,1.0556
1.694669,,fb,0,1.1111
1.695502,,fb,2,1.0000
1.740484,,fb,0,1.1111
1.742508,,fb,0,1.1667
1.743482,,fb,0,1.1667
1.744481,,fb,1,1.1111
1.782738,,fb,3,1.0556
1.784724,,fb,2,1.0000
1.786693,,fb,2,1.0000
1.787670,,fb,2,1.0556
1.788670,,fb,3,1.0556
1.789591,,fb,0,1.1111
1.827599,,fb,2,1.0000
1.828687,,fb,0,1.1111
1.830685,,fb,2,1.0000
1.831873,,fb,2,1.0556
1.832779,,fb,0,1.1667
1.833623,,fb,1,1.1111
1.834591,,fb,3,1.0556
1.872583,,fb,1,1.1111
1.873575,,fb,3,1.0556
1.874686,,fb,0,1.1111
1.875694,,fb,2,1.0556
1.876581,,fb,1,1.1111
1.877579,,fb,2,1.0556
1.878574,,fb,0,1.1111
1.879660,,fb,2,1.0556
1.916708,,fb,3,1.0556
1.917788,,fb,0,1.1111
1.918667,,fb,2,1.0556
1.919616,,fb,3,1.0556
1.920784,,fb,2,1.0556
1.921711,,fb,3,1.0556
1.922665,,fb,2,1.0556
1.923724,,fb,0,1.1111
1.971589,,fb,3,1.0556
1.972563,,fb,0,1.1111
1.973561,,fb,3,1.0556
1.974554,,fb,0,1.1111
1.975606,,fb,2,1.1111
1.976617,,fb,3,1.0556
1.977650,,fb,2,1.0556
1.978598,,fb,0,1.1111
1.979610,,fb,1,1.1111
2.026657,,fb,1,1.1111
2.027619,,fb,3,1.0556
2.028629,,fb,1,1.1111
2.029532,,fb,0,1.1111
2.030573,,fb,1,1.1111
2.031640,,fb,0,1.1111
2.032603,,fb,2,1.1111
2.033743,,fb,3,1.0556
2.080666,,fb,0,1.1111
2.082693,,fb,3,1.1111
2.083667,,fb,2,1.0556
2.084610,,fb,1,1.1111
2.085603,,fb,3,1.0556
2.086590,,fb,0,1.1111
2.087587,,fb,1,1.1111
2.124641,,fb,0,1.1111
2.126703,,fb,0,1.1111
2.127642,,fb,0,1.1111
2.128650,,fb,1,1.1111
2.129670,,fb,3,1.0556
