time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,q0,q1,q2,q3,omega_x,omega_y,omega_z,mass,altitude,ground_range,alpha,beta,mach,fin_cmd_1,fin_cmd_2,fin_cmd_3,fin_cmd_4,fin_act_1,fin_act_2,fin_act_3,fin_act_4,force_x,force_y,force_z,accel_x,accel_y,accel_z,lat,lon,alt_msl
0.010000,4393519.067327,4259900.829654,1795674.982111,-0.077555,-0.075196,0.531329,0.99144474,0.00049536,0.13052618,-0.00006521,0.10000000,0.00000000,0.00000000,12.7370,0.0000,0.0000,0.00000000,0.00000000,0.000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,0.0000,0.0000,0.0000,2.538148,-0.009466,-9.472492,16.45747200,44.11536100,1200.0000
0.020000,4393519.066173,4259900.828535,1795674.989567,-0.152902,-0.148252,0.941795,0.99144437,0.00099072,0.13052613,-0.00013041,0.10000000,0.00000000,0.00000000,12.7344,0.0001,0.0023,0.00000000,0.00000000,0.001580,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,647.7998,0.0000,0.0000,53.408190,-0.018931,-9.472478,16.45747202,44.11536100,1200.0001
0.030000,4393519.064270,4259900.826691,1795675.000869,-0.227680,-0.220755,1.321087,0.99144375,0.00148609,0.13052605,-0.00019562,0.10000000,0.00000000,0.00000000,12.7321,0.0007,0.0099,0.00000000,0.00000000,0.002815,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,508.4594,0.0000,0.0000,42.473419,-0.028397,-9.472454,16.45747209,44.11536100,1200.0007
0.040000,4393519.061619,4259900.824120,1795675.016015,-0.302698,-0.293490,1.713483,0.99144288,0.00198145,0.13052593,-0.00026083,0.10000000,0.00000000,0.00000000,12.7297,0.0014,0.0215,0.00000000,0.00000000,0.003960,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,528.3637,0.0000,0.0000,44.044625,-0.037862,-9.472421,16.45747219,44.11536100,1200.0014
0.050000,4393519.058213,4259900.820818,1795675.035295,-0.378550,-0.367034,2.151564,0.99144177,0.00247681,0.13052579,-0.00032603,0.10000000,0.00000000,0.00000000,12.7270,0.0021,0.0371,0.00000000,0.00000000,0.005144,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,568.1789,0.0000,0.0000,47.181820,-0.047328,-9.472378,16.45747233,44.11536100,1200.0021
0.060000,4393519.054044,4259900.816775,1795675.059255,-0.455499,-0.441642,2.649694,0.99144041,0.00297217,0.13052561,-0.00039124,0.10000000,0.00000000,0.00000000,12.7240,0.0030,0.0569,0.00000000,0.00000000,0.006457,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,637.8506,0.0000,0.0000,52.667996,-0.056793,-9.472326,16.45747251,44.11536100,1200.0030
0.070000,4393519.049100,4259900.811982,1795675.088472,-0.533379,-0.517152,3.198788,0.99143880,0.00346753,0.13052539,-0.00045644,0.10000000,0.00000000,0.00000000,12.7207,0.0042,0.0815,0.00000000,0.00000000,0.007942,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,707.5193,0.0000,0.0000,58.157735,-0.066259,-9.472265,16.45747274,44.11536100,1200.0042
0.080000,4393519.043375,4259900.806431,1795675.123336,-0.611833,-0.593219,3.779327,0.99143694,0.00396289,0.13052515,-0.00052165,0.10000000,0.00000000,0.00000000,12.7172,0.0059,0.1115,0.00000000,0.00000000,0.009573,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,747.3379,0.0000,0.0000,61.303960,-0.075724,-9.472194,16.45747301,44.11536100,1200.0059
0.090000,4393519.036863,4259900.800117,1795675.164111,-0.690601,-0.669589,4.376987,0.99143484,0.00445825,0.13052487,-0.00058685,0.10000000,0.00000000,0.00000000,12.7137,0.0081,0.1472,0.00000000,0.00000000,0.011293,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,787.1470,0.0000,0.0000,64.451549,-0.085190,-9.472113,16.45747333,44.11536100,1200.0081
0.100000,4393519.029563,4259900.793039,1795675.210876,-0.769371,-0.745961,4.974820,0.99143249,0.00495360,0.13052456,-0.00065206,0.09999967,-0.00000133,0.00000001,12.7101,0.0110,0.1888,0.00000000,0.00000000,0.013063,0.00000000,0.00000000,0.00000000,0.00000000,-0.00096963,-0.00193925,-0.00193925,-0.00290888,797.1001,0.0000,0.0000,65.251873,-0.094655,-9.472024,16.45747371,44.11536100,1200.0110
