time_s,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,velocity_total_m_s,position_x_m,position_y_m,position_z_m,altitude_m,ground_range_m,alpha_rad,alpha_deg,beta_rad,beta_deg,mach,mach_aero,q_dynamic_Pa,airspeed_m_s,quat_w,quat_x,quat_y,quat_z,roll_deg,pitch_deg,yaw_deg,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,omega_x_deg_s,omega_y_deg_s,omega_z_deg_s,force_x_N,force_y_N,force_z_N,thrust_x_N,thrust_y_N,thrust_z_N,moment_x_Nm,moment_y_Nm,moment_z_Nm,mass_kg,flight_phase,CN_total,CM_total,CY_total,Cn_total,CN_delta,CM_delta,CN_control,CM_control,CY_control,Cn_control,M_roll_aero,M_pitch_aero,M_yaw_aero,xbc_m,propellant_fraction,cg_position_m,position_fur_x_m,position_fur_y_m,position_fur_z_m,velocity_fur_x_m_s,velocity_fur_y_m_s,velocity_fur_z_m_s,acceleration_fur_x_m_s2,acceleration_fur_y_m_s2,acceleration_fur_z_m_s2,acceleration_body_x_g,acceleration_body_y_g,acceleration_body_z_g,fin_1_rad,fin_2_rad,fin_3_rad,fin_4_rad,delta_pitch_rad,delta_yaw_rad,delta_roll_rad,wind_north_m_s,wind_east_m_s,wind_down_m_s,static_margin_cal,mpc_gamma_ref_deg,mpc_chi_ref_deg,mpc_delta_e_rad,mpc_delta_r_rad,mpc_delta_a_rad,mpc_solve_time_ms,mpc_solver_status,mpc_sqp_iterations,mpc_gamma_error_deg,mpc_chi_error_deg,actuator_cmd_fin1_rad,actuator_cmd_fin2_rad,actuator_cmd_fin3_rad,actuator_cmd_fin4_rad,fin_authority,safety_violations,g_force_total,g_force_axial,g_force_x,g_force_y,g_force_z,speed_of_sound_m_s,stage_number,CA,vel_ned_launch_north_m_s,vel_ned_launch_east_m_s,vel_ned_launch_down_m_s,vel_ned_north_m_s,vel_ned_east_m_s,vel_ned_down_m_s,vel_aero_north_m_s,vel_aero_east_m_s,vel_aero_down_m_s,angular_accel_x_rad_s2,angular_accel_y_rad_s2,angular_accel_z_rad_s2,angular_accel_x_deg_s2,angular_accel_y_deg_s2,angular_accel_z_deg_s2,total_moment_x_Nm,total_moment_y_Nm,total_moment_z_Nm,latitude_deg,longitude_deg,altitude_lla_m,mhe_quality,mhe_solve_ms,mhe_V_m_s,mhe_gamma_rad,mhe_chi_rad,mhe_p_rad_s,mhe_q_rad_s,mhe_r_rad_s,mhe_alpha_rad,mhe_beta_rad,mhe_phi_rad,mhe_h_scaled,mhe_xg_scaled,mhe_yg_scaled,mhe_bgx_rad_s,mhe_bgy_rad_s,mhe_bgz_rad_s,mhe_wn_m_s,mhe_we_m_s
0.000,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.991445,0.000000,0.130526,0.000000,0.0000,15.0000,0.0000,0.100000,0.000000,0.000000,5.7296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.7400,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.000000,0.572085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1729,0.3891,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7127,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],0.0000,0.0000,0.0000,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.28723707,0.76995830,1200.0000,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.100,-0.7694,-0.7460,4.9748,5.0889,4393519.0296,4259900.7930,1795675.2109,1200.0145,0.2365,0.186722,10.6984,0.001857,0.1064,0.0148,0.1000,13.5340,5.0889,0.991432,0.004954,0.130525,-0.000652,0.5725,15.0000,0.0000,0.100000,-0.000001,0.000000,5.7296,-0.0001,0.0000,787.1446,-0.0001,-0.0100,787.1470,0.0000,0.0000,-0.0000,-0.0009,0.0000,12.7101,LAUNCH,-2.527102,-1.800992,-0.024944,0.018190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000009,-0.000925,0.000009,-0.000068,0.981680,0.572017,0.2366,0.0145,0.0000,5.0746,0.3817,0.0000,6.0957,0.6369,0.0000,6.3130,-0.0000,-0.0001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7127,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.3151,6.3151,6.3151,-0.0000,-0.0001,343.0559,1,0.622124,5.0746,0.0000,-0.3817,5.0746,0.0000,-0.3817,5.0746,0.0000,-0.3817,-0.000263,-0.000799,0.000008,-0.0151,-0.0458,0.0005,-0.000009,-0.000925,0.000009,0.28723711,0.76995830,1200.0145,0.000000,0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.200,-1.5555,-1.5081,10.8868,11.1002,4393518.9134,4259900.6804,1795676.0014,1200.0832,1.0403,0.170951,9.7947,0.003402,0.1949,0.0324,0.1000,64.3922,11.1002,0.991397,0.009905,0.130511,-0.001304,1.1449,14.9990,0.0000,0.099876,-0.000608,0.000012,5.7225,-0.0349,0.0007,807.0159,-0.0041,-0.2085,807.0633,0.0000,0.0000,-0.0001,-0.0193,0.0004,12.6751,LAUNCH,-2.330519,-1.655656,-0.045709,0.033325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000101,-0.019255,0.000388,-0.000147,0.960191,0.571938,1.0405,0.0832,0.0000,11.0545,1.0065,0.0000,6.5321,0.7576,0.0000,6.4902,-0.0000,-0.0017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7104,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.4925,6.4925,6.4925,-0.0000,-0.0017,343.0557,1,0.530345,11.0545,0.0000,-1.0065,11.0545,0.0000,-1.0065,11.0545,0.0000,-1.0065,-0.002848,-0.016646,0.000394,-0.1632,-0.9537,0.0226,-0.000101,-0.019225,0.000387,0.28723724,0.76995830,1200.0832,0.060000,2.0816,38.496049,-0.543889,0.012393,0.070292,-0.136913,-0.003482,0.161383,0.016241,0.129254,0.008497,4393.528733,4259.903695,0.024909,0.030000,-0.000776,-4.996612,0.019960
0.300,-2.3471,-2.2756,17.2428,17.5499,4393518.7183,4259900.4912,1795677.4047,1200.2202,2.4630,0.161606,9.2594,0.004822,0.2763,0.0512,0.1000,160.9586,17.5499,0.991350,0.014840,0.130385,-0.001951,1.7152,14.9854,0.0000,0.099230,-0.005470,0.000164,5.6855,-0.3134,0.0094,866.4846,-0.0362,-1.2337,866.7591,0.0000,0.0000,-0.0004,-0.1136,0.0034,12.6376,LAUNCH,-2.206982,-1.562663,-0.064759,0.047163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000407,-0.113558,0.003427,-0.000231,0.937188,0.571853,2.4634,0.2202,0.0000,17.4625,1.7497,0.0001,6.6867,0.8103,0.0001,6.9892,-0.0003,-0.0100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,-0.7081,6.3445,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,0.0000,0.0000,0.000000,0.000000,0.000000,0.000000,1.000000,[],6.9916,6.9916,6.9916,-0.0003,-0.0100,343.0552,1,0.491083,17.4625,0.0001,-1.7497,17.4625,0.0001,-1.7497,17.4625,0.0001,-1.7497,-0.011422,-0.098226,0.003495,-0.6545,-5.6279,0.2002,-0.000407,-0.113272,0.003419,0.28723746,0.76995830,1200.2202,0.300000,1.9184,37.234045,0.252340,0.942927,0.065156,-0.152943,0.020113,0.104153,0.024355,1.403660,0.021335,4393.524841,4259.910888,0.030000,0.030000,-0.029952,-4.999992,-4.999992
0.400,-3.1340,-3.0385,23.7588,24.1565,4393518.4441,4259900.2254,1795679.4562,1200.4351,4.5382,0.154539,8.8544,0.006129,0.3512,0.0704,0.1000,304.9457,24.1565,0.991353,0.019711,0.129705,-0.002579,2.2782,14.9080,0.0001,0.097425,-0.025531,0.001018,5.5820,-1.4628,0.0583,835.9601,-0.1584,-4.5894,836.9159,0.0000,0.0000,-0.0202,-0.2250,0.0125,12.5993,LAUNCH,-2.287271,-0.862673,-0.078949,0.047830,0.149471,-0.543552,-0.172226,0.625830,0.003257,-0.011846,-0.020242,-0.225022,0.012476,-0.000318,0.913671,0.571767,4.5390,0.4351,0.0000,24.0221,2.5446,0.0002,6.4233,0.7615,0.0005,6.7635,-0.0013,-0.0371,0.071674,0.071707,-0.008707,-0.011789,-0.040969,0.000779,0.030721,0.0000,0.0000,0.0000,-0.7038,6.3442,-0.0000,-0.022545,0.000772,0.012391,2.6040,0,1,0.0000,0.0000,0.034164,0.035709,-0.009382,-0.010927,1.000000,[],6.7659,6.7658,6.7658,-0.0013,-0.0371,343.0545,1,0.476370,24.0221,0.0002,-2.5446,24.0221,0.0002,-2.5446,24.0221,0.0002,-2.5446,-0.568606,-0.194120,0.013217,-32.5787,-11.1222,0.7573,-0.020242,-0.223562,0.012426,0.28723779,0.76995830,1200.4351,0.300000,1.7758,35.950789,-0.005641,0.305479,0.067353,-0.034082,-0.026130,-0.005174,0.034531,1.601372,-0.004341,4393.525099,4259.900392,0.030000,0.025111,0.030000,-4.999997,-4.999997
0.500,-3.9016,-3.7821,30.0136,30.5015,4393518.0921,4259899.8842,1795682.1467,1200.7273,7.2568,0.147537,8.4533,0.007116,0.4077,0.0889,0.1000,486.1664,30.5015,0.991542,0.023869,0.127532,-0.003077,2.7579,14.6583,-0.0008,0.070471,-0.069402,0.002680,4.0377,-3.9764,0.1535,804.7015,-0.4348,-11.7400,807.0590,0.0000,0.0000,-0.0121,-0.2708,0.0215,12.5625,LAUNCH,-2.301936,-0.408395,-0.085263,0.032401,0.258178,-0.936624,-0.276542,1.003028,0.010047,-0.036539,-0.012075,-0.270769,0.021482,-0.000401,0.891121,0.571684,7.2581,0.7273,0.0001,30.3234,3.2917,0.0006,6.3202,0.7516,0.0007,6.5296,-0.0035,-0.0953,0.071674,0.071707,-0.053690,-0.063265,-0.065084,0.002402,0.006606,0.0000,0.0000,0.0000,-0.6969,6.3440,-0.0000,-0.045744,0.001217,0.013878,2.6900,0,1,0.0000,0.0000,0.058404,0.060839,-0.030649,-0.033084,1.000000,[],6.5326,6.5319,6.5319,-0.0035,-0.0953,343.0536,1,0.462253,30.3234,0.0006,-3.2917,30.3234,0.0006,-3.2917,30.3234,0.0006,-3.2917,-0.339190,-0.231315,0.023300,-19.4342,-13.2534,1.3350,-0.012075,-0.266059,0.021307,0.28723822,0.76995830,1200.7273,0.300000,1.5814,43.739385,-0.129281,0.311164,-0.023424,-0.063462,0.039298,0.041042,0.015495,0.448031,-0.011335,4393.530751,4259.902216,0.030000,0.029999,-0.030000,-3.892509,-4.653435
0.600,-4.6555,-4.5122,36.1686,36.7450,4393517.6644,4259899.4696,1795685.4551,1201.0932,10.5978,0.135181,7.7453,0.007325,0.4197,0.1071,0.1071,705.5431,36.7450,0.992143,0.026307,0.122271,-0.003312,3.0368,14.0515,-0.0082,0.023635,-0.154270,0.005982,1.3542,-8.8390,0.3428,812.7859,-0.8227,-20.0531,816.9865,0.0000,0.0000,-0.0202,-0.3339,0.0412,12.5264,POWERED_ASCENT,-2.141845,-0.274362,-0.087867,0.033825,0.329129,-1.194173,-0.276685,1.003639,0.010056,-0.036569,-0.020171,-0.333935,0.041170,-0.000483,0.868961,0.571602,10.5998,1.0932,0.0002,36.5235,4.0290,0.0012,6.4019,0.7115,-0.0004,6.6143,-0.0067,-0.1632,0.071674,0.071707,-0.053690,-0.063265,-0.065084,0.002402,0.006606,0.0000,0.0000,0.0000,-0.6852,6.3439,-0.0000,-0.064414,0.001418,0.011320,2.6480,0,1,0.0000,0.0000,0.074316,0.077152,-0.051677,-0.054512,1.000000,[],6.6185,6.6165,6.6165,-0.0067,-0.1632,343.0524,1,0.448659,36.5235,0.0012,-4.0290,36.5235,0.0012,-4.0290,36.5235,0.0012,-4.0290,-0.566622,-0.282433,0.039101,-32.4651,-16.1822,2.2403,-0.020171,-0.324253,0.040773,0.28723874,0.76995830,1201.0932,0.300000,1.5909,36.597643,0.073593,0.200406,-0.033566,-0.092556,0.026705,0.072659,0.004655,0.118773,0.014874,4393.528160,4259.902360,0.030000,0.029984,-0.030000,1.201226,-3.747918
0.700,-5.4520,-5.2850,42.3893,43.0640,4393517.1597,4259898.9804,1795689.3823,1201.5318,14.5625,0.114875,6.5818,0.006449,0.3695,0.1255,0.1255,969.0266,43.0640,0.993337,0.025973,0.112240,-0.003150,2.9928,12.8940,-0.0251,-0.039684,-0.259024,0.009503,-2.2737,-14.8410,0.5445,811.4247,-0.9769,-24.0451,817.0188,0.0000,0.0000,-0.0249,-0.1101,0.0414,12.4899,POWERED_ASCENT,-1.869910,-0.065864,-0.075969,0.024778,0.380673,-1.381944,-0.277053,1.005222,0.010082,-0.036645,-0.024876,-0.110103,0.041421,-0.000565,0.846540,0.571519,14.5652,1.5317,0.0003,42.8038,4.7270,0.0009,6.5223,0.5832,-0.0032,6.6225,-0.0080,-0.1962,0.071674,0.071707,-0.053690,-0.063265,-0.065084,0.002402,0.006606,0.0000,0.0000,0.0000,-0.6724,6.3437,-0.0000,-0.080902,0.001669,0.006276,2.5630,0,1,0.0000,0.0000,0.085509,0.088847,-0.072956,-0.076295,1.000000,[],6.6277,6.6248,6.6248,-0.0080,-0.1963,343.0510,1,0.435030,42.8038,0.0009,-4.7270,42.8037,0.0009,-4.7271,42.8038,0.0009,-4.7270,-0.698842,-0.084597,0.025735,-40.0407,-4.8470,1.4745,-0.024876,-0.096506,0.040869,0.28723937,0.76995830,1201.5318,0.300000,1.6454,45.851749,0.095176,0.017014,-0.110997,-0.079322,0.026996,0.090647,0.003194,0.102890,0.013005,4393.535083,4259.901408,0.030000,-0.030000,-0.029216,4.999993,0.403327
0.800,-6.3573,-6.1671,48.6876,49.4867,4393516.5704,4259898.4090,1795693.9361,1202.0347,19.1613,0.087128,4.9921,0.004745,0.2719,0.1443,0.1443,1279.5655,49.4867,0.995026,0.022165,0.097083,-0.002618,2.5471,11.1464,-0.0529,-0.115691,-0.358866,0.009909,-6.6286,-20.5615,0.5677,799.9194,-0.9026,-25.3457,807.0698,0.0000,0.0000,-0.0291,0.4632,0.0182,12.4529,POWERED_ASCENT,-1.492695,0.209840,-0.053157,0.008237,0.389066,-1.412446,-0.277428,1.006831,0.010107,-0.036722,-0.029087,0.463197,0.018182,-0.000649,0.823846,0.571436,19.1649,2.0347,0.0002,49.2021,5.2992,-0.0022,6.6488,0.3564,-0.0086,6.5480,-0.0074,-0.2075,0.071674,0.071707,-0.053690,-0.063265,-0.065084,0.002402,0.006606,0.0000,0.0000,0.0000,-0.6558,6.3435,-0.0000,-0.088229,0.001825,0.000578,2.6490,0,1,0.0000,0.0000,0.086982,0.090632,-0.085826,-0.089475,1.000000,[],6.5535,6.5502,6.5502,-0.0074,-0.2075,343.0493,1,0.421115,49.2021,-0.0022,-5.2992,49.2021,-0.0022,-5.2993,49.2021,-0.0022,-5.2992,-0.817145,0.418200,-0.024866,-46.8189,23.9611,-1.4247,-0.029087,0.479649,0.017596,0.28724009,0.76995830,1202.0347,0.300000,1.3708,45.489811,0.157586,-0.028567,-0.111249,-0.166278,0.017067,0.106251,0.003073,0.047241,0.007584,4393.524617,4259.898955,0.030000,-0.030000,-0.015509,3.995874,0.150185
0.900,-7.4374,-7.2260,55.0419,56.0101,4393515.8826,4259897.7413,1795699.1215,1202.5844,24.4049,0.054682,3.1331,0.002940,0.1684,0.1633,0.1633,1639.0650,56.0101,0.996864,0.014412,0.077786,-0.001899,1.6496,8.9249,-0.0896,-0.191133,-0.420861,0.006155,-10.9511,-24.1135,0.3527,828.0905,-0.7809,-22.9212,836.9336,0.0000,0.0000,-0.0220,1.5749,0.0445,12.4156,POWERED_ASCENT,-1.053828,0.556994,-0.035903,0.015733,0.396289,-1.438632,-0.285179,1.035213,0.003390,-0.012311,-0.022030,1.574929,0.044485,-0.000733,0.800965,0.571351,24.4095,2.5843,-0.0003,55.7246,5.6488,-0.0106,6.7908,0.0557,-0.0149,6.7990,-0.0064,-0.1882,0.071674,0.071707,-0.060295,-0.063477,-0.066788,0.000804,0.004902,0.0000,0.0000,0.0000,-0.6222,6.3432,0.0000,-0.085511,0.001671,-0.004956,2.5960,0,1,0.0000,0.0000,0.078884,0.082226,-0.088796,-0.092138,1.000000,[],6.8039,6.8013,6.8013,-0.0064,-0.1883,343.0475,1,0.406574,55.7246,-0.0106,-5.6488,55.7245,-0.0106,-5.6490,55.7246,-0.0106,-5.6488,-0.618890,1.392594,-0.039519,-35.4598,79.7898,-2.2643,-0.022030,1.591739,0.043913,0.28724092,0.76995830,1202.5844,0.300000,1.4979,57.833310,0.192170,-0.003622,-0.131492,-0.198064,0.012662,0.094968,0.004067,0.068965,0.018951,4393.534340,4259.899057,0.030000,-0.030000,-0.004794,4.999996,-0.392646
