time_s,velocity_x_m_s,velocity_y_m_s,velocity_z_m_s,velocity_total_m_s,position_x_m,position_y_m,position_z_m,altitude_m,ground_range_m,alpha_rad,alpha_deg,beta_rad,beta_deg,mach,mach_aero,q_dynamic_Pa,airspeed_m_s,quat_w,quat_x,quat_y,quat_z,roll_deg,pitch_deg,yaw_deg,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,omega_x_deg_s,omega_y_deg_s,omega_z_deg_s,force_x_N,force_y_N,force_z_N,thrust_x_N,thrust_y_N,thrust_z_N,moment_x_Nm,moment_y_Nm,moment_z_Nm,mass_kg,flight_phase,CN_total,CM_total,CY_total,Cn_total,CN_delta,CM_delta,CN_control,CM_control,CY_control,Cn_control,M_roll_aero,M_pitch_aero,M_yaw_aero,xbc_m,propellant_fraction,cg_position_m,position_fur_x_m,position_fur_y_m,position_fur_z_m,velocity_fur_x_m_s,velocity_fur_y_m_s,velocity_fur_z_m_s,acceleration_fur_x_m_s2,acceleration_fur_y_m_s2,acceleration_fur_z_m_s2,acceleration_body_x_g,acceleration_body_y_g,acceleration_body_z_g,fin_1_rad,fin_2_rad,fin_3_rad,fin_4_rad,delta_pitch_rad,delta_yaw_rad,delta_roll_rad,wind_north_m_s,wind_east_m_s,wind_down_m_s,static_margin_cal,mpc_gamma_ref_deg,mpc_chi_ref_deg,mpc_delta_e_rad,mpc_delta_r_rad,mpc_delta_a_rad,mpc_solve_time_ms,mpc_solver_status,mpc_sqp_iterations,mpc_gamma_error_deg,mpc_chi_error_deg,actuator_cmd_fin1_rad,actuator_cmd_fin2_rad,actuator_cmd_fin3_rad,actuator_cmd_fin4_rad,fin_authority,safety_violations,g_force_total,g_force_axial,g_force_x,g_force_y,g_force_z,speed_of_sound_m_s,stage_number,CA,vel_ned_launch_north_m_s,vel_ned_launch_east_m_s,vel_ned_launch_down_m_s,vel_ned_north_m_s,vel_ned_east_m_s,vel_ned_down_m_s,vel_aero_north_m_s,vel_aero_east_m_s,vel_aero_down_m_s,angular_accel_x_rad_s2,angular_accel_y_rad_s2,angular_accel_z_rad_s2,angular_accel_x_deg_s2,angular_accel_y_deg_s2,angular_accel_z_deg_s2,total_moment_x_Nm,total_moment_y_Nm,total_moment_z_Nm,latitude_deg,longitude_deg,altitude_lla_m
0.000,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.843391,0.000000,0.537300,0.000000,0.0000,65.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,576.0000,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.000000,2.693005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,nan,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-0.0000,0.0000,-0.000000,0.000000,0.000000,-0.000000,1.000000,[],0.0000,0.0000,0.0000,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,16.45747200,44.11536100,1200.0000
0.100,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.843391,0.000000,0.537300,0.000000,0.0000,65.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,50.0941,0.0000,0.0000,50.0941,0.0000,0.0000,0.0000,0.0000,0.0000,575.9980,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001432,0.993116,2.691574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0089,0.0000,0.0000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,nan,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-0.0000,0.0000,-0.000000,0.000000,0.000000,-0.000000,1.000000,[],0.0089,0.0089,0.0089,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,16.45747200,44.11536100,1200.0000
0.200,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.843391,0.000000,0.537300,0.000000,0.0000,65.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,49.8999,0.0000,0.0000,49.8999,0.0000,0.0000,0.0000,0.0000,0.0000,575.9960,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002931,0.985908,2.690074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0088,0.0000,0.0000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,nan,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-0.0000,0.0000,-0.000000,0.000000,0.000000,-0.000000,1.000000,[],0.0088,0.0088,0.0088,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,16.45747200,44.11536100,1200.0000
0.300,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.843391,0.000000,0.537300,0.000000,0.0000,65.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,49.0644,0.0000,0.0000,49.0644,0.0000,0.0000,0.0000,0.0000,0.0000,575.9939,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004426,0.978724,2.688580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0087,0.0000,0.0000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,nan,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-0.0000,0.0000,-0.000000,0.000000,0.000000,-0.000000,1.000000,[],0.0087,0.0087,0.0087,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,16.45747200,44.11536100,1200.0000
0.400,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.843391,0.000000,0.537300,0.000000,0.0000,65.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,47.6103,0.0000,0.0000,47.6103,0.0000,0.0000,0.0000,0.0000,0.0000,575.9920,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.005872,0.971769,2.687133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0084,0.0000,0.0000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,nan,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-0.0000,0.0000,-0.000000,0.000000,0.000000,-0.000000,1.000000,[],0.0084,0.0084,0.0084,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,16.45747200,44.11536100,1200.0000
0.500,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.843391,0.000000,0.537300,0.000000,0.0000,65.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,47.0005,0.0000,0.0000,47.0005,0.0000,0.0000,0.0000,0.0000,0.0000,575.9900,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007291,0.964948,2.685715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0083,0.0000,0.0000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,nan,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-0.0000,0.0000,-0.000000,0.000000,0.000000,-0.000000,1.000000,[],0.0083,0.0083,0.0083,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,16.45747200,44.11536100,1200.0000
0.600,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.843391,0.000000,0.537300,0.000000,0.0000,65.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,46.6895,0.0000,0.0000,46.6895,0.0000,0.0000,0.0000,0.0000,0.0000,575.9881,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.008696,0.958194,2.684310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0083,0.0000,0.0000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,nan,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-0.0000,0.0000,-0.000000,0.000000,0.000000,-0.000000,1.000000,[],0.0083,0.0083,0.0083,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,16.45747200,44.11536100,1200.0000
0.700,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.843391,0.000000,0.537300,0.000000,0.0000,65.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,46.5428,0.0000,0.0000,46.5428,0.0000,0.0000,0.0000,0.0000,0.0000,575.9862,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010094,0.951472,2.682911,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0082,0.0000,0.0000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,nan,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-0.0000,0.0000,-0.000000,0.000000,0.000000,-0.000000,1.000000,[],0.0082,0.0082,0.0082,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,16.45747200,44.11536100,1200.0000
0.800,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.843391,0.000000,0.537300,0.000000,0.0000,65.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,46.5101,0.0000,0.0000,46.5101,0.0000,0.0000,0.0000,0.0000,0.0000,575.9843,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.011490,0.944763,2.681516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0082,0.0000,0.0000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,nan,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-0.0000,0.0000,-0.000000,0.000000,0.000000,-0.000000,1.000000,[],0.0082,0.0082,0.0082,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,16.45747200,44.11536100,1200.0000
0.900,0.0000,0.0000,0.0000,0.0000,4393519.0677,4259900.8300,1795674.9799,1200.0000,0.0000,0.000000,0.0000,0.000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.843391,0.000000,0.537300,0.000000,0.0000,65.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,46.5626,0.0000,0.0000,46.5626,0.0000,0.0000,0.0000,0.0000,0.0000,575.9823,ARMED,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.012885,0.938052,2.680120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0082,0.0000,0.0000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,nan,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0,0,-0.0000,0.0000,-0.000000,0.000000,0.000000,-0.000000,1.000000,[],0.0082,0.0082,0.0082,0.0000,0.0000,343.0559,1,0.300000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,16.45747200,44.11536100,1200.0000
