frame_idx,23025:rdophone.px4v17,26168:Signal Catcher,26169:ADB-JDWP Connec,26170:HeapTaskDaemon,26171:ReferenceQueueD,26172:FinalizerDaemon,26173:FinalizerWatchd,26174:Jit thread pool,26175:Binder:23025_1,26176:Binder:23025_2,26179:Binder:23025_3,26203:Profile Saver,26205:RenderThread,26209:queued-work-loo,26214:DefaultExecutor,26243:ConnectivityThr,26244:rdophone.px4v17,26245:px4,26246:hpwork,26247:lpwork,26248:wkr_hrt,26249:wq:manager,26250:wq:lp_default,26254:px4,26255:DefaultDispatch,26256:DefaultDispatch,26258:DefaultDispatch,26281:wq:manager,26282:wq:rate_ctrl,26283:wq:INS0,26284:commander,26285:dataman,26286:navigator,26287:wq:hp_default,26289:wq:rocket_mpc,26290:px4,26291:px4,26292:mavlink_if0,26293:px4,26294:mavlink_rcv_if0,26296:TcpOptimizer,26297:TcpOptimizer,26312:logger,26313:px4_watchdog,26314:log_writer_file
0,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.60,0.00,0.00,0.00,0.00,0.00,0.00,3.30,0.00,0.00,0.00,100.00,0.00,0.00,3.30,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,99.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
2,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,100.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
3,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,99.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,99.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
5,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,100.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
6,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,99.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,10.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
7,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,0.00,100.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,99.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00
9,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,101.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,10.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
10,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,98.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
11,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,100.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
