frame_idx,2155:rdophone.px4v17,2640:Signal Catcher,2644:ADB-JDWP Connec,2645:HeapTaskDaemon,2647:ReferenceQueueD,2649:FinalizerDaemon,2651:FinalizerWatchd,2652:Jit thread pool,2654:Binder:2155_1,2655:Binder:2155_2,2661:Binder:2155_3,2672:Profile Saver,2675:RenderThread,2686:DefaultExecutor,2712:ConnectivityThr,2713:rdophone.px4v17,2714:px4,2715:hpwork,2716:lpwork,2717:wkr_hrt,2718:wq:manager,2720:wq:lp_default,2723:px4,2728:DefaultDispatch,2729:DefaultDispatch,2730:DefaultDispatch,2731:queued-work-loo,2751:wq:manager,2752:wq:rate_ctrl,2753:wq:INS0,2755:commander,2756:dataman,2757:navigator,2758:wq:hp_default,2759:wq:rocket_mpc,2760:px4,2761:px4,2762:mavlink_if0,2763:px4,2765:mavlink_rcv_if0,2766:TcpOptimizer,2767:TcpOptimizer,2768:logger,2769:px4_watchdog,2770:log_writer_file
0,13.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,10.30,0.00,0.00,0.00,3.40,0.00,0.00,3.40,0.00,0.00,0.00,0.00,17.20,6.80,10.30,0.00,0.00,0.00,0.00,3.40,0.00,0.00,6.80,3.40,0.00,0.00,0.00,6.80,0.00,3.40
1,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,8.00,0.00,0.00,1.00,4.00,0.00,0.00,4.00,0.00,1.00,0.00,0.00,16.00,5.00,9.00,1.00,0.00,0.00,2.00,3.00,0.00,0.00,8.00,3.00,1.00,0.00,0.00,5.00,0.00,2.00
2,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,9.00,0.00,0.00,0.00,3.00,0.00,0.00,4.00,0.00,1.00,0.00,0.00,17.00,5.00,8.00,2.00,0.00,1.00,1.00,2.00,0.00,0.00,9.00,2.00,0.00,0.00,0.00,5.00,1.00,2.00
3,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,1.00,0.00,4.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,15.00,6.00,9.00,1.00,0.00,0.00,1.00,3.00,0.00,0.00,9.00,3.00,1.00,0.00,0.00,5.00,0.00,2.00
4,9.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,7.00,0.00,0.00,0.00,4.00,0.00,0.00,5.00,0.00,1.00,1.00,0.00,17.00,5.00,10.00,1.00,0.00,0.00,2.00,3.00,0.00,0.00,8.00,3.00,1.00,0.00,0.00,4.00,0.00,3.00
5,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,8.00,0.00,0.00,0.00,3.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,17.00,5.00,8.00,1.00,0.00,1.00,1.00,3.00,0.00,0.00,9.00,2.00,0.00,0.00,0.00,5.00,1.00,2.00
6,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,9.00,0.00,0.00,0.00,3.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,17.00,5.00,9.00,1.00,0.00,0.00,2.00,2.00,0.00,0.00,8.00,3.00,1.00,0.00,0.00,6.00,0.00,2.00
7,10.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,9.00,0.00,0.00,0.00,4.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,15.00,6.00,9.00,2.00,0.00,1.00,1.00,3.00,0.00,0.00,9.00,3.00,0.00,0.00,0.00,5.00,0.00,2.00
8,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,3.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,18.00,5.00,9.00,1.00,0.00,0.00,1.00,2.00,0.00,0.00,9.00,3.00,1.00,0.00,0.00,5.00,0.00,2.00
9,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,10.00,0.00,0.00,0.00,4.00,0.00,0.00,4.00,0.00,0.00,1.00,0.00,17.00,5.00,9.00,1.00,0.00,1.00,2.00,3.00,0.00,0.00,8.00,2.00,1.00,0.00,0.00,5.00,0.00,3.00
