native_pss,native_priv_dirty,native_heap_size,native_heap_alloc,native_heap_free,dalvik_pss,dalvik_priv_dirty,dalvik_heap_size,dalvik_heap_alloc,dalvik_heap_free,stack_pss,gfx_pss,egl_pss,total_pss,total_priv_dirty,views,viewrootimpl,appcontexts,activities,local_binders,proxy_binders,parcel_count,t_sec
22026,21996,29444,27290,2153,6594,5968,10031,3887,6144,224,2992,28572,112678,98748,8,1,7,1,14,45,21,0.0
22014,21984,29432,27244,2187,5490,4864,9989,3845,6144,224,2992,28572,111434,97504,8,1,7,1,14,45,21,15.0
22018,21988,29432,27251,2180,5510,4884,9991,3863,6128,224,2992,28572,111454,97524,8,1,7,1,14,45,21,30.0
22018,21988,29432,27242,2189,5466,4840,9988,3844,6144,224,2992,28572,111428,97488,8,1,7,1,14,45,21,45.0
22022,21992,29432,27232,2199,5394,4768,9985,3841,6144,224,2992,28572,111352,97412,8,1,7,1,14,45,21,60.0
22022,21992,29432,27235,2196,5442,4816,9986,3842,6144,224,2992,28572,111404,97464,8,1,7,1,14,45,21,75.0
21998,21968,29408,27252,2155,5486,4860,9990,3846,6144,224,2992,28572,111420,97480,8,1,7,1,14,45,21,90.0
21998,21968,29408,27236,2171,5434,4808,9986,3842,6144,224,2992,28572,111372,97432,8,1,7,1,14,45,21,105.0
21998,21968,29408,27245,2162,5446,4820,9988,3844,6144,224,2992,28572,111380,97440,8,1,7,1,14,45,21,120.0
21998,21968,29408,27243,2164,5446,4820,9987,3843,6144,224,2992,28572,111384,97444,8,1,7,1,14,45,21,135.0
21998,21968,29408,27245,2162,5450,4824,9987,3843,6144,224,2992,28572,111384,97444,8,1,7,1,14,45,21,150.0
21998,21968,29408,27240,2167,5426,4800,9986,3842,6144,224,2992,28572,111364,97424,8,1,7,1,14,45,21,165.0
21998,21968,29408,27230,2177,5362,4736,9984,3840,6144,224,2992,28572,111295,97356,8,1,7,1,14,45,21,180.0
21998,21968,29408,27226,2181,5370,4744,9999,3855,6144,224,2992,28572,111307,97368,8,1,7,1,14,45,21,195.0
21998,21968,29408,27228,2179,5354,4728,9984,3840,6144,224,2992,28572,111283,97344,8,1,7,1,14,45,21,210.0
21998,21968,29408,27245,2162,5442,4816,9987,3843,6144,224,2992,28572,111379,97440,8,1,7,1,14,45,21,225.0
21998,21968,29408,27244,2163,5438,4812,9987,3843,6144,224,2992,28572,111371,97432,8,1,7,1,14,45,21,240.0
21998,21968,29408,27246,2161,5450,4824,9987,3843,6144,224,2992,28572,111387,97448,8,1,7,1,14,45,21,255.0
21998,21968,29408,27254,2153,5494,4868,10007,3863,6144,224,2992,28572,111431,97492,8,1,7,1,14,45,21,270.0
21998,21968,29408,27264,2143,5534,4908,9991,3847,6144,224,2992,28572,111471,97532,8,1,7,1,14,45,21,285.0
21998,21968,29408,27237,2170,5434,4808,10034,3890,6144,224,2992,28572,111367,97428,8,1,7,1,14,45,21,300.0
21998,21968,29408,27240,2167,5434,4808,9986,3842,6144,224,2992,28572,111371,97432,8,1,7,1,14,45,21,315.0
22002,21972,29420,27307,2112,5694,5068,10000,3856,6144,224,2992,28572,111631,97692,8,1,7,1,14,45,21,330.0
22234,22204,29700,27264,2435,5522,4896,9991,3847,6144,224,2992,28572,111695,97756,8,1,7,1,14,45,21,345.0
22234,22204,29700,27240,2459,5402,4776,9985,3841,6144,224,2992,28572,111571,97632,8,1,7,1,14,45,21,360.0
22234,22204,29700,27261,2438,5514,4888,10006,3878,6128,224,2992,28572,111687,97748,8,1,7,1,14,45,21,375.0
22234,22204,29700,27240,2459,5442,4816,9986,3842,6144,224,2992,28572,111611,97672,8,1,7,1,14,45,21,390.0
22234,22204,29700,27238,2461,5402,4776,9985,3841,6144,224,2992,28572,111575,97636,8,1,7,1,14,45,21,405.0
22234,22204,29700,27239,2460,5402,4776,9985,3841,6144,224,2992,28572,111575,97636,8,1,7,1,14,45,21,420.0
22814,22784,34480,27200,7279,5478,4852,9989,3845,6144,224,2992,28572,112231,98292,8,1,7,1,14,45,21,435.0
22814,22784,34480,27193,7286,5430,4804,9987,3843,6144,224,2992,28572,112183,98244,8,1,7,1,14,45,21,450.0
22818,22788,34480,27202,7277,5482,4856,9989,3845,6144,224,2992,28572,112235,98296,8,1,7,1,14,45,21,465.0
22818,22788,34480,27183,7296,5406,4780,10001,3857,6144,224,2992,28572,112162,98224,8,1,7,1,14,45,21,480.0
22818,22788,34480,27216,7263,5538,4912,10039,3911,6128,224,2992,28572,112290,98352,8,1,7,1,14,45,21,495.0
22818,22788,34480,27182,7297,5422,4796,10033,3889,6144,224,2992,28572,112178,98240,8,1,7,1,14,45,21,510.0
22818,22788,34480,27192,7287,5446,4820,9987,3843,6144,224,2992,28572,112198,98260,8,1,7,1,14,45,21,525.0
22818,22788,34480,27208,7271,5490,4864,9991,3863,6128,224,2992,28572,112250,98312,8,1,7,1,14,45,21,540.0
22806,22776,34468,27210,7257,5519,4892,9991,3847,6144,224,2992,28572,112374,98328,8,1,7,1,14,45,21,555.0
22806,22776,34468,27191,7276,5431,4804,9986,3842,6144,224,2992,28572,112240,98240,8,1,7,1,14,45,21,570.0
22806,22776,34468,27197,7270,5459,4832,9988,3844,6144,224,2992,28572,112267,98280,8,1,7,1,14,45,21,585.0
