t_wall_s,t_boot_ms,press_abs_hPa,press_diff_hPa,temperature_C
74.328151,9290004,778.8093,0.0000,39.40
74.445520,9290085,778.8088,0.0000,39.40
74.526292,9290204,778.8110,0.0000,39.40
74.645991,9290287,778.8030,0.0000,39.40
74.727326,9290404,778.8030,0.0000,39.40
74.846354,9290483,778.7993,0.0000,39.40
74.926914,9290602,778.8071,0.0000,39.40
75.046581,9290683,778.8112,0.0000,39.40
75.127671,9290805,778.8179,0.0000,39.40
75.248181,9290884,778.8108,0.0000,39.40
75.326682,9291003,778.8120,0.0000,39.40
75.445846,9291083,778.8173,0.0000,39.40
75.527378,9291202,778.8142,0.0000,39.40
75.646201,9291282,778.8137,0.0000,39.40
75.725686,9291403,778.8176,0.0000,39.40
75.846609,9291484,778.8196,0.0000,39.40
75.926837,9291603,778.8147,0.0000,39.40
76.046862,9291683,778.8103,0.0000,39.40
76.126102,9291808,778.8167,0.0000,39.40
76.257514,9291883,778.8171,0.0000,39.40
76.327721,9292004,778.8140,0.0000,39.40
76.446269,9292083,778.8164,0.0000,39.40
76.528106,9292203,778.8154,0.0000,39.40
76.647439,9292282,778.8105,0.0000,39.40
76.726971,9292404,778.8090,0.0000,39.40
76.846405,9292484,778.8071,0.0000,39.40
76.927675,9292605,778.8020,0.0000,39.40
77.046612,9292683,778.8017,0.0000,39.40
77.127139,9292802,778.7981,0.0000,39.40
77.248360,9292883,778.7981,0.0000,39.40
77.326766,9293004,778.7988,0.0000,39.40
77.447224,9293083,778.8103,0.0000,39.40
77.526958,9293204,778.8179,0.0000,39.40
77.646625,9293283,778.8073,0.0000,39.40
77.726043,9293403,778.8030,0.0000,39.40
77.853151,9293483,778.8101,0.0000,39.40
77.927386,9293603,778.8044,0.0000,39.40
78.047160,9293682,778.8081,0.0000,39.40
78.126928,9293802,778.8105,0.0000,39.40
78.247720,9293882,778.8088,0.0000,39.40
78.327800,9294005,778.8108,0.0000,39.40
78.448442,9294084,778.8083,0.0000,39.40
78.526402,9294204,778.7995,0.0000,39.00
78.646877,9294283,778.8059,0.0000,39.00
78.727928,9294405,778.8051,0.0000,39.00
78.846520,9294484,778.8064,0.0000,39.00
78.926639,9294604,778.8030,0.0000,39.00
79.046396,9294684,778.7988,0.0000,39.00
79.126647,9294766,778.8030,0.0000,39.00
79.256278,9294885,778.8115,0.0000,39.00
79.326983,9295002,778.8115,0.0000,39.00
79.446639,9295084,778.8064,0.0000,39.00
79.528743,9295205,778.8054,0.0000,39.00
79.648106,9295283,778.8125,0.0000,39.00
79.726885,9295404,778.8245,0.0000,39.00
79.848980,9295482,778.8071,0.0000,39.00
79.927797,9295604,778.8066,0.0000,39.00
80.047754,9295683,778.8010,0.0000,39.00
80.127753,9295804,778.8056,0.0000,39.00
80.248410,9295882,778.8032,0.0000,39.00
80.328153,9296004,778.8088,0.0000,39.00
80.447467,9296085,778.8184,0.0000,39.00
80.527641,9296202,778.8049,0.0000,39.40
80.646662,9296285,778.8047,0.0000,39.40
80.725744,9296403,778.8184,0.0000,39.40
80.847790,9296485,778.8112,0.0000,39.40
80.927710,9296603,778.8176,0.0000,39.40
81.048840,9296684,778.8142,0.0000,39.40
81.126898,9296805,778.8103,0.0000,39.40
81.248089,9296884,778.8071,0.0000,39.40
81.327078,9297002,778.7986,0.0000,39.40
81.448042,9297082,778.8142,0.0000,39.40
81.527653,9297203,778.8095,0.0000,39.40
81.647179,9297284,778.8184,0.0000,39.40
81.727426,9297403,778.8179,0.0000,39.40
81.851580,9297484,778.8207,0.0000,39.40
81.927137,9297604,778.8186,0.0000,39.40
82.048945,9297685,778.8196,0.0000,39.40
82.126729,9297804,778.8284,0.0000,39.40
82.257296,9297885,778.8157,0.0000,39.40
82.327966,9298005,778.8118,0.0000,39.40
82.446519,9298084,778.8206,0.0000,39.40
82.528297,9298205,778.8159,0.0000,39.00
82.647954,9298286,778.8145,0.0000,39.00
82.726566,9298404,778.8134,0.0000,39.00
82.847354,9298485,778.8186,0.0000,39.00
