t_wall_s,t_boot_ms,roll_rad,pitch_rad,yaw_rad,rollspeed,pitchspeed,yawspeed
134.418001,9915981,-0.000727,0.065160,-1.174188,-0.000071,0.000700,-0.000192
134.418001,9916014,-0.000721,0.065140,-1.174182,-0.000625,0.000597,-0.000856
134.418162,9916049,-0.000727,0.065110,-1.174206,0.000461,0.001039,-0.001068
134.418162,9916080,-0.000718,0.065093,-1.174192,-0.000315,0.000230,-0.000747
134.482873,9916111,-0.000714,0.065075,-1.174202,-0.000484,0.001712,-0.000828
134.519095,9916142,-0.000706,0.065072,-1.174217,-0.000560,0.001644,-0.000002
134.548836,9916175,-0.000725,0.065048,-1.174218,0.000063,-0.000993,0.000435
134.588516,9916211,-0.000722,0.065022,-1.174196,-0.000060,0.000827,-0.000828
134.620172,9916247,-0.000727,0.065003,-1.174220,-0.000198,-0.000367,-0.000375
134.648589,9916276,-0.000723,0.065003,-1.174212,0.000230,0.000966,-0.000722
134.688596,9916317,-0.000729,0.064996,-1.174215,-0.001014,0.000788,-0.001469
134.718927,9916347,-0.000738,0.065001,-1.174218,-0.000290,0.000972,-0.000927
134.750020,9916381,-0.000730,0.065026,-1.174216,-0.000296,0.001015,0.000352
134.788425,9916414,-0.000728,0.065015,-1.174197,-0.000117,0.000544,-0.000170
134.818741,9916448,-0.000715,0.064998,-1.174176,-0.000061,0.000554,0.000140
134.855587,9916484,-0.000714,0.064965,-1.174161,0.000138,0.000018,0.000189
134.888500,9916513,-0.000709,0.064946,-1.174147,0.000224,0.000498,-0.000643
134.918405,9916551,-0.000700,0.064940,-1.174129,0.001634,0.001032,-0.000227
134.950872,9916579,-0.000692,0.064940,-1.174109,0.000239,0.000979,-0.000650
134.988233,9916617,-0.000698,0.064904,-1.174099,0.000170,0.000275,0.000028
135.019885,9916646,-0.000705,0.064909,-1.174099,-0.000357,0.001211,-0.000160
135.049506,9916678,-0.000688,0.064894,-1.174111,0.000299,0.001067,-0.000555
135.088827,9916712,-0.000683,0.064881,-1.174109,0.000279,0.000249,-0.000108
135.118550,9916748,-0.000681,0.064872,-1.174102,-0.000181,0.001052,0.000247
135.152138,9916779,-0.000710,0.064852,-1.174110,-0.000747,-0.000911,-0.000868
135.188693,9916811,-0.000705,0.064845,-1.174128,0.000492,-0.000468,-0.000712
135.219061,9916844,-0.000687,0.064845,-1.174125,0.000282,0.001231,0.000057
135.249109,9916882,-0.000684,0.064851,-1.174147,-0.000262,0.000035,-0.000895
135.283772,9916916,-0.000699,0.064858,-1.174163,-0.000914,-0.000122,-0.000527
135.319022,9916945,-0.000702,0.064859,-1.174183,0.000166,0.001036,-0.000756
135.348735,9916979,-0.000702,0.064889,-1.174204,-0.000144,-0.001562,-0.000567
135.388374,9917014,-0.000696,0.064888,-1.174216,-0.000578,0.000758,-0.001642
135.419177,9917048,-0.000691,0.064916,-1.174238,-0.000488,0.000122,-0.001320
135.423386,9917078,-0.000691,0.064938,-1.174272,-0.000233,0.000937,-0.000399
135.482038,9917115,-0.000681,0.064957,-1.174284,0.000318,0.000249,-0.001063
135.518327,9917144,-0.000672,0.064987,-1.174288,0.000124,0.000791,-0.000717
135.549904,9917179,-0.000657,0.065019,-1.174297,0.001048,0.001041,-0.000333
135.586610,9917212,-0.000648,0.065032,-1.174308,0.000345,-0.000025,-0.000215
135.619234,9917250,-0.000650,0.065062,-1.174320,0.001015,0.001097,-0.000667
135.649584,9917278,-0.000656,0.065072,-1.174324,-0.000048,0.001425,-0.000080
135.688481,9917316,-0.000661,0.065083,-1.174329,-0.000666,0.000073,0.000276
135.719229,9917345,-0.000656,0.065075,-1.174303,0.000084,0.000581,0.000286
135.748758,9917379,-0.000645,0.065049,-1.174276,0.000048,0.000151,-0.000276
135.782669,9917417,-0.000647,0.065014,-1.174232,-0.000118,0.001047,-0.000290
135.819326,9917446,-0.000633,0.064996,-1.174205,-0.000745,0.000494,-0.000703
135.848994,9917483,-0.000604,0.064962,-1.174183,0.000695,0.000037,-0.000825
135.883248,9917516,-0.000592,0.064927,-1.174158,-0.000463,0.001031,-0.000401
135.921971,9917545,-0.000591,0.064897,-1.174147,0.001235,0.001124,-0.001572
135.949135,9917584,-0.000591,0.064877,-1.174139,-0.000903,0.000898,0.000167
135.982364,9917612,-0.000607,0.064854,-1.174126,0.000098,0.001104,-0.000356
136.018329,9917649,-0.000588,0.064812,-1.174102,-0.000233,0.001633,-0.000232
136.048904,9917678,-0.000581,0.064772,-1.174066,0.000131,0.001402,0.000020
136.084123,9917712,-0.000561,0.064729,-1.174050,0.000442,0.000002,-0.000875
136.120280,9917747,-0.000573,0.064706,-1.174034,-0.000198,0.001045,-0.000631
136.148649,9917783,-0.000565,0.064672,-1.174031,0.000048,0.000767,-0.000878
136.184144,9917815,-0.000569,0.064632,-1.174013,-0.000910,0.000445,-0.000189
136.218645,9917845,-0.000555,0.064601,-1.173974,0.000330,0.001764,0.000871
136.249461,9917880,-0.000554,0.064546,-1.173921,-0.000581,0.000730,-0.000329
136.283258,9917914,-0.000550,0.064521,-1.173903,-0.000421,0.000440,-0.000089
136.320086,9917948,-0.000556,0.064503,-1.173896,-0.000458,0.000102,-0.000783
136.348242,9917978,-0.000561,0.064491,-1.173887,0.000133,0.000892,0.001003
136.382385,9918014,-0.000566,0.064475,-1.173867,-0.000649,0.001260,0.000269
136.419637,9918047,-0.000564,0.064453,-1.173847,0.000058,0.000311,-0.000228
136.423152,9918080,-0.000561,0.064444,-1.173830,-0.000128,-0.000473,-0.000693
136.489242,9918117,-0.000552,0.064440,-1.173838,0.000109,0.000507,0.000080
136.519345,9918147,-0.000546,0.064445,-1.173853,-0.000500,0.001038,-0.000046
136.549252,9918180,-0.000568,0.064472,-1.173867,-0.000235,0.001767,0.000314
136.584704,9918212,-0.000561,0.064487,-1.173867,0.000842,0.000712,-0.000349
136.620192,9918247,-0.000551,0.064516,-1.173866,0.000069,0.000762,-0.000151
136.651438,9918278,-0.000543,0.064544,-1.173872,-0.000019,0.000760,-0.000142
136.683098,9918314,-0.000555,0.064556,-1.173872,0.000397,0.000132,-0.000503
136.718802,9918347,-0.000555,0.064608,-1.173876,0.000270,0.000848,-0.001369
136.750548,9918378,-0.000559,0.064641,-1.173885,-0.000470,0.000698,-0.000637
136.783094,9918413,-0.000562,0.064686,-1.173885,-0.000550,0.000959,-0.000220
136.819472,9918443,-0.000561,0.064709,-1.173904,0.000526,0.000403,-0.001413
