t_wall_s,t_boot_ms,press_abs_hPa,press_diff_hPa,temperature_C
134.418001,9915843,778.9153,0.0000,41.70
134.459604,9915962,778.9072,0.0000,41.70
134.556320,9916043,778.9102,0.0000,41.70
134.655514,9916163,778.9099,0.0000,41.70
134.759215,9916244,778.9043,0.0000,41.70
134.857515,9916364,778.9089,0.0000,41.70
134.957722,9916444,778.9065,0.0000,41.70
135.057548,9916564,778.9094,0.0000,41.70
135.157240,9916643,778.9092,0.0000,41.70
135.256405,9916770,778.9206,0.0000,41.70
135.357468,9916843,778.9116,0.0000,41.70
135.423386,9916964,778.9104,0.0000,41.70
135.558414,9917045,778.9026,0.0000,41.70
135.656639,9917164,778.8991,0.0000,41.70
135.758156,9917242,778.9045,0.0000,41.70
135.856245,9917363,778.9047,0.0000,41.70
135.957394,9917443,778.9082,0.0000,41.70
136.056740,9917562,778.9124,0.0000,41.70
136.156998,9917643,778.9209,0.0000,41.70
136.257561,9917765,778.9111,0.0000,41.70
136.356823,9917843,778.9150,0.0000,41.70
136.423152,9917963,778.9150,0.0000,41.70
136.559193,9918043,778.9214,0.0000,41.70
136.657379,9918163,778.9182,0.0000,41.70
136.756505,9918244,778.9058,0.0000,41.70
136.857221,9918365,778.9175,0.0000,41.70
136.958550,9918443,778.9214,0.0000,41.70
137.057324,9918563,778.9243,0.0000,41.70
137.155930,9918644,778.9125,0.0000,41.70
137.256867,9918773,778.9182,0.0000,41.70
137.357025,9918844,778.9133,0.0000,41.70
137.426724,9918964,778.9108,0.0000,41.70
137.557427,9919042,778.9045,0.0000,41.70
137.657345,9919162,778.9104,0.0000,41.70
137.758955,9919243,778.9099,0.0000,41.70
137.858657,9919364,778.9014,0.0000,41.70
137.956690,9919442,778.9119,0.0000,41.70
138.056552,9919564,778.9077,0.0000,41.70
138.156773,9919643,778.8999,0.0000,41.70
138.257297,9919762,778.9077,0.0000,41.70
138.355982,9919844,778.8997,0.0000,41.70
138.432247,9919966,778.9075,0.0000,41.70
138.557657,9920043,778.8987,0.0000,41.70
138.657148,9920164,778.8954,0.0000,41.70
138.757350,9920246,778.8987,0.0000,41.70
138.857801,9920363,778.9072,0.0000,41.70
138.956994,9920446,778.9084,0.0000,41.70
139.057997,9920562,778.9047,0.0000,41.70
139.156183,9920644,778.9030,0.0000,41.70
139.248422,9920765,778.9008,0.0000,41.70
139.356784,9920844,778.9131,0.0000,41.70
139.437557,9920963,778.9072,0.0000,41.70
139.558895,9921044,778.9047,0.0000,41.70
139.655701,9921163,778.9092,0.0000,41.70
139.758146,9921246,778.9114,0.0000,41.70
139.857150,9921364,778.9065,0.0000,41.70
139.957121,9921445,778.9086,0.0000,41.70
140.055985,9921563,778.9092,0.0000,41.70
140.159471,9921642,778.9086,0.0000,41.70
140.257589,9921724,778.9092,0.0000,41.70
140.347849,9921844,778.9136,0.0000,41.70
140.436274,9921962,778.9143,0.0000,41.70
140.558484,9922045,778.9108,0.0000,41.70
140.657124,9922162,778.9065,0.0000,41.70
140.756675,9922242,778.9089,0.0000,41.70
140.856472,9922364,778.9008,0.0000,41.70
140.958920,9922442,778.8967,0.0000,41.70
141.056882,9922563,778.8984,0.0000,41.70
141.157505,9922645,778.9072,0.0000,41.70
141.257929,9922764,778.9114,0.0000,41.70
141.358944,9922842,778.9058,0.0000,41.70
141.447059,9922965,778.9043,0.0000,41.70
141.558158,9923044,778.9045,0.0000,41.70
141.657520,9923163,778.9155,0.0000,41.70
141.756497,9923244,778.9131,0.0000,41.70
141.856943,9923363,778.9023,0.0000,41.70
141.958193,9923443,778.9136,0.0000,41.70
142.057197,9923566,778.9150,0.0000,41.70
142.157756,9923643,778.9153,0.0000,41.70
142.256664,9923764,778.9136,0.0000,41.70
142.356535,9923846,778.9121,0.0000,41.00
142.439912,9923963,778.9084,0.0000,41.00
142.557225,9924043,778.9041,0.0000,41.00
142.656711,9924166,778.8969,0.0000,41.00
142.757343,9924244,778.9023,0.0000,41.00
142.857555,9924365,778.9069,0.0000,41.00
142.958672,9924445,778.9108,0.0000,41.00
143.058276,9924565,778.9203,0.0000,41.00
143.157060,9924645,778.9214,0.0000,41.00
143.257412,9924764,778.9223,0.0000,41.00
143.356473,9924843,778.9223,0.0000,41.00
143.448072,9924965,778.9245,0.0000,41.00
143.556887,9925042,778.9084,0.0000,41.00
143.657729,9925165,778.9203,0.0000,41.00
143.756431,9925243,778.9080,0.0000,41.00
143.857843,9925324,778.9099,0.0000,41.00
143.958243,9925445,778.9206,0.0000,41.00
144.058593,9925564,778.9075,0.0000,41.00
144.156742,9925643,778.9008,0.0000,41.00
144.257435,9925763,778.9019,0.0000,41.00
144.356813,9925843,778.9099,0.0000,41.00
144.455856,9925964,778.8999,0.0000,41.30
144.556724,9926043,778.9023,0.0000,41.30
144.657138,9926163,778.8982,0.0000,41.30
144.756806,9926242,778.9030,0.0000,41.30
144.857497,9926365,778.9028,0.0000,41.30
144.957315,9926445,778.9065,0.0000,41.30
145.057383,9926563,778.9086,0.0000,41.30
145.157579,9926643,778.9043,0.0000,41.30
145.258183,9926764,778.9036,0.0000,41.30
145.357028,9926844,778.8948,0.0000,41.30
145.454547,9926965,778.9108,0.0000,41.30
145.555988,9927045,778.9143,0.0000,41.30
145.656793,9927164,778.9141,0.0000,41.30
145.757784,9927244,778.9058,0.0000,41.30
145.857369,9927364,778.9164,0.0000,41.30
145.959076,9927442,778.9170,0.0000,41.30
146.058730,9927563,778.9058,0.0000,41.30
146.157836,9927643,778.9001,0.0000,41.30
146.256204,9927763,778.9023,0.0000,41.30
146.357432,9927843,778.9114,0.0000,41.30
146.453378,9927965,778.9155,0.0000,41.30
146.556301,9928043,778.9221,0.0000,41.30
146.657856,9928163,778.9099,0.0000,41.30
146.758564,9928243,778.9097,0.0000,41.30
146.858630,9928366,778.9158,0.0000,41.30
146.958171,9928442,778.9106,0.0000,41.30
147.056814,9928565,778.9131,0.0000,41.30
147.157845,9928646,778.9099,0.0000,41.30
147.257812,9928763,778.9102,0.0000,41.30
147.357965,9928841,778.9069,0.0000,41.30
147.456405,9928963,778.9030,0.0000,41.30
147.556760,9929044,778.9072,0.0000,41.30
147.657796,9929163,778.9026,0.0000,41.30
147.756768,9929243,778.9053,0.0000,41.30
147.858549,9929364,778.9080,0.0000,41.30
147.957640,9929444,778.8954,0.0000,41.30
148.059158,9929564,778.9050,0.0000,41.30
148.154985,9929642,778.9060,0.0000,41.30
148.257006,9929762,778.8999,0.0000,41.30
148.357242,9929844,778.9136,0.0000,41.30
148.458345,9929963,778.9050,0.0000,41.30
148.556106,9930045,778.9104,0.0000,41.30
148.657788,9930163,778.9124,0.0000,41.30
148.758109,9930243,778.9119,0.0000,41.30
148.856885,9930323,778.9108,0.0000,41.30
148.957076,9930445,778.9082,0.0000,41.30
149.057802,9930564,778.9175,0.0000,41.30
149.157659,9930643,778.9158,0.0000,41.30
149.256513,9930764,778.9080,0.0000,41.30
149.357697,9930842,778.9158,0.0000,41.30
149.457431,9930965,778.9053,0.0000,41.30
149.554572,9931043,778.9086,0.0000,41.30
149.657867,9931162,778.9092,0.0000,41.30
149.756959,9931244,778.9133,0.0000,41.30
149.857616,9931363,778.9114,0.0000,41.30
149.958678,9931442,778.9097,0.0000,41.30
150.057940,9931565,778.9147,0.0000,41.30
150.157088,9931647,778.9147,0.0000,41.30
150.256707,9931764,778.9197,0.0000,41.30
150.358226,9931842,778.9225,0.0000,41.30
150.458286,9931964,778.9102,0.0000,41.00
150.556907,9932045,778.9202,0.0000,41.00
150.657027,9932163,778.9133,0.0000,41.00
150.757241,9932242,778.9163,0.0000,41.00
150.857586,9932364,778.9128,0.0000,41.00
150.959793,9932442,778.9160,0.0000,41.00
151.057100,9932565,778.9292,0.0000,41.00
151.157594,9932644,778.9203,0.0000,41.00
151.257905,9932763,778.9153,0.0000,41.00
151.357484,9932844,778.9236,0.0000,41.00
151.457913,9932963,778.9145,0.0000,41.00
151.557079,9933043,778.9177,0.0000,41.00
151.656947,9933164,778.9270,0.0000,41.00
151.757507,9933245,778.9284,0.0000,41.00
151.856928,9933364,778.9143,0.0000,41.00
151.957478,9933444,778.9119,0.0000,41.00
152.057986,9933564,778.9119,0.0000,41.00
152.157894,9933643,778.9106,0.0000,41.00
152.259042,9933764,778.9097,0.0000,41.00
152.359017,9933845,778.9158,0.0000,41.00
152.457536,9933964,778.9119,0.0000,41.30
152.556566,9934042,778.9175,0.0000,41.30
152.657295,9934162,778.9138,0.0000,41.30
152.758807,9934244,778.9062,0.0000,41.30
152.859999,9934365,778.9089,0.0000,41.30
152.959900,9934445,778.8994,0.0000,41.30
153.057681,9934565,778.9124,0.0000,41.30
153.147356,9934643,778.9108,0.0000,41.30
153.256604,9934763,778.9128,0.0000,41.30
153.357726,9934842,778.9077,0.0000,41.30
153.458051,9934965,778.9155,0.0000,41.30
153.556898,9935043,778.9136,0.0000,41.30
153.656489,9935165,778.9211,0.0000,41.30
153.757517,9935243,778.9170,0.0000,41.30
153.858035,9935363,778.9175,0.0000,41.30
153.958296,9935443,778.9141,0.0000,41.30
154.058210,9935566,778.9121,0.0000,41.30
154.158722,9935644,778.9245,0.0000,41.30
154.256777,9935764,778.9158,0.0000,41.30
154.357955,9935841,778.9128,0.0000,41.30
154.458206,9935963,778.9050,0.0000,43.60
154.555824,9936042,778.9023,0.0000,43.60
154.657011,9936165,778.9016,0.0000,43.60
154.758215,9936244,778.9058,0.0000,43.60
154.860311,9936366,778.9058,0.0000,43.60
154.957958,9936442,778.9047,0.0000,43.60
155.057604,9936565,778.9086,0.0000,43.60
155.156834,9936644,778.9072,0.0000,43.60
155.258169,9936764,778.9060,0.0000,43.60
155.357069,9936845,778.9023,0.0000,43.60
155.457124,9936963,778.9080,0.0000,43.60
155.559203,9937044,778.9019,0.0000,43.60
155.658168,9937163,778.9019,0.0000,43.60
155.757868,9937242,778.9124,0.0000,43.60
155.858055,9937363,778.9016,0.0000,43.60
155.958357,9937443,778.9021,0.0000,43.60
156.058979,9937562,778.9133,0.0000,43.60
156.161020,9937644,778.9097,0.0000,43.60
156.258910,9937724,778.8994,0.0000,43.60
156.356940,9937843,778.8943,0.0000,43.60
156.458327,9937966,778.9026,0.0000,43.00
156.557019,9938045,778.8918,0.0000,43.00
156.656359,9938125,778.8972,0.0000,43.00
156.757469,9938243,778.8932,0.0000,43.00
156.856219,9938364,778.8997,0.0000,43.00
156.956988,9938444,778.8928,0.0000,43.00
157.057692,9938523,778.8975,0.0000,43.00
157.157108,9938645,778.9072,0.0000,43.00
157.257220,9938764,778.9058,0.0000,43.00
157.357386,9938843,778.8997,0.0000,43.00
157.458167,9938963,778.9008,0.0000,43.00
157.558223,9939045,778.9047,0.0000,43.00
157.656321,9939165,778.9089,0.0000,43.00
157.758494,9939243,778.9080,0.0000,43.00
157.858220,9939364,778.9030,0.0000,43.00
157.958548,9939445,778.9026,0.0000,43.00
158.056975,9939563,778.9158,0.0000,43.00
158.157979,9939643,778.9172,0.0000,43.00
158.258378,9939764,778.9099,0.0000,43.00
158.358222,9939843,778.9077,0.0000,43.00
158.458122,9939963,778.9041,0.0000,42.30
158.557199,9940043,778.9026,0.0000,42.30
158.659113,9940163,778.8960,0.0000,42.30
158.756577,9940243,778.9004,0.0000,42.30
158.857716,9940365,778.8932,0.0000,42.30
158.957179,9940443,778.8940,0.0000,42.30
159.057629,9940564,778.8962,0.0000,42.30
159.157680,9940643,778.8997,0.0000,42.30
159.257066,9940764,778.8965,0.0000,42.30
159.358111,9940842,778.8921,0.0000,42.30
159.457156,9940963,778.9072,0.0000,42.30
159.557377,9941043,778.9008,0.0000,42.30
159.657558,9941164,778.9075,0.0000,42.30
159.757109,9941242,778.9065,0.0000,42.30
159.858015,9941363,778.8979,0.0000,42.30
159.958080,9941444,778.9041,0.0000,42.30
160.057539,9941563,778.9050,0.0000,42.30
160.159532,9941644,778.9069,0.0000,42.30
160.258435,9941763,778.9136,0.0000,42.30
160.357328,9941846,778.9080,0.0000,42.30
160.458115,9941963,778.9067,0.0000,42.00
160.557946,9942045,778.8994,0.0000,42.00
160.657011,9942163,778.9133,0.0000,42.00
160.759545,9942243,778.9084,0.0000,42.00
160.857140,9942363,778.9067,0.0000,42.00
160.958570,9942443,778.9072,0.0000,42.00
161.057929,9942564,778.9099,0.0000,42.00
161.158228,9942644,778.9111,0.0000,42.00
161.257921,9942762,778.9021,0.0000,42.00
161.358534,9942842,778.8977,0.0000,42.00
161.458718,9942963,778.8975,0.0000,42.00
161.557237,9943044,778.8997,0.0000,42.00
161.657175,9943162,778.8960,0.0000,42.00
161.757756,9943243,778.9028,0.0000,42.00
161.858909,9943364,778.9119,0.0000,42.00
161.958961,9943442,778.9097,0.0000,42.00
162.057080,9943562,778.9116,0.0000,42.00
162.158832,9943645,778.9147,0.0000,42.00
162.259243,9943762,778.9111,0.0000,42.00
162.356518,9943842,778.9092,0.0000,42.00
162.458277,9943965,778.9065,0.0000,42.00
162.558145,9944043,778.9050,0.0000,42.00
162.657909,9944164,778.9043,0.0000,42.00
162.757785,9944243,778.9116,0.0000,42.00
162.859047,9944365,778.9125,0.0000,42.00
162.957133,9944446,778.9253,0.0000,42.00
163.059055,9944563,778.9228,0.0000,42.00
163.156753,9944645,778.9203,0.0000,42.00
163.256349,9944765,778.9216,0.0000,42.00
163.357676,9944843,778.9075,0.0000,42.00
163.457038,9944965,778.9158,0.0000,42.00
163.557165,9945054,778.9241,0.0000,42.00
163.657328,9945163,778.9119,0.0000,42.00
163.757284,9945244,778.9092,0.0000,42.00
163.858480,9945364,778.9036,0.0000,42.00
163.958948,9945444,778.9021,0.0000,42.00
164.058712,9945565,778.9050,0.0000,42.00
164.158355,9945642,778.9143,0.0000,42.00
164.259733,9945763,778.9163,0.0000,42.00
164.358022,9945845,778.9153,0.0000,42.00
