t_wall_s,t_boot_us,ax,ay,az,gx,gy,gz,mx,my,mz,abs_pressure,temperature,source
134.418001,9915972175,0.630120,0.017299,-9.729328,-0.001038,0.000923,-0.001114,0.332935,1.202824,2.634531,778.91,15.00,highres
134.418001,9915985425,0.632357,0.001493,-9.732562,0.000209,0.001122,0.000108,0.332935,1.202824,2.634531,778.91,15.00,highres
134.418001,9915992587,0.642579,0.011069,-9.740580,-0.000395,0.000371,-0.000840,0.332935,1.202824,2.634531,778.91,15.00,highres
134.418001,9916002669,0.637089,0.012514,-9.733082,0.000795,0.001287,-0.000809,0.332935,1.202824,2.634531,778.91,15.00,highres
134.418001,9916008108,0.637791,0.018251,-9.746565,-0.000420,0.000680,-0.000507,0.332935,1.202824,2.634531,778.91,15.00,highres
134.418001,9916019327,0.647278,0.012266,-9.745367,-0.000041,0.000084,-0.000970,0.332935,1.202824,2.634531,778.91,15.00,highres
134.418001,9916029830,0.642302,0.003056,-9.732199,-0.000669,0.001224,-0.000440,0.332935,1.202824,2.634531,778.91,15.00,highres
134.418162,9916036010,0.631791,0.005901,-9.731403,-0.000122,0.000546,-0.001202,0.332935,1.202824,2.634531,778.91,15.00,highres
134.418162,9916048623,0.635905,0.010216,-9.745367,0.000796,0.001288,-0.000504,0.332935,1.202824,2.634531,778.91,15.00,highres
134.418162,9916059800,0.635437,0.004720,-9.733118,-0.000012,0.001015,0.001030,0.332935,1.202824,2.634531,778.91,15.00,highres
134.418162,9916065402,0.630210,0.009124,-9.728395,0.000162,0.000532,0.000542,0.324455,1.199509,2.626477,778.91,15.00,highres
134.459790,9916075891,0.634797,0.012905,-9.730338,0.000182,0.001015,-0.000206,0.324455,1.199509,2.626477,778.91,15.00,highres
134.462182,9916080340,0.636517,0.011066,-9.731506,-0.000454,-0.000233,-0.001122,0.320525,1.203030,2.624784,778.91,15.00,highres
134.478443,9916090609,0.640275,0.000511,-9.730962,0.000631,0.000366,-0.001142,0.320525,1.203030,2.624784,778.91,15.00,highres
134.482873,9916095486,0.649031,0.003266,-9.736293,0.000182,0.001626,-0.000206,0.320525,1.203030,2.624784,778.91,15.00,highres
134.497500,9916110175,0.639965,0.014066,-9.739884,-0.000734,0.002542,-0.001122,0.320525,1.203030,2.624784,778.91,15.00,highres
134.499077,9916120631,0.641507,0.003345,-9.735553,0.001847,0.000828,-0.000206,0.320525,1.203030,2.624784,778.91,15.00,highres
134.517853,9916129441,0.629258,0.003807,-9.744265,0.000189,0.000128,-0.000856,0.320525,1.203030,2.624784,778.91,15.00,highres
134.523263,9916150780,0.640074,-0.001040,-9.727812,-0.000398,0.001070,-0.000284,0.320525,1.203030,2.624784,778.91,15.00,highres
134.537266,9916162639,0.642591,0.010489,-9.722060,-0.000734,0.000557,-0.000817,0.320525,1.203030,2.624784,778.91,15.00,highres
134.547627,9916175036,0.640536,-0.000363,-9.725404,-0.000210,-0.000759,-0.000039,0.320525,1.203030,2.624784,778.91,15.00,highres
134.558328,9916183077,0.642083,0.006816,-9.739645,0.000045,-0.000879,0.000848,0.320525,1.203030,2.624784,778.91,15.00,highres
134.559693,9916193535,0.636517,0.012066,-9.728608,-0.000912,0.000404,0.001016,0.320525,1.203030,2.624784,778.91,15.00,highres
134.577509,9916198069,0.643466,0.001752,-9.733883,-0.000611,0.000833,0.000465,0.322864,1.199853,2.634746,778.91,15.00,highres
134.583329,9916203454,0.626941,0.000209,-9.738811,0.000488,0.001015,-0.000511,0.322864,1.199853,2.634746,778.91,15.00,highres
134.598017,9916219118,0.635499,0.004240,-9.731791,-0.000734,0.000953,-0.001795,0.315381,1.192203,2.638045,778.91,15.00,highres
134.599757,9916235295,0.641917,-0.000361,-9.746391,0.000018,0.000143,-0.000580,0.315381,1.192203,2.638045,778.91,15.00,highres
134.614071,9916240315,0.639083,0.005593,-9.731848,-0.000555,-0.000979,-0.000062,0.315381,1.192203,2.638045,778.91,15.00,highres
134.623469,9916250721,0.642416,0.012497,-9.740057,-0.000428,0.001321,-0.000206,0.315381,1.192203,2.638045,778.91,15.00,highres
134.637593,9916260239,0.647152,-0.000905,-9.738424,0.000970,0.000839,0.001193,0.315381,1.192203,2.638045,778.91,15.00,highres
134.646879,9916272926,0.645795,-0.000904,-9.735845,0.000112,0.000404,-0.000441,0.315381,1.192203,2.638045,778.91,15.00,highres
134.658067,9916285439,0.648908,0.004552,-9.732700,0.000441,0.001005,0.000754,0.315381,1.192203,2.638045,778.91,15.00,highres
134.659707,9916290104,0.655670,0.002552,-9.737891,-0.000123,-0.000695,0.001016,0.315381,1.192203,2.638045,778.91,15.00,highres
134.677570,9916303374,0.641305,0.005080,-9.733897,-0.000111,-0.000406,-0.000406,0.315381,1.192203,2.638045,778.91,15.00,highres
134.683107,9916309524,0.635957,0.006980,-9.733547,-0.000428,0.001505,-0.001001,0.315381,1.192203,2.638045,778.91,15.00,highres
134.690486,9916322839,0.638507,0.001489,-9.729907,-0.000734,0.000059,-0.000688,0.315381,1.192203,2.638045,778.91,15.00,highres
134.703712,9916334126,0.637375,0.012131,-9.732699,-0.000847,0.000763,0.000100,0.315381,1.192203,2.638045,778.91,15.00,highres
134.717725,9916340234,0.639737,0.013171,-9.737490,0.000886,0.001391,-0.000064,0.315381,1.192203,2.638045,778.91,15.00,highres
134.723081,9916350239,0.633371,0.012263,-9.728635,-0.000106,0.001733,-0.000709,0.319930,1.201984,2.632456,778.91,15.00,highres
134.737836,9916363448,0.633455,0.000960,-9.734958,-0.000011,0.000822,-0.000542,0.335948,1.203142,2.622047,778.91,15.00,highres
134.748245,9916372594,0.636097,-0.004733,-9.733057,-0.000261,0.000710,-0.000176,0.335948,1.203142,2.622047,778.91,15.00,highres
134.759215,9916385957,0.641305,0.005080,-9.723125,0.000241,-0.000512,0.000546,0.335948,1.203142,2.622047,778.91,15.00,highres
134.761314,9916393784,0.648833,0.007597,-9.732195,0.000045,-0.000451,0.000237,0.335948,1.203142,2.622047,778.91,15.00,highres
134.777362,9916406059,0.643887,0.004258,-9.739825,-0.000538,0.001015,0.000111,0.335948,1.203142,2.622047,778.91,15.00,highres
134.786544,9916412593,0.644685,0.009974,-9.729108,-0.000150,0.000404,-0.000290,0.335948,1.203142,2.622047,778.91,15.00,highres
134.797961,9916425929,0.635449,0.005417,-9.735361,0.000488,0.001134,-0.000393,0.335948,1.203142,2.622047,778.91,15.00,highres
134.799734,9916430444,0.643808,-0.001014,-9.737597,0.000280,0.001845,0.000601,0.335948,1.203142,2.622047,778.91,15.00,highres
134.817098,9916440374,0.634803,-0.000388,-9.730824,-0.000428,0.000595,-0.000626,0.335948,1.203142,2.622047,778.91,15.00,highres
134.823134,9916455883,0.638911,0.003883,-9.745870,-0.000890,0.000866,-0.000362,0.335948,1.203142,2.622047,778.91,15.00,highres
134.837918,9916460251,0.644966,0.000934,-9.741602,-0.000306,0.000893,-0.001184,0.335948,1.203142,2.622047,778.91,15.00,highres
134.846811,9916472670,0.659032,0.007474,-9.725945,0.000265,0.000153,0.000100,0.335948,1.203142,2.622047,778.91,15.00,highres
134.857515,9916483229,0.627082,-0.002912,-9.733898,0.000865,0.000575,0.000441,0.335948,1.203142,2.622047,778.91,15.00,highres
134.859463,9916492858,0.634094,0.008292,-9.729052,-0.000019,0.000315,-0.000929,0.319361,1.200224,2.633226,778.91,15.00,highres
134.877945,9916506058,0.653235,0.009465,-9.734718,-0.000905,0.000501,-0.001122,0.314044,1.193513,2.655874,778.91,15.00,highres
134.882182,9916511472,0.630391,0.000982,-9.729616,0.000338,0.000249,-0.000511,0.314044,1.193513,2.655874,778.91,15.00,highres
134.897414,9916523593,0.643611,0.002500,-9.722300,-0.000851,0.000827,0.000029,0.314044,1.193513,2.655874,778.91,15.00,highres
134.899088,9916533338,0.650830,0.017885,-9.738272,-0.000654,0.001307,0.000166,0.314044,1.193513,2.655874,778.91,15.00,highres
134.916036,9916538569,0.649403,0.016487,-9.730659,0.000182,0.001015,0.000405,0.314044,1.193513,2.655874,778.91,15.00,highres
134.923955,9916550522,0.639842,0.000381,-9.731327,0.000842,0.000887,0.000011,0.314044,1.193513,2.655874,778.91,15.00,highres
134.936649,9916563174,0.641305,0.006277,-9.743475,-0.000128,0.001481,0.000405,0.314044,1.193513,2.655874,778.91,15.00,highres
134.948774,9916570519,0.643322,0.003666,-9.737601,0.000290,0.000297,-0.000296,0.314044,1.193513,2.655874,778.91,15.00,highres
