t_wall_s,t_boot_ms,roll_rad,pitch_rad,yaw_rad,rollspeed,pitchspeed,yawspeed
69.340429,9850916,-0.001112,0.065220,-1.176092,-0.000181,0.001260,0.000465
69.340429,9850946,-0.001112,0.065220,-1.176099,-0.000841,0.000169,-0.001227
69.346140,9850983,-0.001109,0.065234,-1.176108,0.001005,0.000726,-0.000704
69.386669,9851014,-0.001105,0.065232,-1.176116,-0.000051,0.000620,-0.000513
69.415594,9851049,-0.001091,0.065235,-1.176107,0.000529,0.000004,-0.000380
69.451295,9851080,-0.001084,0.065241,-1.176093,0.000206,0.001090,-0.000192
69.484755,9851113,-0.001082,0.065226,-1.176060,-0.000085,0.001308,-0.000137
69.518820,9851147,-0.001089,0.065201,-1.176043,0.000127,-0.000522,-0.000565
69.553686,9851182,-0.001100,0.065197,-1.176045,-0.000069,-0.000024,-0.000702
69.586252,9851216,-0.001089,0.065185,-1.176043,-0.000046,0.001425,-0.000293
69.615041,9851250,-0.001086,0.065160,-1.176031,0.000092,0.000562,-0.000046
69.646913,9851283,-0.001079,0.065141,-1.176018,-0.000749,0.000983,-0.000136
69.685502,9851313,-0.001083,0.065119,-1.176012,-0.000520,0.000087,-0.000802
69.718448,9851348,-0.001071,0.065089,-1.176013,0.000090,0.000321,-0.000870
69.753862,9851381,-0.001076,0.065068,-1.176005,0.000005,0.000446,0.000043
69.785534,9851417,-0.001079,0.065053,-1.175994,-0.000836,-0.000285,0.000954
69.814937,9851445,-0.001087,0.065033,-1.176000,-0.000708,0.000176,0.000215
69.846878,9851481,-0.001091,0.065008,-1.176004,-0.000466,0.000014,-0.001122
69.885715,9851511,-0.001102,0.064990,-1.176018,-0.000183,0.000956,-0.000872
69.916886,9851542,-0.001102,0.064988,-1.176031,-0.000470,-0.000025,-0.001020
69.945997,9851579,-0.001105,0.064981,-1.176043,0.000283,0.000289,-0.000692
69.981540,9851617,-0.001108,0.064975,-1.176059,-0.000380,-0.000027,-0.000520
70.016060,9851650,-0.001113,0.064977,-1.176076,0.000222,0.000706,-0.001068
