t_wall_s,t_boot_us,ax,ay,az,gx,gy,gz,mx,my,mz,abs_pressure,temperature,source
74.345906,9855974794,0.640910,0.012465,-9.751485,0.000664,0.000433,-0.000372,0.320588,1.216484,2.634852,778.92,15.00,highres
74.356604,9855985973,0.626353,0.016056,-9.741562,0.001239,0.001578,-0.000650,0.320588,1.216484,2.634852,778.92,15.00,highres
74.356604,9855995319,0.640910,0.008874,-9.749091,0.000841,0.001114,-0.000570,0.320588,1.216484,2.634852,778.92,15.00,highres
74.356604,9856006457,0.634925,0.007369,-9.747120,0.000761,0.000289,0.000399,0.320588,1.216484,2.634852,778.92,15.00,highres
74.356604,9856010513,0.636637,0.007330,-9.741046,-0.000411,0.000617,-0.000097,0.320588,1.216484,2.634852,778.92,15.00,highres
74.401834,9856024877,0.643304,0.012465,-9.749091,-0.000381,0.000623,-0.000723,0.320588,1.216484,2.634852,778.92,15.00,highres
74.404374,9856036309,0.638109,0.015859,-9.746686,-0.000002,-0.000088,-0.000678,0.320588,1.216484,2.634852,778.92,15.00,highres
74.421617,9856043475,0.636053,0.020085,-9.747135,-0.000432,0.000550,-0.002003,0.320588,1.216484,2.634852,778.92,15.00,highres
74.429433,9856058069,0.642087,0.016854,-9.753483,0.000059,0.000787,-0.001123,0.320588,1.216484,2.634852,778.92,15.00,highres
74.443534,9856072548,0.631703,-0.000718,-9.758462,-0.000796,-0.000560,-0.000564,0.320588,1.216484,2.634852,778.92,15.00,highres
74.446790,9856079441,0.634375,0.010526,-9.748965,-0.000028,0.001608,-0.001205,0.320588,1.216484,2.634852,778.92,15.00,highres
74.457530,9856090269,0.639816,0.006575,-9.743159,0.000171,0.001934,-0.000021,0.320588,1.216484,2.634852,778.92,15.00,highres
74.465172,9856095103,0.637664,0.002729,-9.746655,0.000415,0.000388,0.000145,0.324481,1.208213,2.633049,778.92,15.00,highres
74.480880,9856105111,0.639004,0.015746,-9.745315,0.001224,0.002266,-0.001308,0.324481,1.208213,2.633049,778.92,15.00,highres
74.488401,9856115918,0.636085,0.004071,-9.751680,0.000226,0.001684,-0.000697,0.312494,1.208741,2.643173,778.92,15.00,highres
74.495807,9856130739,0.631393,0.014262,-9.748088,-0.000534,0.001214,0.000360,0.312494,1.208741,2.643173,778.92,15.00,highres
74.511982,9856135293,0.645661,0.006622,-9.740611,-0.000080,0.000652,0.000484,0.312494,1.208741,2.643173,778.92,15.00,highres
74.521920,9856149331,0.631749,0.013940,-9.736277,0.000721,0.000346,-0.001192,0.312494,1.208741,2.643173,778.92,15.00,highres
74.530436,9856163391,0.628274,0.019947,-9.740458,0.000901,0.001233,0.000155,0.312494,1.208741,2.643173,778.92,15.00,highres
74.535420,9856168449,0.642257,0.001365,-9.725345,0.000868,0.000325,-0.000392,0.312494,1.208741,2.643173,778.92,15.00,highres
74.547485,9856179772,0.629812,0.002923,-9.747180,-0.000691,0.000767,0.001136,0.312494,1.208741,2.643173,778.92,15.00,highres
74.557215,9856185591,0.641096,0.013412,-9.745942,0.000245,0.001339,0.001116,0.312494,1.208741,2.643173,778.92,15.00,highres
74.573070,9856195331,0.641578,0.008221,-9.753088,-0.000267,0.001328,0.000219,0.312494,1.208741,2.643173,778.92,15.00,highres
74.580047,9856206229,0.631649,0.013225,-9.752419,0.000520,0.000062,-0.000392,0.312494,1.208741,2.643173,778.92,15.00,highres
74.588783,9856218140,0.638585,0.010056,-9.740750,-0.000544,0.000608,0.000211,0.312494,1.208741,2.643173,778.92,15.00,highres
74.596198,9856222544,0.634719,0.009179,-9.749521,-0.000019,0.001439,0.000952,0.312494,1.208741,2.643173,778.92,15.00,highres
74.613840,9856237674,0.641712,0.009576,-9.754073,0.000349,0.000704,0.000037,0.329062,1.207711,2.630089,778.92,15.00,highres
74.622622,9856242896,0.631297,0.006465,-9.750482,0.001154,0.000156,-0.001161,0.331943,1.214076,2.623174,778.92,15.00,highres
74.632196,9856255907,0.631328,0.017860,-9.746301,0.000379,0.002561,-0.000468,0.331943,1.214076,2.623174,778.92,15.00,highres
74.635808,9856260623,0.637481,0.007061,-9.746898,0.000336,0.001407,-0.000974,0.331943,1.214076,2.623174,778.92,15.00,highres
74.646819,9856273198,0.637282,0.010056,-9.742103,-0.000385,0.000920,-0.001155,0.331943,1.214076,2.623174,778.92,15.00,highres
74.656799,9856284132,0.629398,0.003781,-9.753166,0.000531,0.000539,-0.001919,0.331943,1.214076,2.623174,778.92,15.00,highres
74.663800,9856288491,0.644000,0.005268,-9.754682,0.000531,0.000992,-0.001034,0.331943,1.214076,2.623174,778.92,15.00,highres
74.680297,9856308587,0.638479,0.011253,-9.739709,0.000837,0.002294,-0.000392,0.331943,1.214076,2.623174,778.92,15.00,highres
74.692960,9856317667,0.631669,0.004071,-9.740352,0.000363,0.000577,-0.000392,0.331943,1.214076,2.623174,778.92,15.00,highres
74.696428,9856323242,0.636378,0.005688,-9.741745,-0.000080,0.002294,-0.000086,0.331943,1.214076,2.623174,778.92,15.00,highres
74.712492,9856332477,0.625187,0.006011,-9.741649,0.000071,0.001378,-0.000241,0.331943,1.214076,2.623174,778.92,15.00,highres
74.722517,9856350193,0.636562,0.009102,-9.749996,-0.000298,0.000069,-0.001078,0.331943,1.214076,2.623174,778.92,15.00,highres
74.729658,9856360182,0.627372,0.014176,-9.754073,-0.000901,0.000443,-0.000583,0.331943,1.214076,2.623174,778.92,15.00,highres
74.736200,9856369266,0.638798,0.013889,-9.736909,-0.000355,0.001805,0.000433,0.331943,1.214076,2.623174,778.91,15.00,highres
74.747274,9856379241,0.625311,0.006845,-9.746019,-0.000132,0.000514,-0.000951,0.317739,1.202678,2.635939,778.91,15.00,highres
74.756416,9856391267,0.641050,0.003706,-9.749932,-0.000104,-0.000149,0.000079,0.317771,1.208414,2.628668,778.91,15.00,highres
74.763966,9856400255,0.630315,0.007662,-9.748003,-0.000189,0.001706,-0.000086,0.317771,1.208414,2.628668,778.91,15.00,highres
74.781628,9856412711,0.646847,0.008848,-9.738746,-0.000385,0.001378,-0.000635,0.317771,1.208414,2.628668,778.91,15.00,highres
74.788643,9856420399,0.645661,0.011214,-9.734303,0.000226,0.000884,0.000525,0.317771,1.208414,2.628668,778.91,15.00,highres
74.796541,9856433017,0.632150,0.002020,-9.747922,-0.000385,0.000898,0.000394,0.317771,1.208414,2.628668,778.91,15.00,highres
74.811988,9856437782,0.637248,0.003761,-9.732971,-0.000786,0.000452,-0.000602,0.317771,1.208414,2.628668,778.91,15.00,highres
74.820858,9856450294,0.634326,0.004662,-9.745116,0.000561,0.001014,-0.000894,0.317771,1.208414,2.628668,778.92,15.00,highres
74.831001,9856458039,0.626817,0.014767,-9.742721,0.000226,0.000619,-0.000172,0.317771,1.208414,2.628668,778.92,15.00,highres
74.837032,9856468573,0.629510,0.003481,-9.737954,0.000686,0.001378,0.000520,0.317771,1.208414,2.628668,778.92,15.00,highres
74.847828,9856480360,0.628003,0.013205,-9.748538,-0.000691,0.001760,-0.000353,0.317771,1.208414,2.628668,778.92,15.00,highres
74.856703,9856485814,0.639037,0.009742,-9.748646,-0.000833,0.000503,-0.000392,0.317771,1.208414,2.628668,778.92,15.00,highres
