t_wall_s,t_boot_ms,roll_rad,pitch_rad,yaw_rad,rollspeed,pitchspeed,yawspeed
4.255668,9781644,0.000033,0.065382,-1.178374,0.000285,0.000855,-0.000719
4.255668,9781663,0.000034,0.065369,-1.178348,-0.000515,0.000949,0.001011
4.255668,9781681,0.000038,0.065363,-1.178339,0.000438,0.000900,-0.000626
4.255668,9781703,0.000040,0.065349,-1.178318,-0.000341,0.000421,0.000159
4.255668,9781717,0.000038,0.065340,-1.178296,0.000102,0.000565,0.000829
4.255668,9781743,0.000048,0.065331,-1.178277,-0.000116,0.000978,-0.000135
4.255668,9781764,0.000049,0.065333,-1.178283,-0.000354,0.001545,0.000021
4.256271,9781784,0.000059,0.065315,-1.178279,0.000178,-0.000077,0.000094
4.256271,9781813,0.000066,0.065314,-1.178286,-0.000231,0.001448,0.000067
4.256271,9781843,0.000071,0.065290,-1.178287,0.000903,0.000900,0.000532
4.256271,9781881,0.000082,0.065266,-1.178290,0.000534,0.000641,-0.000090
4.256542,9781917,0.000105,0.065256,-1.178280,-0.000221,0.001503,0.000680
4.256542,9781947,0.000110,0.065248,-1.178302,-0.000138,0.000787,-0.000574
4.256542,9781982,0.000103,0.065245,-1.178319,0.000070,0.001148,0.000363
4.256542,9782012,0.000111,0.065247,-1.178330,0.000689,0.000176,0.000825
4.256542,9782051,0.000113,0.065266,-1.178351,-0.000024,0.001405,-0.000271
4.256789,9782084,0.000128,0.065283,-1.178366,0.001020,0.000758,-0.000186
4.256789,9782117,0.000111,0.065297,-1.178382,-0.000272,0.000743,-0.000531
4.256789,9782151,0.000115,0.065305,-1.178408,-0.000822,0.000312,-0.000659
4.256789,9782181,0.000099,0.065308,-1.178440,-0.000101,-0.000093,-0.001132
4.257030,9782210,0.000113,0.065329,-1.178450,-0.000713,0.001152,0.000488
4.257030,9782250,0.000100,0.065342,-1.178445,0.000811,0.000196,-0.000205
4.257030,9782279,0.000113,0.065359,-1.178456,-0.000049,-0.000375,0.000047
4.257030,9782314,0.000117,0.065372,-1.178463,-0.000353,0.000349,0.000008
4.257030,9782350,0.000120,0.065416,-1.178462,0.000292,0.001489,0.000926
4.257277,9782383,0.000115,0.065443,-1.178469,-0.000175,0.000071,-0.000722
4.257277,9782413,0.000115,0.065470,-1.178471,-0.000198,0.000314,-0.000447
4.257277,9782452,0.000106,0.065481,-1.178476,0.000158,0.000503,0.000148
4.257277,9782484,0.000114,0.065526,-1.178486,-0.000181,0.000289,0.000254
4.257571,9782518,0.000113,0.065562,-1.178482,0.000009,0.001036,-0.000516
4.257571,9782548,0.000109,0.065577,-1.178491,0.000645,0.002477,-0.000018
