t_wall_s,t_boot_ms,press_abs_hPa,press_diff_hPa,temperature_C
4.255668,9781565,778.9585,0.0000,42.00
4.256271,9781643,778.9633,0.0000,42.00
4.256271,9781763,778.9633,0.0000,42.00
4.256542,9781843,778.9678,0.0000,42.00
4.256789,9781965,778.9565,0.0000,42.00
4.256789,9782043,778.9607,0.0000,42.00
4.257030,9782163,778.9709,0.0000,42.00
4.257277,9782243,778.9680,0.0000,42.00
4.257277,9782363,778.9540,0.0000,42.00
4.257571,9782443,778.9551,0.0000,42.00
4.257776,9782564,778.9616,0.0000,42.00
4.257948,9782642,778.9561,0.0000,42.00
4.257948,9782764,778.9604,0.0000,42.00
4.258200,9782842,778.9614,0.0000,42.00
4.258375,9782963,778.9418,0.0000,42.00
4.258375,9783041,778.9443,0.0000,42.00
4.258548,9783164,778.9495,0.0000,42.00
4.258677,9783244,778.9379,0.0000,42.00
4.258677,9783363,778.9321,0.0000,42.00
4.258806,9783443,778.9321,0.0000,42.00
4.258936,9783562,778.9412,0.0000,43.00
4.258936,9783643,778.9368,0.0000,43.00
4.259076,9783764,778.9329,0.0000,43.00
4.259179,9783844,778.9301,0.0000,43.00
4.259278,9783963,778.9275,0.0000,43.00
4.259278,9784044,778.9329,0.0000,43.00
4.259425,9784163,778.9277,0.0000,43.00
4.259526,9784243,778.9253,0.0000,43.00
4.259526,9784364,778.9145,0.0000,43.00
4.259626,9784442,778.9182,0.0000,43.00
4.259723,9784563,778.9138,0.0000,43.00
4.259723,9784643,778.9111,0.0000,43.00
4.259818,9784763,778.9089,0.0000,43.00
4.259918,9784844,778.9177,0.0000,43.00
4.259918,9784962,778.9092,0.0000,43.00
4.260012,9785043,778.9075,0.0000,43.00
4.260103,9785165,778.9050,0.0000,43.00
4.260103,9785244,778.9058,0.0000,43.00
4.260200,9785364,778.9114,0.0000,43.00
4.260298,9785444,778.9084,0.0000,43.00
4.260395,9785564,778.9030,0.0000,51.50
4.260395,9785644,778.9006,0.0000,51.50
4.260495,9785763,778.8904,0.0000,51.50
4.352662,9785843,778.8945,0.0000,51.50
4.453976,9785963,778.8928,0.0000,51.50
4.554710,9786044,778.8921,0.0000,51.50
4.652589,9786164,778.8867,0.0000,51.50
4.753478,9786243,778.8915,0.0000,51.50
4.852773,9786362,778.8923,0.0000,51.50
4.953747,9786442,778.8923,0.0000,51.50
5.053327,9786524,778.8948,0.0000,51.50
5.152908,9786642,778.8876,0.0000,51.50
5.253803,9786763,778.8835,0.0000,51.50
5.353581,9786844,778.8821,0.0000,51.50
5.454062,9786963,778.8960,0.0000,51.50
5.552346,9787042,778.8923,0.0000,51.50
5.652436,9787163,778.8987,0.0000,51.50
5.752605,9787242,778.8994,0.0000,51.50
5.852880,9787363,778.8940,0.0000,51.50
5.953141,9787443,778.8940,0.0000,51.50
6.053082,9787562,778.8938,0.0000,50.20
6.153383,9787644,778.9019,0.0000,50.20
6.253695,9787762,778.9038,0.0000,50.20
6.353933,9787843,778.9075,0.0000,50.20
6.453192,9787962,778.9147,0.0000,50.20
6.552294,9788043,778.9060,0.0000,50.20
6.653830,9788164,778.9104,0.0000,50.20
6.754358,9788242,778.9124,0.0000,50.20
6.853256,9788364,778.9106,0.0000,50.20
6.952976,9788444,778.9194,0.0000,50.20
7.054065,9788563,778.9236,0.0000,50.20
7.153852,9788646,778.9223,0.0000,50.20
7.252999,9788763,778.9175,0.0000,50.20
7.354575,9788843,778.9194,0.0000,50.20
7.454237,9788966,778.9270,0.0000,50.20
7.554113,9789042,778.9292,0.0000,50.20
7.652859,9789164,778.9277,0.0000,50.20
7.754101,9789244,778.9299,0.0000,50.20
7.853838,9789362,778.9331,0.0000,50.20
7.954139,9789442,778.9304,0.0000,50.20
8.054120,9789564,778.9199,0.0000,44.30
8.155524,9789642,778.9292,0.0000,44.30
8.253989,9789764,778.9326,0.0000,44.30
8.353896,9789843,778.9292,0.0000,44.30
8.453554,9789964,778.9326,0.0000,44.30
8.554633,9790044,778.9282,0.0000,44.30
8.654755,9790167,778.9333,0.0000,44.30
8.754354,9790242,778.9219,0.0000,44.30
8.853989,9790365,778.9290,0.0000,44.30
8.953529,9790443,778.9292,0.0000,44.30
9.054776,9790563,778.9290,0.0000,44.30
9.152804,9790644,778.9316,0.0000,44.30
9.254152,9790764,778.9360,0.0000,44.30
9.352948,9790845,778.9343,0.0000,44.30
9.454040,9790963,778.9233,0.0000,44.30
9.554567,9791044,778.9119,0.0000,44.30
9.653704,9791165,778.9243,0.0000,44.30
9.753235,9791243,778.9167,0.0000,44.30
9.854353,9791364,778.9319,0.0000,44.30
9.954280,9791445,778.9306,0.0000,44.30
10.054126,9791564,778.9280,0.0000,43.30
10.154212,9791644,778.9175,0.0000,43.30
10.248280,9791764,778.9121,0.0000,43.30
10.353794,9791844,778.9221,0.0000,43.30
10.454496,9791963,778.9184,0.0000,43.30
10.553036,9792042,778.9119,0.0000,43.30
10.654309,9792167,778.9172,0.0000,43.30
10.754282,9792243,778.9186,0.0000,43.30
10.853341,9792365,778.9141,0.0000,43.30
10.954416,9792444,778.9062,0.0000,43.30
11.053798,9792563,778.9014,0.0000,43.30
11.149330,9792644,778.8997,0.0000,43.30
11.253753,9792763,778.8982,0.0000,43.30
11.354523,9792843,778.9004,0.0000,43.30
11.454727,9792963,778.8972,0.0000,43.30
11.553886,9793042,778.8958,0.0000,43.30
11.654380,9793170,778.8891,0.0000,43.30
11.754114,9793245,778.8837,0.0000,43.30
11.854865,9793363,778.8857,0.0000,43.30
11.955986,9793446,778.8891,0.0000,43.30
12.054711,9793564,778.8889,0.0000,43.00
12.153504,9793643,778.8843,0.0000,43.00
12.247442,9793762,778.8848,0.0000,43.00
12.353256,9793844,778.8848,0.0000,43.00
12.453375,9793963,778.8882,0.0000,43.00
12.554210,9794044,778.8845,0.0000,43.00
12.648491,9794162,778.8850,0.0000,43.00
12.753281,9794243,778.8871,0.0000,43.00
12.855908,9794363,778.8821,0.0000,43.00
12.954441,9794445,778.8857,0.0000,43.00
13.054655,9794563,778.8884,0.0000,43.00
13.152978,9794643,778.8793,0.0000,43.00
13.249344,9794763,778.8823,0.0000,43.00
13.353753,9794844,778.8662,0.0000,43.00
13.454404,9794964,778.8813,0.0000,43.00
13.552366,9795043,778.8740,0.0000,43.00
13.653912,9795163,778.8782,0.0000,43.00
13.755261,9795243,778.8804,0.0000,43.00
13.854516,9795369,778.8850,0.0000,43.00
13.955573,9795442,778.8826,0.0000,43.00
14.053911,9795565,778.8997,0.0000,42.70
14.154246,9795644,778.8982,0.0000,42.70
