t_wall_s,t_boot_us,ax,ay,az,gx,gy,gz,mx,my,mz,abs_pressure,temperature,source
14.268373,11059492992,-0.044759,0.273327,-9.778347,-0.000028,0.000269,0.001000,0.793408,0.648567,2.650421,778.93,15.00,highres
14.274680,11059504985,-0.053864,0.278841,-9.781893,0.000412,0.000847,-0.000347,0.793408,0.648567,2.650421,778.93,15.00,highres
14.282964,11059522390,-0.059476,0.277271,-9.764751,0.000044,-0.001185,0.000705,0.793408,0.648567,2.650421,778.93,15.00,highres
14.290098,11059529722,-0.043959,0.280062,-9.756073,-0.000888,0.002398,0.000353,0.801863,0.654554,2.634793,778.93,15.00,highres
14.290098,11059539882,-0.056752,0.281345,-9.787423,0.001386,-0.003569,0.000205,0.801863,0.654554,2.634793,778.93,15.00,highres
14.290098,11059550383,-0.063731,0.280015,-9.778769,-0.001703,0.001757,0.001635,0.812330,0.671386,2.634369,778.93,15.00,highres
14.330782,11059560158,-0.046972,0.268711,-9.781893,0.002179,-0.001723,-0.000140,0.812330,0.671386,2.634369,778.93,15.00,highres
14.336968,11059565138,-0.036007,0.264269,-9.772693,0.000768,0.001611,0.001316,0.812330,0.671386,2.634369,778.93,15.00,highres
14.346354,11059575836,-0.060565,0.269657,-9.780179,0.000611,0.000236,-0.000056,0.812330,0.671386,2.634369,778.93,15.00,highres
14.355446,11059590326,-0.050406,0.274186,-9.785484,-0.000865,0.000908,0.001330,0.812330,0.671386,2.634369,778.93,15.00,highres
14.361929,11059599999,-0.063574,0.264115,-9.781542,0.001538,-0.001273,0.000535,0.812330,0.671386,2.634369,778.92,15.00,highres
14.377395,11059612815,-0.052714,0.277982,-9.774713,-0.001623,-0.000222,0.001621,0.812330,0.671386,2.634369,778.92,15.00,highres
14.386231,11059618148,-0.063574,0.276580,-9.775908,0.001252,-0.000094,-0.000406,0.812330,0.671386,2.634369,778.92,15.00,highres
14.395933,11059630251,-0.051052,0.275935,-9.783090,-0.001370,0.002527,0.002105,0.812330,0.671386,2.634369,778.92,15.00,highres
14.399719,11059637378,-0.056273,0.277099,-9.786521,-0.000362,0.000273,0.000894,0.812330,0.671386,2.634369,778.92,15.00,highres
14.414643,11059650355,-0.064352,0.269398,-9.784215,-0.001513,0.002546,0.001497,0.812330,0.671386,2.634369,778.92,15.00,highres
14.428721,11059660214,-0.061884,0.271510,-9.780343,0.000175,-0.000239,-0.000750,0.812330,0.671386,2.634369,778.92,15.00,highres
14.438171,11059666147,-0.058037,0.273588,-9.769473,0.000730,0.001688,0.001317,0.799588,0.652519,2.638442,778.92,15.00,highres
14.439971,11059674970,-0.057589,0.281368,-9.771826,0.000034,0.001065,0.001751,0.799588,0.652519,2.638442,778.92,15.00,highres
14.455400,11059692193,-0.060790,0.269509,-9.776102,-0.000119,0.000311,0.001160,0.800440,0.651488,2.639713,778.92,15.00,highres
14.468270,11059702154,-0.053557,0.281984,-9.773513,0.001328,-0.000323,-0.000033,0.800440,0.651488,2.639713,778.92,15.00,highres
14.473936,11059709739,-0.049118,0.270103,-9.771641,-0.000626,0.001439,0.000987,0.800440,0.651488,2.639713,778.92,15.00,highres
14.479038,11059719695,-0.058019,0.284193,-9.766391,0.001489,-0.002500,-0.000227,0.800440,0.651488,2.639713,778.92,15.00,highres
14.496352,11059730142,-0.050406,0.282565,-9.767529,-0.000148,0.001000,0.001316,0.800440,0.651488,2.639713,778.92,15.00,highres
14.508436,11059742856,-0.063820,0.276416,-9.775908,0.000932,-0.001791,-0.000538,0.800440,0.651488,2.639713,778.92,15.00,highres
14.514742,11059749560,-0.061676,0.288551,-9.775907,-0.001986,0.001058,0.001564,0.800440,0.651488,2.639713,778.92,15.00,highres
14.525314,11059759830,-0.053970,0.277360,-9.776687,0.000960,-0.001443,0.000307,0.800440,0.651488,2.639713,778.92,15.00,highres
14.537820,11059772685,-0.059689,0.279352,-9.770447,-0.001160,0.002929,0.002023,0.800440,0.651488,2.639713,778.92,15.00,highres
14.539107,11059780037,-0.052738,0.271854,-9.780384,0.001123,-0.001107,-0.000211,0.800440,0.651488,2.639713,778.92,15.00,highres
14.554884,11059789961,-0.062278,0.280811,-9.778023,-0.001675,0.001306,0.001316,0.800440,0.651488,2.639713,778.92,15.00,highres
14.561657,11059795301,-0.055960,0.278320,-9.780153,0.000253,-0.000928,0.001011,0.800440,0.651488,2.639713,778.92,15.00,highres
14.575612,11059802386,-0.050543,0.288671,-9.773651,0.000061,-0.002392,0.000448,0.799527,0.651161,2.640528,778.92,15.00,highres
14.581325,11059812332,-0.059117,0.285752,-9.778836,-0.001052,0.001050,0.000241,0.800557,0.654799,2.630250,778.92,15.00,highres
14.596155,11059822405,-0.059587,0.269798,-9.777115,0.001744,-0.000504,0.000593,0.800557,0.654799,2.630250,778.92,15.00,highres
14.605256,11059835059,-0.061125,0.269888,-9.780642,-0.000129,0.000199,0.000552,0.800557,0.654799,2.630250,778.92,15.00,highres
14.616119,11059845231,-0.055928,0.278974,-9.784056,-0.000781,0.000740,0.000564,0.800557,0.654799,2.630250,778.92,15.00,highres
14.628980,11059857927,-0.050406,0.284959,-9.768279,0.001068,-0.001144,-0.000367,0.800557,0.654799,2.630250,778.92,15.00,highres
14.637446,11059862588,-0.049209,0.281368,-9.779499,0.000404,-0.000654,0.001923,0.800557,0.654799,2.630250,778.92,15.00,highres
14.639153,11059875442,-0.061180,0.272989,-9.771120,0.000230,0.001311,0.000174,0.800557,0.654799,2.630250,778.92,15.00,highres
14.658669,11059890698,-0.057589,0.272989,-9.781893,-0.001284,0.002026,0.001951,0.800557,0.654799,2.630250,778.92,15.00,highres
14.668683,11059900856,-0.055030,0.274131,-9.785076,0.001220,-0.001006,-0.000530,0.800557,0.654799,2.630250,778.92,15.00,highres
14.675516,11059905838,-0.059408,0.287354,-9.772365,0.000035,0.002210,0.000999,0.800557,0.654799,2.630250,778.92,15.00,highres
14.680881,11059916209,-0.053949,0.280899,-9.772786,0.000463,0.000695,0.001011,0.800557,0.654799,2.630250,778.92,15.00,highres
14.695815,11059920523,-0.042253,0.272764,-9.782022,0.001074,-0.002174,0.000466,0.800557,0.654799,2.630250,778.92,15.00,highres
14.705265,11059935742,-0.049333,0.275644,-9.782132,0.000272,-0.000110,0.001390,0.800557,0.654799,2.630250,778.92,15.00,highres
14.714804,11059946393,-0.056383,0.280164,-9.779470,-0.000517,0.001759,0.002398,0.801477,0.650530,2.642682,778.92,15.00,highres
14.728640,11059951756,-0.057554,0.283312,-9.784648,-0.000758,0.001630,0.001908,0.790183,0.662165,2.632374,778.92,15.00,highres
14.738158,11059964194,-0.061156,0.273122,-9.779922,0.000310,-0.000355,0.000839,0.790183,0.662165,2.632374,778.92,15.00,highres
14.739938,11059977105,-0.053447,0.260356,-9.778703,0.000968,-0.001119,0.000381,0.790183,0.662165,2.632374,778.92,15.00,highres
14.755097,11059980644,-0.058060,0.267714,-9.769652,0.001408,-0.001453,-0.000536,0.790183,0.662165,2.632374,778.92,15.00,highres
14.763358,11059993300,-0.058701,0.281903,-9.786615,-0.001688,0.003008,0.000550,0.790183,0.662165,2.632374,778.91,15.00,highres
14.776207,11059998371,-0.059979,0.272394,-9.784558,0.000769,-0.000802,-0.000190,0.790183,0.662165,2.632374,778.91,15.00,highres
14.788319,11060009575,-0.073704,0.280312,-9.785737,-0.000758,0.001630,0.001602,0.790183,0.662165,2.632374,778.91,15.00,highres
14.794470,11060012995,-0.073939,0.264803,-9.778571,-0.000222,0.000558,0.001297,0.790183,0.662165,2.632374,778.91,15.00,highres
14.803436,11060025626,-0.058777,0.274179,-9.768698,-0.001229,0.001507,0.001768,0.790183,0.662165,2.632374,778.91,15.00,highres
14.814165,11060051317,-0.052092,0.273118,-9.773124,-0.001674,0.002546,0.002372,0.790183,0.662165,2.632374,778.91,15.00,highres
14.825547,11060056187,-0.054635,0.262823,-9.769311,0.000377,0.000146,-0.000361,0.790183,0.662165,2.632374,778.91,15.00,highres
14.836893,11060069317,-0.056463,0.271811,-9.774000,-0.002773,0.002622,0.003130,0.790183,0.662165,2.632374,778.91,15.00,highres
14.841801,11060081096,-0.052628,0.276393,-9.774337,0.002731,-0.001601,-0.001146,0.790183,0.662165,2.632374,778.91,15.00,highres
14.856034,11060090698,-0.053714,0.272982,-9.785010,-0.001063,0.002546,0.001908,0.801835,0.654990,2.641071,778.91,15.00,highres
14.862107,11060096234,-0.049799,0.279566,-9.778872,0.001702,0.000086,0.000847,0.812985,0.655439,2.636039,778.91,15.00,highres
14.875404,11060106190,-0.058227,0.276153,-9.779986,-0.000874,-0.000194,0.001198,0.812985,0.655439,2.636039,778.91,15.00,highres
14.879112,11060110976,-0.057148,0.284853,-9.777942,-0.002109,0.001935,0.001426,0.812985,0.655439,2.636039,778.91,15.00,highres
14.894983,11060122958,-0.055186,0.271785,-9.779470,0.000158,0.000103,-0.000230,0.812985,0.655439,2.636039,778.91,15.00,highres
14.903712,11060140670,-0.057580,0.277794,-9.769236,0.001444,-0.000749,-0.000107,0.812985,0.655439,2.636039,778.91,15.00,highres
14.914990,11060152991,-0.055617,0.280595,-9.775113,-0.000885,0.001667,0.001010,0.812985,0.655439,2.636039,778.91,15.00,highres
14.925228,11060158217,-0.052801,0.272607,-9.777870,0.001380,-0.003257,-0.000841,0.812985,0.655439,2.636039,778.91,15.00,highres
14.936948,11060170143,-0.056383,0.279588,-9.771581,-0.001519,0.002385,0.002046,0.812985,0.655439,2.636039,778.92,15.00,highres
14.938649,11060182154,-0.055402,0.287891,-9.784041,0.001686,-0.001752,0.000255,0.812985,0.655439,2.636039,778.92,15.00,highres
14.954646,11060194151,-0.051928,0.279433,-9.772620,-0.001392,0.000250,0.000404,0.812985,0.655439,2.636039,778.92,15.00,highres
