t_wall_s,t_boot_us,ax,ay,az,gx,gy,gz,mx,my,mz,abs_pressure,temperature,source
1.256566,16154735320,-5.186251,0.972356,-8.224020,-0.002357,0.000693,0.001200,0.292947,0.986171,2.846757,780.06,42.30,highres
1.256566,16154740981,-5.174678,0.979863,-8.227064,-0.002840,-0.000783,-0.000233,0.292947,0.986171,2.846757,780.06,42.30,highres
1.256566,16154755643,-5.178056,0.980537,-8.222726,-0.002917,0.000391,0.000455,0.292947,0.986171,2.846757,780.06,42.30,highres
1.256566,16154765324,-5.176785,0.969792,-8.213817,-0.000608,-0.000583,0.000589,0.292947,0.986171,2.846757,780.06,42.30,highres
1.256566,16154775347,-5.183708,0.972195,-8.226094,-0.001219,0.000028,-0.000022,0.292947,0.986171,2.846757,780.06,42.30,highres
1.256566,16154791118,-5.181915,0.986704,-8.235616,-0.002383,0.000047,0.001792,0.293613,0.998330,2.843911,780.06,42.30,highres
1.256566,16154806026,-5.182901,0.973878,-8.218948,-0.000947,0.000559,0.000928,0.293613,0.998330,2.843911,780.06,42.30,highres
1.256566,16154811733,-5.182968,0.972681,-8.218951,-0.000298,0.000789,0.001195,0.293613,0.998330,2.843911,780.06,42.30,highres
1.256566,16154815457,-5.185884,0.974356,-8.217008,-0.000913,0.001088,0.000266,0.293613,0.998330,2.843911,780.06,42.30,highres
1.256566,16154831158,-5.170799,0.976272,-8.228262,0.001225,0.001895,-0.000056,0.293613,0.998330,2.843911,780.06,42.30,highres
1.256566,16154836600,-5.166490,0.974118,-8.241070,0.000919,0.002471,-0.000938,0.293613,0.998330,2.843911,780.06,42.30,highres
1.256566,16154852156,-5.180377,0.973878,-8.233049,0.000234,0.001249,-0.000633,0.293613,0.998330,2.843911,780.06,42.30,highres
1.256566,16154856190,-5.178819,0.974958,-8.244485,-0.000608,0.000333,-0.000633,0.295881,0.994988,2.848165,780.06,42.30,highres
1.256566,16154865700,-5.176785,0.977469,-8.229459,0.000614,0.000552,-0.000400,0.295881,0.994988,2.848165,780.06,42.30,highres
1.257337,16154876493,-5.169603,0.982257,-8.223474,-0.000302,0.000900,-0.000022,0.295881,0.994988,2.848165,780.06,42.30,highres
1.257337,16154891574,-5.173194,0.983454,-8.224670,0.000309,-0.000166,0.000061,0.295881,0.994988,2.848165,780.06,42.30,highres
1.257337,16154895606,-5.182122,0.980511,-8.226614,-0.000302,0.000638,-0.000327,0.295881,0.994988,2.848165,780.06,42.30,highres
1.257337,16154905816,-5.175391,0.963696,-8.226353,0.001225,0.000638,0.000589,0.295881,0.994988,2.848165,780.06,42.30,highres
1.257337,16154915708,-5.173951,0.976517,-8.229579,0.000215,0.002259,0.001200,0.295881,0.994988,2.848165,780.06,42.30,highres
1.257337,16154923969,-5.174107,0.969516,-8.225584,-0.000495,0.003050,0.000010,0.283927,0.990696,2.844887,780.06,42.30,highres
1.257337,16154933186,-5.173895,0.963534,-8.229708,0.000309,0.001249,-0.001244,0.283927,0.990696,2.844887,780.06,42.30,highres
1.257337,16154944509,-5.173520,0.962667,-8.224886,0.000003,0.002653,-0.001244,0.283927,0.990696,2.844887,780.06,42.30,highres
1.257337,16154948285,-5.184741,0.965181,-8.229036,-0.000708,0.001657,-0.000938,0.283927,0.990696,2.844887,780.06,42.30,highres
1.257337,16154955626,-5.181574,0.970887,-8.223924,-0.002135,0.000333,-0.000938,0.283927,0.990696,2.844887,780.06,42.30,highres
1.257337,16154981188,-5.171298,0.969137,-8.227089,-0.001581,-0.000583,0.000774,0.283927,0.990696,2.844887,780.06,42.30,highres
1.257337,16154991679,-5.173558,0.981750,-8.219193,-0.001219,0.000241,0.001163,0.283927,0.990696,2.844887,780.06,42.30,highres
1.257337,16155001491,-5.186886,0.975979,-8.219271,0.000156,0.002012,0.002116,0.289004,0.994880,2.843460,780.06,42.30,highres
1.257337,16155011325,-5.175419,0.964942,-8.228261,0.001530,0.001577,0.001320,0.289004,0.994880,2.843460,780.06,42.30,highres
1.257337,16155021803,-5.178642,0.976231,-8.227520,0.001493,0.003864,-0.000900,0.289004,0.994880,2.843460,780.06,42.30,highres
1.257724,16155036032,-5.177284,0.986796,-8.238802,0.001626,0.002433,0.000818,0.289004,0.994880,2.843460,780.06,42.30,highres
1.257724,16155041307,-5.170189,0.978589,-8.229459,0.000309,0.002399,-0.000938,0.289004,0.994880,2.843460,780.06,42.30,highres
1.257724,16155059079,-5.170527,0.970936,-8.229800,-0.000913,0.001017,0.000512,0.289004,0.994880,2.843460,780.06,42.30,highres
1.257724,16155064449,-5.171144,0.971171,-8.229885,-0.000553,-0.000746,-0.000076,0.289004,0.994880,2.843460,780.06,42.30,highres
