t_wall_s,t_boot_ms,roll_rad,pitch_rad,yaw_rad,rollspeed,pitchspeed,yawspeed
1.252994,16948067,-0.026585,0.064989,-1.840146,0.000621,0.000252,-0.000110
1.252994,16948102,-0.026542,0.064926,-1.840195,0.001697,0.000781,-0.000048
1.252994,16948135,-0.026513,0.064846,-1.840276,0.000747,0.000461,-0.000550
1.252994,16948166,-0.026488,0.064789,-1.840338,0.000735,0.000266,-0.000286
1.253480,16948198,-0.026454,0.064713,-1.840402,0.001181,-0.000276,0.000080
1.253480,16948235,-0.026432,0.064623,-1.840476,0.001111,-0.000885,-0.000778
1.253480,16948263,-0.026423,0.064570,-1.840512,0.001627,-0.000566,-0.000398
1.253480,16948298,-0.026389,0.064542,-1.840559,0.002183,-0.000274,-0.000150
1.253480,16948329,-0.026389,0.064513,-1.840631,0.001016,0.000365,0.000415
1.253734,16948366,-0.026358,0.064489,-1.840692,0.001084,0.000548,-0.001164
1.253734,16948397,-0.026330,0.064472,-1.840756,0.000383,0.000378,-0.000607
1.253734,16948434,-0.026320,0.064439,-1.840835,0.001077,0.000808,-0.001061
1.253734,16948469,-0.026312,0.064428,-1.840881,0.000020,0.000140,-0.000400
1.253899,16948499,-0.026285,0.064416,-1.840937,0.001101,0.000092,-0.000647
1.253899,16948532,-0.026279,0.064411,-1.841003,-0.000226,0.000492,-0.000887
1.253899,16948565,-0.026287,0.064421,-1.841056,0.000577,0.001049,0.000392
1.253899,16948600,-0.026278,0.064413,-1.841120,0.000497,0.000868,-0.001047
1.253899,16948631,-0.026268,0.064401,-1.841154,0.000681,0.001284,0.000207
1.254024,16948667,-0.026239,0.064425,-1.841173,-0.000405,0.000576,-0.000600
1.254024,16948701,-0.026231,0.064446,-1.841240,0.000595,0.001020,-0.000366
1.254024,16948732,-0.026204,0.064446,-1.841308,-0.001024,0.001533,-0.000695
1.254024,16948763,-0.026193,0.064463,-1.841346,0.002081,0.000235,0.000393
1.254148,16948802,-0.026132,0.064449,-1.841404,0.001686,-0.001197,-0.000072
1.254148,16948832,-0.026127,0.064434,-1.841455,0.001379,-0.001445,-0.000186
1.254148,16948868,-0.026125,0.064431,-1.841496,0.001686,-0.000670,-0.000241
1.254148,16948899,-0.026114,0.064450,-1.841537,0.000129,0.000975,-0.000876
1.254148,16948933,-0.026111,0.064474,-1.841602,0.000368,0.000423,0.000154
1.254273,16948969,-0.026074,0.064473,-1.841658,0.001487,0.000296,0.000609
1.254273,16949001,-0.026073,0.064479,-1.841699,0.000577,0.000590,0.000910
1.254273,16949033,-0.026060,0.064505,-1.841750,0.001881,0.001158,0.000374
1.254273,16949069,-0.026038,0.064513,-1.841803,0.000597,-0.000253,-0.000471
1.254395,16949100,-0.026017,0.064513,-1.841814,0.000477,0.000476,0.001371
1.254395,16949135,-0.025991,0.064507,-1.841882,0.002129,0.000432,-0.000118
1.254395,16949166,-0.025963,0.064495,-1.841922,0.001677,0.000010,0.000218
1.254395,16949201,-0.025919,0.064487,-1.841991,0.001517,0.000421,0.000339
1.254496,16949233,-0.025892,0.064467,-1.842079,0.001235,-0.000043,-0.000226
1.254496,16949267,-0.025874,0.064452,-1.842163,0.000898,0.001396,0.000273
1.254542,16949299,-0.025842,0.064443,-1.842213,0.000919,0.000332,0.000035
1.293828,16949334,-0.025836,0.064399,-1.842322,0.002180,-0.000160,-0.000192
1.328106,16949366,-0.025813,0.064375,-1.842416,0.001783,0.000171,0.000559
1.359481,16949397,-0.025790,0.064340,-1.842487,0.001810,-0.000271,-0.000162
1.391810,16949434,-0.025779,0.064319,-1.842585,0.001547,0.000209,-0.000119
1.428225,16949468,-0.025737,0.064291,-1.842666,0.001285,0.000773,-0.000011
1.459565,16949501,-0.025708,0.064269,-1.842775,0.001055,0.000563,-0.000839
1.490154,16949534,-0.025689,0.064236,-1.842900,0.001349,0.000764,-0.000239
1.527988,16949564,-0.025665,0.064215,-1.842970,0.001697,0.000495,0.000196
1.560089,16949599,-0.025651,0.064221,-1.843072,0.000467,0.001130,-0.000367
1.592052,16949633,-0.025619,0.064198,-1.843161,0.001388,0.000392,-0.000482
1.629486,16949667,-0.025590,0.064182,-1.843239,0.000628,0.001296,0.000117
1.658248,16949699,-0.025554,0.064174,-1.843302,0.001942,0.000838,0.000385
1.693454,16949731,-0.025529,0.064187,-1.843407,0.001236,0.001164,-0.000957
1.727854,16949767,-0.025500,0.064186,-1.843529,0.001591,-0.000139,-0.000179
