t_wall_s,t_boot_ms,press_abs_hPa,press_diff_hPa,temperature_C
1.252994,16947939,780.1284,0.0000,41.70
1.252994,16948059,780.1206,0.0000,41.70
1.253480,16948140,780.1252,0.0000,41.70
1.253734,16948258,780.1304,0.0000,41.70
1.253734,16948338,780.1211,0.0000,41.70
1.253899,16948459,780.1287,0.0000,41.70
1.254024,16948538,780.1215,0.0000,41.70
1.254024,16948658,780.1176,0.0000,41.70
1.254148,16948739,780.1223,0.0000,41.70
1.254273,16948859,780.1293,0.0000,41.70
1.254395,16948941,780.1274,0.0000,41.70
1.254395,16949060,780.1191,0.0000,41.70
1.254496,16949148,780.1194,0.0000,41.70
1.345303,16949258,780.1287,0.0000,41.70
1.445758,16949339,780.1282,0.0000,41.70
1.546221,16949459,780.1213,0.0000,41.70
1.646099,16949539,780.1292,0.0000,41.70
1.745775,16949664,780.1309,0.0000,41.70
1.845386,16949739,780.1220,0.0000,41.70
1.946201,16949859,780.1259,0.0000,41.70
2.045603,16949941,780.1169,0.0000,41.70
2.146232,16950059,780.1208,0.0000,41.70
2.245875,16950142,780.1230,0.0000,41.70
2.344984,16950259,780.1265,0.0000,41.70
2.444802,16950339,780.1265,0.0000,41.70
2.544646,16950458,780.1279,0.0000,41.70
2.638744,16950540,780.1296,0.0000,41.70
2.745864,16950661,780.1237,0.0000,41.70
2.845772,16950738,780.1252,0.0000,41.70
2.945684,16950859,780.1265,0.0000,41.70
3.044880,16950940,780.1276,0.0000,41.70
3.146219,16951060,780.1223,0.0000,41.70
3.244438,16951139,780.1174,0.0000,41.70
3.345028,16951259,780.1194,0.0000,41.70
3.445884,16951339,780.1220,0.0000,41.70
3.545788,16951459,780.1213,0.0000,41.70
3.639297,16951539,780.1235,0.0000,41.70
3.745165,16951663,780.1298,0.0000,41.70
3.846330,16951740,780.1350,0.0000,41.70
3.942837,16951859,780.1220,0.0000,41.70
4.045735,16951939,780.1226,0.0000,41.70
4.145033,16952059,780.1262,0.0000,41.70
4.244709,16952140,780.1245,0.0000,41.70
4.347283,16952258,780.1174,0.0000,41.70
4.444968,16952340,780.1140,0.0000,41.70
4.544585,16952418,780.1235,0.0000,41.70
4.645463,16952540,780.1321,0.0000,41.70
4.745470,16952660,780.1196,0.0000,41.70
4.845286,16952738,780.1282,0.0000,41.70
4.945534,16952858,780.1284,0.0000,41.70
5.046429,16952938,780.1298,0.0000,41.70
5.145759,16953058,780.1393,0.0000,41.70
5.245049,16953141,780.1279,0.0000,41.70
5.344598,16953258,780.1270,0.0000,41.70
5.444986,16953338,780.1215,0.0000,41.70
5.544985,16953459,780.1030,0.0000,41.70
5.645749,16953539,780.1176,0.0000,41.70
5.745273,16953661,780.1235,0.0000,41.70
5.845090,16953738,780.1304,0.0000,41.70
5.944420,16953858,780.1376,0.0000,41.70
6.045237,16953941,780.1235,0.0000,41.70
6.145707,16954059,780.1270,0.0000,41.70
