t_wall_s,t_boot_ms,roll_rad,pitch_rad,yaw_rad,rollspeed,pitchspeed,yawspeed
6.257467,18632793,-0.046025,-0.020044,-2.623932,0.005601,0.001968,-0.001099
6.257974,18632882,-0.045629,-0.019679,-2.624295,0.006806,0.001880,-0.000827
6.257974,18632914,-0.045453,-0.019570,-2.624418,0.001146,0.000774,-0.001167
6.257974,18632949,-0.045406,-0.019418,-2.624578,-0.000138,0.000984,-0.001264
6.257974,18632980,-0.045311,-0.019269,-2.624692,0.002653,0.002191,-0.001644
6.258225,18633014,-0.045257,-0.019109,-2.624847,0.003370,0.001012,-0.000500
6.258225,18633048,-0.045104,-0.018934,-2.624983,-0.001144,0.002145,-0.001494
6.258225,18633082,-0.045112,-0.018781,-2.625180,0.000417,0.000537,-0.001865
6.258225,18633112,-0.045069,-0.018686,-2.625334,0.003992,-0.000367,-0.001942
6.258433,18633149,-0.045066,-0.018566,-2.625493,-0.000198,-0.000981,-0.001997
6.258433,18633176,-0.044967,-0.018502,-2.625640,-0.000113,0.001077,-0.001486
6.258433,18633214,-0.044977,-0.018316,-2.625832,-0.000313,0.002264,-0.000987
6.258433,18633248,-0.044971,-0.018135,-2.625977,0.001442,0.001002,-0.000408
6.258666,18633277,-0.044942,-0.018039,-2.626112,0.001569,0.000631,-0.001095
6.258666,18633313,-0.044858,-0.017854,-2.626310,0.001749,0.001763,-0.001136
6.258666,18633345,-0.044869,-0.017742,-2.626472,-0.002469,0.000079,-0.001712
6.258666,18633379,-0.044791,-0.017580,-2.626631,0.000537,0.001761,-0.000667
6.258872,18633411,-0.044752,-0.017462,-2.626790,0.000616,0.000357,-0.001238
6.258872,18633437,-0.044735,-0.017365,-2.626891,-0.000239,-0.000272,-0.001364
6.258872,18633481,-0.044706,-0.017193,-2.627097,0.001055,0.001116,-0.001006
6.258872,18633514,-0.044673,-0.017058,-2.627248,-0.000311,0.002600,-0.000760
6.259111,18633544,-0.044652,-0.016985,-2.627353,-0.000008,0.000811,-0.001672
6.259111,18633580,-0.044617,-0.016885,-2.627479,0.000163,0.000919,-0.001171
6.259111,18633615,-0.044580,-0.016764,-2.627612,0.000500,0.001222,-0.001356
6.259111,18633651,-0.044502,-0.016685,-2.627741,0.002489,0.000229,-0.001748
6.259293,18633681,-0.044444,-0.016606,-2.627857,0.001928,0.000162,-0.001943
6.259293,18633717,-0.044373,-0.016524,-2.628008,0.000076,0.001557,-0.001079
6.259293,18633747,-0.044368,-0.016391,-2.628119,-0.003832,0.004154,-0.001562
6.259293,18633784,-0.044304,-0.016298,-2.628247,-0.000292,0.000783,-0.001370
6.259500,18633813,-0.044278,-0.016241,-2.628328,0.001011,0.001132,-0.001050
6.259500,18633847,-0.044193,-0.016127,-2.628460,0.001726,0.000738,-0.000857
6.259500,18633880,-0.044147,-0.016038,-2.628561,0.000342,0.000420,-0.000587
6.259500,18633914,-0.044109,-0.015946,-2.628683,-0.000849,0.001893,-0.001152
6.259637,18633949,-0.044043,-0.015858,-2.628819,0.001490,0.000420,-0.002003
6.259637,18633978,-0.044014,-0.015776,-2.628942,-0.000138,0.001467,-0.001925
6.259637,18634017,-0.043993,-0.015645,-2.629102,-0.000947,0.002302,-0.001510
6.259637,18634044,-0.043962,-0.015564,-2.629215,0.000910,0.001044,-0.001779
6.259807,18634083,-0.043897,-0.015444,-2.629346,0.002123,0.000902,-0.000784
6.259807,18634111,-0.043873,-0.015379,-2.629423,0.000943,0.001825,-0.001146
6.259807,18634150,-0.043808,-0.015233,-2.629581,0.001843,0.000018,-0.001511
6.259807,18634181,-0.043749,-0.015103,-2.629724,0.000892,0.000110,-0.000997
6.259897,18634213,-0.043713,-0.014985,-2.629860,0.000107,0.000465,-0.001646
6.259897,18634248,-0.043677,-0.014861,-2.630024,0.000639,-0.000518,-0.001816
6.259897,18634283,-0.043636,-0.014742,-2.630179,0.000763,0.001148,-0.001353
6.259897,18634311,-0.043594,-0.014609,-2.630348,0.000057,-0.000293,-0.001833
6.259981,18634346,-0.043556,-0.014488,-2.630462,0.001261,0.001195,-0.001060
6.259981,18634382,-0.043479,-0.014339,-2.630653,0.001279,0.001456,-0.001367
6.259981,18634411,-0.043434,-0.014235,-2.630792,-0.000174,0.001019,-0.001737
6.259981,18634447,-0.043399,-0.014108,-2.630939,0.000487,-0.000291,-0.001687
6.260090,18634475,-0.043351,-0.014020,-2.631060,0.000641,0.000800,-0.001947
6.260090,18634514,-0.043303,-0.013906,-2.631206,-0.001193,0.002816,-0.001270
6.260090,18634550,-0.043262,-0.013795,-2.631331,0.001244,0.000573,-0.001663
6.260090,18634577,-0.043223,-0.013710,-2.631418,0.001373,0.000675,-0.002102
6.260495,18634612,-0.043164,-0.013567,-2.631579,0.000070,0.001965,-0.001326
6.260495,18634650,-0.043125,-0.013442,-2.631730,0.000873,0.001462,-0.001885
6.260495,18634685,-0.043051,-0.013354,-2.631847,0.001315,0.000014,-0.001442
6.260495,18634714,-0.043021,-0.013250,-2.631966,0.002026,0.001048,-0.001420
6.260601,18634750,-0.042946,-0.013137,-2.632105,0.001928,0.000478,-0.001717
6.260601,18634781,-0.042887,-0.013036,-2.632213,0.001229,0.001304,-0.001891
6.260601,18634815,-0.042862,-0.012915,-2.632340,-0.000342,0.001757,-0.002189
6.260601,18634847,-0.042835,-0.012814,-2.632456,0.000066,0.001015,-0.001640
6.260719,18634877,-0.042792,-0.012728,-2.632553,0.001030,0.001508,-0.001373
6.260719,18634912,-0.042719,-0.012639,-2.632679,0.001336,0.000460,-0.001558
6.260719,18634946,-0.042644,-0.012543,-2.632796,0.001929,-0.000031,-0.002727
6.260719,18634979,-0.042600,-0.012451,-2.632897,0.000913,0.001287,-0.001233
6.260812,18635009,-0.042566,-0.012375,-2.632998,-0.001418,0.002380,-0.000985
6.260812,18635046,-0.042495,-0.012160,-2.633214,0.000766,0.001913,-0.001668
6.260812,18635082,-0.042327,-0.011858,-2.633560,0.001199,0.002040,-0.001439
6.260894,18635113,-0.042236,-0.011708,-2.633733,0.001466,0.000676,-0.002378
6.260894,18635151,-0.042060,-0.011399,-2.634129,0.001055,0.000987,-0.001272
6.260894,18635179,-0.041941,-0.011184,-2.634367,0.001525,0.001253,-0.001703
6.260894,18635213,-0.041802,-0.010942,-2.634662,0.000045,0.001847,-0.001070
6.260982,18635247,-0.041668,-0.010665,-2.634966,0.001599,0.001362,-0.001299
6.260982,18635283,-0.041498,-0.010286,-2.635331,0.000923,0.001537,-0.002065
6.260982,18635316,-0.041375,-0.009995,-2.635636,0.000511,0.001528,-0.000844
6.260982,18635345,-0.041253,-0.009717,-2.635904,0.002245,0.000871,-0.002144
6.261122,18635378,-0.041098,-0.009418,-2.636256,0.000249,0.001761,-0.001455
6.261122,18635415,-0.040968,-0.009084,-2.636565,0.000145,0.002289,-0.000662
6.261122,18635450,-0.040855,-0.008662,-2.636946,0.000150,0.000789,-0.002596
6.261122,18635483,-0.040743,-0.008239,-2.637306,0.000953,0.001842,-0.001433
6.261237,18635510,-0.040626,-0.007904,-2.637595,0.001454,0.001129,-0.002065
6.261237,18635546,-0.040493,-0.007534,-2.637933,0.001435,0.001273,-0.001790
6.261237,18635578,-0.040370,-0.007165,-2.638247,0.000440,0.001224,-0.001932
6.261237,18635613,-0.040256,-0.006837,-2.638531,0.000607,0.001463,-0.000374
6.261334,18635648,-0.040155,-0.006332,-2.638926,0.000773,0.001939,-0.001888
6.261334,18635676,-0.040031,-0.005723,-2.639382,-0.000315,0.002093,-0.001448
6.261334,18635713,-0.039914,-0.005132,-2.639840,0.000340,0.003019,-0.002532
6.261334,18635750,-0.039768,-0.004520,-2.640294,0.001824,0.001480,-0.001870
6.261421,18635778,-0.039674,-0.004095,-2.640614,0.001015,0.001981,-0.001872
6.261421,18635814,-0.039538,-0.003480,-2.641074,0.000632,0.001723,-0.001995
6.261421,18635849,-0.039355,-0.002681,-2.641625,0.002502,0.001774,-0.000716
6.261421,18635885,-0.039197,-0.001853,-2.642192,0.000728,0.001436,-0.001477
6.261517,18635914,-0.039056,-0.001041,-2.642761,0.000045,0.002266,-0.001389
6.261517,18635946,-0.038902,-0.000213,-2.643359,0.001579,0.001294,-0.002889
6.261517,18635982,-0.038768,0.000604,-2.643926,0.000617,0.002286,-0.002321
6.261517,18636014,-0.038626,0.001410,-2.644500,0.000868,0.001819,-0.001928
6.261607,18636048,-0.038486,0.002250,-2.645071,0.001107,0.001968,-0.001929
6.261607,18636081,-0.038346,0.003117,-2.645636,0.001691,0.002367,-0.002365
6.261607,18636117,-0.038196,0.003964,-2.646188,0.000149,0.002362,-0.001201
6.261607,18636146,-0.038101,0.004627,-2.646624,0.001147,0.001360,-0.002510
6.261719,18636182,-0.037969,0.005414,-2.647151,0.001305,0.002536,-0.002317
6.261719,18636213,-0.037881,0.005921,-2.647480,0.000518,0.002285,-0.001039
