t_wall_s,t_boot_ms,press_abs_hPa,press_diff_hPa,temperature_C
6.257467,18632659,780.1948,0.0000,41.70
6.257974,18632738,780.1953,0.0000,41.70
6.257974,18632858,780.1979,0.0000,41.70
6.258225,18632938,780.1923,0.0000,41.70
6.258433,18633059,780.1907,0.0000,41.70
6.258666,18633139,780.1851,0.0000,41.70
6.258666,18633260,780.1907,0.0000,41.70
6.258872,18633339,780.2026,0.0000,41.70
6.259111,18633458,780.1899,0.0000,41.70
6.259293,18633538,780.1899,0.0000,41.30
6.259293,18633660,780.1921,0.0000,41.30
6.259500,18633739,780.1853,0.0000,41.30
6.259637,18633859,780.1882,0.0000,41.30
6.259807,18633938,780.1887,0.0000,41.30
6.259807,18634061,780.1879,0.0000,41.30
6.259897,18634140,780.1956,0.0000,41.30
6.259981,18634259,780.1921,0.0000,41.30
6.260090,18634340,780.1995,0.0000,41.30
6.260090,18634462,780.1990,0.0000,41.30
6.260495,18634539,780.1936,0.0000,41.30
6.260601,18634659,780.1960,0.0000,41.30
6.260719,18634738,780.2001,0.0000,41.30
6.260719,18634859,780.1884,0.0000,41.30
6.260812,18634939,780.1787,0.0000,41.30
6.260894,18635060,780.1750,0.0000,41.30
6.260982,18635140,780.1733,0.0000,41.30
6.261122,18635261,780.1858,0.0000,41.30
6.261122,18635339,780.1882,0.0000,41.30
6.261237,18635458,780.1814,0.0000,41.30
6.261334,18635538,780.1799,0.0000,41.70
6.261421,18635658,780.1914,0.0000,41.70
6.261421,18635739,780.1887,0.0000,41.70
6.261517,18635859,780.1897,0.0000,41.70
6.261607,18635941,780.1899,0.0000,41.70
6.261719,18636058,780.1895,0.0000,41.70
6.261719,18636138,780.1985,0.0000,41.70
6.261811,18636259,780.1938,0.0000,41.70
6.261907,18636339,780.1917,0.0000,41.70
6.262003,18636458,780.1895,0.0000,41.70
6.262003,18636539,780.1873,0.0000,41.70
6.262089,18636662,780.1979,0.0000,41.70
6.262183,18636738,780.1943,0.0000,41.70
6.262273,18636861,780.1895,0.0000,41.70
6.262362,18636941,780.1979,0.0000,41.70
6.262362,18637059,780.2070,0.0000,41.70
6.262457,18637139,780.2131,0.0000,41.70
6.262550,18637261,780.2034,0.0000,41.70
6.262642,18637338,780.2007,0.0000,41.70
6.262642,18637459,780.1999,0.0000,41.70
6.262734,18637540,780.2163,0.0000,41.30
6.262823,18637659,780.2146,0.0000,41.30
6.262929,18637739,780.2061,0.0000,41.30
6.262929,18637859,780.2046,0.0000,41.30
6.263022,18637938,780.2016,0.0000,41.30
6.263117,18638060,780.2168,0.0000,41.30
6.263117,18638139,780.2148,0.0000,41.30
6.263213,18638261,780.1970,0.0000,41.30
6.263304,18638337,780.1858,0.0000,41.30
