t_sim,mhe_us,mpc_us,cycle_us
0.580000,0.000,0.000,11.000
0.680000,0.000,0.000,167.000
0.720000,0.000,0.000,14.000
0.850000,0.000,0.000,120.000
0.930000,0.000,0.000,29.000
14.990000,0.000,0.000,1606.000
15.040000,0.000,0.000,66.000
15.140000,0.000,0.000,7.000
15.210000,0.000,0.000,44.000
15.250000,0.000,0.000,462.000
15.420000,0.000,0.000,5.000
15.510000,0.000,0.000,9.000
15.550000,0.000,0.000,2.000
15.680000,0.000,0.000,92.000
15.900000,0.000,0.000,3.000
15.940000,0.000,0.000,24.000
16.030000,0.000,0.000,430.000
16.180000,0.000,33006.000,33501.000
16.270000,0.000,0.000,4.000
16.410000,0.000,0.000,3.000
16.560000,0.000,0.000,3.000
16.710000,0.000,0.000,316.000
16.930000,0.000,0.000,3.000
17.170000,16327.000,22713.000,39269.000
17.270000,0.000,0.000,49.000
17.400000,0.000,0.000,3.000
17.530000,0.000,0.000,30.000
17.730000,0.000,0.000,4.000
17.820000,0.000,0.000,73.000
18.000000,3579.000,12058.000,15795.000
18.130000,0.000,0.000,3.000
18.290000,0.000,0.000,62.000
18.450000,0.000,0.000,6.000
18.550000,0.000,0.000,414.000
18.680000,0.000,0.000,381.000
18.850000,0.000,0.000,4.000
18.990000,11694.000,27146.000,39072.000
19.090000,0.000,0.000,16.000
19.230000,13547.000,25193.000,38965.000
19.360000,0.000,0.000,3.000
19.480000,0.000,0.000,4.000
19.560000,0.000,0.000,22.000
19.680000,0.000,0.000,13.000
19.830000,0.000,0.000,6.000
19.990000,0.000,0.000,4.000
20.090000,0.000,0.000,27.000
20.230000,0.000,0.000,5.000
20.320000,0.000,0.000,43.000
20.470000,0.000,0.000,13.000
20.560000,0.000,0.000,43.000
20.620000,0.000,0.000,12.000
20.760000,0.000,0.000,3.000
20.930000,0.000,0.000,3.000
21.010000,0.000,0.000,12.000
21.170000,0.000,0.000,3.000
21.320000,11734.000,27107.000,39050.000
21.470000,0.000,0.000,4.000
21.610000,13102.000,26821.000,40156.000
21.700000,0.000,0.000,4.000
21.850000,0.000,0.000,4.000
21.950000,0.000,0.000,4.000
22.120000,13336.000,26071.000,39611.000
22.270000,0.000,0.000,4.000
22.410000,0.000,0.000,4.000
22.560000,0.000,0.000,4.000
22.690000,14352.000,24958.000,39552.000
22.810000,0.000,0.000,16.000
22.900000,0.000,0.000,54.000
22.990000,0.000,0.000,17.000
23.140000,0.000,0.000,3.000
23.260000,0.000,0.000,3.000
23.420000,0.000,0.000,21.000
23.570000,16666.000,22084.000,39040.000
23.720000,5474.000,12583.000,18201.000
23.870000,13270.000,26761.000,40263.000
23.940000,0.000,0.000,16.000
24.110000,0.000,0.000,126.000
24.240000,0.000,0.000,4.000
24.340000,0.000,0.000,16.000
24.440000,0.000,0.000,11.000
24.570000,0.000,0.000,16.000
24.710000,15867.000,24082.000,40230.000
24.880000,0.000,0.000,20.000
25.060000,15683.000,23025.000,38992.000
25.140000,0.000,0.000,35.000
25.350000,4933.000,13944.000,19021.000
25.480000,0.000,0.000,10.000
25.680000,18125.000,29419.000,47962.000
25.780000,0.000,0.000,49.000
26.010000,0.000,0.000,5.000
26.150000,19914.000,19013.000,39230.000
26.280000,0.000,0.000,10.000
26.370000,0.000,0.000,59.000
26.580000,16528.000,22204.000,39015.000
26.790000,17397.000,21888.000,39584.000
26.920000,0.000,0.000,75.000
27.060000,0.000,0.000,525.000
27.130000,0.000,0.000,2.000
27.270000,0.000,0.000,4.000
27.500000,0.000,0.000,3.000
27.590000,0.000,0.000,95.000
27.810000,14773.000,24935.000,39931.000
28.070000,0.000,0.000,3.000
28.180000,0.000,0.000,720.000
28.420000,0.000,0.000,20.000
28.530000,0.000,0.000,57.000
28.680000,0.000,0.000,31.000
28.760000,17216.000,0.000,17509.000
28.850000,0.000,0.000,32.000
