t_sim,mhe_us,mpc_us,cycle_us
0.600000,0.000,0.000,43.000
0.660000,0.000,0.000,102.000
0.750000,0.000,0.000,241.000
0.820000,0.000,0.000,26.000
0.860000,0.000,0.000,22.000
0.940000,0.000,0.000,22.000
15.000000,0.000,0.000,50.000
15.090000,0.000,0.000,30.000
15.180000,0.000,0.000,928.000
15.230000,0.000,0.000,40.000
15.300000,0.000,0.000,57.000
15.520000,0.000,0.000,68.000
15.580000,0.000,0.000,34.000
15.670000,0.000,0.000,419.000
15.750000,0.000,0.000,360.000
15.830000,0.000,0.000,16.000
15.920000,0.000,0.000,18.000
16.000000,0.000,14311.000,14728.000
16.080000,0.000,0.000,17.000
16.130000,0.000,0.000,15.000
16.220000,0.000,0.000,3.000
16.320000,0.000,0.000,240.000
16.590000,0.000,0.000,3.000
16.750000,16165.000,23008.000,39396.000
16.860000,0.000,0.000,39.000
17.010000,0.000,0.000,3.000
17.210000,0.000,0.000,31.000
17.330000,0.000,0.000,17.000
17.440000,0.000,0.000,20.000
17.580000,0.000,0.000,2.000
17.720000,0.000,0.000,74.000
17.760000,0.000,0.000,139.000
17.900000,14296.000,24801.000,39336.000
18.020000,0.000,0.000,4.000
18.060000,0.000,0.000,42.000
18.140000,0.000,0.000,41.000
18.270000,0.000,0.000,4.000
18.320000,0.000,0.000,46.000
18.540000,0.000,0.000,4.000
18.630000,0.000,0.000,3.000
18.810000,0.000,0.000,3.000
18.910000,0.000,0.000,1.000
19.000000,0.000,0.000,49.000
19.120000,0.000,0.000,675.000
19.200000,0.000,0.000,12.000
19.370000,0.000,0.000,4.000
19.470000,0.000,0.000,5.000
19.600000,0.000,0.000,55.000
19.700000,0.000,0.000,171.000
19.780000,0.000,0.000,2757.000
19.890000,0.000,0.000,20.000
20.020000,0.000,0.000,4.000
20.180000,0.000,0.000,15.000
20.310000,14676.000,26414.000,41321.000
20.530000,0.000,0.000,21.000
20.630000,0.000,0.000,3.000
20.700000,6373.000,9869.000,16470.000
20.820000,0.000,0.000,4.000
21.030000,0.000,0.000,3.000
21.130000,5516.000,13415.000,19281.000
21.230000,0.000,0.000,14.000
21.380000,5504.000,12113.000,17828.000
21.470000,0.000,0.000,135.000
21.560000,0.000,0.000,42.000
21.650000,0.000,0.000,8.000
21.730000,0.000,0.000,77.000
21.820000,0.000,0.000,37.000
21.910000,0.000,0.000,107.000
22.040000,0.000,0.000,30.000
22.160000,0.000,0.000,7.000
22.330000,0.000,0.000,54.000
22.530000,0.000,0.000,47.000
22.600000,0.000,0.000,32.000
22.760000,0.000,0.000,3.000
22.870000,0.000,0.000,3.000
23.040000,0.000,0.000,32.000
23.130000,0.000,0.000,155.000
23.220000,0.000,0.000,13.000
23.280000,0.000,0.000,138.000
23.420000,0.000,0.000,4.000
23.540000,0.000,0.000,8.000
23.580000,5442.000,13258.000,18933.000
23.660000,5389.000,13583.000,19104.000
23.750000,0.000,0.000,132.000
23.840000,0.000,0.000,3.000
23.980000,0.000,0.000,3.000
24.120000,0.000,0.000,31.000
24.200000,0.000,0.000,15.000
24.360000,0.000,0.000,4.000
24.550000,0.000,0.000,3.000
24.620000,0.000,0.000,51.000
24.790000,0.000,0.000,4.000
24.930000,0.000,0.000,17.000
25.050000,0.000,0.000,10.000
25.260000,16485.000,22878.000,39640.000
25.420000,0.000,0.000,5.000
25.590000,0.000,0.000,4.000
25.800000,0.000,0.000,3.000
25.940000,0.000,0.000,4.000
26.080000,0.000,0.000,169.000
26.180000,0.000,0.000,39.000
26.260000,0.000,0.000,7.000
26.390000,0.000,0.000,3.000
26.500000,17967.000,21150.000,39417.000
26.750000,0.000,0.000,4.000
26.960000,18106.000,21945.000,40330.000
27.150000,0.000,0.000,76.000
27.270000,0.000,0.000,8.000
27.480000,0.000,0.000,3.000
27.620000,0.000,0.000,69.000
27.700000,0.000,0.000,14.000
27.810000,0.000,0.000,3.000
27.940000,0.000,0.000,15.000
28.190000,0.000,0.000,3.000
28.350000,0.000,0.000,4.000
28.560000,16177.000,25994.000,42448.000
28.650000,4751.000,0.000,4864.000
28.750000,17241.000,0.000,17559.000
28.780000,0.000,0.000,104.000
28.890000,0.000,0.000,924.000
