t_rel_ns,kind,slot,value_deg
20581,CMD,0,0.0000
20581,CMD,1,0.0000
20581,CMD,2,0.0000
20581,CMD,3,0.0000
6271478,CMD,0,0.0000
6271478,CMD,1,0.0000
6271478,CMD,2,0.0000
6271478,CMD,3,0.0000
13377309,CMD,0,0.0000
13377309,CMD,1,0.0000
13377309,CMD,2,0.0000
13377309,CMD,3,0.0000
19440316,CMD,0,0.0000
19440316,CMD,1,0.0000
19440316,CMD,2,0.0000
19440316,CMD,3,0.0000
33378512,CMD,0,0.0000
33378512,CMD,1,0.0000
33378512,CMD,2,0.0000
33378512,CMD,3,0.0000
39267496,CMD,0,0.0000
39267496,CMD,1,0.0000
39267496,CMD,2,0.0000
39267496,CMD,3,0.0000
45374750,CMD,0,0.0000
45374750,CMD,1,0.0000
45374750,CMD,2,0.0000
45374750,CMD,3,0.0000
51360149,CMD,0,0.0000
51360149,CMD,1,0.0000
51360149,CMD,2,0.0000
51360149,CMD,3,0.0000
57167919,CMD,0,0.0000
57167919,CMD,1,0.0000
57167919,CMD,2,0.0000
57167919,CMD,3,0.0000
63162971,CMD,0,0.0000
63162971,CMD,1,0.0000
63162971,CMD,2,0.0000
63162971,CMD,3,0.0000
68173917,CMD,0,0.0000
68173917,CMD,1,0.0000
68173917,CMD,2,0.0000
68173917,CMD,3,0.0000
74170497,CMD,0,0.0000
74170497,CMD,1,0.0000
74170497,CMD,2,0.0000
74170497,CMD,3,0.0000
80165670,CMD,0,0.0000
80165670,CMD,1,0.0000
80165670,CMD,2,0.0000
80165670,CMD,3,0.0000
86162047,CMD,0,0.0000
86162047,CMD,1,0.0000
86162047,CMD,2,0.0000
86162047,CMD,3,0.0000
92166416,CMD,0,0.0000
92166416,CMD,1,0.0000
92166416,CMD,2,0.0000
92166416,CMD,3,0.0000
98178109,CMD,0,0.0000
98178109,CMD,1,0.0000
98178109,CMD,2,0.0000
98178109,CMD,3,0.0000
104161413,CMD,0,0.0000
104161413,CMD,1,0.0000
104161413,CMD,2,0.0000
104161413,CMD,3,0.0000
110163662,CMD,0,0.0000
110163662,CMD,1,0.0000
110163662,CMD,2,0.0000
110163662,CMD,3,0.0000
115177793,CMD,0,0.0000
115177793,CMD,1,0.0000
115177793,CMD,2,0.0000
115177793,CMD,3,0.0000
121166704,CMD,0,0.0000
121166704,CMD,1,0.0000
121166704,CMD,2,0.0000
121166704,CMD,3,0.0000
127165498,CMD,0,0.0000
127165498,CMD,1,0.0000
127165498,CMD,2,0.0000
127165498,CMD,3,0.0000
133178272,CMD,0,0.0000
133178272,CMD,1,0.0000
133178272,CMD,2,0.0000
133178272,CMD,3,0.0000
139183314,CMD,0,0.0000
139183314,CMD,1,0.0000
139183314,CMD,2,0.0000
139183314,CMD,3,0.0000
144171309,CMD,0,0.0000
144171309,CMD,1,0.0000
144171309,CMD,2,0.0000
144171309,CMD,3,0.0000
148155411,CMD,0,0.0000
148155411,CMD,1,0.0000
148155411,CMD,2,0.0000
148155411,CMD,3,0.0000
152168490,CMD,0,0.0000
152168490,CMD,1,0.0000
152168490,CMD,2,0.0000
152168490,CMD,3,0.0000
156170762,CMD,0,0.0000
156170762,CMD,1,0.0000
156170762,CMD,2,0.0000
156170762,CMD,3,0.0000
162181943,CMD,0,0.0000
162181943,CMD,1,0.0000
162181943,CMD,2,0.0000
162181943,CMD,3,0.0000
167170372,CMD,0,0.0000
167170372,CMD,1,0.0000
167170372,CMD,2,0.0000
167170372,CMD,3,0.0000
173155887,CMD,0,0.0000
173155887,CMD,1,0.0000
173155887,CMD,2,0.0000
173155887,CMD,3,0.0000
179158299,CMD,0,0.0000
179158299,CMD,1,0.0000
179158299,CMD,2,0.0000
179158299,CMD,3,0.0000
185178837,CMD,0,0.0000
185178837,CMD,1,0.0000
185178837,CMD,2,0.0000
185178837,CMD,3,0.0000
191166515,CMD,0,0.0000
191166515,CMD,1,0.0000
191166515,CMD,2,0.0000
191166515,CMD,3,0.0000
197162526,CMD,0,0.0000
197162526,CMD,1,0.0000
197162526,CMD,2,0.0000
197162526,CMD,3,0.0000
203159593,CMD,0,0.0000
203159593,CMD,1,0.0000
203159593,CMD,2,0.0000
203159593,CMD,3,0.0000
210162659,CMD,0,0.0000
210162659,CMD,1,0.0000
210162659,CMD,2,0.0000
210162659,CMD,3,0.0000
216169694,CMD,0,0.0000
216169694,CMD,1,0.0000
216169694,CMD,2,0.0000
216169694,CMD,3,0.0000
222171341,CMD,0,0.0000
222171341,CMD,1,0.0000
222171341,CMD,2,0.0000
222171341,CMD,3,0.0000
228178249,CMD,0,0.0000
228178249,CMD,1,0.0000
228178249,CMD,2,0.0000
228178249,CMD,3,0.0000
234164406,CMD,0,0.0000
