t_rel_ns,kind,slot,value_deg
19585,CMD,0,0.0000
19585,CMD,1,0.0000
19585,CMD,2,0.0000
19585,CMD,3,0.0000
6539319,CMD,0,0.0000
6539319,CMD,1,0.0000
6539319,CMD,2,0.0000
6539319,CMD,3,0.0000
13471324,CMD,0,0.0000
13471324,CMD,1,0.0000
13471324,CMD,2,0.0000
13471324,CMD,3,0.0000
19448449,CMD,0,0.0000
19448449,CMD,1,0.0000
19448449,CMD,2,0.0000
19448449,CMD,3,0.0000
23517929,CMD,0,0.0000
23517929,CMD,1,0.0000
23517929,CMD,2,0.0000
23517929,CMD,3,0.0000
29327735,CMD,0,0.0000
29327735,CMD,1,0.0000
29327735,CMD,2,0.0000
29327735,CMD,3,0.0000
35322780,CMD,0,0.0000
35322780,CMD,1,0.0000
35322780,CMD,2,0.0000
35322780,CMD,3,0.0000
41312588,CMD,0,0.0000
41312588,CMD,1,0.0000
41312588,CMD,2,0.0000
41312588,CMD,3,0.0000
47320627,CMD,0,0.0000
47320627,CMD,1,0.0000
47320627,CMD,2,0.0000
47320627,CMD,3,0.0000
53342722,CMD,0,0.0000
53342722,CMD,1,0.0000
53342722,CMD,2,0.0000
53342722,CMD,3,0.0000
59326930,CMD,0,0.0000
59326930,CMD,1,0.0000
59326930,CMD,2,0.0000
59326930,CMD,3,0.0000
65333171,CMD,0,0.0000
65333171,CMD,1,0.0000
65333171,CMD,2,0.0000
65333171,CMD,3,0.0000
71347469,CMD,0,0.0000
71347469,CMD,1,0.0000
71347469,CMD,2,0.0000
71347469,CMD,3,0.0000
78323752,CMD,0,0.0000
78323752,CMD,1,0.0000
78323752,CMD,2,0.0000
78323752,CMD,3,0.0000
84322698,CMD,0,0.0000
84322698,CMD,1,0.0000
84322698,CMD,2,0.0000
84322698,CMD,3,0.0000
90325134,CMD,0,0.0000
90325134,CMD,1,0.0000
90325134,CMD,2,0.0000
90325134,CMD,3,0.0000
96340655,CMD,0,0.0000
96340655,CMD,1,0.0000
96340655,CMD,2,0.0000
96340655,CMD,3,0.0000
102320215,CMD,0,0.0000
102320215,CMD,1,0.0000
102320215,CMD,2,0.0000
102320215,CMD,3,0.0000
108345117,CMD,0,0.0000
108345117,CMD,1,0.0000
108345117,CMD,2,0.0000
108345117,CMD,3,0.0000
114330322,CMD,0,0.0000
114330322,CMD,1,0.0000
114330322,CMD,2,0.0000
114330322,CMD,3,0.0000
120375001,CMD,0,0.0000
120375001,CMD,1,0.0000
120375001,CMD,2,0.0000
120375001,CMD,3,0.0000
126339660,CMD,0,0.0000
126339660,CMD,1,0.0000
126339660,CMD,2,0.0000
126339660,CMD,3,0.0000
132341467,CMD,0,0.0000
132341467,CMD,1,0.0000
132341467,CMD,2,0.0000
132341467,CMD,3,0.0000
140327619,CMD,0,0.0000
140327619,CMD,1,0.0000
140327619,CMD,2,0.0000
140327619,CMD,3,0.0000
147328802,CMD,0,0.0000
147328802,CMD,1,0.0000
147328802,CMD,2,0.0000
147328802,CMD,3,0.0000
153338421,CMD,0,0.0000
153338421,CMD,1,0.0000
153338421,CMD,2,0.0000
153338421,CMD,3,0.0000
159329453,CMD,0,0.0000
159329453,CMD,1,0.0000
159329453,CMD,2,0.0000
159329453,CMD,3,0.0000
165325189,CMD,0,0.0000
165325189,CMD,1,0.0000
165325189,CMD,2,0.0000
165325189,CMD,3,0.0000
171330927,CMD,0,0.0000
171330927,CMD,1,0.0000
171330927,CMD,2,0.0000
171330927,CMD,3,0.0000
177335564,CMD,0,0.0000
177335564,CMD,1,0.0000
177335564,CMD,2,0.0000
177335564,CMD,3,0.0000
183338487,CMD,0,0.0000
183338487,CMD,1,0.0000
183338487,CMD,2,0.0000
183338487,CMD,3,0.0000
189342603,CMD,0,0.0000
189342603,CMD,1,0.0000
189342603,CMD,2,0.0000
189342603,CMD,3,0.0000
195346043,CMD,0,0.0000
195346043,CMD,1,0.0000
195346043,CMD,2,0.0000
195346043,CMD,3,0.0000
201318459,CMD,0,0.0000
201318459,CMD,1,0.0000
201318459,CMD,2,0.0000
201318459,CMD,3,0.0000
207327089,CMD,0,0.0000
207327089,CMD,1,0.0000
207327089,CMD,2,0.0000
207327089,CMD,3,0.0000
213336830,CMD,0,0.0000
213336830,CMD,1,0.0000
213336830,CMD,2,0.0000
213336830,CMD,3,0.0000
219316730,CMD,0,0.0000
219316730,CMD,1,0.0000
219316730,CMD,2,0.0000
219316730,CMD,3,0.0000
223326204,CMD,0,0.0000
223326204,CMD,1,0.0000
223326204,CMD,2,0.0000
223326204,CMD,3,0.0000
229325124,CMD,0,0.0000
229325124,CMD,1,0.0000
229325124,CMD,2,0.0000
229325124,CMD,3,0.0000
235320413,CMD,0,0.0000
235320413,CMD,1,0.0000
235320413,CMD,2,0.0000
235320413,CMD,3,0.0000
241337451,CMD,0,0.0000
241337451,CMD,1,0.0000
241337451,CMD,2,0.0000
241337451,CMD,3,0.0000
247333692,CMD,0,0.0000
247333692,CMD,1,0.0000
247333692,CMD,2,0.0000
247333692,CMD,3,0.0000
253332039,CMD,0,0.0000
253332039,CMD,1,0.0000
253332039,CMD,2,0.0000
253332039,CMD,3,0.0000
261328612,CMD,0,0.0000
261328612,CMD,1,0.0000
261328612,CMD,2,0.0000
261328612,CMD,3,0.0000
266324526,CMD,0,0.0000
266324526,CMD,1,0.0000
266324526,CMD,2,0.0000
266324526,CMD,3,0.0000
272323388,CMD,0,0.0000
272323388,CMD,1,0.0000
272323388,CMD,2,0.0000
272323388,CMD,3,0.0000
278327215,CMD,0,0.0000
278327215,CMD,1,0.0000
278327215,CMD,2,0.0000
278327215,CMD,3,0.0000
284322897,CMD,0,0.0000
284322897,CMD,1,0.0000
284322897,CMD,2,0.0000
284322897,CMD,3,0.0000
290320657,CMD,0,0.0000
290320657,CMD,1,0.0000
290320657,CMD,2,0.0000
290320657,CMD,3,0.0000
296342829,CMD,0,0.0000
296342829,CMD,1,0.0000
296342829,CMD,2,0.0000
296342829,CMD,3,0.0000
302336138,CMD,0,0.0000
302336138,CMD,1,0.0000
302336138,CMD,2,0.0000
302336138,CMD,3,0.0000
308347942,CMD,0,0.0000
308347942,CMD,1,0.0000
308347942,CMD,2,0.0000
308347942,CMD,3,0.0000
314335295,CMD,0,0.0000
314335295,CMD,1,0.0000
314335295,CMD,2,0.0000
314335295,CMD,3,0.0000
320340892,CMD,0,0.0000
320340892,CMD,1,0.0000
320340892,CMD,2,0.0000
320340892,CMD,3,0.0000
326339999,CMD,0,0.0000
326339999,CMD,1,0.0000
326339999,CMD,2,0.0000
326339999,CMD,3,0.0000
332322980,CMD,0,0.0000
332322980,CMD,1,0.0000
332322980,CMD,2,0.0000
332322980,CMD,3,0.0000
337331674,CMD,0,0.0000
337331674,CMD,1,0.0000
337331674,CMD,2,0.0000
337331674,CMD,3,0.0000
343337025,CMD,0,0.0000
343337025,CMD,1,0.0000
343337025,CMD,2,0.0000
343337025,CMD,3,0.0000
349334841,CMD,0,0.0000
349334841,CMD,1,0.0000
349334841,CMD,2,0.0000
349334841,CMD,3,0.0000
355332851,CMD,0,0.0000
355332851,CMD,1,0.0000
355332851,CMD,2,0.0000
355332851,CMD,3,0.0000
361340701,CMD,0,5.0000
361340701,CMD,1,0.0000
361340701,CMD,2,0.0000
361340701,CMD,3,0.0000
367330353,CMD,0,5.0000
367330353,CMD,1,0.0000
367330353,CMD,2,0.0000
367330353,CMD,3,0.0000
373324259,CMD,0,5.0000
373324259,CMD,1,0.0000
373324259,CMD,2,0.0000
373324259,CMD,3,0.0000
380320395,CMD,0,5.0000
380320395,CMD,1,0.0000
380320395,CMD,2,0.0000
380320395,CMD,3,0.0000
386323257,CMD,0,5.0000
386323257,CMD,1,0.0000
386323257,CMD,2,0.0000
386323257,CMD,3,0.0000
392350000,CMD,0,5.0000
392350000,CMD,1,0.0000
392350000,CMD,2,0.0000
392350000,CMD,3,0.0000
397321257,CMD,0,5.0000
397321257,CMD,1,0.0000
397321257,CMD,2,0.0000
397321257,CMD,3,0.0000
403331603,CMD,0,5.0000
403331603,CMD,1,0.0000
403331603,CMD,2,0.0000
403331603,CMD,3,0.0000
409320632,CMD,0,5.0000
409320632,CMD,1,0.0000
409320632,CMD,2,0.0000
409320632,CMD,3,0.0000
415345822,CMD,0,5.0000
415345822,CMD,1,0.0000
415345822,CMD,2,0.0000
415345822,CMD,3,0.0000
421333927,CMD,0,5.0000
421333927,CMD,1,0.0000
421333927,CMD,2,0.0000
421333927,CMD,3,0.0000
427345053,CMD,0,5.0000
427345053,CMD,1,0.0000
427345053,CMD,2,0.0000
427345053,CMD,3,0.0000
433324834,CMD,0,5.0000
433324834,CMD,1,0.0000
433324834,CMD,2,0.0000
433324834,CMD,3,0.0000
439332968,CMD,0,5.0000
439332968,CMD,1,0.0000
439332968,CMD,2,0.0000
439332968,CMD,3,0.0000
446330680,CMD,0,5.0000
446330680,CMD,1,0.0000
446330680,CMD,2,0.0000
446330680,CMD,3,0.0000
453327886,CMD,0,5.0000
453327886,CMD,1,0.0000
453327886,CMD,2,0.0000
453327886,CMD,3,0.0000
459340991,CMD,0,5.0000
459340991,CMD,1,0.0000
459340991,CMD,2,0.0000
459340991,CMD,3,0.0000
465320646,CMD,0,5.0000
465320646,CMD,1,0.0000
465320646,CMD,2,0.0000
465320646,CMD,3,0.0000
471338113,CMD,0,5.0000
471338113,CMD,1,0.0000
471338113,CMD,2,0.0000
471338113,CMD,3,0.0000
477332191,CMD,0,5.0000
477332191,CMD,1,0.0000
477332191,CMD,2,0.0000
477332191,CMD,3,0.0000
483351904,CMD,0,5.0000
483351904,CMD,1,0.0000
483351904,CMD,2,0.0000
483351904,CMD,3,0.0000
489344589,CMD,0,5.0000
489344589,CMD,1,0.0000
489344589,CMD,2,0.0000
489344589,CMD,3,0.0000
495342170,CMD,0,5.0000
495342170,CMD,1,0.0000
495342170,CMD,2,0.0000
495342170,CMD,3,0.0000
501343751,CMD,0,5.0000
501343751,CMD,1,0.0000
501343751,CMD,2,0.0000
501343751,CMD,3,0.0000
507361996,CMD,0,5.0000
507361996,CMD,1,0.0000
507361996,CMD,2,0.0000
507361996,CMD,3,0.0000
515328453,CMD,0,5.0000
515328453,CMD,1,0.0000
515328453,CMD,2,0.0000
515328453,CMD,3,0.0000
